dates,satname,nzd0312-0000,nzd0312-0001,nzd0312-0002,nzd0312-0003,nzd0312-0004,nzd0312-0005,nzd0312-0006,nzd0312-0007,nzd0312-0008,nzd0312-0009,nzd0312-0010,nzd0312-0011,nzd0312-0012,nzd0312-0013,nzd0312-0014,nzd0312-0015,nzd0312-0016,nzd0312-0017,nzd0312-0018,nzd0312-0019,nzd0312-0020,nzd0312-0021,nzd0312-0022,nzd0312-0023,nzd0312-0024,nzd0312-0025,nzd0312-0026,nzd0312-0027,nzd0312-0028,nzd0312-0029,nzd0312-0030,nzd0312-0031,nzd0312-0032,nzd0312-0033,nzd0312-0034,nzd0312-0035,nzd0312-0036,nzd0312-0037,nzd0312-0038,nzd0312-0039,nzd0312-0040,nzd0312-0041,nzd0312-0042,nzd0312-0043,nzd0312-0044,nzd0312-0045,nzd0312-0046,nzd0312-0047,nzd0312-0048,nzd0312-0049,nzd0312-0050,nzd0312-0051,nzd0312-0052,nzd0312-0053,nzd0312-0054,nzd0312-0055,nzd0312-0056,nzd0312-0057,nzd0312-0058,nzd0312-0059,nzd0312-0060,nzd0312-0061,nzd0312-0062,nzd0312-0063,nzd0312-0064,nzd0312-0065,nzd0312-0066,nzd0312-0067,nzd0312-0068,nzd0312-0069,nzd0312-0070,nzd0312-0071,nzd0312-0072,nzd0312-0073,nzd0312-0074,nzd0312-0075,nzd0312-0076,nzd0312-0077,nzd0312-0078,nzd0312-0079,nzd0312-0080,nzd0312-0081,nzd0312-0082,nzd0312-0083,nzd0312-0084,nzd0312-0085,nzd0312-0086,nzd0312-0087,nzd0312-0088,nzd0312-0089,nzd0312-0090,nzd0312-0091,nzd0312-0092,nzd0312-0093,nzd0312-0094,nzd0312-0095,nzd0312-0096,nzd0312-0097,nzd0312-0098,nzd0312-0099,nzd0312-0100,nzd0312-0101,nzd0312-0102,nzd0312-0103,nzd0312-0104,nzd0312-0105,nzd0312-0106,nzd0312-0107,nzd0312-0108,nzd0312-0109,nzd0312-0110,nzd0312-0111,nzd0312-0112,nzd0312-0113,nzd0312-0114,nzd0312-0115,nzd0312-0116,nzd0312-0117,nzd0312-0118,nzd0312-0119,nzd0312-0120,nzd0312-0121,nzd0312-0122,nzd0312-0123,nzd0312-0124,nzd0312-0125,nzd0312-0126,nzd0312-0127,nzd0312-0128,nzd0312-0129,nzd0312-0130,nzd0312-0131,nzd0312-0132,nzd0312-0133,nzd0312-0134,nzd0312-0135,nzd0312-0136
1999-09-22 21:47:24+00:00,L7,334.17,304.13,296.62,299.28,306.25,297.42,305.61,307.48,307.18,297.48,305.47,311.95,324.96,353.49,365.29,324.51,333.27,340.58,333.20,330.75,333.20,346.10,336.09,317.73,323.42,,,314.03,308.87,319.92,331.32,332.04,335.29,344.46,357.22,357.65,357.22,370.49,376.93,368.35,371.65,382.84,392.47,382.90,375.13,370.97,362.25,367.79,360.53,351.37,340.71,319.42,318.56,345.46,354.63,354.08,350.20,350.42,350.48,346.40,347.38,340.36,334.29,357.33,358.11,353.07,353.21,361.35,363.27,373.85,379.37,376.80,373.92,373.34,364.08,350.51,348.79,363.03,371.85,363.78,366.08,379.53,374.55,376.75,377.93,368.39,371.66,372.34,359.08,360.55,349.70,357.68,359.37,363.75,358.91,367.32,381.17,376.43,382.38,374.89,373.78,360.15,359.71,359.55,380.88,404.13,389.04,364.05,333.32,330.41,331.03,321.85,318.69,320.34,326.20,343.94,355.38,374.83,388.85,389.65,,361.33,353.55,347.88,343.13,353.28,367.15,389.33,400.52,388.47,384.22,409.12,441.86,421.54,394.24,381.26,372.37
1999-09-29 21:53:40+00:00,L7,287.59,267.21,256.59,253.91,247.82,252.07,250.49,256.14,253.97,252.17,249.34,256.10,266.33,276.65,271.11,266.60,277.16,276.11,274.55,281.14,279.78,285.86,282.68,272.88,,,,276.50,275.81,283.67,287.65,288.66,293.93,300.15,302.79,305.37,311.56,322.71,325.92,328.33,334.19,336.45,341.77,337.00,332.35,185.75,280.67,303.78,310.12,304.77,289.75,285.76,286.15,302.09,310.88,304.73,303.96,306.44,299.14,294.89,294.13,299.74,307.83,311.40,313.88,314.25,317.15,319.18,327.04,329.63,329.99,331.40,329.13,328.39,310.44,303.74,311.96,322.31,323.65,323.15,327.62,331.23,334.05,326.95,322.17,327.10,327.90,310.38,299.75,299.39,303.38,300.25,309.54,314.67,318.03,322.29,327.66,325.90,326.86,326.16,321.17,317.76,318.40,319.11,330.13,333.10,317.71,292.67,278.20,281.62,274.11,281.35,273.59,276.24,288.60,298.29,307.99,331.17,337.81,347.65,347.16,322.96,315.44,311.14,312.31,316.22,331.12,350.84,360.21,358.63,355.49,361.41,368.47,359.91,340.86,329.82,320.53
1999-10-24 21:47:20+00:00,L7,316.89,312.26,322.06,326.63,318.34,301.85,297.64,295.25,305.04,315.51,312.27,306.24,311.04,346.21,334.85,320.10,329.11,332.75,354.59,329.74,332.10,331.40,329.40,326.95,323.29,,,327.67,335.40,328.73,327.45,326.68,337.06,346.37,345.93,348.89,360.10,375.73,380.76,379.46,380.25,385.77,384.12,379.61,376.22,365.66,362.95,345.28,344.84,347.15,349.57,349.79,349.26,353.38,351.59,344.18,347.68,341.42,340.89,350.63,356.25,349.68,346.58,356.07,348.47,361.78,366.45,375.97,369.23,369.71,372.46,378.62,370.66,368.63,369.20,370.75,366.11,364.47,371.72,374.65,382.09,371.21,383.20,413.29,414.97,404.29,380.58,373.97,387.63,384.26,374.17,369.69,366.98,366.50,379.70,374.75,373.85,377.57,394.09,389.80,381.83,368.35,362.64,351.25,370.97,403.11,398.09,368.89,346.52,346.06,345.38,326.57,315.47,331.38,334.87,337.34,347.97,368.78,372.96,378.55,376.86,360.10,362.03,342.52,338.46,355.46,367.50,383.97,395.71,387.20,383.89,404.64,426.28,414.87,397.26,383.15,374.97
2000-01-19 21:53:25+00:00,L7,308.74,299.91,298.88,301.12,303.22,299.02,280.38,272.26,278.63,276.17,283.53,292.05,306.83,327.90,324.91,306.20,306.20,308.08,327.73,307.16,302.54,301.54,300.23,299.75,303.63,314.48,,302.57,312.00,317.48,318.04,316.80,328.56,332.00,329.99,335.10,333.75,356.90,356.04,358.28,358.17,360.41,357.96,359.50,324.77,338.47,341.56,338.15,335.66,334.15,318.36,327.07,330.42,343.46,,,,,,,,,,,,,,349.51,344.72,352.34,346.87,,,,349.90,334.67,347.09,347.28,354.16,349.20,353.19,359.36,351.26,362.95,346.94,346.92,351.85,338.07,333.19,326.43,326.59,331.29,336.21,331.29,335.59,347.71,345.51,355.79,360.19,354.28,344.01,336.76,336.67,336.71,359.77,390.28,339.34,333.14,325.48,301.47,301.79,299.97,309.29,321.90,317.54,314.98,322.03,344.13,353.60,357.31,347.08,334.70,326.86,319.44,323.81,333.63,345.81,366.90,378.99,374.99,374.09,386.29,397.15,384.80,369.96,360.58,340.68
2000-05-03 21:46:43+00:00,L7,,,,,,,,,,,,,,,,317.07,,327.95,325.61,329.49,324.02,328.27,,,,,,,,,,,,339.44,345.22,349.53,357.15,361.29,366.83,373.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.79,363.51,363.11,362.61,362.75,360.47,364.92,371.76,353.62,358.95,368.93,354.87,349.76,351.59,350.06,358.05,363.34,366.58,369.26,357.39,348.04,341.05,336.61,333.91,339.56,339.67,340.79,344.45,350.05,356.58,362.16,363.40,345.08,343.34,350.91,353.10,361.52,389.69,357.52,334.65,328.81,319.86,313.08,314.90,311.17,305.40,312.72,320.87,329.88,348.73,,,,,,,,,,,,371.09,374.04,376.97,399.13,380.51,368.17,361.92,343.97
2000-05-19 21:46:31+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.59,350.10,337.56
2000-05-26 21:52:36+00:00,L7,,,,,,,,,,,,,,,184.97,137.49,89.86,318.18,332.14,328.03,,322.14,321.58,315.57,320.66,,,322.05,321.12,321.73,327.40,331.92,335.21,339.89,344.64,350.56,355.30,364.55,370.84,367.02,375.67,378.53,380.55,375.54,373.68,381.16,379.15,371.93,353.92,351.37,345.50,338.73,342.20,338.57,340.72,343.02,341.46,344.45,343.95,342.13,336.45,333.25,343.05,346.38,345.78,353.49,363.68,358.46,346.18,359.23,364.66,362.36,365.09,366.33,359.02,358.21,358.01,350.97,346.87,357.03,355.18,354.63,355.19,355.60,354.13,356.77,355.34,343.79,345.94,342.96,334.62,328.73,329.90,333.47,336.98,343.10,340.40,343.93,348.76,344.44,342.04,344.40,340.44,337.08,349.05,366.04,347.18,331.78,327.21,320.51,315.29,309.05,303.25,309.83,309.08,317.26,324.05,346.54,351.74,357.64,354.72,338.65,,,326.01,332.15,345.33,361.05,371.63,368.40,367.59,373.56,,,364.66,346.79,334.88
2000-06-20 21:46:16+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.43,300.15,304.95,292.26,306.67,316.41,320.07,325.21,330.09,334.06,338.36,336.94,327.54,316.50,312.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.88,324.78
2000-07-13 21:52:07+00:00,L7,,,,,,,,,,,,,,,,,,,,199.92,307.95,306.09,303.67,306.73,317.86,326.39,328.19,328.80,323.92,322.68,316.73,322.01,327.90,337.07,340.88,356.77,359.73,365.87,353.49,337.55,370.43,383.70,379.33,373.14,369.29,362.60,362.69,359.61,348.21,344.99,336.83,333.50,333.40,331.27,325.16,328.31,334.80,341.00,335.47,328.75,334.19,340.00,342.45,342.29,341.07,337.99,345.58,351.91,350.60,348.71,344.44,344.44,341.00,339.05,339.22,343.99,344.88,350.15,354.20,358.24,358.80,352.71,356.04,354.56,356.58,356.80,350.77,343.92,335.81,338.70,337.69,340.74,345.79,348.68,352.76,362.14,366.61,366.36,369.12,362.06,356.34,357.71,348.51,339.99,359.27,373.79,357.62,325.22,314.24,310.09,304.61,303.49,300.14,309.23,315.52,325.36,333.13,356.98,373.01,376.62,366.27,352.62,342.24,324.69,331.23,346.68,360.01,375.41,384.37,377.93,380.89,390.56,,,376.63,367.60,364.52
2000-07-29 21:51:50+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,302.92,,,320.55,322.37,313.68,308.12,315.83,323.38,326.26,337.17,345.52,350.44,,,,,,,,,,,,,,,328.29,333.49,330.31,327.91,321.77,322.71,342.90,337.92,330.13,333.99,336.35,333.64,337.30,335.50,335.65,344.31,350.96,350.06,352.24,329.50,331.67,336.88,339.78,337.54,340.05,330.37,334.65,344.00,344.71,338.32,341.67,341.25,342.96,346.71,344.46,344.77,327.98,339.66,333.57,328.90,343.65,358.61,355.88,342.79,342.29,345.66,363.71,371.85,348.80,349.93,346.58,339.50,343.16,361.05,373.07,354.41,,305.75,300.04,298.99,298.90,306.72,310.06,311.68,322.07,323.77,351.26,361.94,372.25,361.97,331.76,316.93,314.53,322.37,336.44,351.60,366.34,374.83,367.39,362.56,376.02,,,346.95,342.13,340.31
