dates,nzd0312-0000,nzd0312-0001,nzd0312-0002,nzd0312-0003,nzd0312-0004,nzd0312-0005,nzd0312-0006,nzd0312-0007,nzd0312-0008,nzd0312-0009,nzd0312-0010,nzd0312-0011,nzd0312-0012,nzd0312-0013,nzd0312-0014,nzd0312-0015,nzd0312-0016,nzd0312-0017,nzd0312-0018,nzd0312-0019,nzd0312-0020,nzd0312-0021,nzd0312-0022,nzd0312-0023,nzd0312-0024,nzd0312-0025,nzd0312-0026,nzd0312-0027,nzd0312-0028,nzd0312-0029,nzd0312-0030,nzd0312-0031,nzd0312-0032,nzd0312-0033,nzd0312-0034,nzd0312-0035,nzd0312-0036,nzd0312-0037,nzd0312-0038,nzd0312-0039,nzd0312-0040,nzd0312-0041,nzd0312-0042,nzd0312-0043,nzd0312-0044,nzd0312-0045,nzd0312-0046,nzd0312-0047,nzd0312-0048,nzd0312-0049,nzd0312-0050,nzd0312-0051,nzd0312-0052,nzd0312-0053,nzd0312-0054,nzd0312-0055,nzd0312-0056,nzd0312-0057,nzd0312-0058,nzd0312-0059,nzd0312-0060,nzd0312-0061,nzd0312-0062,nzd0312-0063,nzd0312-0064,nzd0312-0065,nzd0312-0066,nzd0312-0067,nzd0312-0068,nzd0312-0069,nzd0312-0070,nzd0312-0071,nzd0312-0072,nzd0312-0073,nzd0312-0074,nzd0312-0075,nzd0312-0076,nzd0312-0077,nzd0312-0078,nzd0312-0079,nzd0312-0080,nzd0312-0081,nzd0312-0082,nzd0312-0083,nzd0312-0084,nzd0312-0085,nzd0312-0086,nzd0312-0087,nzd0312-0088,nzd0312-0089,nzd0312-0090,nzd0312-0091,nzd0312-0092,nzd0312-0093,nzd0312-0094,nzd0312-0095,nzd0312-0096,nzd0312-0097,nzd0312-0098,nzd0312-0099,nzd0312-0100,nzd0312-0101,nzd0312-0102,nzd0312-0103,nzd0312-0104,nzd0312-0105,nzd0312-0106,nzd0312-0107,nzd0312-0108,nzd0312-0109,nzd0312-0110,nzd0312-0111,nzd0312-0112,nzd0312-0113,nzd0312-0114,nzd0312-0115,nzd0312-0116,nzd0312-0117,nzd0312-0118,nzd0312-0119,nzd0312-0120,nzd0312-0121,nzd0312-0122,nzd0312-0123,nzd0312-0124,nzd0312-0125,nzd0312-0126,nzd0312-0127,nzd0312-0128,nzd0312-0129,nzd0312-0130,nzd0312-0131,nzd0312-0132,nzd0312-0133,nzd0312-0134,nzd0312-0135,nzd0312-0136,satname
1999-09-22 21:47:24+00:00,317.50,293.02,276.62,279.28,291.96,287.42,280.61,282.48,282.18,277.48,288.80,291.95,310.67,333.49,340.29,299.51,308.27,307.25,308.20,310.75,313.20,329.43,316.09,297.73,306.75,,,294.03,288.87,299.92,314.65,317.75,318.62,327.79,342.93,343.36,344.72,356.20,364.43,348.35,354.98,370.34,378.18,368.61,358.46,,345.58,355.29,340.53,338.87,324.04,305.13,306.06,325.46,337.96,334.08,330.20,330.42,336.19,326.40,327.38,323.69,317.62,343.04,343.82,336.40,336.54,344.68,343.27,357.18,362.70,360.13,357.25,356.67,347.41,333.84,332.12,346.36,355.18,347.11,351.79,362.86,357.88,360.08,361.26,351.72,354.99,352.34,339.08,340.55,333.03,343.39,346.87,353.75,348.91,354.82,368.67,363.93,369.88,363.78,359.49,345.86,347.21,348.44,366.59,384.13,372.37,347.38,313.32,313.74,316.74,309.35,307.58,310.34,316.20,334.85,347.69,365.74,379.76,379.65,,352.24,345.22,340.74,334.80,343.28,358.82,381.64,392.19,380.78,376.53,401.43,,,385.15,371.26,361.26,L7
1999-09-29 21:53:40+00:00,312.92,284.10,286.99,284.31,269.53,267.27,288.49,294.14,291.97,282.57,274.67,286.50,288.04,307.05,309.11,304.60,315.16,326.78,312.55,311.54,310.18,311.19,313.08,303.28,,,,306.90,306.21,314.07,312.98,310.37,319.26,325.48,324.50,327.08,330.56,344.42,344.92,358.73,359.52,355.45,363.48,358.71,357.68,,306.00,322.78,340.52,323.77,315.08,307.47,305.15,332.49,336.21,335.13,334.36,336.84,320.85,325.29,324.53,325.07,333.16,333.11,335.59,339.58,342.48,344.51,357.44,354.96,355.32,356.73,354.46,353.72,335.77,329.07,337.29,347.64,348.98,348.48,349.33,356.56,359.38,352.28,347.50,352.43,353.23,340.78,330.15,329.79,328.71,321.96,328.54,329.87,333.23,341.29,346.66,344.90,345.86,343.05,342.88,339.47,337.40,336.00,351.84,363.50,343.04,318.00,308.60,306.95,295.82,300.35,290.48,291.44,303.80,312.11,319.68,344.99,351.63,362.85,359.83,336.78,328.11,322.00,324.98,331.42,343.79,362.53,372.88,370.32,367.18,373.10,383.67,372.58,354.68,345.02,337.42,L7
1999-10-24 21:47:20+00:00,297.22,299.15,298.46,303.03,301.48,290.05,268.14,265.75,275.54,291.91,292.60,282.64,294.18,322.61,305.35,290.60,299.61,293.42,325.09,306.14,308.50,311.73,305.80,303.35,303.62,,,304.07,311.80,305.13,307.78,309.82,317.39,326.70,329.07,332.03,345.35,358.87,366.01,355.86,360.58,371.02,367.26,362.75,356.55,345.99,343.28,330.53,321.24,332.40,329.90,332.93,334.51,329.78,331.92,320.58,324.08,317.82,324.03,327.03,332.65,330.01,326.91,339.21,331.61,342.11,346.78,356.30,345.63,350.04,352.79,358.95,350.99,348.96,349.53,351.08,346.44,344.80,352.05,354.98,365.23,351.54,363.53,,,384.62,360.91,350.37,364.03,360.66,354.50,352.83,352.23,354.70,367.90,360.00,359.10,362.82,379.34,376.69,364.97,351.49,347.89,338.14,354.11,379.51,378.42,349.22,322.92,326.39,328.52,311.82,302.36,319.58,323.07,326.61,338.89,358.05,362.23,366.75,367.03,349.37,352.20,334.09,328.63,343.66,357.67,374.89,385.88,378.12,374.81,395.56,414.48,405.04,386.53,371.35,361.86,L7
2000-01-19 21:53:25+00:00,283.07,282.80,268.08,270.32,281.22,283.62,241.88,233.76,240.13,,257.86,261.25,284.83,297.10,286.41,267.70,267.70,256.75,289.23,276.36,271.74,275.87,269.43,268.95,277.96,283.68,,271.77,281.20,286.68,292.37,294.80,302.89,306.33,307.99,313.10,314.50,334.90,336.79,327.48,332.50,341.16,335.96,337.50,,312.80,315.89,318.90,304.86,314.90,292.69,305.07,311.17,312.66,,,,,,,,,,,,,,323.84,313.92,326.67,321.20,,,,324.23,,321.42,321.61,328.49,323.53,331.19,333.69,325.59,337.28,321.27,321.25,326.18,307.27,302.39,295.63,300.92,309.29,316.96,315.89,320.19,328.46,326.26,336.54,340.94,337.17,322.01,314.76,317.42,319.60,337.77,359.48,313.67,307.47,294.68,275.80,279.79,280.72,292.18,306.50,302.14,300.98,310.18,330.13,339.60,341.91,334.25,320.70,314.03,308.44,310.98,318.23,332.98,355.05,366.16,363.14,362.24,374.44,381.75,371.97,355.96,345.18,323.57,L7
2000-05-03 21:46:43+00:00,,,,,,,,,,,,,,,,288.07,,289.28,296.61,306.29,300.82,308.94,,,,,,,,,,,,320.11,328.65,332.96,342.65,344.72,352.33,349.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.59,344.18,343.78,343.28,343.42,341.14,345.59,352.43,334.29,339.62,349.60,335.54,333.19,332.26,330.73,338.72,344.01,347.25,349.93,334.19,324.84,317.85,317.28,317.34,325.06,328.07,329.19,329.95,335.55,342.08,347.66,350.51,328.51,326.77,336.41,340.21,344.95,366.49,338.19,315.32,305.61,300.53,296.51,300.40,298.28,293.80,301.12,310.32,320.96,338.18,,,,,,,,,,,,362.17,365.12,368.05,387.53,370.84,357.62,350.32,331.08,L7
2000-05-19 21:46:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.68,349.10,336.45,L7
2000-05-26 21:52:36+00:00,,,,,,,,,,,,,,,,,,328.85,,334.43,,327.47,,,325.99,,,328.45,327.52,328.13,332.73,336.49,340.54,345.22,349.21,355.13,359.30,369.12,374.84,373.42,381.00,382.53,385.12,380.11,379.01,,,375.93,360.32,355.37,350.83,343.30,346.20,344.97,346.05,349.42,347.86,350.85,348.52,348.53,342.85,338.58,348.38,350.95,350.35,358.82,369.01,363.79,352.58,364.56,369.99,367.69,370.42,371.66,364.35,363.54,363.34,356.30,352.20,362.36,359.75,359.96,360.52,360.93,359.46,362.10,360.67,350.19,352.34,349.36,339.95,333.30,333.90,336.67,340.18,347.10,344.40,347.93,352.76,348.00,346.61,348.97,344.44,340.64,353.62,372.44,352.51,337.11,333.61,325.84,319.86,313.05,306.81,313.03,312.28,320.17,326.51,349.45,354.65,360.84,357.39,341.56,,,328.68,335.35,348.00,363.51,374.30,370.86,370.05,376.02,,,367.57,349.99,338.44,L7
2000-06-20 21:46:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.03,313.75,318.55,303.59,316.38,324.91,326.87,332.01,338.59,342.56,346.86,345.44,335.10,326.21,322.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.68,332.34,L7
2000-07-13 21:52:07+00:00,,,,,,,,,,,,,,,,,,,,,284.75,,280.47,283.53,298.53,303.19,,305.60,300.72,299.48,297.40,305.44,308.57,317.74,324.31,340.20,345.23,349.30,338.99,,351.10,369.20,362.76,356.57,349.96,343.27,343.36,345.11,325.01,330.49,317.50,316.93,318.90,308.07,305.83,305.11,311.60,317.80,318.90,305.55,310.99,320.67,323.12,325.72,324.50,318.66,326.25,332.58,327.40,329.38,325.11,325.11,321.67,319.72,319.89,324.66,325.55,330.82,334.87,338.91,342.23,333.38,336.71,335.23,337.25,337.47,331.44,320.72,312.61,315.50,318.36,324.17,331.29,337.08,341.16,347.64,352.11,351.86,354.62,349.17,339.77,341.14,334.01,327.10,342.70,350.59,338.29,305.89,291.04,290.76,288.04,288.99,287.25,297.63,303.92,314.81,324.21,346.43,362.46,365.02,356.60,342.07,332.57,316.40,321.56,335.08,350.34,366.49,374.70,369.01,371.97,381.64,,,366.08,356.00,351.63,L7
2000-07-29 21:51:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,275.59,,,287.75,289.57,280.88,280.79,292.40,296.05,298.93,313.74,322.09,329.94,,,,,,,,,,,,,,,304.86,312.99,297.51,300.58,288.97,289.91,310.10,314.49,297.33,301.19,309.02,306.31,313.87,312.07,308.32,316.98,323.63,317.26,324.91,302.17,304.34,309.55,312.45,310.21,312.72,303.04,307.32,316.67,317.38,314.89,314.34,313.92,315.63,319.38,317.13,317.44,295.18,306.86,300.77,301.57,320.22,338.11,339.48,326.39,321.79,325.16,343.21,351.35,330.58,326.50,323.15,319.00,324.94,337.62,340.27,327.08,,272.95,272.71,275.56,278.40,288.50,293.66,295.28,307.16,311.15,336.35,347.03,355.85,348.30,316.85,303.26,302.82,308.70,320.04,337.93,353.72,361.16,354.77,349.94,363.40,,,332.04,325.73,322.09,L7
2000-08-07 21:45:32+00:00,,,,,,,,,,,,,291.41,,,,,298.17,278.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.99,325.79,326.60,323.38,316.67,320.81,320.67,315.36,315.06,321.27,327.90,332.80,340.77,346.07,338.87,329.90,324.26,331.62,326.04,327.17,,,,327.71,330.46,330.48,333.60,330.02,330.12,335.22,333.62,332.86,325.58,316.99,316.98,312.19,326.20,331.14,335.59,333.41,332.71,332.79,338.58,341.30,334.88,330.74,334.33,333.27,323.50,333.82,347.78,327.85,292.91,296.86,279.45,280.69,279.98,281.21,290.07,294.88,301.14,311.75,,,,,,,,,,,,365.98,362.28,359.17,368.43,,,339.10,330.88,319.62,L7
2000-08-14 21:51:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.02,273.56,270.40,269.92,285.80,289.59,295.72,300.43,304.88,307.27,315.56,305.38,,317.12,331.53,343.68,328.51,325.30,329.05,324.42,323.87,308.14,304.59,298.40,297.92,300.31,294.80,292.02,290.47,289.30,,,,,,280.00,285.06,298.18,301.59,313.75,313.55,318.23,313.21,304.04,,,,,,,,,,,,295.35,296.58,,,,,,,276.84,295.08,307.00,311.94,313.81,312.23,309.70,313.15,316.46,308.71,299.51,302.41,302.76,303.23,308.49,312.17,299.30,,,244.04,245.56,248.09,253.11,270.46,273.14,281.84,292.85,313.26,322.39,334.19,331.90,298.21,,,300.89,309.99,320.88,341.18,345.90,336.55,339.42,345.32,,,324.76,307.33,293.90,L7
