dates,satname,nzd0118-0000,nzd0118-0001,nzd0118-0002,nzd0118-0003,nzd0118-0004,nzd0118-0005,nzd0118-0006
1999-10-22 21:58:28+00:00,L7,409.69,392.55,394.81,392.58,397.45,394.03,403.43
1999-12-09 21:58:33+00:00,L7,363.99,372.94,,,,,
2000-06-02 21:57:31+00:00,L7,,,,,553.12,,
2000-06-18 21:57:27+00:00,L7,372.53,366.89,373.68,357.97,375.07,,
2001-01-12 21:56:06+00:00,L7,,,,358.85,370.11,368.86,361.92
2001-10-11 21:53:46+00:00,L7,387.65,379.35,387.88,386.29,389.81,385.72,394.40
2002-01-31 21:54:26+00:00,L7,362.61,357.16,368.06,360.69,375.18,370.43,369.45
2002-03-20 21:54:24+00:00,L7,377.24,383.72,391.37,389.80,387.80,391.76,396.89
2002-04-05 21:54:25+00:00,L7,380.30,379.30,384.12,383.19,384.52,382.93,387.53
2002-05-23 21:54:18+00:00,L7,399.36,390.16,396.83,390.73,398.33,388.94,404.78
2002-06-24 21:54:04+00:00,L7,389.82,381.39,388.51,382.78,381.01,383.58,390.97
2002-08-27 21:53:36+00:00,L7,358.46,362.23,378.74,366.19,376.60,380.77,388.65
2002-12-01 21:53:52+00:00,L7,389.81,384.35,390.94,387.95,394.26,392.00,399.93
2003-05-26 21:54:19+00:00,L7,416.15,387.12,399.06,396.92,401.82,394.33,410.25
2003-07-21 21:42:09+00:00,L5,402.70,387.62,391.76,390.71,400.45,394.00,400.30
2003-08-06 21:42:27+00:00,L5,394.75,380.95,384.97,385.24,393.86,398.64,404.28
2003-10-17 21:53:51+00:00,L7,380.36,373.64,379.36,374.91,375.32,382.49,403.46
2003-10-25 21:43:40+00:00,L5,371.04,373.34,378.60,375.49,380.74,381.20,387.63
2003-11-02 21:54:02+00:00,L7,384.04,374.25,383.63,380.63,386.84,387.50,397.28
2003-12-04 21:54:19+00:00,L7,396.92,384.70,390.37,389.80,391.70,391.07,397.85
2004-01-21 21:54:39+00:00,L7,397.97,393.06,395.81,400.49,396.45,393.50,396.85
2004-02-22 21:54:43+00:00,L7,384.26,381.62,390.85,393.60,390.53,390.61,390.58
2004-03-25 21:54:54+00:00,L7,374.67,371.87,386.92,383.56,380.24,387.85,391.39
2004-04-18 21:45:25+00:00,L5,373.20,373.77,381.74,381.10,380.69,381.80,386.80
2004-05-12 21:54:49+00:00,L7,386.64,381.18,387.76,386.78,380.47,383.58,390.42
2004-05-20 21:46:20+00:00,L5,372.84,372.29,381.17,378.59,375.51,374.31,379.90
2004-05-28 21:54:47+00:00,L7,,,,,386.99,383.56,390.84
2004-06-05 21:46:48+00:00,L5,,,366.22,359.39,368.56,357.23,
2004-07-07 21:47:45+00:00,L5,387.10,380.78,384.89,377.11,382.75,383.67,377.01
2004-07-23 21:48:09+00:00,L5,382.87,380.93,386.02,380.84,381.90,383.84,390.08
2004-08-24 21:48:54+00:00,L5,403.66,389.13,398.76,396.91,405.41,402.83,409.53
2004-09-09 21:49:19+00:00,L5,403.09,399.93,401.41,402.63,406.91,403.99,411.75
2004-09-17 21:54:15+00:00,L7,369.80,358.95,372.40,361.27,372.33,369.43,371.89
2004-09-25 21:49:43+00:00,L5,399.98,392.44,405.16,398.69,407.49,402.34,409.93
2004-10-19 21:54:19+00:00,L7,378.60,377.64,380.96,381.98,380.88,384.60,394.56
2004-11-04 21:54:31+00:00,L7,381.27,381.83,390.20,388.35,391.55,393.15,398.72
2004-12-22 21:54:54+00:00,L7,390.86,383.47,382.32,395.60,405.69,398.04,401.02
2005-01-15 21:51:45+00:00,L5,388.48,388.96,398.06,397.17,405.30,403.44,409.56
2005-02-08 21:55:11+00:00,L7,375.91,376.08,382.60,378.44,379.26,385.84,387.88
2005-03-12 21:55:20+00:00,L7,,,,355.92,,,
2005-04-21 21:52:46+00:00,L5,414.94,407.59,412.27,411.78,408.37,411.28,409.41
2005-05-23 21:53:00+00:00,L5,402.41,389.69,393.46,385.86,384.84,388.28,394.59
2005-07-26 21:53:30+00:00,L5,375.51,376.23,379.55,371.93,374.85,371.68,381.30
2005-08-19 21:54:56+00:00,L7,381.66,377.71,384.40,378.45,,,
2005-10-06 21:54:37+00:00,L7,353.51,354.32,362.31,352.75,354.10,357.15,361.14
2005-10-30 21:53:39+00:00,L5,,,,401.11,401.24,388.60,394.33
2005-12-09 21:55:14+00:00,L7,397.29,386.64,395.93,390.15,399.09,390.89,394.85
2006-02-11 21:55:41+00:00,L7,388.04,384.90,388.81,387.34,384.06,389.32,393.68
2006-03-31 21:55:42+00:00,L7,374.38,368.72,376.11,375.22,376.43,379.74,376.73
2006-04-08 21:57:12+00:00,L5,390.19,385.95,389.94,387.44,388.03,386.78,395.56
2006-05-02 21:55:41+00:00,L7,369.67,362.70,365.92,360.81,361.84,363.94,367.18
2006-05-26 21:57:54+00:00,L5,361.54,360.23,361.24,356.34,,,
2006-06-27 21:58:24+00:00,L5,373.07,374.43,379.10,373.80,380.87,377.12,383.82
2006-07-21 21:55:21+00:00,L7,,,,,,,409.98
2006-08-22 21:55:17+00:00,L7,,,,,,,396.63
2006-09-07 21:55:13+00:00,L7,384.06,381.08,383.69,383.31,385.21,388.75,396.39
2006-10-09 21:55:00+00:00,L7,357.16,369.69,381.09,,,,382.47
