dates,satname,nzd0388-0000,nzd0388-0001,nzd0388-0002,nzd0388-0003,nzd0388-0004,nzd0388-0005,nzd0388-0006,nzd0388-0007,nzd0388-0008,nzd0388-0009,nzd0388-0010,nzd0388-0011,nzd0388-0012,nzd0388-0013,nzd0388-0014,nzd0388-0015,nzd0388-0016,nzd0388-0017,nzd0388-0018,nzd0388-0019,nzd0388-0020,nzd0388-0021
1999-08-17 22:12:26+00:00,L7,369.74,371.75,378.10,391.27,393.98,377.01,368.70,370.74,363.26,368.00,,,,,,,,,,,,
1999-08-26 22:06:44+00:00,L7,358.96,353.76,348.44,349.68,352.34,339.22,332.00,321.97,323.64,325.06,325.91,344.28,347.26,346.81,354.57,359.69,362.35,355.00,349.53,346.68,345.99,
1999-09-18 22:12:27+00:00,L7,,,,,,,376.56,365.32,362.36,364.34,370.91,376.57,384.20,386.12,383.97,386.67,386.63,387.03,381.70,380.39,379.71,371.68
1999-10-13 22:06:48+00:00,L7,369.06,371.24,367.55,369.97,377.34,359.91,362.44,364.59,356.56,358.39,368.49,371.48,382.47,381.95,378.10,380.01,377.18,374.17,369.72,375.10,373.90,367.33
1999-11-05 22:12:28+00:00,L7,356.57,355.03,349.42,354.69,355.54,346.18,338.01,333.07,332.82,335.68,342.09,348.04,353.51,356.80,364.92,371.45,373.68,364.77,363.16,360.15,360.47,353.16
1999-12-07 22:12:29+00:00,L7,359.46,355.01,348.51,351.20,352.00,340.29,334.72,333.15,336.36,345.12,348.80,360.54,357.63,359.44,361.12,366.52,364.94,361.13,360.98,354.83,354.13,354.96
2000-03-21 22:06:25+00:00,L7,362.46,362.04,355.04,357.37,355.12,340.11,332.98,325.30,325.82,333.53,332.20,347.19,352.46,356.31,367.12,370.99,374.37,373.17,369.99,367.04,358.06,359.20
2000-04-13 22:11:54+00:00,L7,368.93,369.07,365.80,369.29,371.40,363.38,356.40,346.33,346.73,346.30,351.10,364.21,377.42,379.09,379.48,383.59,387.95,386.80,380.13,380.46,371.47,337.05
2000-05-31 22:11:30+00:00,L7,347.49,350.01,345.19,346.41,338.10,329.16,323.31,319.51,316.37,320.44,328.29,337.02,335.49,,,330.71,343.67,349.23,330.09,,,
2000-06-25 22:05:07+00:00,L7,381.06,367.09,375.30,383.46,371.98,373.46,364.37,357.29,349.77,,153.12,,,,,,,,,,,
2000-08-03 22:10:43+00:00,L7,375.91,385.42,379.99,377.57,387.89,377.62,374.11,373.33,355.03,357.09,360.62,371.63,374.57,384.19,388.39,382.59,381.92,377.65,369.48,363.69,,
2000-08-19 22:10:38+00:00,L7,380.02,378.48,373.96,375.33,374.81,368.68,357.05,361.96,353.75,354.23,357.29,368.30,370.89,375.72,379.14,376.70,379.43,367.93,370.80,362.96,353.70,
2000-09-04 22:10:22+00:00,L7,377.62,372.33,376.78,381.58,379.28,364.86,366.00,365.75,363.39,359.12,367.10,365.60,380.19,387.12,386.20,391.12,387.44,379.03,377.72,373.23,363.27,356.87
2000-09-13 22:04:02+00:00,L7,349.17,345.89,346.31,349.24,347.64,334.50,326.51,328.61,329.91,330.67,322.40,322.04,331.93,338.49,344.45,345.41,341.49,337.29,330.77,327.88,334.48,331.56
2000-10-15 22:03:32+00:00,L7,362.15,364.17,355.59,360.05,366.47,343.30,342.11,340.56,340.24,333.60,347.43,344.69,348.32,344.11,348.36,355.86,351.41,353.88,,500.29,523.37,
2001-01-03 22:04:12+00:00,L7,386.33,386.03,380.90,392.22,385.58,381.31,373.35,369.96,363.98,370.33,382.16,386.61,378.61,383.84,388.29,393.18,393.07,385.46,379.20,376.29,376.58,381.80
