dates,nzd0103-0000,nzd0103-0001,nzd0103-0002,satname
1999-08-26 22:04:44+00:00,327.02,332.00,409.27,L7
1999-09-27 22:04:48+00:00,328.88,333.65,402.20,L7
1999-11-14 22:04:42+00:00,329.95,333.28,399.03,L7
2000-02-18 22:04:29+00:00,330.31,330.27,397.85,L7
2000-03-05 22:04:24+00:00,332.98,329.70,394.04,L7
2000-05-24 22:03:46+00:00,337.64,328.19,404.38,L7
2000-06-09 22:03:40+00:00,335.04,332.51,403.90,L7
2000-08-12 22:02:54+00:00,324.22,323.45,403.90,L7
2000-09-13 22:02:26+00:00,315.82,323.69,400.99,L7
2000-12-18 22:02:14+00:00,301.32,311.68,375.61,L7
2001-01-03 22:02:12+00:00,307.20,314.25,376.23,L7
2001-03-08 22:02:09+00:00,316.18,320.46,377.20,L7
2001-05-11 22:01:45+00:00,314.47,316.77,378.38,L7
2001-06-28 22:01:09+00:00,316.09,318.29,385.93,L7
2001-11-03 22:00:10+00:00,312.67,315.03,393.05,L7
2001-12-05 22:00:18+00:00,316.26,318.10,388.16,L7
2002-01-06 22:00:31+00:00,319.36,318.44,388.38,L7
2002-01-22 22:00:40+00:00,322.40,321.70,392.21,L7
2002-02-23 22:00:43+00:00,322.40,320.58,394.84,L7
2002-03-27 22:00:37+00:00,318.82,318.91,394.05,L7
2002-04-28 22:00:38+00:00,316.46,317.53,388.72,L7
2002-07-17 22:00:08+00:00,317.01,318.23,391.93,L7
2002-11-06 21:59:41+00:00,324.44,326.25,393.13,L7
2003-01-25 22:00:18+00:00,324.64,324.13,387.30,L7
2003-07-21 21:42:09+00:00,341.38,331.29,392.45,L5
2003-08-05 22:00:11+00:00,355.00,343.94,391.42,L7
2003-08-06 21:42:27+00:00,342.86,334.50,391.60,L5
2003-08-13 21:48:45+00:00,331.44,334.50,391.60,L5
2003-09-07 21:43:00+00:00,333.31,335.77,398.32,L5
2003-09-30 21:49:30+00:00,336.01,337.30,399.40,L5
2003-11-09 22:00:18+00:00,335.96,337.22,397.09,L7
2003-11-25 22:00:29+00:00,333.01,334.05,394.12,L7
2003-12-03 21:50:19+00:00,332.20,333.58,393.91,L5
2003-12-19 21:50:27+00:00,330.53,331.67,391.62,L5
2004-01-28 22:00:52+00:00,329.93,331.92,392.39,L7
2004-04-01 22:01:04+00:00,329.85,330.53,386.66,L7
2004-06-05 21:46:48+00:00,341.63,332.44,378.57,L5
2004-06-20 22:00:50+00:00,345.49,336.89,381.87,L7
2004-07-06 22:00:48+00:00,347.26,342.04,387.08,L7
2004-07-23 21:48:09+00:00,347.37,343.14,390.94,L5
2004-07-30 21:54:28+00:00,344.71,341.95,390.61,L5
2004-08-07 22:00:37+00:00,344.71,341.95,388.86,L7
2004-08-23 22:00:35+00:00,345.80,342.88,390.39,L7
2004-09-09 21:49:19+00:00,346.90,345.57,392.42,L5
2004-09-16 21:55:41+00:00,347.25,345.97,393.21,L5
2004-10-10 22:00:20+00:00,347.81,346.51,393.56,L7
2004-10-18 21:56:23+00:00,350.78,348.98,395.70,L5
2004-11-03 21:56:42+00:00,351.40,349.32,395.86,L5
2004-11-11 22:00:45+00:00,349.59,347.46,393.21,L7
2004-11-19 21:56:55+00:00,350.97,349.01,393.21,L5
2004-12-21 21:57:36+00:00,351.75,350.44,394.28,L5
2005-02-15 22:01:25+00:00,352.55,349.48,393.77,L7
2005-02-23 21:58:31+00:00,351.39,348.99,392.90,L5
2005-03-03 22:01:30+00:00,351.39,348.94,394.68,L7
2005-03-11 21:58:44+00:00,350.83,347.17,392.46,L5
2005-05-30 21:59:15+00:00,350.30,347.85,391.01,L5
2005-07-09 22:01:14+00:00,343.81,347.10,395.97,L7
2005-07-17 21:59:35+00:00,343.78,348.37,396.98,L5
2005-09-19 21:59:56+00:00,342.83,354.49,392.65,L5
2005-11-22 22:00:23+00:00,346.85,353.36,392.61,L5
2006-01-17 22:01:43+00:00,359.63,353.22,390.17,L7
2006-03-14 22:02:55+00:00,359.63,351.20,379.81,L5
2006-05-09 22:01:52+00:00,367.87,353.92,375.76,L7
2006-05-17 22:03:57+00:00,367.50,354.75,388.49,L5
2006-06-10 22:01:49+00:00,368.06,356.22,386.51,L7
2006-07-04 22:04:41+00:00,365.77,356.38,389.53,L5
2006-07-28 22:01:30+00:00,359.98,355.02,393.75,L7
2006-08-21 22:05:19+00:00,361.56,358.55,393.75,L5
2006-09-14 22:01:21+00:00,361.70,361.21,395.14,L7
2006-10-16 22:01:19+00:00,362.34,361.25,394.40,L7
2006-12-03 22:01:55+00:00,361.48,362.52,389.72,L7
2007-01-05 22:00:28+00:00,367.65,369.51,395.84,L5
2007-05-12 22:02:11+00:00,382.13,383.57,407.50,L7
2007-05-28 22:02:04+00:00,377.78,380.64,402.17,L7
2007-07-31 22:01:56+00:00,351.38,353.32,395.97,L7
2007-11-13 21:55:44+00:00,340.53,334.85,386.18,L7
2007-11-20 22:01:58+00:00,340.53,336.57,384.26,L7
2008-01-23 22:02:09+00:00,315.75,325.50,363.44,L7
2008-04-28 22:01:53+00:00,331.59,333.18,368.23,L7
2008-05-14 22:01:48+00:00,341.77,344.23,368.23,L7
2008-08-18 22:00:56+00:00,348.25,354.56,384.19,L7
2008-10-21 22:00:36+00:00,348.22,352.85,384.19,L7
2008-10-29 21:55:24+00:00,349.69,354.53,394.38,L5
2009-02-02 21:57:22+00:00,351.43,353.57,398.42,L5
2009-06-02 22:02:15+00:00,360.47,361.41,402.11,L7
2009-06-18 22:02:13+00:00,356.49,357.54,400.75,L7
2009-07-20 22:02:06+00:00,351.50,353.32,400.75,L7
2009-08-05 22:02:01+00:00,345.00,350.72,396.86,L7
2009-09-06 22:01:59+00:00,341.41,346.71,394.95,L7
2009-11-25 22:02:33+00:00,341.41,346.87,389.02,L7
2009-12-27 22:03:02+00:00,339.74,342.17,383.12,L7
2010-01-12 22:03:17+00:00,339.74,341.56,381.28,L7
2010-02-21 22:02:44+00:00,340.86,341.00,383.75,L5
2010-03-17 22:03:57+00:00,342.63,340.77,379.85,L7
2010-03-26 21:57:49+00:00,346.83,339.72,379.85,L7
2010-06-21 22:03:58+00:00,347.41,340.14,383.81,L7
2010-07-07 22:04:01+00:00,345.87,340.14,383.81,L7
2010-07-23 22:04:02+00:00,346.41,341.46,388.82,L7
2010-11-28 22:04:41+00:00,351.61,350.01,388.50,L7
2011-01-07 22:01:44+00:00,356.29,350.54,391.57,L5
2011-03-12 22:01:43+00:00,358.38,353.31,396.48,L5
2011-04-05 22:05:26+00:00,354.96,351.21,394.81,L7
2011-04-13 22:01:34+00:00,352.90,350.24,393.52,L5
2011-05-07 22:05:25+00:00,346.71,346.01,390.24,L7
2011-05-23 22:05:23+00:00,345.61,346.01,390.24,L7
2011-06-24 22:05:21+00:00,341.94,343.41,392.33,L7
2011-07-10 22:05:20+00:00,338.31,341.50,392.10,L7
2011-07-26 22:05:18+00:00,339.41,341.82,392.80,L7
2011-08-11 22:05:13+00:00,337.04,338.88,389.82,L7
2011-08-27 22:05:11+00:00,336.69,338.18,389.29,L7
2011-09-12 22:05:05+00:00,334.62,335.87,386.78,L7
2012-01-18 22:05:49+00:00,336.60,334.78,383.77,L7
2012-04-07 22:05:52+00:00,333.06,337.09,385.68,L7
2012-04-23 22:06:04+00:00,332.17,334.87,386.51,L7
2012-05-02 22:00:07+00:00,337.17,340.64,389.00,L7
2012-06-10 22:06:11+00:00,341.88,340.64,389.00,L7
2012-07-12 22:06:34+00:00,343.82,342.16,391.53,L7
2013-01-04 22:07:58+00:00,347.95,341.87,392.82,L7
2013-02-05 22:08:01+00:00,336.80,333.01,384.01,L7
2013-03-09 22:07:57+00:00,331.34,328.74,384.36,L7
2013-03-25 22:07:51+00:00,329.98,328.93,381.02,L7
2013-04-10 22:07:50+00:00,333.85,328.93,381.02,L7
2013-04-11 22:07:51+00:00,336.17,331.09,384.87,L8
2013-05-12 22:07:41+00:00,336.73,332.61,386.36,L7
2013-05-20 22:13:50+00:00,338.39,334.29,390.07,L8
2013-05-28 22:07:35+00:00,339.34,336.08,391.50,L7
2013-06-05 22:13:51+00:00,338.76,335.93,390.49,L8
2013-06-21 22:13:43+00:00,339.77,337.62,391.78,L8
2013-06-29 22:07:21+00:00,339.77,337.62,391.09,L7
2013-07-07 22:13:48+00:00,339.53,338.48,392.71,L8
