dates,satname,nzd0557-0000,nzd0557-0001,nzd0557-0002,nzd0557-0003,nzd0557-0004,nzd0557-0005,nzd0557-0006,nzd0557-0007,nzd0557-0008,nzd0557-0009,nzd0557-0010,nzd0557-0011,nzd0557-0012,nzd0557-0013,nzd0557-0014,nzd0557-0015,nzd0557-0016,nzd0557-0017,nzd0557-0018,nzd0557-0019,nzd0557-0020,nzd0557-0021,nzd0557-0022,nzd0557-0023,nzd0557-0024,nzd0557-0025,nzd0557-0026,nzd0557-0027,nzd0557-0028,nzd0557-0029,nzd0557-0030,nzd0557-0031,nzd0557-0032,nzd0557-0033,nzd0557-0034,nzd0557-0035,nzd0557-0036,nzd0557-0037,nzd0557-0038,nzd0557-0039,nzd0557-0040,nzd0557-0041,nzd0557-0042,nzd0557-0043,nzd0557-0044,nzd0557-0045,nzd0557-0046,nzd0557-0047,nzd0557-0048,nzd0557-0049
1999-08-17 22:13:37+00:00,L7,,,,,,,,,,,,,,,,,,,,,,209.72,206.46,209.83,214.17,218.86,223.20,247.41,231.49,212.99,200.76,187.47,177.97,173.95,176.02,184.74,159.81,145.16,152.61,155.69,162.93,171.69,179.89,185.03,198.03,212.92,245.13,262.57,271.83,278.44
1999-10-04 22:13:49+00:00,L7,277.35,,246.80,243.59,244.49,249.87,249.22,243.57,233.30,219.13,200.92,203.10,214.38,229.68,227.87,231.96,232.36,221.56,207.52,196.48,193.88,192.64,185.69,183.90,194.36,205.12,213.90,223.33,214.26,200.84,186.69,177.99,168.44,160.61,163.53,163.73,131.80,87.30,98.18,116.57,127.15,139.22,151.48,161.40,170.37,187.69,218.48,235.96,237.83,243.62
1999-11-05 22:13:40+00:00,L7,315.89,297.00,283.27,268.94,261.65,254.17,259.91,268.43,270.96,276.19,271.87,266.17,263.63,259.30,253.53,259.44,262.10,252.63,231.45,208.04,205.24,215.15,224.27,231.67,229.63,223.75,232.39,255.08,253.01,222.32,202.98,192.12,192.18,197.56,195.23,187.01,167.46,167.55,161.73,156.37,157.45,163.94,169.68,176.00,185.34,204.47,239.71,256.24,258.08,263.82
1999-12-07 22:13:41+00:00,L7,343.36,327.37,321.16,294.51,282.22,266.13,258.45,257.53,273.69,298.36,310.84,308.90,281.19,261.65,262.90,270.32,282.74,278.99,259.02,231.65,224.14,239.03,254.07,254.14,231.31,239.43,259.18,276.45,274.71,243.43,219.76,223.23,232.40,226.72,229.36,246.63,,176.72,219.61,209.10,209.20,201.26,186.21,203.98,212.31,237.11,260.74,298.51,292.82,291.40
2000-05-31 22:12:42+00:00,L7,303.80,291.13,281.23,268.77,270.98,267.58,259.69,251.55,252.26,249.43,247.59,243.93,246.21,252.75,257.64,269.99,257.89,244.85,226.51,215.44,218.77,222.70,214.20,206.52,215.52,230.64,244.33,247.09,242.87,236.86,220.55,207.56,198.27,196.46,205.95,207.25,192.96,175.44,142.46,167.00,172.87,179.05,185.89,191.35,203.81,218.88,244.94,260.53,267.61,268.71
2000-09-04 22:11:34+00:00,L7,310.83,296.26,288.16,277.67,274.15,262.27,262.99,263.47,258.19,253.89,252.19,250.43,248.09,242.05,247.93,255.55,251.32,247.59,240.26,236.15,219.59,211.74,208.50,216.72,222.93,235.05,238.99,248.99,240.65,223.43,214.32,202.15,197.77,193.38,196.39,197.96,179.26,156.60,164.04,160.11,162.22,173.14,180.86,190.26,198.13,212.97,236.03,252.61,250.03,258.53
2000-09-20 22:11:14+00:00,L7,306.55,,276.28,268.15,265.39,265.99,260.56,252.16,248.86,249.56,249.18,241.14,238.25,236.35,235.64,243.31,256.08,248.20,225.35,213.95,218.55,217.23,215.02,214.43,218.74,228.04,239.41,248.41,240.87,219.51,207.87,200.20,191.86,191.12,196.13,201.41,177.55,158.40,155.41,158.71,160.01,169.42,176.96,185.62,197.90,210.87,236.72,253.64,251.53,258.39
2000-10-06 22:11:35+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,214.30,228.72,240.20,251.07,245.01,229.13,216.07,198.71,189.31,188.31,194.96,201.43,,148.78,159.78,162.90,162.45,172.23,182.84,199.19,207.73,224.77,247.76,261.12,256.01,270.28
2000-12-25 22:11:38+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.69,206.12,,191.66,179.54,184.76,208.07,208.92,243.11,247.78,247.56,269.02,271.39,297.82
2001-01-10 22:11:15+00:00,L7,343.57,339.12,337.64,313.68,308.28,287.64,294.96,291.89,297.78,304.50,302.48,308.86,283.98,272.37,264.79,288.28,,261.47,291.42,282.06,271.96,269.50,269.62,249.76,260.23,256.01,276.30,276.57,270.25,258.90,247.84,239.75,,290.52,,,264.90,206.62,,,,,,,251.71,272.12,,299.00,287.61,286.92
2001-02-11 22:11:12+00:00,L7,337.91,327.94,328.27,309.24,295.57,281.59,272.29,268.12,260.09,262.88,274.60,265.31,260.05,300.31,275.96,287.84,294.19,289.93,282.30,267.95,252.10,231.70,233.88,249.71,247.94,251.78,277.75,265.63,269.08,256.01,264.83,249.28,256.41,269.04,266.83,250.32,220.16,192.35,,215.08,221.57,230.69,239.57,247.86,248.35,247.66,263.18,282.48,281.53,276.87
2001-04-16 22:10:54+00:00,L7,320.56,,297.59,288.93,279.74,276.73,270.41,259.45,255.55,245.09,240.98,247.51,250.85,254.14,256.33,261.66,270.90,264.74,245.11,235.10,223.74,223.37,229.57,226.42,231.03,240.02,243.12,256.27,252.15,238.35,224.20,212.20,205.30,201.31,211.52,210.73,195.92,184.40,162.30,178.69,174.27,182.80,197.36,201.31,210.83,226.09,245.66,260.63,251.23,258.19
2001-07-05 22:10:09+00:00,L7,352.11,338.68,327.99,313.93,313.02,306.80,299.26,286.31,280.84,284.76,305.99,299.99,285.96,274.71,293.52,306.50,305.27,277.92,257.13,254.29,265.67,262.04,276.32,284.15,273.01,259.07,286.96,275.15,268.64,252.37,238.53,231.14,227.33,247.73,252.53,258.24,217.23,248.16,245.72,244.37,248.15,258.17,260.19,253.39,237.29,255.20,268.93,314.40,306.81,305.30
2001-11-26 22:09:21+00:00,L7,347.59,325.41,298.86,272.57,273.36,287.31,300.21,289.17,266.46,262.26,266.82,271.97,254.30,246.31,256.40,270.02,281.84,279.62,263.84,248.25,247.13,248.28,238.92,226.11,218.87,235.67,256.44,259.08,266.80,255.29,245.46,230.55,219.49,213.83,212.34,210.01,185.17,167.34,178.29,178.15,176.08,184.57,198.30,202.79,214.48,226.61,252.35,266.29,263.80,264.30
2002-05-21 22:09:29+00:00,L7,288.76,276.12,270.60,271.05,268.23,265.65,258.51,243.27,237.76,229.18,230.67,235.30,235.64,228.82,231.76,233.37,233.65,228.69,217.13,213.62,208.40,202.18,206.19,207.42,207.35,210.51,216.83,232.55,234.28,219.80,209.74,201.51,189.20,186.55,181.19,186.80,160.44,105.31,127.98,139.77,151.09,165.93,177.11,183.63,198.02,210.04,234.69,250.96,252.77,260.92
2002-08-25 22:08:48+00:00,L7,299.26,277.87,,239.68,243.25,237.89,245.12,248.60,231.80,237.78,227.22,209.02,214.74,213.66,224.67,241.40,259.03,256.54,242.96,237.56,234.46,229.39,223.61,231.54,247.72,265.28,254.64,272.40,269.22,258.98,239.52,227.72,223.13,211.33,226.45,233.58,203.33,188.41,199.29,203.11,201.36,222.41,225.03,231.49,242.98,251.89,273.50,288.67,303.22,294.25
2003-03-21 22:09:27+00:00,L7,366.54,343.43,308.50,300.05,305.26,307.51,305.73,307.48,305.48,306.25,310.81,314.12,322.75,328.10,321.57,331.90,359.43,355.43,324.31,303.96,289.87,277.64,275.57,,317.87,318.88,323.82,320.41,308.91,317.26,307.92,299.73,298.18,298.78,297.74,293.53,273.09,266.39,,226.34,244.91,252.35,256.31,253.03,246.69,265.01,270.96,309.81,301.35,295.69
2003-05-24 22:09:28+00:00,L7,313.35,310.69,291.86,283.23,266.93,247.69,219.54,206.67,218.58,231.54,237.51,242.99,249.58,248.88,258.87,267.89,276.22,272.01,247.85,228.18,218.49,206.78,211.49,223.92,234.46,241.14,247.61,257.17,247.66,219.89,215.87,208.69,201.92,206.75,200.24,211.30,187.27,164.38,173.20,175.66,177.05,189.10,188.88,202.32,206.64,225.42,239.50,258.68,254.62,266.31
2003-08-12 22:09:11+00:00,L7,290.53,321.88,351.12,,264.72,255.07,238.70,237.85,243.39,245.92,261.41,280.28,293.92,291.64,302.80,310.61,324.80,258.60,244.15,238.27,253.95,253.45,219.50,213.83,227.35,232.24,240.28,,,121.49,,,,,,,,,,,,,,,,275.01,296.40,314.97,301.29,285.62
