dates,nzd0557-0000,nzd0557-0001,nzd0557-0002,nzd0557-0003,nzd0557-0004,nzd0557-0005,nzd0557-0006,nzd0557-0007,nzd0557-0008,nzd0557-0009,nzd0557-0010,nzd0557-0011,nzd0557-0012,nzd0557-0013,nzd0557-0014,nzd0557-0015,nzd0557-0016,nzd0557-0017,nzd0557-0018,nzd0557-0019,nzd0557-0020,nzd0557-0021,nzd0557-0022,nzd0557-0023,nzd0557-0024,nzd0557-0025,nzd0557-0026,nzd0557-0027,nzd0557-0028,nzd0557-0029,nzd0557-0030,nzd0557-0031,nzd0557-0032,nzd0557-0033,nzd0557-0034,nzd0557-0035,nzd0557-0036,nzd0557-0037,nzd0557-0038,nzd0557-0039,nzd0557-0040,nzd0557-0041,nzd0557-0042,nzd0557-0043,nzd0557-0044,nzd0557-0045,nzd0557-0046,nzd0557-0047,nzd0557-0048,nzd0557-0049,satname
1999-08-17 22:13:37+00:00,,,,,,,,,,,,,,,,,,,,,,212.63,209.13,213.03,217.08,221.53,225.87,250.08,235.05,215.66,203.67,191.47,182.54,178.52,180.02,187.94,164.38,153.16,157.18,159.69,166.93,176.26,183.45,188.59,200.49,215.59,247.59,266.13,277.16,282.44,L7
1999-10-04 22:13:49+00:00,300.85,,257.86,259.26,257.92,266.96,263.68,257.00,248.97,,,,230.05,253.18,248.76,250.76,253.25,238.65,223.19,215.28,209.55,211.18,205.25,207.87,214.26,221.16,227.72,244.54,235.10,216.08,203.72,196.48,188.92,183.00,183.53,185.24,161.52,143.73,141.11,149.88,158.79,171.17,177.91,185.44,192.66,209.48,240.26,261.49,273.16,274.78,L7
1999-11-05 22:13:40+00:00,309.87,300.00,271.27,265.10,260.64,261.65,262.72,263.57,260.96,278.19,274.05,268.35,247.84,257.74,252.48,256.30,259.01,246.73,228.32,212.86,208.40,213.23,212.25,216.60,220.11,222.69,229.94,248.72,241.96,218.83,204.20,196.03,191.15,188.99,188.43,186.63,164.64,153.67,141.11,153.04,159.34,169.90,176.06,183.18,190.84,208.47,240.70,260.63,269.47,272.13,L7
1999-12-07 22:13:41+00:00,316.03,306.19,285.55,271.57,264.98,259.51,258.22,258.70,261.87,283.27,286.99,283.17,255.62,254.04,251.51,256.97,262.48,253.85,235.22,215.12,210.31,216.95,220.21,222.98,220.19,224.38,234.75,253.15,246.81,222.48,205.37,199.08,197.18,194.14,194.91,198.63,164.64,151.93,141.11,163.31,168.06,173.46,175.26,185.05,193.90,213.13,243.40,266.77,270.31,273.19,L7
2000-05-31 22:12:42+00:00,317.21,302.88,298.20,277.39,272.96,262.22,255.15,250.90,258.73,269.64,274.58,271.78,259.45,250.82,254.60,265.06,264.65,257.28,238.51,218.44,217.20,226.23,229.88,225.23,218.78,230.78,247.50,257.52,253.12,235.90,215.52,209.02,208.05,204.31,211.28,221.84,195.53,163.33,145.03,181.68,184.66,182.87,180.38,192.00,204.13,223.75,248.91,273.86,271.72,273.68,L7
2000-09-04 22:11:34+00:00,311.81,298.19,286.81,276.22,275.14,268.20,264.11,260.08,258.23,254.66,253.16,250.45,250.15,251.90,256.78,266.37,258.61,249.50,236.38,229.40,222.18,220.50,214.35,215.22,222.50,235.84,244.66,251.04,245.76,233.15,220.71,209.36,203.16,200.06,205.67,206.21,191.25,175.02,158.39,168.06,172.05,181.24,187.38,194.81,203.74,218.93,243.25,260.57,264.82,268.12,L7
2000-09-20 22:11:14+00:00,313.64,298.19,284.99,275.92,273.94,270.07,265.13,259.49,257.49,255.35,254.44,249.96,248.57,250.30,252.92,261.55,260.95,251.67,235.10,227.11,223.36,222.01,216.96,217.82,223.85,235.63,245.30,252.55,247.32,230.99,219.04,209.89,203.49,201.18,206.07,207.47,190.78,176.65,161.49,168.52,171.62,181.39,187.09,194.93,204.00,218.63,243.28,261.45,265.17,268.46,L7
2000-10-06 22:11:35+00:00,313.64,298.19,284.99,275.92,273.94,270.07,265.13,259.49,257.49,255.35,254.44,249.96,248.57,250.30,252.92,261.55,260.95,251.67,235.10,227.11,223.36,222.01,216.96,217.82,224.69,236.86,246.98,255.14,250.69,233.48,221.52,211.53,205.02,203.03,207.73,209.51,190.78,178.56,166.14,171.56,173.76,184.18,189.97,199.94,207.66,223.12,247.13,265.31,268.80,273.35,L7
2000-12-25 22:11:38+00:00,317.44,303.01,286.34,278.75,274.77,270.50,267.16,262.81,259.36,257.56,257.05,252.15,249.00,247.95,249.56,256.43,261.48,254.26,238.64,232.05,224.91,220.85,217.59,222.58,227.20,238.44,247.37,257.32,252.62,231.86,221.30,212.10,206.41,204.37,207.58,209.67,198.93,176.47,173.17,172.84,170.56,180.03,191.19,200.00,214.49,227.10,244.79,263.10,263.24,275.75,L7
2001-01-10 22:11:15+00:00,316.32,306.31,298.81,283.83,280.32,269.06,270.38,266.89,265.61,266.65,265.04,263.90,254.11,246.26,245.90,259.18,261.48,249.51,249.68,240.85,234.03,229.92,228.38,223.77,230.10,237.91,249.68,257.22,250.47,233.70,222.57,211.64,206.41,217.48,207.58,209.67,207.00,170.70,173.17,172.84,170.56,180.03,191.19,200.00,218.30,232.17,244.79,265.04,260.25,272.09,L7
2001-02-11 22:11:12+00:00,316.34,306.36,303.65,286.60,281.06,268.28,267.55,264.12,260.65,262.12,263.52,260.35,252.01,254.40,248.64,262.04,266.01,255.71,254.25,243.33,234.97,226.45,226.17,225.95,230.54,237.82,252.43,256.03,250.37,235.30,227.90,214.87,212.77,222.88,217.02,215.53,204.71,167.14,173.17,176.99,176.46,185.25,197.04,205.75,221.10,232.36,245.82,264.76,259.02,269.30,L7
2001-04-16 22:10:54+00:00,321.76,308.03,315.40,295.78,287.53,273.08,271.68,266.15,262.97,262.66,263.78,264.98,256.79,263.36,254.81,269.46,279.32,263.14,264.78,251.90,241.10,232.61,236.19,232.16,237.49,241.10,257.56,257.99,252.94,242.92,236.71,221.49,226.72,239.63,235.55,227.62,214.74,170.37,178.59,186.98,183.63,190.09,207.74,212.11,230.19,239.41,247.11,265.78,254.94,266.45,L7
