dates,satname,nzd0573-0000,nzd0573-0001,nzd0573-0002,nzd0573-0003,nzd0573-0004,nzd0573-0005,nzd0573-0006,nzd0573-0007,nzd0573-0008,nzd0573-0009,nzd0573-0010,nzd0573-0011,nzd0573-0012,nzd0573-0013,nzd0573-0014,nzd0573-0015,nzd0573-0016,nzd0573-0017,nzd0573-0018,nzd0573-0019,nzd0573-0020,nzd0573-0021,nzd0573-0022,nzd0573-0023,nzd0573-0024
1999-07-02 21:59:57+00:00,L7,225.74,218.51,227.65,222.73,220.29,,,,,,230.95,230.75,,228.73,229.71,233.36,237.94,243.62,226.45,223.63,218.89,213.48,224.83,238.32,240.90
1999-07-25 22:06:15+00:00,L7,230.95,225.11,229.23,225.89,229.32,228.38,236.95,232.41,,,230.72,231.29,,233.48,233.41,243.45,243.39,246.09,233.76,227.71,220.40,211.34,219.72,231.70,236.05
1999-08-26 22:06:20+00:00,L7,227.48,216.71,223.00,219.27,221.24,220.29,229.57,229.23,225.13,226.32,218.60,218.99,216.89,224.23,226.00,232.84,237.49,236.11,224.77,218.87,219.55,216.19,223.86,238.23,241.39
1999-09-20 22:00:08+00:00,L7,234.03,232.16,230.36,226.64,230.81,230.35,237.40,231.23,231.49,229.54,232.26,227.01,226.33,231.80,236.76,235.08,240.72,242.28,236.67,229.31,223.27,220.21,233.61,247.31,247.48
1999-09-27 22:06:00+00:00,L7,213.53,208.75,213.93,209.67,210.31,211.52,219.82,216.09,217.29,215.60,212.92,212.80,206.22,216.29,213.22,224.76,221.07,225.40,213.91,208.92,205.16,196.48,209.39,222.39,225.53
1999-10-22 22:00:04+00:00,L7,,,,211.97,212.18,212.22,,,,,,210.71,209.43,216.55,214.29,225.26,224.15,228.53,212.36,211.46,206.97,199.61,210.84,223.66,226.60
1999-11-07 22:00:08+00:00,L7,,,,,,,218.98,221.26,217.75,217.58,223.96,212.43,208.99,216.18,219.50,222.70,227.84,229.58,216.47,214.06,208.11,199.52,213.32,222.27,227.92
1999-11-14 22:05:54+00:00,L7,226.50,222.86,226.46,220.72,223.06,224.59,228.10,227.06,223.85,223.75,221.69,216.15,217.50,222.09,225.96,227.23,233.03,233.77,227.28,222.45,217.48,217.34,226.54,373.23,370.36
1999-12-09 22:00:09+00:00,L7,219.49,216.23,219.65,215.50,212.60,215.25,223.28,221.76,218.76,220.55,214.71,213.83,213.34,221.45,221.05,225.75,230.49,232.53,221.29,214.76,212.23,210.49,213.34,226.00,231.86
1999-12-16 22:05:57+00:00,L7,239.69,234.96,236.41,231.06,232.27,237.43,,231.11,231.59,232.86,246.70,228.53,231.58,241.92,237.46,235.52,236.07,243.60,238.13,231.88,229.52,376.37,400.46,433.15,432.90
