dates,nzd0415-0000,nzd0415-0001,nzd0415-0002,nzd0415-0003,nzd0415-0004,nzd0415-0005,nzd0415-0006,nzd0415-0007,nzd0415-0008,nzd0415-0009,nzd0415-0010,nzd0415-0011,nzd0415-0012,nzd0415-0013,nzd0415-0014,nzd0415-0015,nzd0415-0016,nzd0415-0017,nzd0415-0018,nzd0415-0019,nzd0415-0020,nzd0415-0021,nzd0415-0022,nzd0415-0023,nzd0415-0024,nzd0415-0025,nzd0415-0026,nzd0415-0027,nzd0415-0028,nzd0415-0029,nzd0415-0030,nzd0415-0031,nzd0415-0032,nzd0415-0033,nzd0415-0034,nzd0415-0035,nzd0415-0036,nzd0415-0037,nzd0415-0038,nzd0415-0039,nzd0415-0040,nzd0415-0041,nzd0415-0042,nzd0415-0043,nzd0415-0044,nzd0415-0045,nzd0415-0046,nzd0415-0047,nzd0415-0048,nzd0415-0049,nzd0415-0050,nzd0415-0051,nzd0415-0052,nzd0415-0053,nzd0415-0054,nzd0415-0055,nzd0415-0056,nzd0415-0057,nzd0415-0058,nzd0415-0059,nzd0415-0060,nzd0415-0061,nzd0415-0062,nzd0415-0063,nzd0415-0064,nzd0415-0065,nzd0415-0066,nzd0415-0067,nzd0415-0068,nzd0415-0069,nzd0415-0070,nzd0415-0071,nzd0415-0072,nzd0415-0073,nzd0415-0074,nzd0415-0075,nzd0415-0076,nzd0415-0077,nzd0415-0078,nzd0415-0079,nzd0415-0080,nzd0415-0081,nzd0415-0082,nzd0415-0083,nzd0415-0084,nzd0415-0085,nzd0415-0086,nzd0415-0087,nzd0415-0088,nzd0415-0089,nzd0415-0090,nzd0415-0091,nzd0415-0092,nzd0415-0093,nzd0415-0094,nzd0415-0095,nzd0415-0096,nzd0415-0097,nzd0415-0098,nzd0415-0099,nzd0415-0100,nzd0415-0101,nzd0415-0102,nzd0415-0103,nzd0415-0104,nzd0415-0105,nzd0415-0106,nzd0415-0107,nzd0415-0108,nzd0415-0109,nzd0415-0110,nzd0415-0111,satname
1999-08-26 22:06:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.49,348.75,349.54,350.55,345.85,336.75,338.81,335.93,338.34,348.24,343.84,327.57,343.09,343.12,337.32,324.50,330.37,331.49,333.98,336.75,329.66,336.98,334.64,331.64,332.79,330.44,333.20,330.90,325.46,326.08,328.06,319.46,321.25,325.15,331.33,328.01,332.61,331.05,339.46,342.24,348.10,355.40,354.13,355.97,351.71,349.73,350.56,351.75,351.50,347.61,353.67,348.78,348.38,335.28,336.29,332.31,334.73,336.73,336.82,337.00,344.32,341.70,341.40,341.56,343.58,347.74,348.61,335.41,350.80,L7
1999-09-04 22:00:33+00:00,,350.81,347.26,342.14,334.70,347.75,344.58,350.34,349.62,346.26,349.39,355.82,355.96,342.58,352.32,355.73,351.25,349.34,346.72,351.45,354.81,353.12,355.00,355.02,358.56,353.85,356.82,351.10,357.51,358.87,362.66,366.79,358.42,356.31,360.57,361.85,361.55,362.30,359.70,360.38,355.33,357.79,353.81,360.31,361.72,369.86,362.85,358.26,347.46,360.17,364.00,361.77,364.20,360.10,351.19,356.24,349.93,348.38,345.32,347.89,353.99,351.45,355.08,353.82,352.65,355.50,346.04,350.33,345.68,354.53,348.94,343.89,342.76,342.18,336.69,345.08,339.58,345.11,350.49,350.76,350.96,354.33,356.66,354.95,361.87,365.69,362.32,359.89,358.72,365.79,364.37,366.72,361.00,361.37,364.44,357.56,354.32,354.11,354.74,350.55,351.88,346.74,351.37,346.55,350.53,353.12,350.58,355.02,355.42,361.15,340.74,351.66,L7
1999-09-27 22:06:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.34,332.59,327.59,324.00,327.56,331.68,335.76,337.07,337.85,335.82,339.23,343.32,348.20,352.07,350.32,349.38,351.72,345.74,350.04,353.19,356.72,352.63,354.79,353.28,345.47,339.76,342.60,337.97,341.40,339.91,334.73,340.38,340.83,343.68,341.34,341.46,342.51,341.11,340.39,331.94,345.39,L7
1999-10-13 22:06:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.65,332.35,338.87,336.51,346.58,349.49,,,,,,,,,,,,,,,338.72,329.64,335.82,340.71,344.13,338.35,339.76,336.74,337.71,338.89,,,L7
1999-10-22 22:00:28+00:00,354.48,355.05,345.61,344.81,343.74,346.02,341.51,347.37,350.71,353.08,346.08,354.60,360.73,356.24,353.89,355.30,354.02,351.48,351.95,355.13,358.91,355.06,360.25,357.04,357.21,359.42,355.45,355.25,352.92,358.44,361.99,361.06,354.27,355.92,358.66,359.78,364.43,364.67,370.26,368.25,365.56,367.80,359.00,360.27,360.77,364.10,365.44,357.85,355.17,356.76,362.20,361.40,360.82,361.00,346.67,348.21,351.51,346.22,346.60,349.85,354.09,354.82,359.21,355.12,355.12,354.33,355.01,352.88,356.46,357.02,364.00,353.46,350.72,348.31,339.75,345.44,343.21,349.57,348.09,354.93,353.95,358.70,358.04,364.82,369.12,366.33,365.02,360.14,362.50,359.79,364.30,364.38,362.81,365.42,361.54,359.43,351.84,352.05,345.76,350.08,350.80,346.47,346.70,358.52,354.27,352.69,347.60,348.14,348.56,350.22,339.96,,L7
1999-11-30 22:06:35+00:00,348.24,342.32,342.89,346.19,348.99,347.56,346.34,348.62,351.79,351.71,358.30,356.46,348.27,341.79,344.40,347.85,348.80,345.81,342.88,346.11,345.56,352.19,347.87,353.88,352.10,350.85,350.76,348.19,355.24,356.90,354.33,356.77,347.87,351.77,358.40,360.54,356.52,357.73,361.26,355.55,354.15,356.31,357.72,358.04,362.60,365.29,354.72,357.47,357.27,356.91,357.35,349.42,352.98,349.54,353.12,350.73,349.26,341.02,344.56,352.57,354.06,351.28,353.99,349.91,347.39,346.04,339.65,341.83,345.11,347.38,348.89,340.59,334.28,329.53,331.38,333.28,334.02,338.88,345.71,343.72,345.84,342.64,347.80,348.48,353.12,358.47,355.75,357.01,363.98,365.52,364.32,367.22,364.96,350.14,343.29,350.41,348.78,350.08,350.47,340.83,341.70,334.26,343.57,344.81,350.52,339.09,346.31,347.95,349.10,348.30,334.80,353.81,L7
1999-12-16 22:06:45+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.63,333.43,336.72,328.04,341.92,L7
1999-12-25 22:00:28+00:00,349.70,349.07,346.24,345.39,345.98,346.69,347.05,347.93,348.66,347.33,359.21,355.81,350.60,350.12,351.15,349.48,348.49,344.89,346.37,348.92,345.95,346.89,346.86,351.63,348.49,349.28,351.22,347.14,348.59,352.35,351.45,352.78,343.98,347.42,349.74,348.96,352.89,355.81,360.17,359.24,360.77,360.62,357.77,356.89,358.32,361.82,362.89,356.51,358.67,354.70,356.57,350.45,356.88,351.98,357.01,344.41,345.25,342.89,340.85,349.83,347.04,348.24,352.45,353.57,354.09,348.37,346.81,349.90,350.39,354.91,354.03,348.13,338.73,335.81,337.99,338.50,337.30,337.59,341.25,342.27,346.93,348.89,355.10,351.73,360.32,360.23,357.88,357.74,359.21,361.59,363.31,360.38,355.52,352.09,352.88,352.57,349.93,353.49,351.94,350.22,347.89,342.92,339.38,346.02,346.26,340.43,338.96,340.62,342.81,343.85,336.52,350.54,L7
2000-01-26 22:00:26+00:00,348.06,344.90,340.42,340.73,338.94,342.32,336.78,340.11,341.79,346.56,354.81,351.69,344.46,341.16,341.82,343.88,340.50,340.51,338.68,338.57,332.42,344.62,341.89,348.39,343.36,342.09,346.23,344.61,348.20,347.15,344.52,342.46,340.01,345.28,348.48,353.45,347.25,348.49,353.11,349.11,346.73,355.54,356.44,348.53,348.81,359.13,354.43,356.24,349.93,350.82,347.57,344.69,348.42,348.35,352.46,336.90,336.64,337.88,329.95,339.77,346.31,340.22,347.08,343.24,345.20,344.83,338.03,338.59,347.08,346.08,344.53,340.16,330.58,328.20,332.14,328.57,326.76,329.90,338.85,338.66,341.90,342.39,354.54,344.55,344.90,354.49,352.82,356.34,354.08,357.74,357.04,356.46,353.20,345.19,346.52,342.77,342.76,339.41,341.86,338.53,339.04,335.95,337.69,339.50,338.65,340.54,336.80,338.59,335.37,337.32,330.59,349.06,L7
2000-02-11 22:00:21+00:00,349.48,345.14,347.21,343.96,344.81,345.43,344.86,338.46,344.71,347.25,360.40,349.73,344.97,345.44,342.85,338.36,341.15,340.61,342.36,341.53,329.75,345.38,342.11,350.67,347.36,345.75,344.90,341.55,346.93,344.71,343.86,346.15,342.48,344.33,349.14,351.22,354.06,353.38,355.79,357.35,353.86,355.49,357.17,355.85,355.57,359.00,355.22,353.04,346.21,347.97,347.93,345.99,350.32,348.02,349.61,344.00,339.28,336.99,337.98,341.67,345.91,346.17,349.82,351.74,348.06,347.86,338.13,342.18,343.68,353.02,348.78,342.98,338.90,335.53,336.52,333.84,336.22,331.21,337.60,336.93,340.49,341.86,345.49,348.16,353.33,357.71,353.76,353.30,353.65,354.76,352.57,359.36,352.25,351.11,348.05,342.91,344.94,349.38,351.03,346.29,341.24,330.61,334.62,335.23,336.98,337.42,335.66,339.44,333.45,335.20,328.73,345.80,L7
