dates,satname,nzd0350-0000,nzd0350-0001,nzd0350-0002,nzd0350-0003,nzd0350-0004,nzd0350-0005,nzd0350-0006,nzd0350-0007,nzd0350-0008,nzd0350-0009,nzd0350-0010,nzd0350-0011,nzd0350-0012,nzd0350-0013,nzd0350-0014,nzd0350-0015,nzd0350-0016,nzd0350-0017
1999-08-03 22:00:08+00:00,L7,420.30,,,343.88,,,,,,,324.75,319.56,322.39,323.45,328.88,330.71,337.03,336.45
1999-08-28 21:53:59+00:00,L7,370.26,354.51,356.06,358.51,365.32,355.04,352.77,355.40,345.64,342.68,340.43,341.54,337.30,339.18,351.31,353.66,363.01,367.49
1999-09-29 21:54:04+00:00,L7,356.51,339.26,343.15,347.84,346.42,340.57,335.47,334.59,337.60,335.05,333.66,330.47,331.13,328.50,338.23,338.53,344.36,352.43
2000-01-26 22:00:02+00:00,L7,383.94,339.09,338.41,347.49,344.54,341.71,331.21,327.85,331.03,320.94,323.63,323.98,323.85,324.74,325.62,327.83,331.46,339.38
2000-02-27 21:59:52+00:00,L7,362.87,355.29,345.22,343.39,346.45,351.01,345.48,337.76,341.22,337.46,334.02,338.40,341.63,339.24,342.38,342.46,350.55,352.18
2000-03-14 21:59:47+00:00,L7,356.61,343.78,338.23,341.94,342.76,345.62,341.07,333.10,335.52,333.43,330.83,325.07,328.48,,,,,
2000-03-30 21:59:45+00:00,L7,414.86,362.62,355.49,354.12,350.58,354.89,349.81,348.73,348.58,344.45,346.01,349.88,348.50,350.48,353.84,355.91,358.16,360.62
2000-04-15 21:59:31+00:00,L7,429.51,369.51,364.89,363.40,367.76,361.51,361.15,355.62,354.15,346.59,352.28,351.74,359.05,356.80,363.62,361.15,363.47,362.63
2000-05-01 21:59:30+00:00,L7,414.43,362.45,356.01,358.56,354.21,355.80,354.40,355.19,353.98,350.95,348.32,350.16,352.74,356.04,358.35,359.44,360.99,367.87
2000-05-17 21:59:19+00:00,L7,365.39,356.96,346.23,352.82,350.78,353.48,348.99,348.29,344.97,343.87,346.30,347.30,349.54,350.95,355.71,357.92,362.02,360.79
2000-06-18 21:59:03+00:00,L7,352.17,338.90,328.28,332.12,336.61,332.20,331.81,327.58,332.56,335.73,338.12,334.19,330.80,327.69,335.70,341.18,345.73,344.95
2000-07-04 21:58:50+00:00,L7,351.12,344.33,337.24,339.67,344.01,333.13,341.16,333.92,340.94,337.40,337.32,333.24,329.49,327.66,329.24,332.68,337.82,339.71
2000-08-05 21:58:20+00:00,L7,384.19,329.49,328.33,331.20,331.55,323.73,329.39,324.23,328.51,327.70,329.15,323.40,320.55,321.90,330.76,333.26,331.64,335.83
2000-11-18 21:51:22+00:00,L7,337.85,317.02,319.78,326.62,325.79,323.45,322.00,313.82,308.91,308.75,304.36,298.32,302.84,294.12,305.30,306.75,317.22,318.11
