,dates,chi0308-0000,chi0308-0001,chi0308-0002,chi0308-0003,chi0308-0004,chi0308-0005,chi0308-0006,chi0308-0007,chi0308-0008,chi0308-0009,chi0308-0010,chi0308-0011,chi0308-0012,chi0308-0013,chi0308-0014,chi0308-0015,chi0308-0016,chi0308-0017,chi0308-0018,chi0308-0019,chi0308-0020,chi0308-0021,chi0308-0022,chi0308-0023,chi0308-0024,chi0308-0025,chi0308-0026,chi0308-0027,chi0308-0028,chi0308-0029,chi0308-0030,chi0308-0031,chi0308-0032
0,1985-01-25 14:04:03+00:00,183.12771253192565,192.44622585236849,211.44480363030488,206.4467829593926,191.69054924676692,183.61736432936627,196.0815128650284,192.9007810322992,200.91297653513072,203.19665251539638,,222.58941364646458,214.48245325093566,190.950981573317,174.97102194916036,216.81947259096495,238.04854943891306,,199.35438574182862,206.38688556316205,,211.9014902543987,226.37411136129924,222.79316359062082,212.74131219386092,202.39352901696066,193.8059311554777,190.8727920168709,198.39029938650478,193.8727217532324,187.12206596745597,215.32813824383717,209.08679450037832
1,1986-01-28 14:00:46+00:00,171.6501986818239,178.5401563227536,180.20016358135572,175.99567926035377,182.3481123751086,201.19714925450702,198.3655962481918,187.08812831508732,186.92844359097074,181.9577101834844,174.0561234492987,206.92415854455405,186.4150574395047,168.3233778795896,177.66048518302992,206.11884507540458,203.15833818009907,179.50168289097147,196.31415661472622,196.10738971443715,164.7298501503552,176.8197022274338,195.32499740603615,188.8944469249811,190.85203485496936,180.56665891070094,183.38913462247314,185.30477856115843,169.0121487064267,161.34251305897618,171.7239839926675,199.70576174333624,194.79212460975234
2,1986-02-04 14:06:47+00:00,199.56663744693785,200.59883401047054,201.2069015066431,187.66551254026015,181.38561236989682,197.43363646471147,209.47309639205076,200.1002625118012,196.58470336411847,181.2450561256607,175.92999575426546,214.6824256046636,199.39130800859795,174.00889352066875,196.2241646680981,220.5943311157545,205.13273070122162,183.52176197901434,196.40507461224405,192.00765839424037,167.31589174798054,184.90076199582177,210.18934137043203,198.22013690785934,208.19692407112123,196.0080735374607,200.96267003302938,195.88256144151995,187.32930915798082,169.19686030472104,173.6546071401295,207.53807016872173,202.8001691114463
3,1986-03-01 14:00:01+00:00,199.31335622233442,193.3837316250041,205.5652553050775,206.36026652707946,170.74425710083545,190.59812661020013,218.26495101637076,204.02281825403864,198.29702622252617,202.5344650904615,174.3677872014938,205.51836529672948,185.91763011998069,166.70653266184272,209.72078212088422,228.57660384965288,225.95819537787077,199.61266286175913,182.77934756206372,204.0345445347869,164.22475744608414,188.61956931971503,202.78188807576925,199.95229311973463,200.94489956539957,195.64724798190142,191.42105537527075,194.49321917096663,182.5825548235119,168.53476203430372,174.6135201254075,210.6812045580905,201.91725035135474
4,1986-04-02 13:59:23+00:00,211.56984901386875,200.5915025679218,210.72917059189203,221.24339585544368,198.52618346349607,167.80213802627418,182.67620325634766,209.87719760118182,203.33872917634133,193.95053938636374,187.57721032649778,207.70156417993718,178.91389543218543,167.7866933310719,198.36822457346383,233.5934990939082,221.79723292235485,201.10015707284543,179.1528764968855,200.08630319577898,201.59890192062937,186.47033653485954,175.85203082312964,197.74644585201082,208.01956488826949,203.42731389952948,210.06522731497319,207.1110872338354,192.1421509931805,182.4060032455832,176.07628162720923,213.68284958025973,214.28960063042655
5,1986-05-04 13:58:38+00:00,,,,,,,,,,,102.65896666964578,111.2670978364977,119.89947663279565,147.57667011742132,167.68014382721506,201.22381459651598,200.27949704910472,195.28547348064205,183.05269720158134,165.72320432271698,171.48156511945356,176.29138668429013,180.076200517889,178.89999230512964,175.27750786637083,,155.93149480139203,162.87660649470268,149.96140187709426,141.76476677684695,,200.30641211554723,193.8875453159203
6,1986-06-05 13:57:43+00:00,,,,,,,,,,,99.64112959476162,113.26265046752737,128.94860258287972,160.2997985404125,,196.36578480427912,197.77969612588672,189.1782852315665,182.42076719385918,,165.60039720937658,174.9327166859826,180.6770925697724,181.73638724810914,180.0340828030262,,146.93149487970467,147.24478357569785,144.40692547718004,138.51571189630297,,,
7,1986-07-30 14:02:04+00:00,,,,,,,,,,,61.09597110496264,87.63961685353149,98.07018985520445,169.4744799566694,156.9262032566747,197.44425421609716,185.4064175455085,193.14948295318987,176.2082468729917,,173.16743755185905,188.92947941279255,214.91661299696707,199.03785802154528,184.77589327054625,181.2844944473213,166.2925602721115,162.32231167406903,152.66876539488868,149.12913854372096,,,
8,1986-08-31 14:00:29+00:00,181.63960884099788,,,,,,,,,,117.50949947827479,122.1160578020055,127.18804568967722,165.59336356219995,170.77329282629447,198.381016615257,200.86382472633736,190.50333505211282,188.8377301666539,195.78216848980196,183.78983377208232,193.4814598621677,200.1423829287035,191.10172402491594,188.49302317507446,179.62304618873495,176.1499013963351,159.9138379493869,150.55604332194542,159.26783679901007,160.9497544986511,208.49900241245066,197.97375531979446
9,1986-10-11 13:53:23+00:00,185.0107341166659,178.34310666581894,171.0508633742113,174.32188818969396,173.0476819094428,180.46441297279375,181.00040338006315,164.9430262541894,173.7168750649568,170.80537728877343,173.44370882627388,,178.18249371754243,167.75097712038658,193.87237573223982,191.26752323507222,187.3493986129704,198.23278548613152,170.53276001934321,195.92243146979126,191.5291942319169,203.68874606071333,202.3617576532478,190.88742767351923,189.44019174666053,179.9053524454978,172.98288790725562,169.3287934037853,156.48075255812338,161.5430680969327,166.26438767935846,202.25060460593386,194.6491863226379
