dates,satname,nzd0580-0000,nzd0580-0001,nzd0580-0002,nzd0580-0003,nzd0580-0004,nzd0580-0005,nzd0580-0006,nzd0580-0007,nzd0580-0008,nzd0580-0009
2003-04-15 22:02:33+00:00,L7,633.93,629.30,287.09,190.21,203.68,271.45,278.00,303.51,739.16,771.61
2003-05-10 21:56:22+00:00,L7,640.27,654.08,171.86,174.93,172.57,200.18,165.37,187.89,782.97,773.30
2003-07-20 22:02:20+00:00,L7,,87.38,157.51,143.39,119.67,182.72,87.01,172.69,768.94,
2003-07-21 21:44:09+00:00,L5,743.21,793.65,,,,130.21,93.10,168.92,211.13,222.60
2003-08-22 21:44:43+00:00,L5,716.78,655.23,169.73,176.83,182.59,214.27,162.89,210.61,682.29,780.72
2003-08-30 21:55:58+00:00,L7,644.23,658.36,179.66,187.84,211.79,210.52,169.64,199.83,690.57,772.48
2003-09-14 21:51:18+00:00,L5,703.66,664.62,184.90,182.33,193.17,213.37,168.54,187.66,662.81,793.08
2003-10-16 21:51:43+00:00,L5,703.36,675.38,208.36,197.22,189.98,212.05,168.98,183.98,644.19,792.22
2003-10-17 21:55:51+00:00,L7,652.45,664.46,208.14,212.82,192.41,216.07,177.49,195.15,652.03,768.06
2003-11-18 21:56:15+00:00,L7,652.44,668.38,225.57,216.41,219.75,224.94,186.54,198.15,652.81,768.11
2003-12-03 21:52:19+00:00,L5,657.48,669.75,218.37,217.13,207.59,224.51,186.27,197.33,650.20,790.85
2003-12-11 22:02:33+00:00,L7,659.82,670.99,229.79,229.40,222.02,239.04,199.66,206.28,628.03,648.14
2003-12-12 21:46:09+00:00,L5,213.33,208.53,221.00,209.33,205.12,,,,649.81,790.53
2003-12-20 21:56:28+00:00,L7,644.55,661.05,226.83,221.22,225.02,234.69,202.97,218.80,645.64,767.59
2003-12-27 22:02:42+00:00,L7,217.17,212.96,223.92,216.03,200.48,218.20,171.83,180.36,647.89,768.31
2004-02-13 22:02:55+00:00,L7,680.33,678.44,212.39,203.94,199.00,215.74,166.91,179.03,649.37,768.79
2004-03-25 21:56:54+00:00,L7,643.81,662.90,183.40,184.37,200.86,215.39,172.89,188.94,660.76,769.55
2004-04-01 22:03:04+00:00,L7,650.35,667.02,182.57,182.42,197.73,215.85,172.57,202.83,652.84,772.34
2004-04-02 21:46:54+00:00,L5,645.71,644.84,189.77,186.57,198.34,222.80,218.28,254.84,652.67,793.96
2004-04-10 21:56:50+00:00,L7,,,,,,,,,,
2004-04-25 21:53:47+00:00,L5,643.79,529.70,343.24,324.19,297.82,417.35,333.72,415.79,461.88,759.26
2004-05-03 22:02:59+00:00,L7,637.58,652.91,,201.79,210.36,212.36,162.37,270.78,741.64,772.71
2004-05-04 21:47:51+00:00,L5,642.12,641.96,159.89,199.07,178.37,216.86,170.14,278.26,804.01,767.80
2004-05-19 22:02:59+00:00,L7,,164.43,92.91,124.50,257.21,,,,782.59,
2004-05-20 21:48:20+00:00,L5,812.19,647.29,138.25,167.74,154.30,195.55,157.86,226.81,804.56,218.45
2004-05-28 21:56:46+00:00,L7,,647.51,163.63,161.58,129.25,197.96,147.94,175.19,208.56,212.81
2004-06-05 21:48:48+00:00,L5,781.85,792.06,,,,,133.44,177.68,212.99,221.88
2004-06-12 21:55:11+00:00,L5,744.01,811.49,139.19,163.22,,,80.14,192.85,807.67,216.79
2004-06-13 21:56:39+00:00,L7,,,141.25,160.73,99.28,213.16,152.05,244.87,238.40,
2004-06-20 22:02:49+00:00,L7,636.01,660.21,195.79,175.23,156.47,194.69,151.49,176.92,725.19,739.47
2004-07-07 21:49:44+00:00,L5,802.37,643.50,,,,,132.49,172.34,214.17,218.05
2004-07-14 21:56:06+00:00,L5,782.02,639.85,,,,,82.79,218.38,227.54,219.11
2004-07-15 21:56:35+00:00,L7,625.58,773.56,169.06,168.59,111.17,197.70,127.55,285.41,242.45,228.96
2004-07-22 22:02:44+00:00,L7,632.41,653.33,,,,200.96,158.05,175.27,208.29,207.76
2004-07-30 21:56:27+00:00,L5,623.92,602.08,160.30,191.85,105.60,194.43,149.93,346.56,805.85,261.30
2004-08-07 22:02:36+00:00,L7,170.05,160.70,170.08,189.25,191.78,199.83,146.43,164.71,763.42,758.00
