dates,nzd0014-0000,nzd0014-0001,satname
1999-08-17 22:10:26+00:00,373.35,,L7
1999-10-04 22:10:38+00:00,379.19,,L7
2000-03-28 22:10:07+00:00,372.61,,L7
2000-05-15 22:09:42+00:00,384.96,,L7
2000-08-03 22:08:44+00:00,369.70,,L7
2000-09-20 22:08:03+00:00,374.42,,L7
2000-10-06 22:07:59+00:00,375.36,,L7
2000-10-22 22:07:50+00:00,380.24,,L7
2001-01-26 22:08:07+00:00,379.28,476.50,L7
2001-02-27 22:07:54+00:00,374.06,452.40,L7
2001-05-18 22:07:26+00:00,357.09,,L7
2001-09-07 22:06:11+00:00,369.20,476.36,L7
2001-09-23 22:06:03+00:00,376.81,,L7
2001-11-26 22:06:09+00:00,361.33,,L7
2001-12-12 22:06:14+00:00,357.38,,L7
2001-12-28 22:06:14+00:00,359.66,,L7
2002-02-14 22:06:29+00:00,360.54,454.39,L7
2002-03-18 22:06:22+00:00,381.64,457.80,L7
2002-07-24 22:05:50+00:00,377.45,417.89,L7
2002-12-31 22:05:56+00:00,363.55,,L7
2003-10-31 22:06:00+00:00,374.08,389.48,L7
2004-02-04 22:06:41+00:00,,407.42,L7
2004-03-07 22:06:48+00:00,375.46,463.22,L7
2004-03-23 22:06:52+00:00,385.40,483.09,L7
2004-04-08 22:06:49+00:00,381.97,490.19,L7
2004-05-18 21:58:14+00:00,376.18,,L5
2004-07-13 22:06:34+00:00,371.67,,L7
2004-08-30 22:06:20+00:00,378.43,434.25,L7
2004-11-02 22:06:28+00:00,349.38,409.52,L7
2004-11-18 22:06:34+00:00,375.99,424.68,L7
2004-12-04 22:06:44+00:00,356.95,,L7
2005-01-13 22:03:41+00:00,388.30,,L5
2005-02-06 22:07:07+00:00,369.32,,L7
2005-02-14 22:04:09+00:00,371.77,417.49,L5
2005-04-03 22:04:40+00:00,387.52,,L5
2005-04-19 22:04:43+00:00,382.31,,L5
2005-06-06 22:05:05+00:00,382.94,403.77,L5
2005-06-30 22:06:59+00:00,367.62,,L7
2005-07-24 22:05:27+00:00,386.80,,L5
2005-08-01 22:06:59+00:00,386.14,,L7
2005-09-02 22:06:46+00:00,372.90,380.37,L7
2005-09-18 22:06:39+00:00,366.15,,L7
2005-09-26 22:05:42+00:00,386.47,,L5
2006-02-01 22:07:49+00:00,350.93,,L5
2006-02-09 22:07:38+00:00,373.75,364.21,L7
2006-02-17 22:08:11+00:00,370.11,,L5
2006-04-14 22:07:36+00:00,367.86,,L7
2006-05-08 22:09:38+00:00,381.94,336.51,L5
2006-06-17 22:07:34+00:00,,401.64,L7
2006-06-25 22:10:20+00:00,380.17,436.06,L5
2006-07-19 22:07:20+00:00,370.17,,L7
2006-07-27 22:10:47+00:00,389.56,456.39,L5
2006-08-12 22:10:59+00:00,387.43,486.84,L5
2006-11-24 22:07:37+00:00,368.31,446.63,L7
2006-12-10 22:07:44+00:00,379.03,427.08,L7
2007-02-12 22:08:00+00:00,359.52,,L7
2007-05-03 22:08:02+00:00,382.91,442.80,L7
2007-07-22 22:07:45+00:00,372.97,,L7
2007-10-02 22:10:31+00:00,369.57,412.45,L5
2007-10-10 22:07:19+00:00,373.22,407.64,L7
2007-11-27 22:07:48+00:00,366.02,,L7
2007-12-29 22:07:56+00:00,358.16,419.04,L7
2008-06-22 22:07:15+00:00,,444.11,L7
2008-08-25 22:06:40+00:00,373.86,,L7
2008-09-26 22:06:23+00:00,370.18,,L7
2008-11-13 22:06:43+00:00,,421.73,L7
2008-11-21 22:01:05+00:00,358.22,,L5
2008-12-15 22:07:05+00:00,364.05,,L7
2009-01-24 22:02:55+00:00,375.93,410.51,L5
2009-03-21 22:07:47+00:00,376.49,,L7
2009-05-08 22:08:01+00:00,375.37,,L7
2009-06-09 22:08:01+00:00,,433.50,L7
2009-09-29 22:07:43+00:00,363.60,,L7
2009-10-15 22:07:44+00:00,351.49,,L7
2010-01-27 22:08:26+00:00,376.66,,L5
2010-02-12 22:08:30+00:00,377.35,406.22,L5
2010-03-24 22:09:46+00:00,372.87,,L7
2010-05-27 22:09:43+00:00,,396.25,L7
2010-06-12 22:09:43+00:00,376.54,,L7
2010-10-02 22:09:49+00:00,398.16,,L7
2010-11-03 22:10:09+00:00,347.93,,L7
2010-12-05 22:10:32+00:00,377.32,426.42,L7
2011-01-14 22:07:31+00:00,364.85,,L5
2011-02-07 22:11:00+00:00,363.83,448.32,L7
2011-02-15 22:07:34+00:00,371.42,,L5
2011-02-23 22:11:05+00:00,362.79,422.66,L7
2011-03-11 22:11:09+00:00,365.57,419.23,L7
2011-05-30 22:11:11+00:00,372.17,,L7
2011-07-17 22:11:06+00:00,385.10,,L7
2011-09-11 22:06:09+00:00,374.79,390.58,L5
2011-09-19 22:10:52+00:00,378.78,404.70,L7
2011-10-21 22:10:56+00:00,367.49,,L7
2012-02-10 22:11:42+00:00,363.34,,L7
2012-03-13 22:11:42+00:00,358.35,421.53,L7
2012-10-23 22:13:24+00:00,368.35,,L7
2012-12-10 22:13:38+00:00,364.96,,L7
2013-01-11 22:13:44+00:00,368.16,428.75,L7
2013-05-03 22:13:30+00:00,361.15,,L7
2013-05-11 22:19:31+00:00,,457.40,L8
2013-06-20 22:13:13+00:00,380.51,,L7
2013-06-28 22:19:33+00:00,377.20,431.10,L8
2013-07-06 22:13:02+00:00,374.49,,L7
2013-07-14 22:19:34+00:00,378.64,429.71,L8
2013-08-31 22:19:38+00:00,365.80,,L8
2013-09-08 22:13:10+00:00,363.57,462.13,L7
2014-02-23 22:18:20+00:00,377.37,,L8
2014-05-14 22:17:08+00:00,380.70,,L8
2014-05-30 22:17:11+00:00,382.70,454.43,L8
2014-07-01 22:17:22+00:00,388.51,457.90,L8
2014-07-17 22:17:28+00:00,380.86,439.08,L8
2014-09-19 22:17:42+00:00,376.32,,L8
2015-02-26 22:17:23+00:00,377.31,,L8
2015-06-02 22:16:44+00:00,376.67,,L8
2015-07-20 22:17:10+00:00,385.27,453.10,L8
2015-08-05 22:17:13+00:00,,435.19,L8
2015-10-24 22:17:40+00:00,380.62,,L8
2015-12-11 22:17:42+00:00,385.96,427.50,L8
2015-12-27 22:17:43+00:00,387.39,,L8
2016-01-12 22:17:40+00:00,364.70,,L8
2016-04-01 22:17:14+00:00,379.14,,L8
2016-04-17 22:17:09+00:00,364.82,,L8
2016-09-08 22:17:48+00:00,378.97,399.26,L8
2016-09-24 22:17:49+00:00,370.56,,L8
2016-10-10 22:17:54+00:00,382.08,,L8
2016-11-27 22:17:56+00:00,370.85,381.86,L8
2017-04-20 22:16:59+00:00,372.27,,L8
2017-06-07 22:17:15+00:00,377.45,,L8
2017-09-27 22:17:48+00:00,,397.72,L8
2017-10-29 22:17:53+00:00,369.49,,L8
2018-01-01 22:17:44+00:00,359.07,400.36,L8
2018-02-02 22:17:27+00:00,359.74,,L8
2018-04-07 22:16:59+00:00,373.80,385.80,L8
2018-04-23 22:16:49+00:00,369.85,,L8
2018-05-25 22:16:28+00:00,362.14,,L8
2018-06-26 22:16:36+00:00,376.40,,L8
2018-07-12 22:16:44+00:00,369.88,377.41,L8
2018-07-28 22:16:51+00:00,379.77,410.10,L8
2018-11-17 22:17:31+00:00,372.56,,L8
2018-12-19 22:17:28+00:00,370.04,,L8
2019-01-04 22:17:27+00:00,374.52,377.45,L8
2019-02-05 22:17:21+00:00,381.28,,L8
2019-03-09 22:17:13+00:00,370.69,,L8
2019-03-25 22:17:09+00:00,373.50,,L8
2019-04-26 22:16:59+00:00,373.07,378.42,L8
2019-05-28 22:17:17+00:00,365.28,,L8
2019-06-29 22:17:29+00:00,368.06,,L8
2019-07-31 22:17:38+00:00,377.95,388.04,L8
2019-12-06 22:17:54+00:00,373.68,,L8
2019-12-22 22:17:51+00:00,368.32,,L8
2020-02-08 22:17:38+00:00,369.26,411.99,L8
2020-02-24 22:17:35+00:00,363.95,462.38,L8
2020-03-11 22:17:28+00:00,363.00,487.40,L8
2020-03-27 22:17:20+00:00,367.26,459.81,L8
2020-07-01 22:17:22+00:00,362.40,,L8
2020-08-02 22:17:33+00:00,370.61,,L8
2020-09-03 22:17:46+00:00,387.29,496.08,L8
2021-01-25 22:17:44+00:00,376.84,,L8
2021-05-01 22:17:07+00:00,383.98,,L8
2021-05-17 22:17:12+00:00,380.19,,L8
2021-06-18 22:17:27+00:00,375.06,,L8
2021-07-04 22:17:29+00:00,364.02,,L8
2021-08-21 22:17:46+00:00,356.66,,L8
2021-11-09 22:17:58+00:00,367.20,452.72,L8
2022-01-04 22:17:52+00:00,361.67,482.27,L9
2022-01-20 22:17:51+00:00,354.47,461.77,L9
2022-02-21 22:17:43+00:00,,447.36,L9
2022-05-12 22:17:13+00:00,370.22,,L9
2022-06-05 22:17:39+00:00,378.30,413.61,L8
2022-06-13 22:17:12+00:00,371.12,387.58,L9
2022-06-21 22:17:48+00:00,357.18,,L8
2022-07-15 22:17:24+00:00,378.68,,L9
2022-07-31 22:17:39+00:00,386.45,,L9
