dates,nzd0014-0000,nzd0014-0001,satname
2015-08-05 22:17:13+00:00,379.75,444.14,L8
2015-10-24 22:17:40+00:00,380.85,444.14,L8
2015-12-11 22:17:42+00:00,383.95,438.60,L8
2015-12-27 22:17:43+00:00,384.81,438.60,L8
2016-01-12 22:17:40+00:00,380.79,438.60,L8
2016-04-01 22:17:14+00:00,379.56,427.50,L8
2016-04-17 22:17:09+00:00,377.11,427.50,L8
2016-09-08 22:17:48+00:00,374.31,399.26,L8
2016-09-24 22:17:49+00:00,373.37,399.26,L8
2016-10-10 22:17:54+00:00,374.11,399.26,L8
2016-11-27 22:17:56+00:00,375.62,390.56,L8
2017-04-20 22:16:59+00:00,371.56,381.86,L8
2017-06-07 22:17:15+00:00,374.86,,L8
2017-09-27 22:17:48+00:00,374.86,397.72,L8
2017-10-29 22:17:53+00:00,373.47,397.72,L8
2018-01-01 22:17:44+00:00,364.28,399.04,L8
2018-02-02 22:17:27+00:00,362.77,399.04,L8
2018-04-07 22:16:59+00:00,365.52,393.08,L8
2018-04-23 22:16:49+00:00,366.39,393.08,L8
2018-05-25 22:16:28+00:00,364.92,393.08,L8
2018-06-26 22:16:36+00:00,366.83,393.08,L8
2018-07-12 22:16:44+00:00,368.63,381.61,L8
2018-07-28 22:16:51+00:00,370.23,391.10,L8
2018-11-17 22:17:31+00:00,372.15,393.75,L8
2018-12-19 22:17:28+00:00,373.73,393.75,L8
2019-01-04 22:17:27+00:00,373.35,388.32,L8
2019-02-05 22:17:21+00:00,374.60,377.45,L8
2019-03-09 22:17:13+00:00,373.82,377.45,L8
2019-03-25 22:17:09+00:00,373.76,377.45,L8
2019-04-26 22:16:59+00:00,373.67,377.94,L8
2019-05-28 22:17:17+00:00,372.63,377.94,L8
2019-06-29 22:17:29+00:00,372.34,377.94,L8
2019-07-31 22:17:38+00:00,372.83,383.23,L8
2019-12-06 22:17:54+00:00,373.23,388.04,L8
2019-12-22 22:17:51+00:00,372.00,388.04,L8
2020-02-08 22:17:38+00:00,370.42,411.99,L8
2020-02-24 22:17:35+00:00,368.80,437.19,L8
2020-03-11 22:17:28+00:00,367.64,453.92,L8
2020-03-27 22:17:20+00:00,367.58,455.39,L8
2020-07-01 22:17:22+00:00,365.17,455.39,L8
2020-08-02 22:17:33+00:00,366.08,455.39,L8
2020-09-03 22:17:46+00:00,370.11,481.10,L8
2021-01-25 22:17:44+00:00,378.25,496.08,L8
2021-05-01 22:17:07+00:00,380.41,,L8
2021-05-17 22:17:12+00:00,380.34,,L8
2021-06-18 22:17:27+00:00,379.02,,L8
2021-07-04 22:17:29+00:00,376.02,,L8
2021-08-21 22:17:46+00:00,371.98,,L8
2021-11-09 22:17:58+00:00,368.63,452.72,L8
2022-01-04 22:17:52+00:00,361.84,467.50,L9
2022-01-20 22:17:51+00:00,360.00,465.59,L9
2022-02-21 22:17:43+00:00,361.11,461.03,L9
2022-05-12 22:17:13+00:00,362.12,463.80,L9
2022-06-05 22:17:39+00:00,366.17,451.25,L8
2022-06-13 22:17:12+00:00,367.16,438.52,L9
2022-06-21 22:17:48+00:00,365.49,438.52,L8
2022-07-15 22:17:24+00:00,368.33,427.58,L9
2022-07-31 22:17:39+00:00,373.66,416.18,L9
2022-08-08 22:18:05+00:00,372.83,416.18,L8
2022-09-09 22:18:11+00:00,373.13,391.39,L8
2023-01-15 22:17:53+00:00,373.70,368.95,L8
2023-01-31 22:17:58+00:00,369.87,355.53,L8
2023-02-08 22:18:06+00:00,372.02,355.53,L9
2023-02-16 22:17:50+00:00,371.09,355.53,L8
