dates,satname,nzd0014-0000,nzd0014-0001
1999-08-17 22:10:26+00:00,L7,371.35,379.07
1999-10-04 22:10:38+00:00,L7,387.61,630.38
2000-03-28 22:10:07+00:00,L7,375.24,387.41
2000-05-15 22:09:42+00:00,L7,389.28,678.86
2000-08-03 22:08:44+00:00,L7,360.02,381.41
2000-08-19 22:08:38+00:00,L7,,537.13
2000-09-20 22:08:03+00:00,L7,374.10,389.57
2000-10-06 22:07:59+00:00,L7,379.99,391.51
2000-10-22 22:07:50+00:00,L7,388.66,379.37
2001-01-26 22:08:07+00:00,L7,369.91,387.50
2001-02-27 22:07:54+00:00,L7,365.64,372.40
2001-04-16 22:07:42+00:00,L7,,
2001-05-18 22:07:26+00:00,L7,363.41,688.64
2001-06-03 22:07:16+00:00,L7,,688.79
2001-06-19 22:07:05+00:00,L7,,627.46
2001-09-07 22:06:11+00:00,L7,362.57,413.36
2001-09-23 22:06:03+00:00,L7,375.65,400.55
2001-11-26 22:06:09+00:00,L7,366.80,376.65
2001-12-12 22:06:14+00:00,L7,360.85,363.35
2001-12-28 22:06:14+00:00,L7,360.92,379.90
2002-02-14 22:06:29+00:00,L7,350.86,362.39
2002-03-18 22:06:22+00:00,L7,374.17,386.80
2002-07-08 22:06:00+00:00,L7,,
2002-07-24 22:05:50+00:00,L7,374.40,388.89
2002-12-31 22:05:56+00:00,L7,367.02,381.48
2003-05-24 22:06:17+00:00,L7,,392.03
2003-08-28 22:05:57+00:00,L7,,604.17
2003-10-31 22:06:00+00:00,L7,373.13,380.48
2004-02-04 22:06:41+00:00,L7,,392.42
2004-03-07 22:06:48+00:00,L7,367.46,387.22
2004-03-23 22:06:52+00:00,L7,375.61,390.09
2004-04-08 22:06:49+00:00,L7,371.34,389.19
2004-05-18 21:58:14+00:00,L5,373.86,389.02
2004-05-26 22:06:45+00:00,L7,,390.79
2004-06-03 21:58:42+00:00,L5,,506.46
2004-06-11 22:06:38+00:00,L7,,
2004-07-13 22:06:34+00:00,L7,378.30,
2004-07-29 22:06:27+00:00,L7,,404.69
2004-08-22 22:00:48+00:00,L5,,
2004-08-30 22:06:20+00:00,L7,373.48,387.25
2004-11-02 22:06:28+00:00,L7,344.12,359.52
2004-11-18 22:06:34+00:00,L7,374.73,412.68
2004-12-04 22:06:44+00:00,L7,357.16,688.41
2005-01-13 22:03:41+00:00,L5,376.51,386.04
2005-01-21 22:06:59+00:00,L7,,382.95
2005-02-06 22:07:07+00:00,L7,372.69,
2005-02-14 22:04:09+00:00,L5,368.61,387.49
2005-02-22 22:07:14+00:00,L7,,
