dates,nzd0268-0000,nzd0268-0001,nzd0268-0002,nzd0268-0003,nzd0268-0004,nzd0268-0005,nzd0268-0006,nzd0268-0007,nzd0268-0008,nzd0268-0009,nzd0268-0010,nzd0268-0011,nzd0268-0012,nzd0268-0013,nzd0268-0014,nzd0268-0015,nzd0268-0016,nzd0268-0017,nzd0268-0018,nzd0268-0019,nzd0268-0020,nzd0268-0021,nzd0268-0022,nzd0268-0023,nzd0268-0024,nzd0268-0025,nzd0268-0026,nzd0268-0027,nzd0268-0028,nzd0268-0029,nzd0268-0030,nzd0268-0031,nzd0268-0032,nzd0268-0033,nzd0268-0034,nzd0268-0035,nzd0268-0036,nzd0268-0037,nzd0268-0038,nzd0268-0039,nzd0268-0040,nzd0268-0041,nzd0268-0042,nzd0268-0043,nzd0268-0044,nzd0268-0045,satname
2002-09-30 21:41:47+00:00,235.05,368.10,368.11,378.51,383.64,381.53,378.28,375.33,364.95,365.37,358.41,367.98,373.21,364.59,363.09,343.53,335.10,336.62,334.50,341.25,347.86,338.18,336.05,341.07,339.24,350.35,343.19,345.32,334.84,357.63,360.35,326.38,323.71,354.51,350.11,358.25,366.69,358.92,357.56,355.33,342.37,338.91,344.71,336.96,334.74,335.42,L7
2002-11-01 21:41:54+00:00,348.13,353.75,358.46,369.24,349.51,370.24,377.74,382.62,388.89,371.05,363.70,391.00,374.31,374.29,371.65,336.94,338.54,346.31,327.98,335.11,341.09,346.20,331.57,340.11,343.89,362.58,340.74,349.78,336.51,358.48,363.58,317.94,318.90,356.15,365.31,349.25,347.01,338.58,344.53,340.25,330.99,327.75,333.84,328.11,325.35,325.72,L7
2002-11-17 21:42:06+00:00,323.57,344.50,352.20,362.01,350.99,361.98,359.84,362.38,361.31,348.69,344.47,358.04,349.09,344.84,343.45,326.63,322.82,326.25,314.37,328.94,328.88,329.01,326.38,329.16,331.80,337.05,331.87,330.04,321.40,337.84,338.74,307.13,308.83,339.00,342.10,348.38,342.77,,,,,,320.52,317.78,312.16,316.08,L7
2003-01-20 21:42:33+00:00,360.27,378.29,375.16,383.14,403.84,385.28,372.20,386.89,382.31,378.04,367.84,375.98,379.90,373.12,374.30,362.31,357.54,353.01,352.77,353.44,358.20,359.14,356.61,357.97,355.21,368.53,353.10,351.12,346.36,369.00,366.61,346.44,341.26,363.43,360.05,356.93,362.22,360.88,358.57,358.05,344.12,336.71,348.19,340.00,340.63,347.09,L7
2003-02-05 21:42:41+00:00,,,374.48,384.90,414.58,380.03,372.70,388.32,385.06,369.88,373.83,379.14,383.88,379.31,381.40,368.84,364.15,360.62,360.00,358.87,367.77,363.81,364.15,361.57,362.23,373.76,361.88,357.48,351.57,376.09,371.35,352.35,346.52,371.12,368.04,360.31,365.21,368.80,366.66,361.77,345.19,343.09,347.75,,,,L7
2003-02-21 21:42:44+00:00,350.59,345.19,355.64,361.30,403.18,371.65,354.83,368.55,360.55,359.98,356.01,360.77,372.34,367.45,362.71,354.87,348.80,344.34,341.29,344.41,354.87,355.18,352.40,352.96,344.55,362.30,349.78,344.53,335.45,364.71,357.17,339.54,336.12,354.36,355.09,354.14,355.12,358.93,360.09,354.49,337.47,336.87,344.60,337.44,334.29,349.15,L7
2003-05-12 21:42:48+00:00,,,,,,,154.52,367.83,372.82,362.26,350.06,365.31,353.98,356.63,355.86,338.54,322.31,324.30,323.15,344.33,346.18,346.21,343.21,343.22,341.55,340.74,327.95,326.67,329.35,361.67,356.69,315.76,310.43,342.87,352.84,354.18,355.00,352.17,347.69,338.10,331.23,333.14,344.61,325.08,326.39,335.04,L7
2003-05-28 21:42:46+00:00,,,,,,,153.60,,352.68,348.06,332.70,334.67,351.39,345.30,342.93,309.14,307.79,323.18,330.08,338.84,,341.35,336.21,333.70,332.70,322.24,,325.01,326.14,351.90,347.44,311.34,325.96,,336.59,340.94,349.22,351.90,343.45,,323.28,322.60,328.46,319.49,317.38,321.99,L7
2003-07-15 21:42:38+00:00,,,,,,,174.35,,368.25,371.88,,,374.21,369.07,368.63,352.69,353.91,360.37,358.07,358.46,365.90,366.18,,,347.22,357.49,345.30,352.13,343.63,359.57,358.26,346.35,343.34,370.12,366.18,361.20,368.78,371.15,368.11,362.82,346.39,,343.24,341.15,338.72,342.98,L7
2003-08-08 21:30:55+00:00,,,,,,,146.61,,368.67,344.23,342.55,356.99,353.54,380.00,359.68,329.34,340.58,354.82,347.38,330.72,343.64,346.10,341.85,347.77,345.42,376.85,347.00,339.41,332.22,341.25,346.28,343.26,335.73,360.17,350.05,340.49,347.85,345.71,358.27,354.21,,,,,,,L5
2003-09-25 21:31:42+00:00,,322.38,345.59,362.68,351.53,371.41,368.63,382.94,373.43,362.70,358.09,374.75,372.98,376.84,362.04,343.70,355.12,357.24,338.57,347.40,336.01,348.37,344.33,334.34,329.95,345.86,322.44,323.64,321.09,349.07,358.88,337.14,335.22,360.91,356.07,359.20,358.65,350.77,344.96,345.83,338.27,348.23,347.23,332.29,327.46,340.05,L5
2003-10-19 21:42:20+00:00,,364.07,366.94,372.21,383.63,378.39,374.19,,,,,,,,,358.19,351.21,349.42,345.96,358.43,360.30,346.77,341.58,338.54,336.70,351.99,338.83,340.79,335.65,356.85,356.90,332.86,331.34,354.60,,,367.43,359.34,354.91,353.44,349.76,355.99,357.89,337.02,323.63,332.42,L7
2003-11-04 21:42:27+00:00,337.74,349.20,355.54,361.33,350.55,361.90,370.37,376.66,366.99,372.06,362.80,380.19,380.99,380.76,360.61,339.78,335.31,338.47,328.87,342.25,339.14,335.53,329.61,335.31,339.07,,,329.47,330.63,351.10,356.10,319.73,315.46,342.67,342.75,356.70,360.46,355.05,349.45,355.65,351.37,352.63,353.37,,,328.83,L7
2003-11-20 21:42:43+00:00,346.76,354.13,360.87,370.42,346.19,364.75,369.88,388.01,379.17,380.00,374.34,395.13,388.55,392.28,381.80,354.21,346.06,358.25,352.47,360.13,350.76,,,348.57,342.22,343.78,343.15,345.04,341.89,365.50,371.65,338.40,329.91,352.78,360.72,371.30,373.41,373.56,367.85,356.43,,,353.31,333.19,323.55,331.25,L7
2003-11-28 21:32:34+00:00,352.45,356.53,365.05,369.33,413.61,378.98,370.81,391.92,387.64,379.88,379.82,387.53,393.61,381.46,374.87,368.55,358.49,362.20,366.07,371.30,372.33,361.62,362.35,363.46,357.53,371.28,358.30,348.00,345.50,371.60,368.70,350.03,341.57,368.66,367.98,362.08,376.25,376.73,370.14,368.03,364.60,368.56,368.89,352.23,333.67,346.25,L5
2003-12-14 21:32:38+00:00,370.14,383.15,383.49,390.74,416.50,397.06,384.05,407.03,395.88,394.97,391.19,404.74,409.41,401.55,394.19,381.48,370.74,372.69,381.57,377.57,380.64,378.74,378.71,376.87,373.40,390.03,370.63,356.57,354.02,388.74,389.50,364.86,355.42,378.39,378.21,376.54,388.98,389.48,387.64,384.74,372.00,380.24,382.64,366.67,338.84,345.99,L5
2004-01-23 21:43:06+00:00,338.38,349.19,,365.45,390.84,374.44,364.06,382.84,372.76,375.98,371.60,383.31,386.32,382.56,368.76,359.90,355.18,362.09,,,368.43,359.52,351.56,356.50,348.97,362.01,355.99,356.05,349.16,366.37,360.31,344.63,343.46,372.08,368.04,361.44,368.83,369.73,,362.06,358.78,357.36,356.85,336.79,330.50,339.26,L7
2004-02-24 21:43:09+00:00,326.35,361.36,371.04,366.67,405.25,373.91,363.32,387.30,379.84,381.19,373.23,378.98,388.84,378.89,365.91,368.60,359.48,362.51,362.37,368.74,366.36,362.71,358.65,357.00,354.26,370.34,360.28,,,370.54,371.54,352.66,346.76,375.78,372.23,366.44,367.90,373.42,374.15,371.27,363.31,364.86,367.43,346.77,339.93,345.62,L7
2004-03-27 21:43:21+00:00,,,,373.36,386.22,367.74,365.88,381.11,376.13,373.46,370.64,378.03,382.03,374.80,372.22,359.70,358.09,361.62,361.31,366.66,369.55,370.08,363.50,368.89,359.52,372.96,364.59,362.95,360.49,382.69,374.04,,,,372.00,368.71,367.26,370.21,373.95,365.89,358.30,364.49,373.71,350.08,344.41,352.57,L7
2004-04-04 21:33:25+00:00,293.98,331.56,343.80,374.94,357.03,372.74,377.89,380.09,384.52,382.27,369.81,376.16,381.06,380.88,369.46,362.32,353.81,359.75,353.31,362.25,365.64,374.19,361.08,360.37,362.71,362.83,353.67,355.11,349.11,362.42,360.28,344.00,347.22,355.11,351.14,349.78,351.05,359.43,359.38,349.48,344.83,366.55,366.54,350.16,335.62,360.98,L5
2004-05-06 21:34:22+00:00,,,,,,164.93,183.03,361.21,382.48,377.01,370.28,385.41,392.98,388.00,376.73,369.73,365.73,367.34,364.22,367.06,372.02,366.89,365.06,361.18,354.37,363.57,355.45,358.09,344.79,357.46,362.88,351.22,349.27,367.62,363.88,361.55,364.09,358.92,360.46,359.90,356.92,359.30,361.01,350.32,338.25,347.42,L5
