dates,satname,nzd0268-0000,nzd0268-0001,nzd0268-0002,nzd0268-0003,nzd0268-0004,nzd0268-0005,nzd0268-0006,nzd0268-0007,nzd0268-0008,nzd0268-0009,nzd0268-0010,nzd0268-0011,nzd0268-0012,nzd0268-0013,nzd0268-0014,nzd0268-0015,nzd0268-0016,nzd0268-0017,nzd0268-0018,nzd0268-0019,nzd0268-0020,nzd0268-0021,nzd0268-0022,nzd0268-0023,nzd0268-0024,nzd0268-0025,nzd0268-0026,nzd0268-0027,nzd0268-0028,nzd0268-0029,nzd0268-0030,nzd0268-0031,nzd0268-0032,nzd0268-0033,nzd0268-0034,nzd0268-0035,nzd0268-0036,nzd0268-0037,nzd0268-0038,nzd0268-0039,nzd0268-0040,nzd0268-0041,nzd0268-0042,nzd0268-0043,nzd0268-0044,nzd0268-0045
1999-08-21 21:46:56+00:00,L7,173.41,123.13,113.35,123.21,368.96,371.20,371.48,375.48,372.49,372.05,363.07,378.06,374.59,373.24,357.97,353.80,346.23,358.61,353.22,358.19,357.44,359.89,365.49,365.68,354.63,359.09,349.29,354.38,353.25,372.41,371.40,355.12,358.64,382.85,374.28,355.96,358.60,358.48,359.88,356.16,344.20,347.06,343.75,340.53,333.87,342.48
1999-09-06 21:46:59+00:00,L7,159.27,122.92,106.09,370.58,377.01,379.92,385.72,371.72,356.93,373.61,367.25,364.07,371.89,369.40,307.96,343.12,,,332.67,344.86,351.62,346.24,353.71,350.85,346.85,355.28,350.93,352.45,336.29,359.83,361.85,335.89,340.26,357.93,359.85,353.37,354.12,351.42,355.70,371.21,354.99,352.34,360.59,351.92,350.16,348.59
1999-09-22 21:47:00+00:00,L7,146.22,342.74,366.71,373.80,376.74,382.21,378.70,380.64,378.38,377.26,366.23,376.95,379.18,386.55,378.24,358.15,349.71,366.91,360.99,354.91,360.75,363.98,363.09,363.14,367.72,358.18,367.92,375.49,364.89,385.00,372.78,350.70,351.09,373.40,373.30,368.26,359.27,360.20,366.55,359.15,351.87,348.36,349.05,342.69,331.92,342.01
1999-10-24 21:46:56+00:00,L7,357.42,358.29,365.83,374.03,373.81,377.10,375.13,387.75,377.95,381.97,373.01,381.30,384.06,387.06,379.33,356.43,348.19,355.07,363.62,365.97,369.59,372.09,373.94,370.16,370.74,376.82,368.96,367.82,366.13,387.43,386.53,371.64,358.01,380.03,374.82,370.70,369.68,363.41,369.75,367.27,356.15,350.91,353.74,338.63,333.36,340.72
2000-01-12 21:46:54+00:00,L7,337.34,343.36,357.94,354.51,366.37,361.38,358.90,368.29,354.19,354.39,347.98,361.82,364.08,356.98,353.66,340.81,329.62,338.39,335.19,344.16,352.08,347.53,348.62,356.83,349.41,355.23,355.04,356.02,353.19,363.92,355.23,327.82,323.47,357.45,362.17,360.08,354.45,354.49,354.16,343.51,338.66,338.41,341.71,330.86,330.37,332.57
2000-02-13 21:46:48+00:00,L7,328.01,337.13,351.91,346.96,359.46,353.61,356.44,363.25,367.15,346.91,343.86,355.58,354.02,342.58,335.63,323.31,325.31,,,,,,,,,,,,,,,319.93,315.08,344.61,347.05,335.53,326.32,331.98,334.68,327.75,313.55,309.32,320.98,310.86,305.19,309.45
2000-05-03 21:46:19+00:00,L7,151.41,118.84,104.29,,138.23,147.50,159.30,363.60,362.15,359.54,355.43,367.51,377.23,376.16,368.81,357.11,352.13,364.83,353.97,365.90,372.87,373.62,368.86,366.43,362.42,357.45,357.64,370.58,362.71,378.45,372.86,355.61,352.26,366.57,369.90,358.09,353.32,352.56,356.23,,336.12,343.67,354.15,342.06,340.21,344.21
2000-05-19 21:46:07+00:00,L7,145.58,119.39,107.30,,140.71,142.74,164.69,165.52,360.65,357.40,351.62,368.85,369.09,374.34,364.12,354.10,345.84,356.61,352.40,355.69,365.32,363.64,360.04,358.26,354.98,357.75,,356.74,351.83,365.32,365.02,342.57,340.48,360.94,360.68,354.64,351.89,353.46,353.47,,337.61,341.12,341.71,334.29,329.53,332.24
2000-07-06 21:45:39+00:00,L7,,,,,,355.08,351.89,346.06,348.23,344.36,343.47,367.09,372.45,381.42,360.53,341.60,331.34,343.54,330.06,339.07,345.17,334.80,352.83,337.78,343.17,343.48,330.37,339.65,322.86,341.64,342.49,320.76,317.32,338.08,344.47,347.64,351.02,339.29,345.96,332.31,334.99,,,,,338.42
2000-08-07 21:45:08+00:00,L7,162.84,129.56,106.16,118.92,147.78,160.47,166.89,380.32,383.66,371.45,363.09,377.58,380.83,379.03,369.26,371.30,355.66,356.21,353.50,364.56,371.43,362.92,360.17,362.39,359.33,365.75,350.47,349.94,345.48,370.43,361.62,335.50,336.83,366.55,363.97,364.00,365.77,360.77,360.98,354.85,343.92,353.78,362.34,348.40,341.72,349.09
2001-01-14 21:44:33+00:00,L7,323.26,308.56,321.81,342.80,344.13,341.70,342.36,349.93,343.32,334.43,330.68,349.89,347.59,346.49,333.79,330.43,321.30,330.12,324.19,331.68,328.61,332.24,338.70,329.81,321.33,327.11,324.03,331.06,318.01,336.04,326.97,313.28,323.73,344.60,339.45,339.65,342.73,337.30,336.32,332.15,329.18,329.96,336.87,321.43,316.97,327.49
2001-04-04 21:44:06+00:00,L7,160.35,123.28,98.89,372.35,379.31,372.98,371.86,381.94,382.61,378.93,370.59,389.96,393.48,388.60,375.65,366.27,362.62,361.97,352.11,353.33,363.24,373.96,366.78,365.36,361.66,371.43,355.58,346.94,340.92,370.17,380.78,361.30,351.60,370.97,364.80,362.67,368.66,376.75,374.42,366.67,356.44,369.04,375.06,354.20,347.77,360.77
2001-04-20 21:44:10+00:00,L7,156.38,123.66,107.21,118.99,376.38,382.27,374.39,386.24,380.45,392.21,382.90,388.23,392.92,395.97,383.46,366.94,361.41,365.80,358.69,373.49,380.22,380.78,365.60,366.83,368.13,381.72,362.13,353.99,354.72,377.00,387.26,360.82,353.58,366.28,362.51,368.26,377.77,383.63,379.57,372.03,365.56,366.96,370.27,348.24,349.51,360.44
2001-05-22 21:43:54+00:00,L7,158.08,123.06,99.06,,144.56,150.21,165.07,176.09,375.25,370.92,368.99,380.19,384.29,381.59,367.50,349.03,349.67,346.53,342.62,354.19,,365.71,361.65,357.77,349.81,358.93,,,337.34,361.25,361.96,343.63,335.28,,357.00,352.17,366.26,364.60,369.77,,360.56,359.75,359.17,346.66,347.49,357.07
2001-07-25 21:43:18+00:00,L7,157.89,128.59,113.03,,142.19,150.26,171.52,177.29,344.81,350.54,110.35,88.72,352.51,351.74,335.20,324.04,310.11,316.11,304.14,319.18,323.95,322.19,340.99,336.43,331.91,332.13,326.00,323.30,314.05,337.52,337.50,316.44,318.91,,341.79,344.83,345.77,343.32,346.38,335.06,338.04,342.01,341.81,322.50,316.13,329.47
2001-08-10 21:43:00+00:00,L7,161.09,131.03,107.17,130.27,146.93,160.50,176.51,361.19,365.84,366.41,361.17,372.40,373.33,370.00,358.72,343.25,330.20,333.92,321.40,333.73,338.29,341.86,352.80,356.33,349.06,345.72,333.83,336.09,327.50,349.57,348.56,330.95,326.28,353.36,353.18,352.65,358.25,352.48,352.30,347.42,346.81,356.03,358.84,336.38,331.57,341.37
2001-09-11 21:42:38+00:00,L7,157.18,124.11,110.25,364.54,376.67,388.97,374.94,390.07,387.38,376.58,372.18,383.08,382.74,378.21,368.47,345.44,336.30,337.28,334.71,343.87,341.73,,,,,,,,,358.56,355.67,340.66,338.58,349.24,346.16,350.25,356.50,354.69,374.93,358.19,357.07,369.32,353.26,329.13,330.56,340.90
2001-09-27 21:42:29+00:00,L7,,,,,,,,420.37,416.21,420.18,409.85,421.13,425.43,423.02,409.36,361.71,361.33,371.06,366.78,377.73,390.89,370.65,366.66,381.51,389.41,419.95,376.31,357.56,363.10,395.04,403.87,378.31,352.30,372.88,387.87,394.08,390.60,388.77,389.30,414.26,395.23,390.75,375.67,365.34,350.09,357.01
2001-10-13 21:42:15+00:00,L7,217.83,361.05,369.74,386.44,391.68,391.88,383.74,392.19,378.32,395.60,379.02,390.22,394.23,396.41,376.14,358.71,350.12,346.55,352.77,362.82,370.35,369.78,360.58,356.48,354.40,370.93,368.65,347.22,345.62,371.01,377.35,366.14,336.20,377.42,387.98,382.26,366.67,358.24,371.46,375.40,366.98,367.22,366.06,343.69,334.00,344.98
2001-10-29 21:42:21+00:00,L7,346.90,359.13,363.95,375.55,388.04,395.32,396.29,396.11,386.84,399.87,385.27,395.67,393.08,381.76,381.94,358.99,358.16,362.12,353.90,367.27,363.55,363.30,365.88,374.16,355.88,383.19,370.36,361.85,350.59,368.85,378.86,341.09,348.49,390.39,391.77,382.78,371.03,379.36,377.17,369.67,373.71,373.71,359.88,350.79,340.98,358.53
2002-01-17 21:42:52+00:00,L7,338.06,340.48,360.92,371.78,374.52,370.44,364.76,372.51,365.45,362.26,359.93,369.59,369.36,359.88,356.72,339.84,337.01,345.77,341.94,347.22,,,,,,,,,,,,,,,,365.61,362.79,362.75,362.26,356.83,350.19,361.46,361.32,339.02,334.86,348.18
