dates,nzd0268-0000,nzd0268-0001,nzd0268-0002,nzd0268-0003,nzd0268-0004,nzd0268-0005,nzd0268-0006,nzd0268-0007,nzd0268-0008,nzd0268-0009,nzd0268-0010,nzd0268-0011,nzd0268-0012,nzd0268-0013,nzd0268-0014,nzd0268-0015,nzd0268-0016,nzd0268-0017,nzd0268-0018,nzd0268-0019,nzd0268-0020,nzd0268-0021,nzd0268-0022,nzd0268-0023,nzd0268-0024,nzd0268-0025,nzd0268-0026,nzd0268-0027,nzd0268-0028,nzd0268-0029,nzd0268-0030,nzd0268-0031,nzd0268-0032,nzd0268-0033,nzd0268-0034,nzd0268-0035,nzd0268-0036,nzd0268-0037,nzd0268-0038,nzd0268-0039,nzd0268-0040,nzd0268-0041,nzd0268-0042,nzd0268-0043,nzd0268-0044,nzd0268-0045,satname
1999-08-21 21:46:56+00:00,171.96,118.99,111.54,,360.67,362.91,364.23,367.19,362.82,357.55,348.57,358.73,367.34,364.95,,347.36,337.94,350.32,344.93,349.90,349.15,351.60,357.20,357.39,348.19,349.42,341.00,347.13,346.00,364.12,361.73,345.45,351.39,376.41,367.84,350.69,352.80,352.04,354.08,349.72,338.93,341.26,338.48,334.73,328.07,336.68,L7
1999-09-06 21:46:59+00:00,164.04,116.45,106.84,349.58,359.84,362.42,367.10,360.46,349.38,349.83,342.16,340.40,361.74,358.17,,338.24,337.94,350.32,329.80,338.38,341.38,339.92,346.45,345.12,340.52,341.85,336.97,341.91,333.27,352.98,351.29,330.17,337.95,360.17,356.85,346.31,347.16,344.73,348.59,353.47,341.24,340.50,343.81,337.02,332.81,336.34,L7
1999-09-22 21:47:00+00:00,157.23,189.41,192.38,353.02,360.52,364.06,366.63,362.23,353.27,350.31,341.52,341.03,363.22,362.68,366.68,341.02,336.39,351.19,335.24,338.94,342.89,342.99,347.05,346.17,345.73,341.52,342.33,348.77,339.48,358.70,352.68,331.24,338.00,360.73,358.48,350.47,347.73,346.03,351.11,351.51,341.63,339.65,342.41,335.45,329.05,334.76,L7
1999-10-24 21:46:56+00:00,157.23,230.13,235.09,355.36,360.84,364.32,366.13,365.61,355.94,352.97,344.14,344.10,365.81,365.77,368.34,342.54,336.33,348.48,339.34,342.69,346.56,347.26,350.77,349.17,349.65,346.84,345.99,350.91,343.51,362.88,357.64,337.84,340.38,363.22,360.23,353.62,351.12,348.05,353.67,353.12,343.35,340.37,343.33,334.14,328.03,334.15,L7
2000-01-12 21:46:54+00:00,157.23,254.63,260.47,360.56,365.66,367.45,367.94,369.86,359.92,359.76,351.41,344.10,368.71,367.73,368.26,345.08,339.29,350.60,342.22,346.70,351.38,351.03,354.05,354.42,352.49,352.85,351.51,355.18,348.70,366.80,361.49,340.17,340.24,364.95,363.51,357.28,354.38,352.22,356.37,354.08,344.78,342.58,345.37,336.09,331.10,336.43,L7
2000-02-13 21:46:48+00:00,157.23,268.71,275.86,358.78,365.30,365.81,366.60,369.43,361.90,358.78,351.32,348.26,366.84,364.20,360.88,341.97,337.30,350.60,342.22,346.70,351.38,351.03,354.05,354.42,352.49,352.85,351.51,355.18,348.70,366.80,361.49,337.57,336.63,362.08,361.28,354.08,350.17,349.37,353.22,350.21,340.00,337.50,341.73,332.35,327.25,332.40,L7
2000-05-03 21:46:19+00:00,149.31,345.89,357.39,363.90,374.20,368.78,367.54,368.57,365.28,359.78,355.26,352.21,368.19,362.10,355.44,343.15,339.21,354.89,347.87,358.31,365.76,363.86,362.02,364.91,358.47,360.17,359.62,366.17,360.82,374.47,367.88,338.57,333.35,358.95,362.45,353.48,347.16,349.08,350.82,344.40,331.69,332.93,341.19,330.39,327.72,331.21,L7
2000-05-19 21:46:07+00:00,147.72,345.89,357.39,363.90,374.20,368.78,367.54,368.57,365.04,360.56,355.72,360.20,369.10,365.94,358.22,346.50,341.65,356.51,350.42,358.49,366.66,364.83,362.41,363.74,358.12,360.59,359.62,363.95,358.74,372.47,368.15,340.49,335.82,360.06,362.62,354.27,348.89,350.79,352.03,344.40,333.67,335.53,341.82,331.92,328.73,332.02,L7
2000-07-06 21:45:39+00:00,147.72,345.89,357.39,363.90,374.20,370.69,367.99,367.80,366.21,364.12,360.07,373.25,373.17,372.92,361.70,348.54,343.48,358.13,350.19,358.49,366.14,362.18,364.87,362.11,358.16,361.98,356.35,362.12,354.02,369.62,367.40,341.07,335.52,358.68,362.01,355.41,352.04,351.51,353.54,345.41,336.40,335.53,341.82,331.92,328.73,336.02,L7
2000-08-07 21:45:08+00:00,152.93,339.13,352.79,351.63,363.46,366.06,364.41,366.88,368.44,362.03,357.59,375.45,373.77,374.19,362.38,352.19,345.54,358.65,350.84,359.66,367.05,362.10,363.83,359.57,357.59,360.02,349.59,357.16,348.66,367.32,364.41,338.94,335.44,358.06,359.92,354.20,352.10,350.32,352.70,345.12,335.46,336.62,344.48,333.55,328.81,337.12,L7
