dates,nzd0524-0000,nzd0524-0001,nzd0524-0002,nzd0524-0003,nzd0524-0004,nzd0524-0005,nzd0524-0006,nzd0524-0007,nzd0524-0008,nzd0524-0009,nzd0524-0010,nzd0524-0011,nzd0524-0012,nzd0524-0013,nzd0524-0014,nzd0524-0015,nzd0524-0016,nzd0524-0017,nzd0524-0018,nzd0524-0019,nzd0524-0020,nzd0524-0021,nzd0524-0022,nzd0524-0023,nzd0524-0024,nzd0524-0025,nzd0524-0026,nzd0524-0027,nzd0524-0028,nzd0524-0029,nzd0524-0030,nzd0524-0031,nzd0524-0032,nzd0524-0033,nzd0524-0034,nzd0524-0035,nzd0524-0036,nzd0524-0037,nzd0524-0038,nzd0524-0039,nzd0524-0040,nzd0524-0041,nzd0524-0042,nzd0524-0043,nzd0524-0044,nzd0524-0045,nzd0524-0046,nzd0524-0047,nzd0524-0048,nzd0524-0049,nzd0524-0050,nzd0524-0051,nzd0524-0052,nzd0524-0053,nzd0524-0054,nzd0524-0055,nzd0524-0056,nzd0524-0057,nzd0524-0058,nzd0524-0059,nzd0524-0060,satname
1999-08-17 22:13:37+00:00,318.66,338.09,345.24,353.57,359.51,359.09,354.63,349.12,348.08,341.14,329.13,324.78,323.81,324.97,331.48,332.97,327.92,337.57,347.30,352.66,354.36,350.02,347.11,340.93,337.12,329.17,320.43,317.10,308.94,307.76,307.82,312.79,311.52,311.70,313.10,328.65,337.98,339.96,342.39,345.11,354.75,347.99,343.45,342.00,337.25,335.20,333.66,329.40,327.07,322.34,316.12,312.61,316.08,291.86,290.14,275.73,277.03,276.54,282.20,280.68,298.37,L7
1999-09-27 22:07:36+00:00,320.05,331.34,339.55,344.78,350.39,349.24,347.84,344.64,341.75,337.81,327.04,323.73,321.98,324.85,331.18,329.45,326.26,333.81,336.39,343.93,346.76,339.47,337.54,332.02,326.70,320.98,314.73,309.49,302.89,306.81,307.07,310.21,312.60,312.35,316.27,328.05,334.28,338.18,342.34,348.85,354.50,350.09,348.40,347.81,345.21,341.44,337.22,330.51,328.56,325.22,321.38,323.39,322.45,295.87,289.88,283.24,284.93,285.19,282.77,281.84,299.97,L7
1999-12-07 22:13:41+00:00,325.81,335.29,344.64,349.18,354.37,353.90,353.39,353.52,348.99,347.60,335.77,332.61,331.99,334.23,339.16,338.75,336.99,340.11,341.65,346.51,349.27,341.25,338.73,332.74,327.87,321.39,314.73,309.49,302.89,306.81,307.07,310.21,312.60,312.35,316.27,328.05,334.28,338.18,342.34,348.85,354.50,350.09,348.40,347.81,345.21,341.73,337.79,330.89,328.67,325.31,322.67,323.23,321.78,296.54,288.15,282.41,285.89,285.59,282.76,282.84,301.69,L7
1999-12-16 22:07:33+00:00,325.81,335.29,344.64,349.18,354.37,353.90,353.39,353.52,348.99,347.60,335.77,332.61,331.99,334.23,339.16,338.75,336.99,340.11,341.65,346.51,349.27,341.25,338.73,332.74,327.87,321.39,314.73,309.49,302.89,306.81,308.97,311.13,312.82,312.62,315.82,328.05,334.28,338.18,342.34,348.85,354.50,350.09,348.40,347.81,345.21,341.73,337.79,330.89,328.67,325.31,322.67,323.23,321.78,296.54,288.15,282.41,285.89,285.59,282.76,282.95,301.83,L7
2000-02-02 22:07:23+00:00,326.61,334.95,343.06,346.63,349.92,350.62,350.20,351.36,346.81,345.19,335.67,333.17,332.57,332.41,336.81,337.10,336.12,338.12,340.19,343.54,344.91,337.93,336.22,329.17,323.82,319.70,311.21,303.71,297.01,303.99,306.14,306.45,308.78,308.67,312.42,321.95,327.76,330.67,332.85,339.11,343.91,339.29,335.43,337.45,337.39,334.57,329.84,323.62,322.30,319.54,318.26,317.59,316.16,292.65,283.56,278.12,279.55,279.03,275.27,282.95,299.36,L7
2000-05-08 22:06:44+00:00,338.84,346.84,351.90,354.20,355.81,355.68,356.37,359.59,356.37,355.71,349.33,347.07,345.33,342.28,344.95,347.10,348.20,346.14,347.00,348.23,349.02,341.84,336.72,331.59,325.63,320.87,312.12,304.64,297.38,303.85,305.16,304.17,306.04,305.54,311.33,316.01,320.26,321.94,323.37,327.64,329.06,325.41,316.87,317.98,319.41,323.45,319.53,315.16,315.57,314.53,315.14,316.13,315.70,299.05,285.03,278.52,276.03,275.16,269.17,283.49,301.13,L7
2000-05-15 22:12:54+00:00,341.00,352.80,355.41,357.98,359.60,360.26,361.19,363.30,361.27,360.99,352.83,351.43,349.26,346.35,349.12,349.38,350.49,349.49,350.16,352.38,353.60,346.23,342.01,335.71,328.51,324.98,317.24,310.23,303.73,307.47,306.87,307.45,308.13,309.41,314.16,320.33,322.80,325.70,327.86,332.35,331.53,327.36,316.30,318.58,320.82,322.18,319.18,316.67,317.98,313.40,315.14,320.82,319.40,305.73,290.89,281.10,276.88,275.77,271.36,283.00,301.76,L7
2000-05-31 22:12:42+00:00,337.09,352.10,353.42,356.37,357.09,360.88,362.22,363.28,360.19,361.06,354.15,350.88,348.72,345.44,350.17,349.40,348.96,347.68,348.48,352.79,352.63,344.95,342.69,336.84,328.36,321.22,316.09,305.99,303.73,305.54,306.44,307.73,307.40,309.17,312.87,315.46,323.58,320.78,323.63,332.08,329.40,325.42,315.93,316.85,319.38,320.37,319.18,315.84,316.23,310.83,315.14,320.82,319.01,306.42,292.18,280.70,275.00,274.31,267.52,279.07,300.90,L7
2000-06-16 22:12:38+00:00,337.03,354.33,353.06,355.97,355.78,360.30,361.65,361.28,359.38,359.53,354.38,351.01,347.90,343.55,348.92,347.41,346.59,346.43,347.56,353.07,352.22,344.98,343.08,337.50,327.89,320.96,316.09,305.99,303.73,305.54,304.86,306.42,305.93,308.17,312.36,315.46,323.58,320.78,323.63,332.08,329.40,325.42,315.93,316.85,319.38,314.89,312.59,311.89,313.07,307.17,305.05,320.13,318.64,308.55,294.05,280.69,271.80,271.29,263.71,279.68,300.79,L7
2000-08-12 22:05:41+00:00,339.70,361.12,357.98,361.63,362.18,363.24,365.71,365.63,363.48,373.54,360.72,356.40,352.42,349.09,355.31,352.50,350.95,348.72,348.86,356.20,355.82,348.97,346.50,339.79,330.19,320.79,316.79,304.55,303.48,304.09,306.58,306.97,304.54,307.61,310.96,313.79,319.70,322.49,324.01,329.70,331.62,324.09,308.24,311.86,312.93,315.48,315.90,315.25,316.37,308.81,,329.85,319.10,309.34,302.13,279.85,269.57,270.03,267.34,285.44,303.62,L7
2000-08-19 22:11:49+00:00,339.70,361.12,357.98,361.63,362.18,363.24,365.71,365.63,363.48,373.54,360.72,356.40,352.42,349.09,355.31,349.91,350.95,348.72,348.86,355.54,354.78,349.47,346.26,339.32,331.78,319.92,314.97,305.49,303.04,303.99,305.29,305.63,304.54,307.61,310.96,313.79,324.26,326.63,327.95,334.09,337.75,326.83,314.03,317.82,317.67,321.22,320.48,316.14,316.80,310.70,312.68,329.85,319.10,309.34,302.13,279.85,271.65,268.80,265.09,285.44,299.61,L7
2000-09-20 22:11:14+00:00,333.74,350.73,348.07,351.18,353.19,355.32,358.19,359.86,359.17,366.20,354.12,351.12,347.23,344.07,348.73,345.07,343.38,341.39,343.81,350.79,350.26,344.97,340.06,334.02,326.67,317.86,313.87,304.76,302.06,303.48,304.27,306.67,305.96,309.61,314.71,319.22,328.10,332.21,333.76,340.08,346.28,334.44,322.61,325.97,324.72,326.93,330.52,323.43,321.56,312.79,317.27,328.33,319.41,308.34,301.68,280.95,273.74,270.39,270.35,286.97,299.91,L7
2000-11-16 22:04:56+00:00,320.39,330.53,328.54,330.92,332.15,338.92,342.20,345.88,345.26,353.69,337.86,334.95,332.19,330.32,335.31,334.76,328.48,329.12,334.93,344.13,342.85,337.87,333.41,326.80,318.58,310.05,306.38,295.90,292.71,296.41,299.36,303.17,303.08,306.56,311.16,314.70,326.91,331.88,333.40,340.78,351.32,336.24,325.99,329.59,326.46,328.97,334.66,323.93,318.88,311.43,314.21,316.84,311.08,298.38,294.95,279.14,274.85,271.05,272.22,288.13,296.55,L7
2000-12-18 22:05:01+00:00,319.85,321.14,320.10,321.40,324.70,330.78,334.15,340.11,341.72,351.12,327.07,328.09,324.99,324.58,325.77,329.87,321.29,325.35,332.66,341.57,341.37,337.39,330.41,323.16,316.29,313.61,307.91,300.18,296.27,298.57,300.66,303.96,305.72,309.26,314.35,322.87,327.42,338.75,338.32,343.44,358.80,340.92,330.09,333.58,328.51,331.17,330.65,322.24,316.92,311.82,310.13,316.84,308.96,294.78,293.77,279.16,276.69,271.69,278.90,295.27,293.40,L7
2000-12-25 22:11:14+00:00,325.37,324.41,324.11,323.62,325.28,329.98,333.24,337.30,339.85,347.08,328.13,327.03,325.09,323.48,324.03,329.31,323.55,326.65,332.76,340.76,340.34,336.34,329.77,323.50,318.52,313.51,308.60,300.91,297.01,299.64,301.22,304.51,306.71,309.91,315.24,322.59,327.10,335.06,338.04,342.75,356.45,341.20,331.06,333.08,328.66,330.44,329.03,321.10,317.20,312.67,311.04,319.71,313.83,299.69,298.11,282.63,278.64,274.68,281.62,294.39,296.05,L7
2001-04-16 22:10:54+00:00,329.95,335.09,335.69,334.79,333.43,332.03,333.24,334.37,338.00,334.90,330.48,328.43,326.35,324.90,325.15,329.67,329.61,330.49,337.93,341.87,340.74,335.23,329.33,323.90,316.43,314.28,309.80,302.82,298.00,297.51,298.42,302.24,306.66,308.33,312.40,317.27,318.83,321.62,330.41,337.28,343.15,336.58,328.28,325.62,321.79,317.44,313.25,306.45,305.20,305.79,306.88,316.93,314.54,302.56,294.51,289.04,286.55,285.87,284.66,286.49,298.38,L7
