dates,satname,nzd0524-0000,nzd0524-0001,nzd0524-0002,nzd0524-0003,nzd0524-0004,nzd0524-0005,nzd0524-0006,nzd0524-0007,nzd0524-0008,nzd0524-0009,nzd0524-0010,nzd0524-0011,nzd0524-0012,nzd0524-0013,nzd0524-0014,nzd0524-0015,nzd0524-0016,nzd0524-0017,nzd0524-0018,nzd0524-0019,nzd0524-0020,nzd0524-0021,nzd0524-0022,nzd0524-0023,nzd0524-0024,nzd0524-0025,nzd0524-0026,nzd0524-0027,nzd0524-0028,nzd0524-0029,nzd0524-0030,nzd0524-0031,nzd0524-0032,nzd0524-0033,nzd0524-0034,nzd0524-0035,nzd0524-0036,nzd0524-0037,nzd0524-0038,nzd0524-0039,nzd0524-0040,nzd0524-0041,nzd0524-0042,nzd0524-0043,nzd0524-0044,nzd0524-0045,nzd0524-0046,nzd0524-0047,nzd0524-0048,nzd0524-0049,nzd0524-0050,nzd0524-0051,nzd0524-0052,nzd0524-0053,nzd0524-0054,nzd0524-0055,nzd0524-0056,nzd0524-0057,nzd0524-0058,nzd0524-0059,nzd0524-0060
1999-08-17 22:13:37+00:00,L7,315.50,334.09,341.49,349.82,355.98,355.34,350.88,345.12,344.33,338.14,326.27,321.62,320.95,322.57,329.17,329.81,325.06,335.17,343.30,349.50,351.86,347.16,344.80,338.53,335.36,326.86,317.82,314.70,306.21,306.14,305.68,310.29,309.85,310.03,311.43,327.15,336.44,338.46,340.89,343.61,353.25,346.49,341.95,340.29,335.75,333.62,331.44,327.26,325.13,320.76,314.18,311.11,314.21,290.10,288.56,274.23,275.36,275.04,280.70,279.01,296.87
1999-09-27 22:07:36+00:00,L7,331.65,337.52,345.97,348.13,352.68,351.52,353.16,353.10,347.55,344.19,334.19,332.89,329.39,332.48,338.33,336.14,333.84,337.82,338.41,345.40,347.24,338.16,335.43,330.87,321.99,320.24,317.45,309.64,305.66,311.10,313.26,315.71,319.06,318.38,324.83,332.30,335.55,341.25,347.14,357.43,359.11,357.03,358.21,359.17,358.02,352.78,347.96,338.56,336.32,333.21,332.91,339.02,334.88,305.59,294.72,295.60,298.23,298.68,288.19,288.38,306.41
1999-12-07 22:13:41+00:00,L7,343.96,351.58,362.70,365.85,369.74,371.09,372.36,379.68,371.33,373.48,359.23,357.01,358.00,358.04,359.98,363.99,364.44,357.73,360.56,358.30,359.53,350.81,345.96,339.23,333.91,327.08,,,,,,,,,,,,,,,,,,,,345.64,343.60,336.13,332.95,328.80,329.30,326.06,324.39,301.60,288.02,283.90,291.30,289.55,285.90,288.36,308.30
1999-12-16 22:07:33+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.82,307.23,309.45,309.33,311.10,,,,,,,,,,,,,,,,,,,,,,,,,279.43,298.80
2000-02-02 22:07:23+00:00,L7,330.90,336.34,340.56,341.22,338.70,343.03,342.88,347.28,342.51,339.75,337.07,336.73,336.05,328.39,331.14,334.02,335.22,333.59,338.24,336.54,333.33,329.67,330.06,319.90,312.73,316.00,305.76,293.58,286.89,299.33,298.96,293.91,297.65,297.82,303.22,310.66,315.65,316.56,314.77,320.55,323.62,318.60,310.37,317.75,322.66,314.05,307.31,303.11,304.34,303.20,306.21,301.58,300.44,282.02,270.74,266.17,261.53,260.24,253.71,,290.37
2000-05-08 22:06:44+00:00,L7,350.93,364.33,363.44,366.52,369.33,363.93,364.85,363.53,366.27,362.69,360.08,356.73,350.31,347.46,350.50,352.55,353.32,354.14,353.93,359.10,361.54,353.43,340.90,342.69,335.43,326.29,320.67,317.70,310.16,309.72,305.57,307.69,308.59,307.04,317.24,322.61,326.16,328.56,333.21,335.99,335.74,333.48,324.62,319.64,317.42,315.30,314.21,312.54,315.10,316.24,,325.16,327.79,318.70,300.96,289.90,280.14,280.09,272.30,282.75,307.99
2000-05-15 22:12:54+00:00,L7,348.82,372.40,367.59,370.95,372.51,375.61,377.29,376.15,377.60,378.12,364.56,365.90,362.29,359.58,362.61,357.61,358.58,360.59,361.37,366.23,368.40,360.63,358.88,349.08,337.93,338.30,328.59,322.44,317.59,315.40,312.93,318.37,315.11,321.75,323.35,329.62,328.55,333.89,337.49,342.40,337.12,331.90,315.81,320.51,324.29,319.03,319.07,322.11,326.04,310.67,,335.54,331.29,326.55,309.16,289.49,280.16,278.24,278.56,282.25,304.95
2000-05-31 22:12:42+00:00,L7,323.05,351.30,347.30,351.82,348.81,365.23,368.21,365.21,357.75,362.88,360.87,350.25,348.01,343.02,355.52,351.03,344.30,341.64,343.74,355.98,350.02,341.24,346.55,342.57,328.60,307.34,313.96,294.48,,300.57,305.78,310.11,305.31,309.00,308.55,301.61,326.68,306.78,311.72,332.04,323.76,320.34,315.58,312.53,315.82,313.96,,313.60,310.22,301.37,,,318.38,310.05,298.11,279.83,268.31,269.23,252.92,264.18,297.37
2000-06-16 22:12:38+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.08,309.15
2000-08-12 22:05:41+00:00,L7,,,,,,354.29,358.59,364.17,358.41,395.38,,,505.70,,566.68,,,342.42,342.91,348.64,347.42,345.25,343.45,328.73,321.66,314.99,308.19,287.49,285.79,293.34,305.55,295.80,291.85,295.37,297.42,303.78,299.94,,316.06,310.84,,313.08,279.41,297.54,296.65,,,,,,,,301.98,284.91,256.02,262.62,252.38,255.02,,309.29,347.82
