dates,nzd0524-0000,nzd0524-0001,nzd0524-0002,nzd0524-0003,nzd0524-0004,nzd0524-0005,nzd0524-0006,nzd0524-0007,nzd0524-0008,nzd0524-0009,nzd0524-0010,nzd0524-0011,nzd0524-0012,nzd0524-0013,nzd0524-0014,nzd0524-0015,nzd0524-0016,nzd0524-0017,nzd0524-0018,nzd0524-0019,nzd0524-0020,nzd0524-0021,nzd0524-0022,nzd0524-0023,nzd0524-0024,nzd0524-0025,nzd0524-0026,nzd0524-0027,nzd0524-0028,nzd0524-0029,nzd0524-0030,nzd0524-0031,nzd0524-0032,nzd0524-0033,nzd0524-0034,nzd0524-0035,nzd0524-0036,nzd0524-0037,nzd0524-0038,nzd0524-0039,nzd0524-0040,nzd0524-0041,nzd0524-0042,nzd0524-0043,nzd0524-0044,nzd0524-0045,nzd0524-0046,nzd0524-0047,nzd0524-0048,nzd0524-0049,nzd0524-0050,nzd0524-0051,nzd0524-0052,nzd0524-0053,nzd0524-0054,nzd0524-0055,nzd0524-0056,nzd0524-0057,nzd0524-0058,nzd0524-0059,nzd0524-0060,satname
1999-08-17 22:13:37+00:00,317.72222222222223,337.61941176470583,346.10538461538465,354.43538461538463,360.98,360.7945454545454,355.1657142857143,350.12,348.61571428571426,343.5945454545454,332.27,325.62,325.23571428571427,327.18538461538463,333.4557142857143,334.81,329.3457142857143,339.78538461538466,347.5857142857143,353.5,356.1457142857143,351.4457142857143,348.32941176470587,342.28,339.11,330.0178947368421,320.9778947368421,318.22941176470584,310.21,309.4733333333333,309.9657142857143,314.90538461538466,313.85,314.03,315.18,330.15,339.29714285714283,341.7933333333333,344.04789473684207,347.36,356.4078947368421,350.49,346.23571428571427,345.29,340.36538461538464,338.62,336.05538461538464,331.87538461538463,329.74538461538464,325.37538461538463,319.18,315.72538461538466,318.21,294.3857142857143,292.56,278.23,279.97538461538466,279.04,285.31538461538463,282.76,301.1557142857143,L7
1999-09-27 22:07:36+00:00,324.4648148148148,326.1082352941176,331.0469230769231,333.2069230769231,336.5133333333333,333.88363636363636,339.3028571428572,336.93333333333334,333.6928571428572,326.5536363636364,314.79,319.95666666666665,315.53285714285715,317.5569230769231,324.47285714285715,319.9733333333333,319.98285714285714,322.8969230769231,324.5528571428572,332.46666666666664,333.3828571428572,324.3028571428572,324.01823529411763,318.745,309.865,310.02947368421053,307.2394736842105,298.2282352941176,292.7266666666667,300.32222222222225,299.40285714285716,300.7869230769231,306.12666666666667,305.44666666666666,312.705,322.6,326.31190476190477,330.47222222222223,336.9294736842105,345.305,348.89947368421053,344.09666666666664,344.35285714285715,343.00333333333333,343.0969230769231,336.6133333333333,333.0369230769231,323.6369230769231,321.3969230769231,318.2869230769231,316.74333333333334,324.0969230769231,321.94666666666666,291.73285714285714,281.7866666666667,282.6666666666667,283.3069230769231,285.74666666666667,273.2669230769231,276.255,292.5528571428572,L7
1999-12-07 22:13:41+00:00,339.2933333333333,344.1682352941176,353.0076923076923,356.15769230769234,359.24,359.63545454545454,363.36,369.18,362.33,362.0254545454546,346.63,348.61,349.0,348.34769230769234,350.98,353.49,355.44,348.03769230769234,351.56,349.90000000000003,350.53,341.81,338.5482352941176,331.355,326.035,320.44842105263155,,,,,,,,,,,,,,,,,,,,335.14,333.90769230769234,326.4376923076923,323.2576923076923,319.10769230769233,318.8,316.3676923076923,315.99,292.6,279.62,275.5,281.60769230769233,281.15000000000003,276.2076923076923,280.485,299.3,L7
1999-12-16 22:07:33+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.6771428571428,317.84538461538466,318.65,318.53,319.725,,,,,,,,,,,,,,,,,,,,,,,,,288.055,308.65714285714284,L7
2000-02-02 22:07:23+00:00,329.56666666666666,334.22235294117644,337.79076923076923,338.45076923076925,335.7,339.7572727272727,340.30857142857144,344.28,339.93857142857144,336.47727272727275,333.46999999999997,334.33000000000004,333.47857142857146,325.6207692307692,328.56857142857143,331.02,332.6485714285715,330.8207692307692,335.66857142857145,334.14000000000004,330.75857142857143,327.09857142857146,327.94235294117647,317.65,310.48,314.10526315789474,303.86526315789473,291.46235294117645,284.49,297.33,296.3885714285714,291.14076923076925,295.25,295.42,300.97,308.86,313.93571428571425,314.56,312.8752631578947,318.3,321.72526315789474,316.20000000000005,307.79857142857145,314.75,319.89076923076925,311.05,304.54076923076923,300.34076923076924,301.5707692307692,300.4307692307692,303.21,298.8107692307692,298.04,279.4485714285714,268.34000000000003,263.77000000000004,258.7607692307692,257.84000000000003,250.94076923076923,,287.79857142857145,L7
2000-05-08 22:06:44+00:00,350.4114814814815,363.5064705882353,362.3630769230769,365.4430769230769,368.1633333333333,362.65727272727275,363.85,362.3633333333333,365.27,361.41727272727275,358.68,355.7966666666667,349.31,346.3830769230769,349.5,351.3833333333333,352.32,353.0630769230769,352.93,358.1666666666667,360.54,352.43,340.0764705882353,341.815,334.555,325.55315789473684,319.93315789473684,316.8764705882353,309.2266666666667,308.94222222222226,304.57,306.6130769230769,307.65666666666664,306.1066666666667,316.365,321.91,325.49333333333334,327.78222222222223,332.4731578947368,335.115,335.00315789473683,332.5466666666667,323.62,318.4733333333333,316.3430769230769,314.1333333333333,313.1330769230769,311.4630769230769,314.0230769230769,315.1630769230769,,324.08307692307693,326.8566666666667,317.7,300.02666666666664,288.96666666666664,279.0630769230769,279.15666666666664,271.2230769230769,281.875,306.99,L7
2000-05-15 22:12:54+00:00,347.857037037037,370.8705882352941,365.59,368.95,370.3433333333333,373.24636363636364,375.4328571428572,373.9833333333333,375.7428571428572,375.75636363636363,361.96,364.16666666666663,360.4328571428572,357.58,360.7528571428572,355.4433333333333,356.72285714285715,358.59,359.5128571428572,364.49666666666667,366.54285714285714,358.77285714285716,357.35058823529414,347.455,336.305,336.93157894736845,327.2215789473684,320.91058823529414,315.8566666666666,313.9555555555555,311.0728571428572,316.37,313.37666666666667,320.01666666666665,321.725,328.32,327.31190476190477,332.44555555555553,336.12157894736845,340.775,335.75157894736844,330.16666666666663,313.95285714285717,318.3433333333333,322.29,316.8633333333333,317.07,320.11,324.04,308.67,,333.54,329.5566666666667,324.6928571428572,307.4266666666667,287.75666666666666,278.16,276.50666666666666,276.56,280.625,303.09285714285716,L7
2000-05-31 22:12:42+00:00,321.9388888888889,349.5352941176471,344.9923076923077,349.5123076923077,346.31,362.50272727272727,366.0671428571428,362.71,355.60714285714283,360.15272727272725,357.87,348.25,345.8671428571428,340.71230769230766,353.3771428571428,348.53,342.15714285714284,339.33230769230767,341.59714285714284,353.98,347.8771428571428,339.09714285714284,344.7852941176471,340.695,326.725,305.76105263157893,312.38105263157894,292.7152941176471,,298.9033333333333,303.6371428571428,307.8023076923077,303.31,307.0,306.675,300.11,325.25142857142856,305.1133333333333,310.141052631579,330.165,322.18105263157895,318.34,313.4371428571428,310.03,313.5123076923077,311.46,,311.2923076923077,307.9123076923077,299.0623076923077,,,316.38,307.90714285714284,296.11,277.83,266.0023076923077,267.23,250.61230769230767,262.305,295.22714285714284,L7
2000-06-16 22:12:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.955,299.8642857142857,L7
2000-08-12 22:05:41+00:00,,,,,,351.74454545454546,356.59,361.8366666666667,356.41,392.83454545454543,,,,,,,,340.2661538461539,340.91,346.7733333333333,345.42,343.25,341.8029411764706,326.98,319.91,313.5163157894737,306.7163157894737,285.8429411764706,283.92333333333335,291.78444444444443,303.55,293.6461538461539,289.98333333333335,293.50333333333333,295.67,302.38,298.6066666666667,,314.5863157894737,309.09,,311.2133333333333,277.41,295.2066666666667,294.49615384615385,,,,,,,,300.11333333333334,282.91,,260.75333333333333,250.22615384615384,253.15333333333334,,307.54,,L7
2000-08-19 22:11:49+00:00,,,,,,,,,,,,,,,,339.9766666666667,,,,351.9233333333333,348.52,349.81,343.88235294117646,335.885,335.835,315.4457894736842,307.0757894736842,307.95235294117646,300.2333333333333,301.5611111111111,297.63,297.78538461538466,,,,,340.9266666666667,336.9011111111111,341.7657894736842,349.015,354.1857894736842,334.8633333333333,333.93,,332.98538461538465,334.43666666666667,326.84538461538466,315.93538461538463,314.98538461538465,312.81538461538463,309.1066666666667,,,,,,276.55538461538464,260.9733333333333,254.67538461538462,,280.36,L7
2000-09-20 22:11:14+00:00,314.16,318.6929411764706,319.90769230769234,321.35769230769233,328.86,326.7181818181818,329.0842857142857,338.59,342.9242857142857,341.2681818181818,339.95,336.82,334.2142857142857,332.9976923076923,332.5342857142857,329.05,323.25428571428574,316.0676923076923,324.14428571428573,328.56,330.87428571428575,325.0442857142857,311.2329411764706,309.95,304.66,309.07421052631577,309.3042105263158,303.1329411764706,300.40999999999997,304.04,303.0242857142857,315.7076923076923,315.88,321.82,333.46,343.60999999999996,349.6928571428572,357.85,365.8042105263158,374.1,383.39421052631576,376.99,370.4942857142857,,365.60769230769233,355.93,364.9376923076923,,345.3976923076923,326.60769230769233,327.38,330.8976923076923,324.49,308.9042857142857,304.7,289.84999999999997,289.4576923076923,282.81,296.9976923076923,298.33,306.4042857142857,L7
2000-11-16 22:04:56+00:00,323.4788888888889,322.56176470588235,322.1961538461539,323.35615384615386,323.77,316.83181818181816,317.7142857142857,321.63,326.7442857142857,323.51181818181817,321.12,321.22,318.9142857142857,321.0261538461539,323.37428571428575,322.49,322.4742857142857,323.55615384615385,333.43428571428575,339.49,341.68428571428575,332.26428571428573,325.4117647058824,320.59,305.88,306.5331578947368,296.4531578947368,289.9117647058824,286.99,285.8833333333333,289.07428571428574,301.04615384615386,306.01000000000005,306.78000000000003,311.42,314.56,320.1328571428572,328.6133333333333,334.8331578947368,341.66,346.4131578947368,339.98,334.8542857142857,332.47,325.90615384615387,315.89,314.65615384615387,312.74615384615385,308.66615384615386,308.8361538461539,309.32,309.62615384615384,305.96000000000004,296.89428571428573,288.17,291.22,292.18615384615384,291.24,288.2561538461539,283.56,296.32428571428574,L7
