,dates,jap0014-0000,jap0014-0001,jap0014-0002,jap0014-0003,jap0014-0004,jap0014-0005,jap0014-0006,jap0014-0007,jap0014-0008,jap0014-0009,jap0014-0010,jap0014-0011,jap0014-0012,jap0014-0013,jap0014-0014,jap0014-0015,jap0014-0016,jap0014-0017
0,1984-07-10 00:23:29+00:00,95.41255891254578,85.84154423799419,92.22252111829495,94.88488833717149,101.00740662623446,104.59257068967962,104.6299056501641,104.58494345245599,103.37394921887834,113.51274173237742,,,,,,,,
1,1985-07-29 00:24:43+00:00,,,,,,,,,,,,,,,,,,
2,1986-03-10 00:21:04+00:00,,,,,,,,,,,,,,,,,,
3,1986-05-13 00:19:38+00:00,113.37144175734157,93.5145243421012,103.21355318535274,105.09341355862588,107.73251893797348,109.39389015411044,109.78333658617714,110.02669807447606,116.56758251600684,114.40622823289127,109.36799871923202,108.88779881014676,97.19102646471534,99.80986921391778,117.25148472549807,114.99434924018075,113.68782724067759,109.65797091828401
4,1986-05-29 00:19:10+00:00,,,,,,,,,,,,,,,,,,
5,1986-10-20 00:14:19+00:00,137.4256654737224,100.10166511236747,105.74857169134914,109.63523243327073,117.84384907110545,123.76935481418398,127.01365527512338,125.83797926013098,124.10453040591803,126.83124450574216,120.62154746874685,125.3054307526068,117.96542423589973,112.10130970791579,139.75710872231292,126.56808076195539,134.29634755371808,136.98311944869022
6,1987-06-01 00:19:08+00:00,114.92830376710053,103.50360404598679,107.99886986730993,108.39676151413173,111.78490492291587,119.36536584247177,121.90584573078519,119.34284792902297,116.89558614334891,116.17881794436164,109.0294946959806,106.46223893606944,97.20536557415359,103.09419597444796,122.6113828888781,113.6614304941905,118.79781475014414,114.1337107801649
7,1987-11-24 00:23:08+00:00,,,,,,,,,,,,,,,,,,
8,1987-12-10 00:23:21+00:00,,,,,,,,,,,,,,,,,,
9,1988-02-12 00:24:27+00:00,,,,,,,,,,,,,,,,,,
10,1988-07-05 00:25:33+00:00,,,,108.40040900238951,110.20405026512623,112.35205745384498,118.42054263073014,115.66836598744338,108.59264754239972,108.15609870233133,107.54341879035182,98.95982187081924,84.39280231105411,91.97466803402348,118.16976593797592,107.87910085451936,113.3616357809977,111.23581511207328
