dates,nzd0406-0000,nzd0406-0001,nzd0406-0002,nzd0406-0003,nzd0406-0004,nzd0406-0005,nzd0406-0006,nzd0406-0007,nzd0406-0008,nzd0406-0009,nzd0406-0010,satname
1999-07-18 22:00:25+00:00,324.63,318.67,320.24,313.70,,,,,,,,L7
1999-09-04 22:00:33+00:00,328.88,317.06,325.18,334.06,341.61,345.19,344.83,334.53,328.59,322.45,325.55,L7
1999-10-22 22:00:28+00:00,339.77,335.75,346.27,351.30,350.47,346.69,349.84,339.94,329.29,324.00,334.97,L7
1999-12-25 22:00:28+00:00,329.63,320.54,326.94,332.55,332.70,335.41,341.03,333.24,328.39,321.50,327.68,L7
2000-01-26 22:00:26+00:00,322.24,317.21,323.09,328.46,327.83,331.75,339.88,329.16,324.07,325.06,325.23,L7
2000-02-11 22:00:21+00:00,331.27,322.36,327.36,333.83,332.72,337.01,339.87,332.90,327.68,322.55,327.51,L7
2000-02-27 22:00:16+00:00,329.17,319.56,323.21,331.03,329.73,333.93,338.53,334.51,333.02,326.16,332.31,L7
2000-03-30 22:00:09+00:00,332.08,321.77,328.24,340.02,344.18,342.95,342.63,336.00,327.78,328.51,335.06,L7
2000-04-15 21:59:55+00:00,326.47,326.62,329.90,344.01,342.73,337.09,340.42,331.66,331.52,330.72,330.21,L7
2000-05-01 21:59:54+00:00,317.65,328.70,335.60,352.27,349.13,348.87,349.82,337.92,339.90,339.19,341.40,L7
2000-05-17 21:59:43+00:00,305.24,310.83,328.21,346.11,343.31,346.30,342.37,341.77,332.61,331.96,332.63,L7
2000-06-18 21:59:27+00:00,311.97,,316.60,330.41,341.29,340.70,333.52,325.28,325.06,327.75,334.73,L7
2000-07-04 21:59:14+00:00,,,,,342.76,345.30,341.70,330.85,312.07,327.42,317.01,L7
2000-08-05 21:58:44+00:00,310.88,311.10,310.75,326.41,335.15,342.61,340.22,333.47,326.27,331.92,337.15,L7
2000-09-06 21:58:22+00:00,321.29,313.18,319.05,336.59,348.07,349.92,346.39,333.57,322.01,325.84,331.02,L7
2000-10-08 21:58:00+00:00,329.03,318.97,321.84,337.78,340.67,348.63,345.89,338.65,330.49,323.54,327.85,L7
2000-11-25 21:57:58+00:00,333.48,325.40,330.31,336.84,332.58,339.50,343.42,338.27,320.85,316.92,322.99,L7
2001-05-20 21:57:28+00:00,307.28,296.79,320.99,347.39,350.32,348.56,343.54,334.16,327.49,326.36,329.91,L7
