,dates,per0009-0000,per0009-0001,per0009-0002,per0009-0003,per0009-0004,per0009-0005,per0009-0006,per0009-0007,per0009-0008,per0009-0009,per0009-0010,per0009-0011,per0009-0012,per0009-0013,per0009-0014,per0009-0015,per0009-0016,per0009-0017,per0009-0018,per0009-0019,per0009-0020,per0009-0021,per0009-0022,per0009-0023,per0009-0024,per0009-0025,per0009-0026,per0009-0027,per0009-0028,per0009-0029,per0009-0030,per0009-0031,per0009-0032,per0009-0033,per0009-0034,per0009-0035,per0009-0036,per0009-0037,per0009-0038,per0009-0039,per0009-0040,per0009-0041,per0009-0042,per0009-0043,per0009-0044,per0009-0045,per0009-0046,per0009-0047,per0009-0048,per0009-0049,per0009-0050,per0009-0051,per0009-0052,per0009-0053,per0009-0054,per0009-0055,per0009-0056,per0009-0057,per0009-0058,per0009-0059,per0009-0060,per0009-0061,per0009-0062,per0009-0063,per0009-0064,per0009-0065,per0009-0066,per0009-0067,per0009-0068,per0009-0069,per0009-0070,per0009-0071,per0009-0072,per0009-0073,per0009-0074,per0009-0075,per0009-0076,per0009-0077,per0009-0078,per0009-0079,per0009-0080,per0009-0081,per0009-0082,per0009-0083,per0009-0084,per0009-0085,per0009-0086,per0009-0087,per0009-0088,per0009-0089,per0009-0090
0,1985-03-27 15:04:03+00:00,201.63902718775643,200.65287030242726,218.78856346287182,210.34906231085543,211.25763373664432,225.75812899801448,239.84937142896084,246.70155669539383,232.99040507087307,229.66234426687595,238.76460969369938,228.86716763767697,223.33230116839326,224.86365903475723,246.37775108970567,251.38085283280176,249.9451241763953,249.03489410977505,256.9025456131221,257.67619331330684,257.18676661135066,248.6656531970144,247.99515356325006,234.82528523382882,215.67626942629946,207.01951237206228,231.511227633758,235.44287348243296,231.16167992464585,224.10505421406378,239.03480562989836,255.0480605853781,261.82538334400016,248.08135685915022,247.03707844920058,249.43695568250968,248.1198462140627,249.92346011121384,244.9074384710949,246.99739718732147,237.80146467490354,227.09760521468226,218.4778422366457,218.24520051325186,212.6694438590154,212.79195081355914,202.1270516506591,191.5931469877311,185.16119275868255,189.83932202699825,200.02507928581392,,,,,188.3860013158593,175.9915434194542,173.97521999723799,159.65179558495464,152.0390115636381,134.18769179189582,124.66575515704584,113.129871159308,116.20442278129056,123.64624474968006,138.24169960035437,145.57121627054988,138.01714044338937,127.99303325073994,122.8507295744692,118.32945699951674,116.28008891706574,129.06726889928422,147.81823869338618,170.47686090049885,181.80531509030112,,,189.9010384945641,179.14184314205568,170.86228413515974,158.15671811799183,151.988373322957,149.18658167552042,146.86390174175017,139.28868401789728,131.56010892796104,116.40210921255711,99.32115182476504,92.31370440613854,99.09113665143832
1,1985-12-08 15:01:45+00:00,201.4351500987539,199.52302329735483,210.90491398876844,216.88908091805882,234.5179939783969,249.15962129405082,264.0233206428121,266.84447542791304,257.72975481910487,252.1784746032164,249.5545475068521,230.64047851142635,223.84400716327264,220.77162637837188,225.77110552966946,224.85243910984335,225.95154840117291,,,,230.82177631518974,231.15686638729392,231.0200588820258,228.86257861914842,221.26398775253205,204.03156090515398,229.82669891737544,238.00883235578794,232.93410956538355,225.28536900743438,228.74324222600376,245.97766446429253,256.43138509017143,254.1795811817086,254.80459643976047,261.8203482568992,265.3782123485425,279.51268752976796,265.6987784897309,256.08524758018103,237.51197086989552,215.09090347863827,199.47200787192506,203.23811875341488,204.17114448009272,197.71698133206004,176.1991782417612,160.04152461210475,152.36288860595192,157.53772594249173,167.92734479691057,,,,,153.46329158810644,157.09567809033916,155.60918235427866,153.17566873734594,143.3193728921806,140.0400151502314,124.84715629302448,117.41429234979755,118.90856202776263,121.24546582808169,132.81780954591355,132.54332817339017,124.03739588516126,125.4053700937516,126.88546484799461,126.17499288924402,134.1697850523933,142.38995360237183,151.6158105174862,155.05664021022855,152.57268856610932,,160.43526384638028,153.55502264225072,144.89497209082054,142.20207507649945,136.6025166225615,138.45072797033143,136.98607729065634,140.28339257009856,139.50947843677235,137.83263413066175,128.39679976182498,111.7642172032235,112.3097859246235,108.26457548837622
2,1986-03-14 14:59:46+00:00,206.0916247935604,204.88851991794178,222.35820128036275,221.1836254101421,232.73219198614788,249.4035757366898,264.74952491186775,269.0276079549171,252.09913034953047,232.19672074307195,228.9909415247373,216.1078038661429,217.00908446635214,210.95533373265448,214.26116381091677,213.6496157392222,212.8037537379479,223.83425929102356,250.34639307857964,254.90532018862467,249.09004284124651,248.11543346936185,246.19865452023987,233.9729050088075,217.4520017700769,207.88896179397307,234.19345061783082,239.33331478523104,239.77056702442468,251.67181349037503,262.6943435790063,268.60018693547113,257.60547505574755,242.46540552282246,245.15219456499378,248.09130529387,252.814616090303,257.51528931701637,252.2982132006253,258.00137960547,250.69375330353228,225.54592688182828,214.320935991522,217.34846909677523,224.31873827135877,217.6053702451417,203.48565348069388,198.52251619898283,194.26348259609443,198.1229897469496,210.9428915708967,208.90194310339956,209.12367821335724,206.44579799692968,205.30742312797918,204.569283380114,187.47264007243677,177.14636200588245,171.59034756935623,156.66570850665755,138.75557856561926,119.92386667288,107.9479401179378,109.5640477055693,130.12991385306051,147.38852817471596,152.513290027499,139.83072624477555,126.74210794371962,113.31505793939161,96.8707424381117,100.75103310350399,112.87876920167044,127.91980658512333,153.21830653419272,190.13109342815733,201.21914934027262,197.3595136618976,176.38312484558475,165.0335279254681,159.30937663302223,151.15536336600044,140.39625612406257,136.19362493558216,127.62362406259136,120.20601895799965,117.48221061911084,106.00242032473993,82.83244878340278,81.71105982151354,88.85260159716802
3,1986-05-17 14:58:17+00:00,208.7993595732766,199.04557854948092,219.83779412613393,209.5496267898643,221.42294879929688,240.03161599645844,247.33982902486164,253.58398903352722,230.27370764958826,228.85599164654403,235.6216125240185,221.9537524505772,225.9834304199323,211.49156919996585,223.21751632834543,232.91478418415545,225.90078299330182,228.89124791319514,253.19187704224098,248.4338108301716,249.18883352986836,246.90146122851738,243.95999277413674,233.9994891357665,223.59559766399707,211.8589455924975,231.8814252549692,235.50970632027963,231.016206002472,223.93016750029523,234.26481683225984,263.9638445057473,279.1997915496898,269.4783096653741,255.28264654167288,255.77606729531257,263.09453581436867,267.5661911501151,253.44393908532376,242.30724222227096,235.5593579949333,226.20815778895732,225.19491410767978,228.12182633803414,232.0557166033468,234.99381290092347,221.04264944198775,210.29548398568105,198.77229491244915,203.93256595259805,212.56276195272454,210.53347756609122,207.24351073090912,198.75102330261845,193.38242578346353,188.63357934218425,174.54275790140287,169.41078870937133,157.19487996290255,143.2283221362513,140.5239167925481,130.92487945251463,122.73246703670755,119.71430595785078,122.4102170399761,135.2833560935738,138.61910049864605,136.94157391828543,121.13011590767994,102.45431124592572,100.45118970179152,107.21311712234808,123.14003459965777,143.78156095573644,164.68025762652758,172.79081966220056,179.9745727134208,192.34292492938886,187.9377781049243,171.48407624177776,153.6463420295853,145.48752859942428,142.70861672612142,133.3743181134785,124.50057400806226,117.69458618886682,108.02234118846187,96.39194718467425,76.80316408310235,78.25154354886551,83.71488911754354
4,1986-07-04 14:56:48+00:00,210.68411976818734,209.53704996776145,226.35565831324854,211.51705316620883,222.60077717038763,240.8030838146366,259.67113483768037,265.4285147514291,241.814066477281,236.9956668348149,242.22862786238488,234.98516975662156,236.3770530510454,224.7408190311484,228.7126860963832,233.75801758922142,232.65127645522034,241.47407860293544,255.12234508727138,249.21671009325328,254.69981897206787,254.95679892045186,252.60698054164982,241.78119383124238,232.94545846591342,221.01344355224674,241.8984944208874,246.43798710394998,247.39168662377244,230.60919321239533,226.49478262206213,252.29601649020904,271.7686188984169,269.2422473198271,260.67385375065123,266.04535915743656,266.5683919797027,271.8848777109527,265.37044172085467,267.79992541079827,264.2762371487936,253.84302931460786,239.5195018902506,237.29309203621682,240.7410313462283,243.53036216330042,230.0826458098254,225.31622781107467,216.36172285597,215.48571394803858,222.85346271039447,220.6169441588857,209.4842741043394,201.4094929444049,197.78692808915193,200.25905020447,193.4772104787382,184.327051457894,178.43356275620323,163.4110172859792,158.30611066655197,155.90989506812318,143.69403436387026,144.30364411990655,152.48539021613516,152.68720392161018,161.99428469953867,160.33986149152108,148.36927353698724,128.22827047890132,127.45048433986116,138.97424395184098,142.84516112241053,164.78434255361233,175.55238465157578,171.2445532633524,175.04092112666768,178.19437930381554,177.65744770395912,168.31442186190995,163.94898714925787,157.4665073500443,155.7655423423501,147.31359527544714,133.6414092339655,130.77988830795783,129.5004197453633,123.02288899821042,114.54367575023855,102.92833278387945,110.58350884875021
5,1986-07-20 14:56:15+00:00,214.8724359558133,209.8724987959332,224.00730641394614,212.21445065537318,214.8211934746384,244.95889007427724,269.27485513927786,278.69124895553995,249.75749956645998,245.81606660578967,256.5264073618739,241.11718459920857,240.0572513258767,223.9162545405926,230.97750640747944,235.31438302998458,235.391541120834,248.52947503914152,257.14944936487734,254.4073182533676,251.57533580089813,250.13256634297457,256.6078535895216,246.8782231248997,238.89337838053532,223.11891828251356,251.540997994353,250.04476633370552,249.03346758097808,236.12193139261723,229.29506559439164,242.64160556954477,265.04652949132753,262.6918455228591,263.1339871404115,273.08776908765765,270.9080948156775,277.6421266178329,268.0245042546308,264.6026434052093,263.6570272257652,255.71446294226,241.2411589129951,238.26390441356955,242.38591445797866,243.85920202720152,231.2094182607861,220.66140935741515,216.26840322820104,217.2821324301745,223.7020118512011,214.72629937040398,208.87239779818574,200.84665896670333,190.51089719925662,195.66821570081154,187.9535110972827,182.14283461350198,174.84048911347202,167.36744450727826,160.67414199523907,160.26776256444657,154.83330008961093,152.4143705866484,151.33485391403462,158.56085177146184,159.08432659099103,157.2962464565352,147.73275458799714,137.45516321874257,136.71113065877591,143.249207375424,150.69258861753136,168.86731791662805,183.01611651478947,175.88214721773318,166.38804017701744,171.10963102904927,174.58821102705122,166.146280836544,159.41504419338878,155.60246525649046,143.61148363133628,149.66476736427046,141.8044301981725,128.58148610030935,131.1270705382969,116.22563498447349,124.83265047388653,114.55422470216038,103.43860882278958
6,1986-08-05 14:55:41+00:00,218.19971516339328,210.69980029197424,227.85784648654646,223.0473862641507,218.24818054178309,241.5343889722559,271.5971999475813,279.16098881210223,257.5763345908659,246.55194431505208,258.2002559768161,238.89475743176106,242.83231068022022,222.4704734461383,224.57992083714964,233.77903298139722,236.96038071375278,243.06411232696888,253.48554092824435,251.36465218843003,252.312049474793,250.0432077574094,252.23454280475164,248.84185738829137,239.0749785122352,217.75231845516956,247.62393184293177,248.75644924422912,252.14841597419854,233.84944570559713,225.8518818103,240.32622454152977,257.0869845722699,261.1757911069298,261.588524872317,272.0322294681492,274.40879351655826,274.35828720340254,263.9377831328993,256.0329005328477,253.0639165053015,240.57142716194403,229.98286277211668,229.264468106396,225.07217169365336,232.21358904067753,222.8112982751374,210.51718829022312,203.23530755295982,199.27998669742513,204.35848897735048,193.7058198061131,189.75806153605308,178.33425989948387,172.52806624877982,171.90408741144904,171.56479741676895,165.68273883434858,161.87937623311439,156.53538637196988,152.08478853052162,145.4054227532327,146.93268933428755,147.3343812388096,153.49792510457704,157.27524955904383,164.73688117270552,151.58057524555124,136.95303444118238,127.2363768144508,130.11971453592955,143.48247524469278,148.88328145307503,156.64965587128586,178.53035226546243,181.39326074161357,155.70913684297312,150.28081886092195,148.3514026187239,154.38904534784987,146.2532598963012,137.34465344215351,135.5124132693013,133.97661841730573,136.47081416860715,132.6159575587341,130.77051647365693,125.60484636584971,109.68693173103551,104.03334187120237,99.57424216343995
7,1986-09-06 14:54:29+00:00,219.18846776643437,221.3271696099256,231.40310069256577,228.84960597204713,228.3184803292524,250.45135593332995,272.1627892627455,273.91720301429035,256.84146536634375,251.836943491809,261.0586996566673,244.71125010296583,240.9875677388523,224.95625311042943,226.2851133181824,234.1058531036889,235.75076402578102,241.97845884866953,251.8043995637522,251.9865507378767,250.88945000946728,251.98349726546633,252.41640443379993,250.98717382868347,238.46494144241734,223.15320338738576,249.6985185451506,253.8496911203506,251.74546508790303,234.3423674433824,229.4393414706684,240.81134640814184,260.6796977019802,260.1566397702518,261.1596342380049,274.1477031591352,276.7566016148495,277.95412328042573,265.7203058625006,261.0231940557052,256.25656817332197,247.81001567063214,233.4032433299485,234.96108967261438,229.26710127815892,237.05555369667337,229.15940105474522,213.78572476991664,202.34141053021213,198.17463926876502,206.03011649733236,193.9979814565808,188.33853459640017,178.01523396833363,178.11565629270044,177.65219271236123,172.20959660177175,167.0687470821788,166.83476655991916,157.8467754811021,160.55215832410647,155.28545061365736,152.87278466013512,149.7319458648015,146.70724365942922,152.48844601443733,157.78906821290775,153.85489761809436,138.56150230538105,135.3562266172854,145.0769146594859,147.79622450078438,164.10736774111902,168.73735653356553,175.493134099477,172.83867480003295,159.0041650283036,153.35178290396578,155.06783855306392,150.26672621769143,143.23423280233797,140.27046552332678,143.64433682426943,141.85624911675754,146.45786110329823,147.57777847463927,149.77694362937072,138.19720532358895,122.31848998021759,121.27231376112728,118.59035206353167
8,1986-11-25 14:51:54+00:00,214.27689825489304,207.5986052224085,229.888259988318,215.55090549524107,227.7637656281608,242.3975860701002,266.4742536114209,272.88283371140415,254.38570427515756,254.5255108119135,255.25998100501153,237.17011522552554,239.59759506550424,226.87808196551399,242.5890966506293,239.89996261002267,234.78765584567213,238.72722688393532,244.38717887600467,238.6541789154047,241.1064704992259,246.57743293030455,241.80580812408022,235.71517886346678,225.61089970670582,218.79822166212415,238.52627530621885,240.99739366234348,251.86932277208007,241.29032686357792,236.93065028338003,249.9278746649393,257.55364747146183,259.9017310920071,253.92476067162062,263.4962484385861,266.6936998505688,268.0936797274602,261.67416625693977,257.45980935487177,248.8466939420594,241.33276826838852,234.8836064079586,235.19732415270204,233.3442897419772,229.94517466857167,218.65702306221925,206.45258277059483,200.4372127840491,198.4464601603695,204.53498376441877,198.70736882256577,199.47834470581074,180.02309465192002,180.07437796250002,182.7678695039539,172.12469759897124,166.77727961078395,164.56228911500114,161.06126879805404,157.64369006669068,148.92785422950345,145.07754199042296,146.81063606174507,154.55091867969352,161.3082600289537,163.92770879801674,159.21603113290843,151.19447908950278,155.3546111101897,154.671130152464,153.6362034147707,155.899725807814,168.80038688812647,178.36242120699575,167.17303940540444,163.52376140232147,161.80979370507134,154.52041412146315,149.89069977831156,141.85947589294545,133.88512772856353,136.48766423612167,134.45800103025812,138.1297664633,133.83427915855543,133.43440412562916,129.04330659832652,111.79129589470656,109.78946001872939,120.27651256030357
9,1986-12-11 14:52:20+00:00,216.83915706434277,213.45176540905263,225.55960333574205,214.29046109247892,222.33699389217512,239.12072201992564,261.5818837491647,258.34645218422526,242.5825862377592,245.90448377883786,255.22436344306695,243.84424140502995,245.55007045509643,227.463536660785,241.8186948345027,245.57556404820008,226.18636767556552,228.24230691462193,246.2033425631371,243.99722794524604,243.4879587020983,239.95006169514446,242.13923713747295,235.61931865482288,223.92103963041853,218.52821454543215,232.04910792604318,236.31514517904768,229.78208381896218,230.57032336041212,228.2377914335358,248.2339911528715,255.06260619903915,246.27168020352363,243.7720177359997,256.4836122982242,254.76954237922678,264.2373330172521,259.8017385336585,273.3472610143014,256.9583810184923,236.55405319462903,225.66843907781578,229.6644910039456,235.17265855448684,231.493053548158,219.9985087501039,209.03742812817265,201.34979751821612,200.85266353891694,202.7111972481098,206.70862681866768,204.835263954238,195.98176771363734,189.34280668104603,191.89771409878784,181.3627258086246,170.84830382799544,175.6509241414124,165.60008584087754,160.79241132408777,148.29751917471526,132.86360934653294,143.24297632946906,152.06963581100854,163.0738502803893,168.3126241521598,164.48627109810525,154.7878523013233,158.40851922684521,143.46335512878832,144.79522379740982,147.02530951628466,160.8862576582142,164.30307899366028,164.92797742554865,156.79427575993924,158.90781955879459,153.2734145326965,134.85740764024825,123.63621611834117,130.91088255387237,128.90288170626317,135.90359003027297,136.62700380348102,140.51708527951013,137.70003703227093,125.21944587026603,112.36589442894781,108.95233325083892,113.20942108135017
