,dates,per0131-0000,per0131-0001,per0131-0002,per0131-0003,per0131-0004,per0131-0005,per0131-0006,per0131-0007,per0131-0008,per0131-0009,per0131-0010
0,1986-05-05 14:35:53+00:00,,,,,,,,,,,
1,1986-11-29 14:29:16+00:00,,,,,,,,,,,
2,1986-12-15 14:29:44+00:00,,,,,,,,,,,
3,1987-03-28 14:39:28+00:00,,,,,,,,,,,
4,1988-01-26 14:46:24+00:00,169.54554823316403,165.72341284677364,181.98080324792738,181.7048242249872,184.85857440413207,180.86408079687408,176.44234835250805,178.42073096233355,174.17906242568054,179.2799557596462,189.08863188009428
5,1988-03-30 14:47:10+00:00,168.87969798949734,155.81132544420623,170.16445120536858,170.3445043617515,170.8944231160918,161.5255598674458,156.89054100420594,163.17749601629603,162.05292551340114,171.43081159792825,177.8911907180236
6,1989-03-01 14:46:53+00:00,172.08693354174662,132.19689408377906,168.1621749572952,155.61858771003517,152.7997532453091,174.6395055998983,149.47156709762993,168.84501704642975,160.50723936311383,164.01801568780684,168.92137564152873
7,1989-10-04 14:36:35+00:00,,,,,,,,,,,
8,1990-03-13 14:31:33+00:00,141.4878860851701,128.45259396612119,150.7279301062241,,,,,,,,
9,1990-10-14 14:36:43+00:00,168.17483872690033,157.24693774235232,171.90400456168373,173.84531130459465,180.028134380288,171.61422856041685,164.94599377838605,168.94246515042522,164.4478377216195,175.87806759727295,179.1066174251731
10,1991-01-18 14:37:29+00:00,169.65355387053216,161.7907755660298,175.3218811926572,180.95107019236178,181.3599074314359,174.40886121272106,165.76082254069348,174.017373705354,175.69973083719782,178.26594381183858,182.09879136662587
11,1991-01-27 14:31:30+00:00,161.06300316579492,150.95547729336172,164.26914814907698,162.0810644410569,169.7083180171617,161.91433152792365,153.23122548716407,157.84389207450917,149.73404594709848,160.59835700889278,167.22163057333864
12,1991-05-03 14:33:12+00:00,,,,,,,,,,,
13,1991-05-19 14:33:26+00:00,,,,,,,,,,,
14,1991-07-06 14:34:09+00:00,,188.69257192391217,,,,,,,,,
15,1991-08-07 14:34:28+00:00,,,,,,,,,,,
16,1991-08-30 14:40:48+00:00,,,,,,,,,,,
17,1991-09-08 14:34:47+00:00,,,,,,,,,,,
18,1991-09-24 14:34:53+00:00,,,,,,,,,,,
19,1991-10-10 14:35:00+00:00,,,,,,,,,,,
20,1991-10-26 14:35:05+00:00,,,,,,,,,,,
21,1991-11-18 14:41:20+00:00,,,,,,,,,,,
22,1991-12-13 14:35:24+00:00,171.04473248050093,154.3879279528889,,,175.59568813187687,166.28412954755714,157.52997084608262,166.0908887733183,165.49106631610678,178.29422383349745,188.0733819747433
23,1991-12-29 14:35:16+00:00,,,,,,,,,,,
24,1992-01-30 14:35:17+00:00,,,,,,,,,,,
25,1992-03-18 14:35:08+00:00,,,,,,,144.68375746283542,162.77400226551106,185.57743823059744,182.85956602470154,185.2092569621748
26,1992-05-21 14:34:33+00:00,,,,,,,,,,,
27,1992-06-06 14:34:26+00:00,,,,,,,,,,,
28,1992-06-22 14:34:13+00:00,,,,,,,,,,,
29,1992-11-29 14:32:03+00:00,,,,,,,,,,,
30,1992-12-06 14:38:21+00:00,,,,,,,,,,,
31,1993-02-08 14:39:02+00:00,,,,,,,,,,,
32,1993-10-06 14:39:23+00:00,177.57842966857925,171.2149310735928,181.1009319675229,176.20916060111654,181.4606691264783,178.81661978191732,176.6020074669254,178.1686338613826,174.7233563089731,190.4510615068185,190.98317165769996
33,1993-12-25 14:38:49+00:00,144.91204766950867,141.07874104645273,146.91163897235373,154.88498437254162,148.8188566915285,152.88796101212282,131.8562392588019,125.31122555266742,,,
34,1994-04-16 14:37:10+00:00,165.50444005538466,150.54032425147278,172.52016997582018,173.54225070481908,173.04732147591182,165.95693950215255,159.7777607556492,163.95046619703507,159.41100449461047,180.0249066698994,176.8699972109531
35,1995-02-14 14:28:30+00:00,171.725071730485,162.42330431452447,181.6147304596028,176.0463574037713,175.56241960486824,178.05075732922072,167.01226242352254,175.30375240505592,170.3796603862695,178.89429318006404,184.57741252510314
36,1995-04-03 14:26:34+00:00,170.19836497830084,157.10148992984233,172.64321314108514,166.28508210730527,163.51345413680457,166.69266549684716,159.81022595176142,167.5659986216952,158.88123857384676,176.73219626221334,177.5463182163648
37,1995-05-05 14:25:11+00:00,142.22333925525487,131.36361862077453,138.88457533634403,147.66399826238788,145.00278430767617,142.12660645489444,126.7790433686798,138.12820657926187,135.56513961441033,147.40737399100473,151.1288888339427
38,1996-02-17 14:22:43+00:00,117.9007837204434,149.74556671005203,148.70813308084956,132.44057656622604,152.65831029791966,155.90040802481838,137.91547978623925,,,,
39,1996-02-26 14:17:09+00:00,165.7005516235243,154.82375450520846,147.55299530897702,155.52226182061878,157.81837662208005,149.15370191109469,136.91380737940432,146.3015771160588,152.25034999179226,168.96845552205585,166.952689919337
40,1996-03-04 14:23:47+00:00,165.24050706336212,162.56646628142968,179.3783907713639,165.9502937486088,176.11532207457412,169.99665515251596,161.22946085459955,167.43980129109522,156.8518619614166,163.95755620574397,165.85057594235946
41,1996-03-13 14:18:12+00:00,,,,,,,,,,,
42,1996-03-20 14:24:50+00:00,170.98392977913025,158.3322995685678,185.71253814032502,178.03406635479163,180.88126174038416,173.02144586282404,162.6069215081821,167.7071111419026,172.36334795457657,178.70534908327255,182.17966617114038
