dates,satname,nzd0242-0000,nzd0242-0001,nzd0242-0002,nzd0242-0003,nzd0242-0004,nzd0242-0005,nzd0242-0006,nzd0242-0007,nzd0242-0008,nzd0242-0009,nzd0242-0010,nzd0242-0011,nzd0242-0012,nzd0242-0013,nzd0242-0014,nzd0242-0015,nzd0242-0016,nzd0242-0017,nzd0242-0018,nzd0242-0019,nzd0242-0020,nzd0242-0021,nzd0242-0022,nzd0242-0023,nzd0242-0024,nzd0242-0025,nzd0242-0026,nzd0242-0027,nzd0242-0028
1999-08-21 21:46:33+00:00,L7,326.85,311.95,315.73,326.13,351.16,356.86,350.73,343.47,347.56,344.48,351.89,345.68,349.89,345.83,343.24,344.32,337.42,342.40,335.70,345.52,354.69,356.83,369.11,356.42,377.18,370.69,361.07,356.54,363.84
1999-09-22 21:46:36+00:00,L7,331.52,316.16,316.95,326.41,354.09,362.58,351.21,343.28,344.14,347.01,351.78,344.21,347.48,344.97,339.84,346.39,334.35,343.87,348.26,354.50,352.85,356.06,355.56,376.46,383.86,370.60,356.78,360.50,372.10
1999-10-08 21:46:42+00:00,L7,326.74,320.00,315.83,325.59,348.21,361.00,352.35,344.24,346.06,347.25,352.90,342.93,345.51,337.25,343.09,335.39,344.80,344.43,346.22,348.22,346.07,355.35,361.26,373.43,382.79,362.86,355.20,358.35,364.57
2000-04-01 21:46:10+00:00,L7,326.60,328.34,328.21,333.22,354.32,359.20,344.41,342.07,334.73,338.35,344.14,347.32,346.44,346.53,342.66,345.17,338.08,338.06,340.37,344.99,345.64,338.47,345.75,353.42,360.72,355.78,348.70,356.31,378.36
2000-05-19 21:45:43+00:00,L7,313.33,315.58,316.06,321.25,339.37,337.43,328.08,333.15,335.50,338.28,340.76,343.99,345.80,339.61,335.79,337.07,337.77,335.42,340.06,332.62,333.89,348.12,350.01,360.13,367.48,359.26,354.80,357.75,362.20
2000-06-04 21:45:32+00:00,L7,304.56,302.55,310.55,313.33,327.13,334.68,330.69,330.45,325.82,325.08,328.80,327.90,326.70,325.79,326.38,322.94,315.72,307.89,,331.39,330.38,329.77,326.72,345.82,354.68,343.00,333.72,336.79,347.27
2000-08-07 21:44:45+00:00,L7,319.72,308.61,309.49,321.13,337.84,343.68,327.98,335.15,333.51,333.71,342.92,335.94,339.41,337.19,329.26,328.41,321.33,321.64,329.23,326.96,333.17,339.83,344.68,351.74,361.68,356.42,354.33,347.75,351.31
2001-01-14 21:44:09+00:00,L7,311.23,309.60,304.95,315.47,329.20,332.32,334.37,332.56,327.38,329.00,329.89,328.02,329.73,330.79,330.36,331.74,327.19,328.11,331.63,331.18,328.82,343.63,348.44,358.77,359.86,,,,
2001-04-04 21:43:43+00:00,L7,330.33,319.85,323.04,331.76,355.42,356.07,350.84,349.05,345.18,346.55,353.38,346.14,350.96,353.85,348.29,349.51,343.50,342.46,337.65,342.51,340.99,347.30,358.25,366.37,379.06,365.52,357.14,353.88,364.06
2001-04-20 21:43:46+00:00,L7,330.55,325.32,325.95,332.81,354.83,356.93,348.43,346.27,347.48,346.61,356.31,347.61,348.96,355.14,350.10,350.52,347.70,350.39,351.05,350.30,346.06,350.80,359.99,368.32,380.83,370.46,362.69,361.50,364.04
