dates,satname,nzd0204-0000,nzd0204-0001,nzd0204-0002,nzd0204-0003,nzd0204-0004,nzd0204-0005,nzd0204-0006,nzd0204-0007,nzd0204-0008,nzd0204-0009,nzd0204-0010,nzd0204-0011,nzd0204-0012,nzd0204-0013,nzd0204-0014,nzd0204-0015,nzd0204-0016,nzd0204-0017,nzd0204-0018,nzd0204-0019,nzd0204-0020,nzd0204-0021,nzd0204-0022,nzd0204-0023,nzd0204-0024,nzd0204-0025,nzd0204-0026,nzd0204-0027,nzd0204-0028,nzd0204-0029,nzd0204-0030,nzd0204-0031,nzd0204-0032,nzd0204-0033,nzd0204-0034,nzd0204-0035,nzd0204-0036,nzd0204-0037,nzd0204-0038,nzd0204-0039,nzd0204-0040,nzd0204-0041,nzd0204-0042,nzd0204-0043,nzd0204-0044,nzd0204-0045,nzd0204-0046,nzd0204-0047,nzd0204-0048,nzd0204-0049,nzd0204-0050,nzd0204-0051,nzd0204-0052,nzd0204-0053,nzd0204-0054,nzd0204-0055,nzd0204-0056,nzd0204-0057,nzd0204-0058,nzd0204-0059,nzd0204-0060,nzd0204-0061,nzd0204-0062,nzd0204-0063,nzd0204-0064,nzd0204-0065,nzd0204-0066,nzd0204-0067,nzd0204-0068,nzd0204-0069,nzd0204-0070,nzd0204-0071,nzd0204-0072,nzd0204-0073,nzd0204-0074,nzd0204-0075,nzd0204-0076,nzd0204-0077,nzd0204-0078,nzd0204-0079,nzd0204-0080,nzd0204-0081,nzd0204-0082,nzd0204-0083,nzd0204-0084,nzd0204-0085,nzd0204-0086,nzd0204-0087,nzd0204-0088,nzd0204-0089,nzd0204-0090,nzd0204-0091,nzd0204-0092,nzd0204-0093,nzd0204-0094,nzd0204-0095,nzd0204-0096,nzd0204-0097,nzd0204-0098,nzd0204-0099,nzd0204-0100,nzd0204-0101,nzd0204-0102,nzd0204-0103,nzd0204-0104,nzd0204-0105,nzd0204-0106,nzd0204-0107,nzd0204-0108,nzd0204-0109,nzd0204-0110,nzd0204-0111
1999-09-13 21:52:41+00:00,L7,299.21,282.60,281.06,286.29,271.06,297.30,295.64,296.88,303.81,302.08,299.80,,,,,,,,,,,,,,,,,,,,,,,,,324.15,305.73,273.41,309.86,324.27,338.15,336.40,333.30,331.63,326.12,315.94,313.12,316.93,317.97,319.49,316.96,313.90,315.95,313.28,309.98,306.48,306.23,304.06,302.88,298.04,297.81,298.60,300.68,301.53,303.72,306.56,306.90,307.70,308.57,308.54,303.08,302.36,299.76,298.85,295.70,296.25,298.34,299.27,301.26,304.74,302.88,301.84,298.73,297.59,308.46,317.09,317.13,318.45,321.12,321.43,319.31,319.45,320.42,320.54,324.15,325.39,334.46,337.95,337.72,340.66,340.88,343.17,353.32,351.94,361.30,365.51,358.45,348.21,340.25,335.89,334.14,329.09
1999-09-29 21:52:52+00:00,L7,312.38,294.03,284.37,295.78,275.47,300.29,299.34,299.27,317.72,314.78,308.42,309.40,311.50,309.26,314.44,319.00,324.61,331.18,332.19,332.52,332.26,330.48,331.71,332.12,330.64,321.43,299.76,315.29,329.74,338.97,341.03,344.19,343.17,339.65,336.07,330.13,321.16,299.04,317.48,341.57,344.53,363.03,367.60,366.88,363.58,354.30,341.95,342.24,332.32,331.26,327.16,326.67,324.81,324.29,323.14,318.06,319.80,331.48,334.45,331.56,325.13,310.13,305.49,307.93,306.61,312.23,319.06,317.11,316.03,314.66,312.15,307.76,306.27,306.15,304.30,305.68,309.69,317.84,314.75,316.34,314.42,314.37,309.39,309.92,319.54,325.32,330.48,332.69,339.58,344.78,347.81,349.16,348.00,339.51,341.45,343.29,348.30,354.53,355.58,353.67,360.10,360.30,361.34,365.53,369.37,368.72,364.27,361.05,349.78,346.39,346.52,348.24
1999-10-15 21:52:49+00:00,L7,326.26,305.63,297.09,302.65,294.20,304.48,305.02,307.74,316.64,315.86,316.20,310.57,312.25,311.79,334.96,323.31,327.01,332.27,333.25,330.49,334.83,337.20,331.33,331.92,327.79,327.46,313.17,330.39,336.26,343.59,346.65,347.55,347.10,344.71,339.43,334.50,328.71,317.35,327.87,344.38,353.30,355.29,358.54,353.15,349.14,353.02,343.05,346.32,342.72,339.18,334.52,331.94,331.29,330.09,329.17,325.36,320.58,319.64,320.21,317.41,321.18,319.91,316.46,315.69,312.83,311.51,317.76,326.33,318.39,315.89,314.51,314.41,309.33,309.54,306.48,306.61,314.27,316.50,320.09,318.97,316.30,322.15,317.81,317.77,322.75,321.86,331.37,328.56,330.89,333.51,331.94,333.04,339.80,338.20,346.08,346.35,352.63,358.10,362.39,364.04,368.15,364.49,362.33,367.44,374.97,375.35,365.11,354.81,348.98,355.81,353.69,343.85
1999-10-22 21:58:52+00:00,L7,340.76,319.80,315.73,322.38,308.83,315.71,320.32,313.84,327.06,330.19,326.53,322.64,322.96,321.88,326.10,327.49,335.65,340.37,342.14,342.70,342.67,337.63,342.22,341.25,342.98,351.66,,349.02,351.56,354.57,359.98,359.59,361.41,358.42,359.06,357.33,353.61,345.32,354.69,366.14,374.24,375.22,372.31,372.03,363.76,358.70,359.23,357.05,357.28,359.22,359.23,355.61,352.19,352.03,354.20,349.22,344.71,344.66,345.62,339.55,339.37,338.27,333.49,324.93,331.52,326.95,328.97,339.94,339.34,332.48,331.68,335.67,329.71,323.48,333.53,320.31,333.45,334.37,343.02,338.66,330.15,342.75,334.97,333.15,339.08,337.17,345.93,346.34,346.03,345.79,344.09,350.70,351.23,357.25,361.07,364.52,373.10,375.23,380.76,380.36,384.45,382.32,380.68,386.35,388.63,401.92,387.53,375.48,373.84,375.38,368.93,366.36
2000-01-10 21:58:52+00:00,L7,306.81,293.32,286.84,288.58,280.27,284.77,285.11,291.06,298.55,294.84,291.91,292.12,293.60,296.18,303.50,303.25,309.68,314.27,317.77,314.87,,,,,,,,,,,,,,,,,,297.48,309.70,323.77,329.57,328.75,329.84,329.89,323.87,319.66,315.94,316.41,318.95,320.04,320.38,323.28,323.50,322.72,316.55,314.82,312.40,307.72,308.25,306.43,303.70,302.89,302.74,303.18,,,,,,,301.81,298.62,295.99,294.58,294.29,296.66,299.83,303.48,308.45,311.98,309.70,306.96,298.54,300.95,312.13,316.86,318.90,314.21,316.20,324.36,319.20,315.22,318.71,318.26,321.50,325.54,330.20,336.95,340.78,352.70,353.91,362.96,366.83,379.21,389.77,386.95,371.57,360.01,345.84,343.08,347.36,346.75
2000-02-04 21:52:37+00:00,L7,332.72,324.53,315.28,321.30,315.86,310.79,316.10,314.97,317.86,320.46,316.06,317.67,318.94,321.97,326.52,327.63,333.70,338.98,340.34,337.66,338.76,342.88,344.03,339.25,338.86,340.92,340.60,346.11,346.00,348.54,355.71,359.36,353.01,353.16,348.67,345.93,340.28,337.65,340.27,347.03,349.09,351.24,348.33,348.64,342.64,338.36,337.39,342.75,341.98,339.63,338.06,340.64,346.57,344.57,341.90,336.50,335.74,334.34,330.02,327.79,326.51,328.03,329.09,329.40,335.11,336.79,339.56,339.26,335.57,338.64,331.44,324.46,325.18,322.81,322.06,323.50,328.37,329.46,338.83,341.98,343.20,342.17,338.92,338.74,340.35,342.30,344.84,347.85,348.16,348.55,351.33,344.72,343.56,341.94,340.57,340.66,353.81,354.71,360.67,370.22,377.62,385.44,385.61,392.21,400.31,411.40,400.58,381.20,368.95,367.87,364.80,369.79
2000-02-20 21:52:29+00:00,L7,326.06,309.14,305.87,310.80,300.54,304.38,310.24,310.97,315.93,315.70,311.92,311.35,314.45,314.40,320.71,323.76,327.97,335.70,333.09,334.55,331.87,332.27,336.66,336.10,,,322.22,,,,352.54,353.82,350.11,,,,,332.99,333.63,345.58,355.50,350.99,344.99,345.04,341.48,334.70,331.75,333.33,333.87,335.70,335.43,337.49,337.12,335.94,332.42,328.14,327.23,324.20,323.11,321.90,322.08,323.43,321.52,323.22,324.80,328.00,330.24,329.47,329.40,325.76,324.18,319.10,317.12,317.62,318.03,311.41,321.37,324.02,324.94,328.79,331.21,324.77,320.33,322.49,330.26,334.36,336.09,336.05,335.98,340.72,337.75,334.72,339.77,337.94,338.67,339.15,346.29,352.78,353.57,361.41,368.16,373.23,378.84,385.80,393.92,389.48,377.84,371.43,359.72,358.84,361.02,361.86
2000-03-14 21:58:35+00:00,L7,346.26,327.16,327.55,333.54,323.28,322.58,324.40,323.96,333.35,336.07,330.20,326.49,328.05,332.49,336.57,340.18,345.32,347.15,348.17,349.08,345.87,343.79,345.51,343.48,346.88,345.15,342.41,356.42,354.14,360.82,365.91,365.54,363.42,363.58,358.41,355.27,351.28,348.10,353.69,362.02,365.75,365.94,367.11,364.81,361.39,355.02,352.46,354.83,355.17,356.09,356.82,356.36,355.77,352.50,349.78,345.74,341.96,338.10,334.77,336.59,335.94,338.33,336.30,340.56,341.83,344.71,346.15,349.59,346.30,348.35,343.66,340.37,338.82,339.88,339.80,339.87,345.14,349.22,348.79,345.93,349.01,345.67,336.18,336.33,350.75,350.71,351.09,351.31,352.02,353.72,352.97,350.52,352.02,357.48,358.72,360.12,368.87,368.27,371.82,385.63,388.62,384.87,382.99,399.72,406.40,399.01,387.90,382.52,375.55,374.54,382.32,399.16
2000-03-30 21:58:33+00:00,L7,355.62,332.04,329.36,336.50,326.28,332.15,333.45,334.73,336.99,334.54,334.95,330.24,330.58,331.52,334.64,343.93,348.35,348.81,345.91,343.47,339.65,341.41,344.63,346.11,347.25,348.45,345.19,352.90,356.15,360.48,365.84,367.50,365.17,361.72,357.92,355.18,351.80,347.79,357.27,360.27,368.77,369.28,368.12,362.73,360.18,353.54,349.58,351.92,352.97,358.81,361.28,356.60,355.78,351.18,351.50,351.65,340.23,340.07,340.69,337.55,336.27,337.03,338.78,340.59,342.73,347.12,350.71,345.36,346.15,347.61,341.76,343.69,343.45,343.83,343.48,342.38,347.45,347.84,345.73,341.36,343.71,341.04,335.35,338.40,345.99,351.10,349.54,350.64,351.39,353.60,352.38,350.04,352.52,353.17,357.01,361.84,368.35,368.28,379.10,389.34,394.40,388.27,392.02,401.56,410.78,403.59,391.49,383.02,379.95,382.00,387.70,398.40
2000-05-01 21:58:18+00:00,L7,340.86,328.22,327.99,333.84,310.95,329.35,327.22,325.75,338.12,336.10,325.93,326.15,328.89,331.40,331.56,337.41,342.69,346.98,345.18,342.37,340.31,340.42,342.74,342.73,343.68,339.61,332.85,357.68,355.18,360.14,364.49,366.52,355.57,357.66,353.24,349.75,345.95,327.52,350.99,356.27,365.61,363.77,363.49,361.29,358.66,354.43,343.37,349.24,358.26,355.75,352.27,358.42,359.77,350.00,346.58,344.78,342.10,336.96,334.27,335.67,332.30,330.83,337.48,342.51,345.03,350.69,349.56,345.05,340.32,344.79,337.06,337.20,340.15,338.46,341.99,335.20,337.11,337.06,340.36,347.30,341.45,337.83,334.46,336.25,345.02,349.00,345.34,346.51,347.45,352.83,350.46,350.23,347.82,357.69,356.82,362.84,367.33,370.92,378.51,379.96,383.21,387.99,390.29,399.30,409.98,412.36,387.29,370.72,378.73,378.23,381.38,397.49
