dates,nzd0204-0000,nzd0204-0001,nzd0204-0002,nzd0204-0003,nzd0204-0004,nzd0204-0005,nzd0204-0006,nzd0204-0007,nzd0204-0008,nzd0204-0009,nzd0204-0010,nzd0204-0011,nzd0204-0012,nzd0204-0013,nzd0204-0014,nzd0204-0015,nzd0204-0016,nzd0204-0017,nzd0204-0018,nzd0204-0019,nzd0204-0020,nzd0204-0021,nzd0204-0022,nzd0204-0023,nzd0204-0024,nzd0204-0025,nzd0204-0026,nzd0204-0027,nzd0204-0028,nzd0204-0029,nzd0204-0030,nzd0204-0031,nzd0204-0032,nzd0204-0033,nzd0204-0034,nzd0204-0035,nzd0204-0036,nzd0204-0037,nzd0204-0038,nzd0204-0039,nzd0204-0040,nzd0204-0041,nzd0204-0042,nzd0204-0043,nzd0204-0044,nzd0204-0045,nzd0204-0046,nzd0204-0047,nzd0204-0048,nzd0204-0049,nzd0204-0050,nzd0204-0051,nzd0204-0052,nzd0204-0053,nzd0204-0054,nzd0204-0055,nzd0204-0056,nzd0204-0057,nzd0204-0058,nzd0204-0059,nzd0204-0060,nzd0204-0061,nzd0204-0062,nzd0204-0063,nzd0204-0064,nzd0204-0065,nzd0204-0066,nzd0204-0067,nzd0204-0068,nzd0204-0069,nzd0204-0070,nzd0204-0071,nzd0204-0072,nzd0204-0073,nzd0204-0074,nzd0204-0075,nzd0204-0076,nzd0204-0077,nzd0204-0078,nzd0204-0079,nzd0204-0080,nzd0204-0081,nzd0204-0082,nzd0204-0083,nzd0204-0084,nzd0204-0085,nzd0204-0086,nzd0204-0087,nzd0204-0088,nzd0204-0089,nzd0204-0090,nzd0204-0091,nzd0204-0092,nzd0204-0093,nzd0204-0094,nzd0204-0095,nzd0204-0096,nzd0204-0097,nzd0204-0098,nzd0204-0099,nzd0204-0100,nzd0204-0101,nzd0204-0102,nzd0204-0103,nzd0204-0104,nzd0204-0105,nzd0204-0106,nzd0204-0107,nzd0204-0108,nzd0204-0109,nzd0204-0110,nzd0204-0111,satname
1999-09-13 21:52:41+00:00,321.21,299.71,296.46,303.40,293.06,314.41,311.04,312.28,317.81,314.91,313.80,,,,,,,,,,,,,,,,,,,,,,,,,336.98,319.73,295.41,329.11,338.27,350.98,350.40,347.30,342.63,337.12,,324.12,328.78,328.24,331.34,328.81,326.73,328.78,326.11,323.98,319.31,318.08,315.91,315.71,309.89,309.66,310.45,313.51,314.36,317.72,320.56,320.90,321.70,323.97,322.54,318.48,317.76,316.87,314.25,314.95,311.65,312.34,311.12,313.11,315.74,315.71,314.67,310.58,309.44,318.73,328.09,327.40,328.72,331.39,331.06,329.58,330.45,333.25,331.54,336.00,337.24,345.46,350.78,349.57,351.66,352.73,355.02,364.32,364.77,374.13,378.34,372.45,362.21,354.25,349.89,346.97,343.09,L7
1999-09-29 21:52:52+00:00,330.23,307.31,299.81,310.03,297.69,317.80,314.59,315.17,326.31,322.68,319.65,325.07,324.93,321.01,327.87,331.53,338.04,344.61,346.65,346.98,347.93,343.01,343.46,343.87,342.39,340.23,326.62,334.09,345.41,353.43,356.70,359.86,356.60,354.11,351.74,341.39,328.99,310.65,335.05,348.47,355.59,365.26,366.00,361.47,357.06,366.83,339.75,342.74,336.55,338.53,335.22,334.53,334.63,333.03,332.11,326.52,326.17,330.93,332.91,327.95,324.62,317.52,317.34,318.98,320.71,324.94,328.52,327.95,329.40,327.14,324.72,322.16,322.01,319.60,321.38,318.06,319.56,321.71,321.16,322.75,322.90,322.36,317.22,316.91,325.40,333.42,335.20,336.97,341.75,343.79,344.96,346.52,348.46,342.24,345.96,347.50,353.60,360.49,359.81,359.38,363.64,364.89,369.54,372.99,379.59,381.37,376.90,370.17,360.56,356.69,354.58,354.21,L7
1999-10-15 21:52:49+00:00,333.47,310.31,302.11,311.13,301.10,316.91,314.60,315.90,326.00,323.07,321.41,321.82,322.02,319.40,334.85,330.62,335.96,341.87,343.64,342.43,345.38,343.31,340.39,340.89,338.09,338.64,326.75,337.04,344.84,352.20,355.67,357.71,355.28,353.10,349.59,341.76,331.81,317.46,336.65,350.01,357.49,364.85,366.42,360.98,356.71,363.12,343.14,346.39,340.74,341.21,337.44,336.34,336.18,334.72,334.04,328.80,326.77,329.62,331.35,326.90,325.94,320.78,319.71,320.55,320.99,323.37,327.85,330.32,328.93,326.30,324.51,322.78,321.34,319.45,320.41,317.45,320.71,322.43,323.26,323.78,323.37,324.95,319.87,319.66,326.65,331.85,336.06,336.30,340.26,342.37,342.75,344.31,348.24,343.18,348.46,349.57,355.56,362.36,363.13,363.22,367.61,367.22,369.43,373.80,380.71,382.03,375.88,367.96,359.61,359.30,356.95,353.67,L7
1999-10-22 21:58:52+00:00,330.65,309.07,302.26,310.33,298.39,313.00,312.78,312.13,323.31,322.14,319.74,318.48,319.24,317.52,328.83,326.69,332.76,338.27,339.81,339.18,340.87,338.52,338.30,338.30,337.01,338.65,326.75,336.70,343.47,349.66,353.50,354.72,354.23,351.54,349.13,342.94,334.30,319.78,337.10,351.09,358.97,364.49,364.94,361.42,356.15,358.76,344.84,346.56,342.71,343.21,340.39,338.45,337.48,336.34,336.12,331.20,328.75,330.88,332.21,327.56,326.80,322.65,320.45,318.94,320.67,321.31,325.17,329.77,328.28,324.89,323.06,322.75,319.82,317.20,319.63,314.91,320.94,322.92,325.70,325.18,322.36,326.69,321.15,320.53,327.59,330.86,336.36,336.64,339.54,341.19,340.92,343.59,346.28,344.38,349.11,350.81,357.62,362.87,365.03,365.18,369.32,368.49,369.92,374.23,379.99,384.29,375.84,366.89,360.21,360.37,357.24,353.88,L7
2000-01-10 21:58:52+00:00,330.40,309.43,302.34,309.49,299.28,310.87,310.41,311.08,321.23,319.32,317.04,315.19,315.65,314.65,325.32,323.46,329.81,335.10,337.33,336.14,340.87,338.52,338.30,338.30,337.01,338.65,326.75,336.70,343.47,349.66,353.50,354.72,354.23,351.54,349.13,342.94,334.30,319.83,335.57,348.50,355.73,360.21,360.79,357.37,351.95,351.62,341.32,342.96,340.06,341.01,338.82,338.05,337.32,336.25,335.08,330.56,327.91,328.68,330.05,325.77,324.61,321.13,319.54,318.42,320.67,321.31,325.17,329.77,328.28,324.89,321.97,321.08,318.57,315.84,318.51,314.42,319.59,321.46,324.68,324.80,322.46,325.38,319.06,319.04,326.60,330.32,334.97,334.26,336.98,339.80,338.68,340.17,343.40,341.41,346.02,348.19,354.40,360.32,362.61,364.94,368.67,369.82,371.56,377.86,384.58,387.46,377.86,368.38,360.21,359.78,357.90,355.33,L7
2000-02-04 21:52:37+00:00,331.12,312.21,304.73,311.72,302.38,311.12,311.59,311.96,320.88,319.70,317.09,315.92,316.51,316.29,325.76,324.48,330.79,336.07,338.15,336.66,340.63,339.85,339.95,338.76,337.69,339.57,332.03,339.40,344.39,349.65,354.34,356.18,354.17,352.22,349.31,343.78,335.75,323.14,336.64,348.46,354.81,358.93,358.93,356.09,350.57,349.15,340.83,343.10,340.54,340.96,338.87,338.68,339.05,337.83,336.43,331.74,329.40,329.80,330.24,326.28,325.10,322.46,321.33,320.44,323.81,324.66,328.30,331.92,330.02,327.90,323.78,321.88,319.93,317.23,319.39,316.17,321.26,322.97,327.22,327.83,326.11,328.38,322.55,322.51,329.05,332.48,336.77,336.68,339.00,341.41,340.94,341.10,343.62,341.66,345.29,347.11,354.46,359.58,362.47,365.99,370.34,372.60,374.07,380.45,387.39,391.64,381.86,370.73,361.88,361.34,359.24,357.95,L7
2000-02-20 21:52:29+00:00,332.76,313.61,306.55,313.43,304.48,311.99,313.05,313.48,321.68,320.51,317.86,316.77,317.55,317.19,326.30,325.65,331.70,337.39,338.80,337.80,340.81,339.88,340.74,339.68,337.69,339.57,333.72,339.40,344.39,349.65,355.92,357.64,355.02,352.22,349.31,343.78,335.75,326.91,338.29,349.56,356.29,359.30,358.44,355.69,350.45,348.03,340.72,342.98,340.69,341.48,339.65,339.89,340.16,338.94,337.36,332.61,330.36,330.28,330.60,326.93,325.95,323.87,322.74,322.22,325.74,326.98,330.38,333.27,331.85,329.30,325.49,323.14,321.37,318.95,321.27,317.15,322.79,324.40,328.17,329.15,328.22,329.24,323.50,323.78,330.33,333.93,337.78,337.70,339.67,342.34,341.59,341.37,344.45,342.32,345.62,347.25,354.48,359.99,362.47,366.52,371.30,373.96,375.93,382.59,389.71,392.72,382.79,372.34,363.08,362.49,360.88,360.02,L7
2000-03-14 21:58:35+00:00,334.99,316.49,310.05,316.69,307.45,312.11,314.02,314.20,323.04,322.75,319.35,317.37,318.37,318.78,327.10,327.10,332.97,338.11,339.41,338.68,340.74,339.80,340.85,339.62,338.71,339.36,333.57,341.49,345.24,350.87,356.67,358.04,355.63,353.47,350.03,346.33,340.86,333.09,340.62,352.10,357.62,360.66,360.41,358.19,353.25,348.40,344.09,345.98,343.91,344.29,342.93,343.33,343.23,341.93,340.19,335.60,333.05,332.72,332.54,330.02,328.97,327.13,325.21,325.18,328.75,330.00,333.59,336.92,334.47,332.60,328.15,325.43,323.46,321.67,323.64,320.23,326.61,329.11,332.54,332.79,332.19,332.88,326.44,326.89,334.27,336.49,340.54,340.29,341.99,344.99,344.31,343.56,346.35,345.35,348.14,349.79,357.15,361.70,364.93,370.70,375.70,377.50,377.93,386.80,393.53,394.88,384.14,374.38,365.26,365.16,365.14,367.17,L7
2000-03-30 21:58:33+00:00,335.58,317.57,312.56,318.16,309.12,312.32,314.98,315.35,322.24,322.31,319.58,317.08,318.30,319.52,327.19,328.05,333.57,337.84,338.36,337.24,338.17,338.57,340.14,339.10,338.60,339.29,334.83,343.53,345.96,350.95,356.99,358.12,356.04,353.67,349.83,346.78,342.01,334.46,341.41,351.21,357.82,358.00,356.93,354.80,349.97,345.68,342.39,344.35,344.25,345.21,344.79,344.35,344.39,342.51,340.68,337.13,332.95,330.94,330.17,327.86,327.55,327.96,326.70,326.58,330.62,331.67,334.72,337.48,334.93,333.94,328.46,326.65,324.42,323.13,324.35,321.56,328.45,330.39,333.95,333.57,333.11,333.43,327.13,327.95,335.44,337.38,340.65,340.25,341.07,343.81,342.35,340.89,343.73,344.51,347.35,349.43,357.22,360.40,365.27,373.00,377.59,378.49,379.51,388.69,396.18,396.60,384.47,373.96,366.01,366.68,367.76,370.78,L7
2000-05-01 21:58:18+00:00,334.96,319.25,315.65,320.95,309.77,314.19,316.25,317.07,323.62,323.09,318.65,317.48,319.21,321.43,325.70,329.47,334.74,338.77,338.54,337.13,336.83,338.18,340.86,339.69,340.05,336.93,332.42,346.68,347.37,352.42,358.43,360.08,355.34,353.95,349.06,346.03,341.33,332.16,341.13,349.31,355.86,355.15,353.80,352.19,348.16,342.73,338.54,341.54,343.64,344.46,344.17,345.61,346.56,342.96,339.94,337.08,333.40,330.36,328.66,327.78,326.26,326.88,327.79,330.05,335.21,338.77,340.55,339.06,336.59,338.34,330.15,327.41,326.97,326.36,326.82,325.00,330.03,331.97,334.64,336.34,336.52,333.21,327.42,328.99,337.53,340.84,341.08,341.20,341.98,345.74,344.12,341.03,342.54,344.54,345.67,348.48,355.93,358.79,364.20,373.33,377.78,380.59,382.88,393.11,402.00,400.61,386.26,374.97,368.28,367.58,370.90,379.06,L7
