dates,nzd0204-0000,nzd0204-0001,nzd0204-0002,nzd0204-0003,nzd0204-0004,nzd0204-0005,nzd0204-0006,nzd0204-0007,nzd0204-0008,nzd0204-0009,nzd0204-0010,nzd0204-0011,nzd0204-0012,nzd0204-0013,nzd0204-0014,nzd0204-0015,nzd0204-0016,nzd0204-0017,nzd0204-0018,nzd0204-0019,nzd0204-0020,nzd0204-0021,nzd0204-0022,nzd0204-0023,nzd0204-0024,nzd0204-0025,nzd0204-0026,nzd0204-0027,nzd0204-0028,nzd0204-0029,nzd0204-0030,nzd0204-0031,nzd0204-0032,nzd0204-0033,nzd0204-0034,nzd0204-0035,nzd0204-0036,nzd0204-0037,nzd0204-0038,nzd0204-0039,nzd0204-0040,nzd0204-0041,nzd0204-0042,nzd0204-0043,nzd0204-0044,nzd0204-0045,nzd0204-0046,nzd0204-0047,nzd0204-0048,nzd0204-0049,nzd0204-0050,nzd0204-0051,nzd0204-0052,nzd0204-0053,nzd0204-0054,nzd0204-0055,nzd0204-0056,nzd0204-0057,nzd0204-0058,nzd0204-0059,nzd0204-0060,nzd0204-0061,nzd0204-0062,nzd0204-0063,nzd0204-0064,nzd0204-0065,nzd0204-0066,nzd0204-0067,nzd0204-0068,nzd0204-0069,nzd0204-0070,nzd0204-0071,nzd0204-0072,nzd0204-0073,nzd0204-0074,nzd0204-0075,nzd0204-0076,nzd0204-0077,nzd0204-0078,nzd0204-0079,nzd0204-0080,nzd0204-0081,nzd0204-0082,nzd0204-0083,nzd0204-0084,nzd0204-0085,nzd0204-0086,nzd0204-0087,nzd0204-0088,nzd0204-0089,nzd0204-0090,nzd0204-0091,nzd0204-0092,nzd0204-0093,nzd0204-0094,nzd0204-0095,nzd0204-0096,nzd0204-0097,nzd0204-0098,nzd0204-0099,nzd0204-0100,nzd0204-0101,nzd0204-0102,nzd0204-0103,nzd0204-0104,nzd0204-0105,nzd0204-0106,nzd0204-0107,nzd0204-0108,nzd0204-0109,nzd0204-0110,nzd0204-0111,satname
1999-09-13 21:52:41+00:00,330.01,304.60,303.06,305.54,296.73,319.30,314.89,318.88,320.92,317.48,316.91,,,,,,,,,,,,,,,,,,,,,,,,,341.26,322.84,295.41,335.53,343.52,357.40,353.51,350.41,347.03,,,328.52,334.04,333.37,334.89,332.36,329.30,333.06,330.39,327.09,325.73,323.34,319.46,319.99,315.15,314.92,315.71,317.79,318.64,322.97,325.81,324.01,324.81,325.68,325.65,320.19,319.47,316.87,315.96,312.81,315.50,317.59,316.38,318.37,320.14,318.28,318.95,314.13,311.59,322.46,331.09,331.13,332.45,335.12,335.43,333.31,333.45,334.42,334.54,339.55,340.79,349.86,353.35,353.12,356.06,356.28,358.57,368.72,369.05,378.41,384.76,377.70,365.32,357.36,353.00,351.25,346.20,L7
1999-09-29 21:52:52+00:00,349.98,320.89,311.23,319.28,306.80,327.15,322.84,326.13,338.61,333.58,329.31,328.20,330.30,328.06,333.24,337.80,343.41,349.98,350.99,351.32,351.06,347.57,348.80,347.79,347.73,344.93,331.09,342.15,350.63,359.86,361.92,365.08,361.97,358.45,356.96,351.02,342.05,325.90,348.81,365.07,368.03,383.92,388.49,385.68,380.67,373.10,360.75,363.13,351.12,350.06,345.96,345.47,345.70,345.18,344.03,341.56,340.69,350.28,355.34,352.45,346.02,331.02,326.38,328.82,330.11,335.73,339.95,338.00,336.92,335.55,333.04,328.65,327.16,327.04,325.19,329.18,333.19,338.73,335.64,335.14,333.22,335.26,328.19,327.01,336.63,342.41,347.57,349.78,356.67,361.87,364.90,366.25,365.09,356.60,360.25,362.09,367.10,373.33,374.38,372.47,378.90,379.10,380.14,386.42,390.26,392.22,387.77,381.94,370.67,367.28,367.41,369.13,L7
1999-10-15 21:52:49+00:00,345.46,319.34,310.80,314.65,310.20,318.19,317.02,321.45,327.31,325.46,326.87,320.17,321.85,321.39,344.56,332.91,336.61,341.87,342.85,340.09,344.43,345.93,340.06,339.92,336.52,339.46,329.17,344.10,346.93,354.26,357.32,358.22,356.70,354.31,350.10,345.17,339.38,331.06,343.87,356.38,365.30,365.96,369.21,362.75,357.87,362.62,352.65,356.99,352.32,348.78,344.12,341.54,341.96,340.76,339.84,337.36,331.25,329.24,330.88,328.08,331.85,330.58,327.13,326.36,324.83,323.51,328.43,337.00,329.06,326.56,325.18,325.08,320.00,320.21,317.15,318.61,326.27,327.17,330.76,328.57,325.90,332.82,327.41,326.50,331.48,330.59,340.10,337.29,339.62,342.24,340.67,341.77,348.53,346.93,355.68,355.95,362.23,367.70,371.99,373.64,377.75,374.09,371.93,378.11,385.64,387.35,377.11,365.48,359.65,366.48,364.36,354.52,L7
1999-10-22 21:58:52+00:00,314.76,301.23,297.16,306.13,287.16,297.14,304.07,295.27,312.62,317.19,312.09,309.64,309.96,308.88,313.10,314.49,322.65,327.37,329.14,329.70,329.67,325.81,330.40,330.42,331.16,335.41,,330.45,337.12,340.13,345.54,345.15,348.41,345.42,344.62,342.89,339.17,326.75,333.02,349.89,357.99,360.78,357.87,359.03,351.94,345.70,346.23,342.61,344.28,346.22,346.23,342.61,337.75,337.59,339.76,332.97,330.27,331.66,331.18,325.11,324.93,323.83,319.05,310.49,315.27,310.70,314.53,325.50,324.90,318.04,317.24,321.23,315.27,309.04,319.09,304.06,317.20,319.93,328.58,325.66,317.15,328.31,321.97,321.33,327.26,325.35,334.11,334.52,334.21,333.97,332.27,338.88,339.41,345.43,348.07,351.52,360.10,362.23,367.76,367.36,371.45,369.32,367.68,371.91,374.19,385.67,371.28,361.04,359.40,360.94,354.49,351.92,L7
2000-01-10 21:58:52+00:00,338.41,315.89,309.41,308.33,306.60,307.34,304.86,313.63,316.11,310.64,309.47,307.92,309.40,311.98,319.30,319.05,325.48,330.07,333.57,330.67,,,,,,,,,,,,,,,,,,320.05,336.03,343.52,349.32,346.31,347.40,345.69,338.23,335.46,331.74,333.97,334.75,335.84,336.18,339.08,341.06,340.28,334.11,334.57,329.96,323.52,325.81,323.99,321.26,320.45,320.30,320.74,,,,,,,319.37,316.18,313.55,312.14,311.85,316.41,319.58,321.04,326.01,327.78,325.50,324.52,314.34,315.31,326.49,331.22,333.26,328.57,330.56,338.72,333.56,329.58,333.07,332.62,337.30,341.34,346.00,352.75,356.58,368.50,369.71,378.76,382.63,396.77,407.33,406.70,391.32,377.57,363.40,360.64,364.92,364.31,L7
2000-02-04 21:52:37+00:00,335.52,326.53,317.28,323.05,318.19,312.79,317.85,316.97,319.42,321.86,317.62,319.07,320.34,323.37,327.92,329.03,335.10,340.38,341.74,339.06,340.16,344.15,345.30,340.42,340.13,342.67,342.93,348.11,347.56,350.10,357.27,360.92,354.41,354.56,350.23,347.49,341.84,339.65,342.60,348.78,350.84,352.80,349.89,350.04,343.91,339.76,338.79,344.31,343.38,341.03,339.46,342.04,348.13,346.13,343.46,338.25,337.30,335.74,331.58,329.35,328.07,329.59,330.65,330.96,336.86,338.54,341.12,340.82,337.13,340.20,333.00,326.02,326.74,324.37,323.62,325.25,330.12,331.02,340.39,343.38,344.60,343.73,340.32,340.01,341.62,343.57,346.11,349.12,349.43,349.82,352.60,345.99,344.83,343.21,341.97,342.06,355.21,356.11,362.07,371.62,379.02,386.84,387.01,393.77,401.87,413.15,402.33,382.76,370.51,369.43,366.36,371.35,L7
2000-02-20 21:52:29+00:00,349.26,325.71,322.44,325.30,319.87,320.95,324.74,327.54,328.82,327.30,324.81,322.95,326.05,326.00,332.31,335.36,339.57,347.30,344.69,346.15,343.47,342.82,347.21,345.77,,,341.55,,,,365.43,366.71,361.71,,,,,349.56,352.96,360.08,370.00,363.88,357.88,356.64,352.03,346.30,343.35,346.22,345.47,347.30,347.03,349.09,350.01,348.83,345.31,342.64,340.12,335.80,336.00,334.79,334.97,336.32,334.41,336.11,339.30,342.50,343.13,342.36,342.29,338.65,337.07,331.99,330.01,330.51,330.92,325.91,335.87,336.91,337.83,340.39,342.81,337.66,331.93,333.04,340.81,344.91,346.64,346.60,346.53,351.27,348.30,345.27,350.32,348.49,350.27,350.75,357.89,364.38,365.17,373.01,379.76,384.83,390.44,398.69,406.81,403.98,392.34,384.32,372.61,371.73,373.91,374.75,L7
2000-03-14 21:58:35+00:00,333.06,317.73,318.12,325.29,312.28,313.15,316.15,314.53,326.02,329.47,322.87,319.89,321.45,325.89,329.97,333.58,338.72,340.55,341.57,342.48,339.27,337.79,339.51,337.98,340.88,336.90,331.41,346.99,346.81,353.49,358.58,358.21,356.82,356.98,351.08,347.94,343.95,338.67,342.69,353.77,357.50,358.61,359.78,358.21,355.39,348.42,345.86,347.50,348.57,349.49,350.22,349.76,348.44,345.17,342.45,337.49,334.63,331.50,327.44,329.26,328.61,331.00,328.97,333.23,333.58,336.46,338.82,342.26,338.97,341.02,336.33,333.04,331.49,332.55,332.47,331.62,336.89,341.89,341.46,339.33,342.41,338.34,329.58,330.33,344.75,344.71,345.09,345.31,346.02,347.72,346.97,344.52,346.02,351.48,352.12,353.52,362.27,361.67,365.22,379.03,382.02,378.27,376.39,392.39,399.07,390.76,379.65,375.19,368.22,367.21,374.99,391.83,L7
2000-03-30 21:58:33+00:00,338.42,319.75,317.07,325.75,311.95,319.86,322.70,322.44,327.43,325.94,325.39,321.64,321.98,322.92,326.04,335.33,339.75,340.21,337.31,334.87,331.05,333.59,336.81,338.94,339.43,337.70,330.86,340.61,346.59,350.92,356.28,357.94,356.57,353.12,348.36,345.62,342.24,335.50,342.94,349.52,358.02,359.72,358.56,354.13,352.36,344.94,340.98,342.36,344.37,350.21,352.68,348.00,346.22,341.62,341.94,340.90,330.67,331.47,331.13,327.99,326.71,327.47,329.22,331.03,331.98,336.37,341.15,335.80,336.59,338.05,332.20,334.13,333.89,334.27,333.92,331.63,336.70,338.28,336.17,332.76,335.11,331.48,326.75,330.58,338.17,343.28,341.72,342.82,343.57,345.78,344.56,342.22,344.70,345.35,348.41,353.24,359.75,359.68,370.50,380.74,385.80,379.67,383.42,392.00,401.22,392.84,380.74,373.46,370.39,372.44,378.14,388.84,L7
2000-05-01 21:58:18+00:00,315.66,310.22,309.99,318.09,289.95,311.35,311.47,307.75,324.12,323.50,311.93,313.55,316.29,318.80,318.96,324.81,330.09,334.38,332.58,329.77,327.71,328.97,331.29,332.23,332.23,323.86,311.85,339.68,341.18,346.14,350.49,352.52,342.97,345.06,339.24,335.75,331.95,309.52,329.99,340.52,349.86,349.77,349.49,348.69,347.21,341.83,330.77,335.24,345.66,343.15,339.67,345.82,345.77,336.00,332.58,329.03,328.10,324.36,320.27,321.67,318.30,316.83,323.48,328.51,329.28,334.94,335.56,331.05,326.32,330.79,323.06,323.20,326.15,324.46,327.99,319.45,321.36,323.06,326.36,334.70,328.85,323.83,321.86,324.80,333.57,337.55,333.89,335.06,336.00,341.38,339.01,338.78,336.37,346.24,344.22,350.24,354.73,358.32,365.91,367.36,370.61,375.39,377.69,385.30,395.98,396.61,371.54,356.72,364.73,364.23,367.38,383.49,L7
