,dates,usa_CA_0236-0000,usa_CA_0236-0001,usa_CA_0236-0002
0,1984-06-10 18:20:05+00:00,311.6418245113948,215.34695460453543,
1,1984-06-26 18:20:19+00:00,324.95602901631133,225.0990938889762,249.72711281122858
2,1984-08-06 18:15:10+00:00,323.03153892994754,219.8852151829583,219.08750265920602
3,1984-09-07 18:15:46+00:00,312.2393649952627,219.6121819561281,216.31876357538235
4,1984-09-23 18:16:11+00:00,272.62462316109816,207.39793515778388,201.69900074740116
5,1984-12-19 18:21:59+00:00,,217.86108551836384,221.83933947058807
6,1985-05-12 18:21:57+00:00,,224.8062231204844,261.3910243841393
7,1985-06-29 18:21:53+00:00,,,
8,1985-10-03 18:20:56+00:00,278.04894825536064,210.26202214735352,204.22191866026134
9,1986-02-08 18:18:42+00:00,,190.18542581246794,182.56364903372025
10,1986-02-24 18:18:19+00:00,,198.52980531614133,181.06048478621233
11,1986-04-13 18:17:19+00:00,291.5056882455391,222.7981465859147,256.298600985937
12,1986-04-29 18:16:56+00:00,312.54632663527235,232.81933250989675,289.72321046205366
13,1986-05-08 18:10:31+00:00,323.00876507940234,219.8005834392354,265.98198414449075
14,1986-05-15 18:16:31+00:00,324.63280878415577,235.67357991322018,266.91420245900616
15,1986-06-09 18:09:36+00:00,,221.3714869522321,221.88979916657905
16,1986-06-16 18:15:33+00:00,313.14664710156615,226.0303530182934,250.61177202988173
17,1986-07-11 18:08:33+00:00,322.34994033035315,217.29870654337492,266.1087023373425
18,1986-08-19 18:13:20+00:00,313.66660445310487,216.04863553890294,215.72250196451034
19,1986-09-20 18:12:14+00:00,308.69533158802756,217.58485317063312,211.915641693742
20,1986-10-15 18:05:15+00:00,,,
21,1986-10-31 18:05:05+00:00,243.32510782604697,209.63400113770342,206.40425571534377
22,1986-11-16 18:04:28+00:00,242.23288492578945,212.2577243585584,204.3910503672075
23,1986-11-23 18:10:01+00:00,220.35032577463605,215.48275490281034,214.6294401159537
24,1987-01-10 18:11:26+00:00,194.24037553575505,203.1357065123529,202.41495122171096
25,1987-02-27 18:13:08+00:00,245.12663740937694,212.43673522011613,213.97595304189895
26,1987-03-15 18:13:44+00:00,207.6146244944404,198.3522508578665,196.89830477156585
27,1987-05-02 18:15:19+00:00,280.3665454122736,213.46440829959272,221.02109875436497
28,1987-07-05 18:16:50+00:00,323.7353265030445,213.83118549319207,222.05332227101093
29,1987-08-22 18:18:07+00:00,309.4857495650738,210.3921872665079,211.03556837766422
30,1987-09-07 18:18:32+00:00,290.3739962705551,212.88152430115267,208.20513944428075
31,1987-10-25 18:19:28+00:00,255.49328276980566,217.29535988603828,209.0290075131892
32,1988-03-17 18:21:48+00:00,244.98863235716468,192.1823050532622,195.4575243460689
33,1988-05-04 18:22:08+00:00,289.9704027845488,215.3282199016404,218.6906762708541
34,1988-06-05 18:22:22+00:00,315.28475639089777,223.48081247646797,268.47445049129675
35,1988-07-07 18:22:31+00:00,311.13756349745915,217.52664743678224,267.3066108879455
36,1988-08-24 18:22:38+00:00,316.7115542230674,217.5484064448382,250.6964319559681
37,1989-03-20 18:20:53+00:00,280.99586680108416,227.38479238622628,222.908401356967
38,1989-04-05 18:20:59+00:00,275.4386962763305,200.8171679656977,203.1510453655957
39,1989-04-21 18:20:44+00:00,290.4812406846901,199.4004001673606,195.92713745239539
40,1989-05-23 18:20:15+00:00,344.0837284232481,221.15345113449743,
41,1989-06-08 18:19:59+00:00,325.1894820350443,225.28861292723474,
42,1989-07-10 18:19:20+00:00,312.73432641318107,214.4738628921818,217.67446676608503
43,1989-07-26 18:19:01+00:00,322.34905797784455,211.04814955296797,218.2000262769523
44,1989-10-30 18:16:35+00:00,,213.33596245240537,214.95231665034612
45,1990-01-27 18:07:45+00:00,,200.91259992419077,206.47201383647445
46,1990-02-12 18:07:16+00:00,,197.3581028181602,210.98397086525313
