dates,nzd0489-0000,nzd0489-0001,nzd0489-0002,nzd0489-0003,nzd0489-0004,nzd0489-0005,nzd0489-0006,nzd0489-0007,nzd0489-0008,nzd0489-0009,nzd0489-0010,nzd0489-0011,nzd0489-0012,nzd0489-0013,nzd0489-0014,nzd0489-0015,nzd0489-0016,nzd0489-0017,nzd0489-0018,nzd0489-0019,nzd0489-0020,nzd0489-0021,nzd0489-0022,nzd0489-0023,nzd0489-0024,nzd0489-0025,nzd0489-0026,nzd0489-0027,nzd0489-0028,nzd0489-0029,nzd0489-0030,nzd0489-0031,nzd0489-0032,nzd0489-0033,nzd0489-0034,nzd0489-0035,nzd0489-0036,nzd0489-0037,nzd0489-0038,nzd0489-0039,nzd0489-0040,nzd0489-0041,nzd0489-0042,nzd0489-0043,nzd0489-0044,nzd0489-0045,nzd0489-0046,nzd0489-0047,nzd0489-0048,nzd0489-0049,nzd0489-0050,nzd0489-0051,nzd0489-0052,nzd0489-0053,nzd0489-0054,nzd0489-0055,nzd0489-0056,nzd0489-0057,nzd0489-0058,nzd0489-0059,nzd0489-0060,nzd0489-0061,nzd0489-0062,nzd0489-0063,nzd0489-0064,nzd0489-0065,nzd0489-0066,nzd0489-0067,nzd0489-0068,nzd0489-0069,nzd0489-0070,nzd0489-0071,nzd0489-0072,nzd0489-0073,nzd0489-0074,nzd0489-0075,nzd0489-0076,nzd0489-0077,nzd0489-0078,nzd0489-0079,nzd0489-0080,nzd0489-0081,nzd0489-0082,nzd0489-0083,nzd0489-0084,nzd0489-0085,nzd0489-0086,satname
2000-12-18 22:05:01+00:00,332.40,348.99,356.16,352.47,349.79,357.90,349.99,345.08,344.58,344.17,346.99,339.67,335.74,328.42,323.31,333.35,340.41,356.64,356.03,352.00,347.10,348.17,349.41,344.67,344.37,353.88,338.11,342.97,340.28,342.76,349.89,346.65,344.06,348.18,337.98,332.19,330.78,333.46,334.01,330.71,331.88,331.13,347.55,355.57,358.84,348.61,332.91,349.36,346.96,343.27,332.67,325.56,323.36,354.55,363.03,374.18,372.74,368.08,367.95,379.84,370.95,368.62,364.63,364.69,375.12,379.17,375.78,376.20,373.12,375.64,367.57,373.88,361.72,375.66,370.14,366.24,364.10,359.37,368.10,365.92,372.10,369.65,366.59,366.80,364.76,372.57,366.13,L7
2001-01-03 22:05:00+00:00,330.71,348.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.24,369.28,380.39,367.14,370.89,361.53,370.91,369.16,361.26,L7
2001-02-20 22:05:00+00:00,348.36,359.80,359.90,359.14,359.06,364.07,363.20,356.06,352.68,351.14,346.75,339.76,332.21,331.28,340.56,340.65,344.22,351.23,353.51,349.64,350.02,350.00,348.46,341.18,340.60,344.03,,,,,,,,,,,,,,,,,,,,344.80,332.19,344.59,340.64,337.40,324.28,312.30,327.46,347.30,353.32,367.08,355.75,365.22,366.82,370.77,368.23,361.33,361.70,368.16,371.26,371.87,374.31,369.38,369.54,362.90,365.07,365.17,366.40,371.05,370.12,367.36,362.76,354.62,351.09,353.54,352.18,357.44,354.70,350.97,356.45,356.38,336.45,L7
2001-03-08 22:04:56+00:00,,390.77,387.43,394.19,388.10,386.71,380.35,360.24,356.15,357.69,355.18,354.32,349.48,338.80,342.79,345.94,352.21,358.31,364.79,357.11,354.46,351.83,352.22,343.06,344.93,348.22,337.38,339.33,335.89,343.63,348.95,330.93,339.37,336.61,329.24,318.56,327.21,333.13,322.64,326.50,326.55,332.07,342.98,349.11,373.13,,349.36,364.60,357.29,363.46,339.14,315.65,335.52,356.76,363.21,369.61,358.55,367.44,370.39,374.38,382.36,382.23,373.09,384.50,387.06,381.92,383.20,371.73,364.42,366.62,367.52,366.38,371.14,370.79,372.16,378.94,386.85,380.55,368.84,364.98,366.44,380.65,369.10,366.18,385.27,380.08,361.05,L7
2001-04-09 22:04:41+00:00,348.77,352.58,337.37,343.97,337.97,342.63,340.22,331.50,331.42,333.19,333.76,326.15,321.24,320.63,318.77,329.77,332.19,341.93,340.01,334.74,328.91,324.69,312.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.70,352.68,348.68,347.43,344.89,346.07,340.13,348.13,346.06,344.57,343.23,337.93,345.11,339.29,344.10,343.76,336.53,346.65,345.97,347.61,349.56,331.17,L7
2001-07-14 22:03:57+00:00,,335.77,341.87,338.38,338.97,346.36,341.41,336.47,337.06,341.76,339.44,331.40,326.15,307.38,331.00,334.68,339.09,348.55,345.30,338.41,338.37,337.86,337.99,334.30,328.94,319.48,,320.83,333.79,337.76,341.14,330.42,323.37,334.86,326.99,318.45,322.52,320.36,311.02,311.62,322.39,323.81,340.28,352.89,345.35,333.77,328.90,356.15,357.20,350.89,338.99,331.64,330.45,346.35,356.30,366.25,370.94,367.43,376.55,378.12,378.98,377.68,379.34,381.79,382.32,373.26,367.05,364.36,372.73,375.75,374.45,372.45,378.87,387.05,383.34,379.02,370.99,370.75,369.73,364.51,363.74,365.47,374.06,363.00,363.77,362.70,368.15,L7
2001-08-15 22:03:26+00:00,325.48,352.25,355.30,354.89,348.30,359.00,359.51,351.16,352.49,353.70,351.05,343.39,332.95,327.29,341.00,345.45,338.44,348.93,355.14,352.97,346.63,349.69,347.91,340.56,339.94,338.78,340.25,340.04,338.45,351.17,350.97,342.17,340.58,340.63,336.69,329.66,327.04,330.60,331.35,336.34,329.00,330.96,340.32,352.26,354.18,342.03,335.69,351.61,350.43,348.00,334.87,326.12,338.64,359.22,360.35,369.80,370.02,369.08,372.63,378.45,376.80,372.53,367.57,368.48,374.66,380.29,377.50,373.89,376.52,369.27,362.60,361.91,363.70,371.01,367.89,368.91,363.94,366.24,364.29,369.29,368.40,367.98,369.67,362.58,365.87,360.37,353.65,L7
2002-03-11 22:03:31+00:00,359.78,369.18,359.14,357.40,353.01,354.27,349.80,338.35,340.58,344.47,346.69,338.58,326.94,331.66,333.47,,,360.21,363.54,353.43,343.90,340.82,343.04,338.95,342.41,345.12,337.64,344.85,347.98,350.86,356.84,337.83,338.82,340.11,340.47,335.42,335.83,343.19,335.05,334.93,335.15,329.29,329.16,347.64,371.72,353.82,329.84,343.79,331.15,329.34,319.83,309.62,335.77,350.17,352.54,366.47,355.94,369.07,373.05,376.42,372.40,367.18,367.86,369.66,369.88,368.17,381.61,381.21,381.07,369.23,358.57,367.29,372.12,373.11,365.52,371.56,363.16,359.42,361.49,357.42,362.33,369.08,363.54,364.41,373.90,372.96,355.67,L7
2002-04-12 22:03:25+00:00,351.52,352.80,346.52,340.01,334.37,340.96,339.85,336.11,338.22,338.29,337.44,335.15,331.33,328.52,336.77,336.83,340.56,352.82,350.11,352.98,350.08,334.93,334.70,326.57,337.93,348.33,323.25,323.06,325.43,340.97,348.81,332.79,341.50,338.89,331.43,326.22,331.02,337.82,323.70,321.09,326.89,328.00,335.57,345.87,357.32,,321.58,334.01,,,320.37,311.44,330.15,334.31,337.54,353.71,350.79,357.87,367.16,369.04,361.87,360.01,360.77,367.95,361.74,361.57,371.50,373.21,369.14,363.18,361.98,359.43,359.91,361.38,361.12,371.46,359.05,359.94,356.40,359.11,355.44,363.08,364.15,363.12,362.27,363.98,349.20,L7
2002-05-14 22:03:19+00:00,,341.54,331.64,336.37,334.93,342.91,341.30,335.91,336.79,345.33,350.21,343.52,335.91,338.25,339.87,336.83,343.47,353.03,354.11,349.30,347.07,344.70,342.93,342.47,343.59,345.91,335.94,333.81,335.16,336.64,344.80,334.74,339.19,340.49,338.25,329.15,330.41,336.82,324.27,327.38,329.96,329.47,350.00,350.60,354.18,333.87,322.41,340.34,335.50,332.80,327.22,306.89,328.95,341.54,346.70,363.44,353.29,364.43,371.92,377.94,370.66,368.71,366.63,369.65,369.30,365.84,373.73,376.42,370.45,362.56,357.67,352.72,361.03,360.53,359.93,356.23,355.62,349.81,353.44,355.62,354.60,352.15,363.28,355.84,356.83,350.68,336.71,L7
