dates,satname,nzd0489-0000,nzd0489-0001,nzd0489-0002,nzd0489-0003,nzd0489-0004,nzd0489-0005,nzd0489-0006,nzd0489-0007,nzd0489-0008,nzd0489-0009,nzd0489-0010,nzd0489-0011,nzd0489-0012,nzd0489-0013,nzd0489-0014,nzd0489-0015,nzd0489-0016,nzd0489-0017,nzd0489-0018,nzd0489-0019,nzd0489-0020,nzd0489-0021,nzd0489-0022,nzd0489-0023,nzd0489-0024,nzd0489-0025,nzd0489-0026,nzd0489-0027,nzd0489-0028,nzd0489-0029,nzd0489-0030,nzd0489-0031,nzd0489-0032,nzd0489-0033,nzd0489-0034,nzd0489-0035,nzd0489-0036,nzd0489-0037,nzd0489-0038,nzd0489-0039,nzd0489-0040,nzd0489-0041,nzd0489-0042,nzd0489-0043,nzd0489-0044,nzd0489-0045,nzd0489-0046,nzd0489-0047,nzd0489-0048,nzd0489-0049,nzd0489-0050,nzd0489-0051,nzd0489-0052,nzd0489-0053,nzd0489-0054,nzd0489-0055,nzd0489-0056,nzd0489-0057,nzd0489-0058,nzd0489-0059,nzd0489-0060,nzd0489-0061,nzd0489-0062,nzd0489-0063,nzd0489-0064,nzd0489-0065,nzd0489-0066,nzd0489-0067,nzd0489-0068,nzd0489-0069,nzd0489-0070,nzd0489-0071,nzd0489-0072,nzd0489-0073,nzd0489-0074,nzd0489-0075,nzd0489-0076,nzd0489-0077,nzd0489-0078,nzd0489-0079,nzd0489-0080,nzd0489-0081,nzd0489-0082,nzd0489-0083,nzd0489-0084,nzd0489-0085,nzd0489-0086
1999-08-26 22:07:32+00:00,L7,353.38,376.75,382.25,377.24,367.98,371.63,370.51,356.33,346.64,346.91,350.42,349.23,344.48,345.03,337.72,347.70,349.37,351.11,352.64,357.20,353.31,358.08,360.02,347.02,329.04,334.42,339.61,340.74,335.62,341.98,346.36,336.11,347.07,351.21,341.04,328.62,327.99,337.11,338.08,342.46,339.99,333.00,355.20,368.02,385.22,358.31,338.08,365.67,362.72,348.80,338.66,331.26,341.84,365.36,369.44,378.82,370.15,370.40,386.89,390.12,388.59,372.36,377.75,390.26,394.25,387.22,401.26,405.68,402.98,387.01,377.00,378.88,380.50,382.98,383.60,378.13,380.53,381.84,383.22,391.12,406.19,386.05,387.86,398.20,390.75,394.14,392.17
1999-11-30 22:07:23+00:00,L7,321.69,328.32,333.84,334.31,333.06,337.95,333.35,322.91,317.26,321.70,323.16,312.16,306.57,308.29,301.96,319.77,324.69,334.84,334.51,329.55,328.42,328.82,328.24,316.46,315.47,313.11,302.37,305.74,306.38,319.19,324.51,311.76,315.93,320.67,316.88,308.92,310.84,309.99,296.11,294.97,296.31,305.96,312.14,322.92,318.42,312.98,300.86,313.61,311.80,312.08,301.69,289.61,301.13,323.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-16 22:07:33+00:00,L7,323.61,335.47,342.50,343.23,340.75,345.73,343.89,336.96,327.81,332.03,331.05,321.85,318.85,314.98,,329.98,330.91,338.33,337.24,333.48,335.69,334.85,333.37,322.45,321.68,325.91,312.10,315.33,314.11,324.15,334.22,321.12,322.83,328.40,325.68,315.50,316.58,314.74,305.01,304.35,310.19,307.43,322.41,327.44,331.07,316.68,309.22,322.21,320.81,323.82,310.87,303.17,316.87,335.06,331.49,345.09,339.77,346.51,345.81,350.06,341.88,349.21,354.67,356.34,360.27,364.36,370.38,370.87,361.55,358.35,351.53,346.89,345.83,352.24,351.36,352.63,342.69,349.28,345.92,348.40,346.87,357.15,351.63,346.94,344.64,343.24,331.66
2000-05-08 22:06:44+00:00,L7,321.95,346.41,350.43,360.07,357.37,362.48,360.10,354.78,352.49,354.18,354.43,347.58,339.44,330.57,338.84,344.09,338.79,349.04,351.63,349.35,348.53,344.83,350.06,342.06,335.79,326.44,322.80,330.84,329.15,339.01,343.17,330.09,325.39,334.39,331.39,323.99,329.20,323.82,316.79,321.67,321.39,326.17,335.72,340.89,343.86,332.41,323.97,343.06,345.13,343.73,336.66,327.77,336.93,353.41,351.12,361.90,362.22,363.72,365.55,368.21,365.07,367.09,366.07,377.09,377.18,371.87,380.39,376.30,377.34,370.32,367.08,365.58,364.03,370.28,367.17,364.12,354.14,355.96,354.51,362.40,358.58,363.76,365.89,362.81,358.85,360.26,349.79
2000-06-25 22:06:19+00:00,L7,100.55,346.46,349.82,359.69,352.32,362.73,362.56,354.00,349.41,349.40,350.28,342.13,333.69,325.76,337.79,339.46,334.42,338.96,336.98,335.49,337.52,337.54,338.48,329.01,332.82,313.60,320.42,328.08,329.79,342.36,345.49,333.54,324.03,331.91,326.46,320.72,323.17,322.09,315.62,314.40,319.27,325.82,337.37,338.07,343.39,337.96,332.76,347.53,341.39,333.57,314.06,305.53,326.25,343.50,346.57,357.29,355.43,359.10,366.22,371.15,364.15,363.75,361.68,357.82,369.12,370.45,369.96,363.47,368.15,368.66,367.55,363.54,365.99,364.58,362.74,359.31,353.08,353.97,352.41,359.35,346.79,355.97,357.33,359.57,358.61,,350.70
2000-07-11 22:06:05+00:00,L7,,,,,,,,,,,,,,,,,,,,,,339.79,335.76,322.69,328.76,326.10,314.60,324.80,331.43,335.48,346.00,329.50,329.02,330.33,323.56,311.86,318.64,318.90,313.46,310.32,318.27,318.05,326.82,324.82,332.18,328.27,322.64,342.87,332.43,323.46,312.89,304.56,313.62,335.66,342.48,356.32,342.80,346.11,359.83,364.69,359.01,354.23,351.76,355.91,358.45,362.44,363.39,359.56,358.80,359.68,358.99,355.40,352.23,358.12,352.62,350.84,346.48,350.61,347.17,351.86,344.00,347.69,344.18,348.01,351.81,352.06,348.13
2000-07-27 22:05:48+00:00,L7,261.92,346.65,360.99,363.03,358.12,366.22,362.19,353.88,351.87,351.96,347.37,343.50,335.07,332.36,331.78,334.58,336.00,340.60,341.31,337.90,337.35,340.88,339.75,329.46,326.61,321.37,321.99,326.73,334.88,342.11,347.11,332.13,332.70,339.40,329.14,317.47,325.59,327.28,318.02,321.67,323.27,324.59,328.24,333.90,332.67,338.18,332.07,344.41,334.52,328.59,314.97,311.52,321.54,345.47,347.51,357.55,352.43,358.42,363.96,372.82,368.35,364.49,361.98,368.90,372.83,369.82,373.33,366.45,371.02,367.70,362.67,362.23,369.77,370.02,365.33,362.68,359.99,358.29,354.83,355.48,352.39,350.71,357.63,348.53,354.86,358.37,351.39
2000-08-03 22:11:31+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.44,333.95,337.93,332.90,332.16,333.55,331.34,344.80,352.33,364.11,347.63,340.30,357.85,350.55,339.35,326.79,323.87,329.75,355.65,355.65,370.74,365.29,375.75,382.44,388.42,382.79,377.14,376.41,367.40,377.49,386.89,379.93,371.01,373.41,371.89,368.81,367.94,376.10,377.79,382.53,371.22,371.18,364.48,364.59,370.01,373.86,369.97,372.63,369.23,370.23,371.85,358.74
2000-08-12 22:05:41+00:00,L7,321.99,342.50,351.56,353.72,354.71,363.03,358.32,352.75,350.01,350.62,349.25,343.63,334.27,332.93,333.00,336.81,340.81,346.33,347.02,345.61,343.64,345.99,348.28,336.25,329.99,330.29,329.16,331.83,333.05,341.35,350.53,331.88,329.14,337.27,327.94,324.39,327.15,329.60,317.33,324.70,324.50,325.97,334.85,342.83,349.08,341.77,331.46,348.56,338.97,331.71,317.22,308.00,327.81,348.75,346.36,360.64,355.06,362.79,368.42,377.92,374.93,366.06,360.83,358.61,359.06,375.42,375.60,362.67,362.21,367.06,368.01,364.91,366.91,375.79,367.94,364.84,357.19,358.86,357.54,362.15,362.01,359.08,361.85,363.35,359.31,366.23,351.24
2000-09-20 22:10:50+00:00,L7,,,,,,,,,,,332.53,327.18,314.44,305.08,,324.54,333.89,353.75,355.40,341.74,329.99,329.63,333.94,332.98,337.60,342.90,328.61,320.36,323.65,337.18,340.02,329.41,313.47,333.73,327.34,319.21,318.32,315.26,308.87,313.02,322.86,322.27,326.91,333.15,328.66,328.41,314.85,329.49,325.18,321.57,304.57,290.69,310.56,332.84,342.39,352.67,346.28,348.48,359.64,358.91,348.08,348.05,352.37,353.35,355.15,354.16,359.43,345.79,346.28,353.43,351.99,345.92,346.14,353.68,353.46,347.30,341.97,336.59,340.71,342.77,340.39,343.78,344.13,339.43,346.41,344.81,337.69
