dates,satname,nzd0306-0000,nzd0306-0001,nzd0306-0002,nzd0306-0003,nzd0306-0004,nzd0306-0005,nzd0306-0006,nzd0306-0007,nzd0306-0008,nzd0306-0009,nzd0306-0010,nzd0306-0011,nzd0306-0012,nzd0306-0013,nzd0306-0014,nzd0306-0015,nzd0306-0016,nzd0306-0017,nzd0306-0018,nzd0306-0019,nzd0306-0020,nzd0306-0021,nzd0306-0022,nzd0306-0023,nzd0306-0024,nzd0306-0025,nzd0306-0026,nzd0306-0027,nzd0306-0028,nzd0306-0029,nzd0306-0030,nzd0306-0031,nzd0306-0032,nzd0306-0033,nzd0306-0034,nzd0306-0035,nzd0306-0036,nzd0306-0037,nzd0306-0038
1999-08-21 21:47:20+00:00,L7,380.26,378.37,385.16,373.12,359.07,357.68,369.36,372.96,371.15,375.29,380.57,377.77,368.33,360.61,369.21,382.17,378.40,367.82,368.10,377.28,371.94,365.49,368.95,367.56,369.32,362.18,360.86,362.00,372.96,379.05,377.29,363.59,373.15,372.77,372.73,375.51,375.58,374.34,372.84
1999-08-28 21:53:35+00:00,L7,,,,,,,,,,,,,355.96,351.62,358.54,360.52,350.87,345.54,345.74,354.34,354.06,350.33,338.75,321.20,343.85,348.43,350.11,357.07,359.48,360.94,359.39,354.26,356.66,354.13,361.26,357.74,356.89,351.86,357.07
1999-09-22 21:47:24+00:00,L7,398.91,372.34,387.61,391.35,370.33,365.33,372.25,367.11,358.49,370.30,375.35,377.16,376.02,360.01,376.31,384.45,370.48,358.55,358.78,367.75,364.99,364.35,407.71,412.32,347.01,385.10,364.07,362.43,371.74,369.48,384.53,389.33,372.36,372.83,373.74,373.61,360.84,371.55,383.05
1999-09-29 21:53:40+00:00,L7,355.34,350.27,356.13,350.05,341.32,342.19,343.99,336.73,340.31,344.69,349.57,351.70,349.67,346.38,349.69,349.49,338.66,333.74,340.06,347.49,346.60,346.67,341.99,310.41,331.78,348.07,345.85,355.26,353.90,353.63,359.29,351.07,357.56,359.48,360.03,352.01,355.45,359.88,360.43
1999-10-24 21:47:20+00:00,L7,392.26,381.97,377.92,384.77,397.36,381.72,375.75,379.98,389.68,375.64,378.14,389.31,377.43,377.85,373.97,377.89,366.01,363.02,361.03,382.95,380.11,376.98,394.04,405.85,,399.07,376.42,389.88,395.63,391.66,398.24,399.35,387.02,386.25,387.94,387.91,384.46,386.30,379.40
1999-11-25 21:47:14+00:00,L7,,314.55,,312.37,,322.56,324.96,336.84,356.89,376.21,383.55,,,346.84,,,,173.30,194.15,153.73,,263.67,,,,437.08,,383.06,372.17,319.09,,,387.87,,,,,,
2000-01-03 21:53:28+00:00,L7,387.96,371.88,359.85,364.27,360.88,360.18,360.18,368.97,363.33,384.75,386.51,375.66,365.61,362.42,365.42,369.98,352.50,342.93,364.76,366.31,367.98,357.74,358.32,356.56,367.99,369.06,371.82,387.10,385.37,387.55,399.59,391.00,380.65,382.70,390.32,380.19,375.37,388.24,380.06
2000-01-12 21:47:18+00:00,L7,367.08,363.70,359.14,354.36,353.81,352.97,351.99,,,,,,,,,,,,,,,356.13,348.20,329.68,348.34,355.32,370.40,374.97,376.38,377.83,384.11,372.72,368.75,368.62,365.20,363.31,359.10,364.03,371.63
2000-01-19 21:53:25+00:00,L7,412.62,395.43,391.95,398.34,398.16,399.44,395.66,376.97,393.86,380.28,401.61,408.81,370.87,371.44,,371.45,347.80,381.04,358.69,373.56,375.47,364.49,,348.62,,405.57,423.80,,414.76,407.80,399.44,391.77,420.31,416.38,416.91,402.80,388.26,392.58,379.06
2000-02-04 21:53:25+00:00,L7,392.28,384.53,373.06,371.22,372.14,375.30,372.55,374.23,375.15,380.46,380.88,384.84,378.83,377.36,379.15,373.33,370.70,368.20,372.83,379.74,378.50,373.67,376.59,386.11,383.66,390.40,385.21,389.67,393.88,393.77,393.29,393.47,395.13,390.15,391.40,379.85,376.87,379.79,391.92
