dates,nzd0306-0000,nzd0306-0001,nzd0306-0002,nzd0306-0003,nzd0306-0004,nzd0306-0005,nzd0306-0006,nzd0306-0007,nzd0306-0008,nzd0306-0009,nzd0306-0010,nzd0306-0011,nzd0306-0012,nzd0306-0013,nzd0306-0014,nzd0306-0015,nzd0306-0016,nzd0306-0017,nzd0306-0018,nzd0306-0019,nzd0306-0020,nzd0306-0021,nzd0306-0022,nzd0306-0023,nzd0306-0024,nzd0306-0025,nzd0306-0026,nzd0306-0027,nzd0306-0028,nzd0306-0029,nzd0306-0030,nzd0306-0031,nzd0306-0032,nzd0306-0033,nzd0306-0034,nzd0306-0035,nzd0306-0036,nzd0306-0037,nzd0306-0038,satname
1999-08-21 21:47:20+00:00,372.26,371.7033333333333,378.49333333333334,366.4533333333333,351.07,349.68,361.36,364.96,364.4833333333333,367.29,372.57,369.77,361.6633333333333,352.61,361.21,374.17,370.4,359.82,360.1,369.28,361.94,355.49,355.6166666666667,357.56,361.32,354.18,354.1933333333333,355.3333333333333,366.2933333333333,371.05,369.29,356.9233333333333,366.4833333333333,366.1033333333333,367.0157142857143,369.79571428571427,369.86571428571426,367.6733333333333,364.84,L7
1999-08-28 21:53:35+00:00,,,,,,,,,,,,,355.96,351.62,358.54,360.52,350.87,345.54,345.74,354.34,354.06,350.33,338.75,321.2,343.85,348.43,350.11,357.07,359.48,360.94,359.39,354.26,356.66,354.13,361.26,357.74,356.89,351.86,357.07,L7
1999-09-22 21:47:24+00:00,378.51000000000005,355.34,370.61,374.35,349.93,344.93,351.85,346.71000000000004,341.49,349.90000000000003,354.95000000000005,356.76000000000005,359.02,339.61,355.91,364.05,350.08000000000004,338.15000000000003,338.38,347.35,339.49,338.85,373.71,386.82,326.61,364.70000000000005,347.07,345.43,354.74,349.08000000000004,364.13,372.33,355.36,355.83,359.16857142857145,359.03857142857146,346.2685714285714,354.55,362.65000000000003,L7
1999-09-29 21:53:40+00:00,386.14,375.93666666666667,381.7966666666667,375.7166666666667,372.12,372.99,374.79,367.53000000000003,365.9766666666667,375.49,380.37,382.5,375.3366666666667,377.18,380.49,380.29,369.46000000000004,364.54,370.86,378.29,385.1,,393.3233333333333,348.91,362.58,378.87,371.5166666666667,380.9266666666667,379.56666666666666,384.43,390.09000000000003,376.7366666666667,383.2266666666667,385.1466666666667,382.03,374.01,377.45,385.5466666666667,391.23,L7
1999-10-24 21:47:20+00:00,370.26,363.6366666666667,359.5866666666667,366.43666666666667,375.36,359.72,353.75,357.98,371.3466666666667,353.64,356.14,367.31,359.0966666666667,355.85,351.97,355.89,344.01,341.02,339.03,360.95,352.61,349.48,357.37333333333333,378.35,,377.07,358.0866666666667,371.5466666666667,377.2966666666667,369.66,376.24,381.0166666666667,368.68666666666667,367.9166666666667,372.2257142857143,372.1957142857143,368.74571428571426,367.9666666666667,357.4,L7
1999-11-25 21:47:14+00:00,,328.2166666666667,,326.0366666666667,,338.96,341.35999999999996,353.23999999999995,370.5566666666667,392.60999999999996,399.95,,,363.23999999999995,,,,,,,,,,,,,,396.7266666666667,385.8366666666667,335.48999999999995,,,401.5366666666667,,,,,,,L7
2000-01-03 21:53:28+00:00,368.35999999999996,355.5466666666667,343.5166666666667,347.93666666666667,341.28,340.58,340.58,349.37,346.99666666666667,365.15,366.90999999999997,356.06,349.2766666666667,342.82,345.82,350.38,332.9,323.33,345.15999999999997,346.71,343.48,333.24,325.6533333333333,332.06,348.39,349.46,355.4866666666667,370.7666666666667,369.0366666666667,367.95,379.98999999999995,374.6666666666667,364.31666666666666,366.3666666666667,376.32,366.19,361.37,371.9066666666667,360.46,L7
2000-01-12 21:47:18+00:00,393.47999999999996,385.7,381.14,376.36,380.21,379.37,378.39,,,,,,,,,,,,,,,,392.2,362.68,374.73999999999995,381.71999999999997,392.4,396.97,398.38,404.22999999999996,410.51,394.72,390.75,390.62,384.0571428571428,382.16714285714284,377.95714285714286,386.03,398.03,L7
2000-01-19 21:53:25+00:00,382.62,370.43,366.95,373.34,368.16,369.44,365.66,346.97,368.86,350.28,371.61,378.81,345.87,341.44,,341.45,317.8,351.04,328.69,343.56,337.97,326.99,,,,375.57,398.8,,389.76,377.8,369.44,366.77,395.31,391.38,395.4814285714286,381.37142857142857,366.83142857142855,367.58,349.06,L7
2000-02-04 21:53:25+00:00,379.08,373.53,362.06,360.22,358.94,362.1,359.35,361.03000000000003,364.15,367.26,367.68,371.64,367.83,364.16,365.95,360.13,357.5,355.0,359.63,366.54,362.0,357.17,354.59,369.61,370.46000000000004,377.2,374.21,378.67,382.88,380.57,380.09000000000003,382.47,384.13,379.15,381.97142857142853,370.4214285714286,367.44142857142856,368.79,378.72,L7
2000-02-20 21:53:17+00:00,384.71000000000004,376.08,368.92,366.17,368.65000000000003,366.76,364.64,368.15000000000003,372.96,379.51,382.37,382.73,377.53,382.55,380.79,381.28000000000003,372.34000000000003,364.14,367.33,375.42,368.35,362.93,365.73,,377.52000000000004,374.6,379.61,384.52,384.27,384.44,389.0,384.82,380.48,381.86,382.6128571428572,374.9428571428572,371.29285714285714,383.84,383.47,L7
2000-05-26 21:52:36+00:00,378.5,381.49666666666667,375.19666666666666,374.6366666666667,375.70000000000005,373.33000000000004,368.37,369.23,372.3566666666667,377.02000000000004,,378.29,372.00666666666666,372.29,377.68,372.29,366.52000000000004,361.97,358.59000000000003,371.56,373.05,371.35,373.24333333333334,376.06,366.11,351.42,345.3266666666667,371.6366666666667,373.93666666666667,374.31,379.05,380.06666666666666,371.81666666666666,371.6666666666667,375.18,374.71,370.04,373.2266666666667,376.97,L7
2000-07-13 21:52:07+00:00,380.13,370.13,378.35,373.39,356.81,333.19,339.96999999999997,352.61,356.4,357.43,359.96,359.64,350.21,340.86,351.84,351.46999999999997,336.87,340.67,345.89,359.44,354.33,336.48,320.9,330.79,349.51,330.03,347.82,352.46,360.43,358.8,362.58,365.84,360.97,356.6,357.2342857142857,370.6642857142857,366.1642857142857,368.65,374.67,L7
