dates,nzd0306-0000,nzd0306-0001,nzd0306-0002,nzd0306-0003,nzd0306-0004,nzd0306-0005,nzd0306-0006,nzd0306-0007,nzd0306-0008,nzd0306-0009,nzd0306-0010,nzd0306-0011,nzd0306-0012,nzd0306-0013,nzd0306-0014,nzd0306-0015,nzd0306-0016,nzd0306-0017,nzd0306-0018,nzd0306-0019,nzd0306-0020,nzd0306-0021,nzd0306-0022,nzd0306-0023,nzd0306-0024,nzd0306-0025,nzd0306-0026,nzd0306-0027,nzd0306-0028,nzd0306-0029,nzd0306-0030,nzd0306-0031,nzd0306-0032,nzd0306-0033,nzd0306-0034,nzd0306-0035,nzd0306-0036,nzd0306-0037,nzd0306-0038,satname
1999-08-21 21:47:20+00:00,373.59,372.66,379.45,367.41,353.36,351.97,363.65,366.29,365.44,369.58,374.86,372.06,363.33,355.61,364.21,376.46,372.69,362.11,361.43,370.61,365.27,357.49,358.95,357.56,362.65,356.47,355.15,356.29,367.25,373.34,371.58,356.92,367.44,367.06,367.73,369.80,370.58,368.63,366.17,L7
1999-08-28 21:53:35+00:00,373.59,372.66,379.45,367.41,353.36,351.97,363.65,366.29,365.44,369.58,374.86,372.06,359.64,353.62,361.38,368.49,361.78,353.83,353.59,362.48,359.66,353.91,348.85,339.38,353.25,352.45,352.63,356.68,363.37,367.14,365.49,355.59,362.05,360.60,364.50,363.77,363.74,360.25,361.62,L7
1999-09-22 21:47:24+00:00,377.75,365.22,376.25,372.10,354.56,351.37,360.66,358.20,354.68,362.65,367.82,367.32,360.85,351.50,362.10,368.95,359.82,350.54,349.65,358.57,355.77,350.59,359.97,355.19,345.50,358.48,351.59,353.74,361.30,363.06,366.98,361.17,360.63,359.82,363.33,362.19,358.52,359.16,363.10,L7
1999-09-29 21:53:40+00:00,378.84,367.57,376.87,372.08,357.48,355.64,362.44,359.60,357.22,364.00,369.07,369.45,362.87,355.03,363.81,369.59,360.03,351.84,353.67,362.22,359.90,357.31,365.10,353.62,348.49,361.38,355.65,359.62,364.95,366.20,370.56,365.06,365.36,365.23,367.31,365.15,362.56,364.84,368.85,L7
1999-10-24 21:47:20+00:00,377.61,367.24,373.21,371.32,363.52,358.23,361.84,360.11,361.41,362.98,367.41,370.49,363.03,356.84,363.09,368.11,358.09,350.94,351.48,362.70,360.27,356.84,365.39,358.57,348.49,365.77,356.66,362.53,367.94,368.15,372.95,368.25,366.55,366.29,368.69,366.56,364.19,365.99,367.29,L7
1999-11-25 21:47:14+00:00,377.61,359.04,373.21,361.88,363.52,353.44,356.81,358.19,362.85,367.97,372.98,370.49,363.03,356.88,363.09,368.11,358.09,350.94,351.48,362.70,360.27,356.84,365.39,358.57,348.49,365.77,356.66,367.90,370.60,368.15,372.95,368.25,372.06,366.29,368.69,366.56,364.19,365.99,367.29,L7
2000-01-03 21:53:28+00:00,376.41,358.85,367.74,359.94,360.19,352.23,355.04,357.27,360.60,368.43,372.90,368.72,361.42,355.93,361.44,366.09,354.82,347.27,350.97,360.58,358.84,353.73,360.13,354.15,349.12,363.99,356.86,368.65,370.71,369.05,375.06,369.32,371.28,366.69,370.25,366.50,364.02,367.36,366.70,L7
2000-01-12 21:47:18+00:00,378.53,362.24,369.45,361.84,362.27,355.03,357.29,357.27,360.60,368.43,372.90,368.72,361.42,355.93,361.44,366.09,354.82,347.27,350.97,360.58,358.84,353.73,363.14,355.37,352.66,365.44,361.49,371.79,373.78,373.00,379.04,372.95,373.32,369.66,371.89,368.74,365.67,369.58,370.55,L7
2000-01-19 21:53:25+00:00,379.82,363.71,369.60,363.72,364.34,357.90,359.41,356.51,362.29,367.06,373.94,371.83,360.09,355.52,361.44,363.79,350.76,349.03,348.50,358.86,357.64,350.98,363.14,355.37,352.66,367.78,366.60,371.79,375.95,374.67,378.91,372.18,376.16,372.82,375.17,370.31,366.15,369.78,368.49,L7
2000-02-04 21:53:25+00:00,380.01,364.97,368.85,363.51,364.13,358.79,359.82,357.35,362.72,367.56,373.63,372.34,361.40,357.03,362.79,363.80,352.07,350.25,350.17,360.10,358.87,352.17,362.76,357.15,355.52,369.25,367.62,372.73,376.80,375.75,379.46,373.32,377.12,373.70,376.06,370.33,366.42,369.84,369.87,L7
2000-02-20 21:53:17+00:00,381.42,365.37,367.56,363.39,366.09,360.47,359.97,357.61,363.67,368.84,374.61,373.92,363.21,360.07,365.22,364.45,352.07,350.55,350.93,360.72,359.32,352.88,363.67,357.09,357.67,371.30,370.35,375.88,378.51,377.02,381.44,376.42,378.44,375.36,377.72,370.90,366.52,371.55,371.81,L7
2000-05-26 21:52:36+00:00,382.02,374.43,366.93,367.08,367.01,366.79,364.36,360.90,366.45,371.18,376.71,376.84,364.94,365.03,370.22,364.44,352.75,354.43,353.83,362.71,361.84,353.26,362.45,360.10,367.51,369.85,374.94,380.56,383.68,383.07,386.20,380.59,381.77,380.81,383.08,374.97,369.63,375.86,375.34,L7
2000-07-13 21:52:07+00:00,383.06,375.80,371.76,371.02,369.17,364.48,363.12,361.65,368.41,369.82,375.20,377.74,365.26,364.88,372.03,364.84,353.72,358.08,354.08,365.36,364.27,354.06,356.91,358.82,367.22,365.28,370.62,372.76,379.72,378.70,379.55,375.99,380.01,377.60,379.60,374.42,369.45,373.88,374.63,L7
2000-07-29 21:51:50+00:00,383.54,379.72,377.55,375.36,370.45,360.93,360.63,367.44,369.34,370.58,371.06,378.31,365.08,369.89,373.11,370.66,358.86,355.17,359.31,369.13,373.71,363.37,355.05,361.75,367.22,364.38,366.54,374.50,376.23,378.22,382.40,377.51,377.39,375.05,373.48,378.73,376.19,374.56,379.77,L7
2000-08-07 21:45:32+00:00,382.82,380.10,379.80,377.42,371.20,359.55,358.59,366.73,369.03,369.63,370.22,377.16,364.35,368.73,371.88,370.89,357.48,353.79,359.17,370.70,374.76,364.89,353.73,353.81,357.37,357.43,363.51,371.80,373.81,376.13,382.46,377.02,375.64,372.42,370.50,379.49,377.32,375.88,378.41,L7
2000-08-14 21:51:44+00:00,379.08,377.28,376.59,375.00,369.22,358.40,356.49,363.27,366.44,367.12,366.67,373.49,362.21,365.60,368.50,367.40,354.86,351.20,357.45,368.58,371.69,361.94,350.81,351.97,352.89,354.66,361.71,369.49,371.94,374.64,380.68,375.83,373.89,370.24,369.43,377.47,376.36,374.61,375.04,L7
2000-10-26 21:44:46+00:00,378.16,378.35,379.13,376.75,368.04,357.21,356.09,361.36,363.32,364.13,362.91,371.61,360.11,361.90,365.52,361.29,349.72,347.65,353.10,364.34,367.79,357.09,346.89,351.97,350.21,355.18,359.32,366.99,371.09,373.05,380.51,375.84,376.00,371.30,370.58,378.73,378.01,374.57,371.01,L7
2000-12-04 21:50:58+00:00,377.32,377.12,378.54,375.23,365.92,355.37,354.09,358.31,359.72,361.67,362.68,369.82,358.86,359.39,363.23,358.71,346.81,345.07,351.84,361.68,365.48,355.85,343.09,346.54,348.31,356.03,362.93,366.86,371.52,372.86,380.82,377.09,377.68,372.65,372.47,379.76,379.83,376.35,371.31,L7
2000-12-13 21:44:52+00:00,376.71,376.65,377.69,374.18,365.17,355.43,354.04,357.90,359.27,362.19,363.28,369.45,359.65,359.41,363.20,358.71,347.15,344.94,351.57,361.07,363.93,356.42,345.07,346.16,347.58,355.66,362.39,367.26,371.42,372.26,380.09,377.13,377.30,373.07,373.09,378.98,378.05,376.55,372.58,L7
2001-01-05 21:51:04+00:00,377.77,377.67,379.45,376.74,367.74,357.02,356.09,359.53,360.72,364.23,366.20,371.79,362.83,360.94,366.10,362.09,350.50,347.12,353.75,363.00,365.31,358.69,348.81,349.36,352.05,359.07,364.29,369.46,374.09,374.40,383.04,380.42,380.19,376.12,377.50,382.28,380.83,380.24,373.98,L7
2001-01-21 21:51:10+00:00,376.69,377.78,378.87,376.27,367.57,359.63,357.35,359.75,360.72,363.92,366.25,372.83,365.50,363.89,368.29,363.11,352.01,347.40,354.26,363.28,363.44,358.82,351.88,355.08,355.04,364.27,367.40,373.85,376.42,375.90,385.31,382.33,382.65,379.44,381.51,384.33,383.04,381.98,371.74,L7
2001-03-19 21:44:40+00:00,377.09,377.69,379.20,376.39,366.33,361.03,359.62,358.29,358.21,365.57,369.17,373.52,370.87,364.02,370.51,364.99,356.89,352.09,355.31,362.76,356.16,356.81,355.54,358.14,363.74,370.58,369.53,376.95,380.82,378.79,387.83,386.97,387.78,385.85,391.91,387.88,385.32,386.83,376.11,L7
2001-04-04 21:44:30+00:00,376.82,375.37,376.33,374.20,364.77,361.02,358.80,357.34,358.73,367.12,371.44,375.09,372.00,366.37,372.70,366.28,358.04,353.26,356.75,364.83,358.62,357.11,355.08,358.37,364.63,371.52,369.78,377.39,381.30,379.88,387.58,385.62,386.41,384.84,389.98,385.53,383.98,385.14,376.16,L7
2001-04-20 21:44:34+00:00,378.87,378.24,375.19,372.00,362.89,361.81,360.11,357.86,360.23,367.79,371.37,375.83,372.76,368.05,374.23,367.07,358.35,353.00,357.10,365.01,359.50,357.66,356.18,360.60,365.25,371.73,369.63,377.31,381.13,379.75,386.71,384.31,384.79,384.37,388.76,384.79,382.95,384.78,377.10,L7
2001-04-27 21:50:43+00:00,379.09,377.32,372.76,369.93,362.26,361.77,359.88,358.92,361.68,368.78,372.37,375.72,373.97,369.23,375.13,370.40,360.43,354.93,359.92,367.88,363.86,363.54,363.37,365.73,367.01,372.08,371.86,379.76,382.71,382.14,388.05,385.94,384.56,384.39,388.79,385.80,383.81,385.20,380.17,L7
2001-05-22 21:44:18+00:00,377.77,375.68,371.26,368.09,359.60,359.34,358.99,358.18,361.31,368.16,371.77,375.37,373.08,368.68,373.68,368.85,358.58,353.51,358.60,366.66,362.61,362.27,361.09,363.70,365.61,371.00,371.51,378.69,381.30,380.86,387.05,384.38,382.62,382.92,387.61,385.27,383.45,383.88,378.17,L7
2001-06-07 21:44:06+00:00,378.17,374.85,370.48,367.80,359.78,359.70,359.99,358.94,363.19,369.67,373.15,376.49,374.01,370.39,374.85,369.69,359.54,354.28,359.33,368.00,363.56,362.85,363.73,367.18,366.75,372.98,372.90,380.58,382.03,382.12,388.48,384.46,383.48,383.79,388.20,386.01,384.49,385.16,378.38,L7
2001-07-25 21:43:42+00:00,375.44,370.38,365.41,363.59,355.23,358.36,358.32,356.45,362.07,368.48,369.83,373.62,370.70,368.55,370.35,366.05,355.66,352.23,356.69,366.33,362.87,361.76,364.59,360.83,361.90,369.49,371.84,378.23,380.11,382.19,386.46,381.04,380.48,380.42,384.15,381.75,381.05,380.62,378.77,L7
2001-09-18 21:49:05+00:00,374.92,368.83,364.83,360.94,355.73,357.05,356.64,354.95,359.62,365.69,368.00,370.91,367.83,366.47,368.84,361.49,350.31,347.58,351.88,360.15,357.78,355.51,357.35,356.11,358.21,364.84,367.69,375.18,376.79,378.35,382.57,376.42,375.08,376.27,378.71,375.81,373.98,374.01,372.63,L7
2001-10-04 21:48:54+00:00,375.15,370.00,366.20,362.11,357.28,357.11,357.15,355.82,358.88,363.45,365.70,367.89,365.47,365.60,367.10,358.97,347.18,345.05,348.78,354.98,353.26,353.21,355.24,352.10,355.37,361.62,365.92,373.54,375.18,376.69,380.99,375.49,373.66,374.93,377.42,375.63,372.99,372.67,370.53,L7
2001-10-29 21:42:45+00:00,373.35,363.49,365.62,364.33,360.24,356.45,355.33,353.90,355.82,358.56,362.66,363.16,362.88,364.37,365.03,356.42,344.23,342.04,343.75,350.30,348.19,346.55,347.90,342.76,351.59,358.15,363.29,371.19,373.19,372.63,376.23,371.77,371.57,373.05,377.12,373.54,371.32,369.78,364.73,L7
