,dates,usa_CA_0080-0000,usa_CA_0080-0001,usa_CA_0080-0002,usa_CA_0080-0003,usa_CA_0080-0004,usa_CA_0080-0005,usa_CA_0080-0006,usa_CA_0080-0007,usa_CA_0080-0008,usa_CA_0080-0009,usa_CA_0080-0010,usa_CA_0080-0011,usa_CA_0080-0012,usa_CA_0080-0013,usa_CA_0080-0014,usa_CA_0080-0015,usa_CA_0080-0016,usa_CA_0080-0017,usa_CA_0080-0018,usa_CA_0080-0019,usa_CA_0080-0020,usa_CA_0080-0021
0,1984-05-04 18:01:45+00:00,199.28396791958536,177.70504733970827,175.938288529809,185.9426805264896,184.67989673157834,184.78580059016716,187.11795990814548,191.33653553670032,196.31334720262254,203.17182028481898,206.68616300561922,213.1308049297805,212.89398515063885,208.80587426372824,211.8928096470331,215.68396896014025,218.80546505061432,230.081195514711,231.1398163604087,241.6097774862487,227.57729020515484,217.67636209279328
1,1984-05-20 18:02:16+00:00,199.44702585763332,183.7443805574563,181.55485775029516,190.70999042292596,201.7315784537597,195.36843981083445,184.8709218925897,185.34975818258798,189.53834682362617,202.35966230289142,209.87900655340886,207.05411232931473,208.32827356410746,212.19897850955152,217.68360946603417,217.35556429420578,214.34265498788665,224.41471656488187,237.1187630091176,240.3215960395702,231.15782756587475,223.11646650218597
2,1984-06-21 18:02:54+00:00,197.7426036427261,169.71545804075438,173.13160245922998,183.8049629028638,176.12171022322957,181.12493347760932,183.400677471332,185.97336450416446,197.49002800019136,211.1732178162452,210.8726324923778,210.99946545864927,205.26000505638183,205.22565422928153,207.96070794263238,211.31275660565254,210.1225435586267,225.17499877194996,234.45125735720964,236.79735578984946,227.86616437676759,218.00967854345663
3,1984-10-27 18:04:31+00:00,,,,,185.00590579431724,185.93448245101223,188.82333121308022,187.3722835773174,196.42786751335927,209.72358405350303,207.7960592214526,205.5428600672421,195.93930050792886,190.652592762748,191.31867083541675,195.70046364513868,197.61820376766374,199.81188581283686,208.65045476950962,208.06665736070374,199.14560894424937,193.98646882793744
4,1984-12-14 18:04:35+00:00,196.11524617682937,191.30115613519882,199.5680224161132,217.0383775409536,217.50145847445663,223.24060836160794,228.79713902274764,235.57454531162213,240.28863666380778,,,259.1221117927672,217.55858680563358,200.73407148616022,199.6557533046308,202.71636512881773,202.68033103737486,214.45099409914232,218.37195207189617,223.3406380374907,211.43752507559063,212.68979759048688
5,1984-12-30 18:04:44+00:00,214.08406054807358,193.14575591043248,198.95993972055805,204.6109819776618,200.2698479195554,201.52630407771585,205.599340968555,205.38170780076072,215.75569649900234,224.55379546549148,228.09839150721228,220.7306019927936,215.2419542374754,217.53568587065433,215.57200619684957,214.43330658851409,212.90171951785857,225.14696100735725,227.0333947354227,235.85136575713238,219.0784824503279,221.56350394896953
6,1985-01-15 18:04:51+00:00,218.3865016515456,191.86506722272802,196.00713548504802,198.0172029277174,193.64492731689978,193.58980390303137,193.48335000522786,198.1246162410955,197.24360638740663,222.67774638278127,226.27113565141224,218.83116732685187,218.42162247812348,210.62556420989313,209.8077963758751,209.2209425064459,211.0031673034257,222.71563718892085,227.77921817424118,233.2932805149905,221.924031158199,216.61783538598647
7,1985-01-31 18:04:55+00:00,209.15914074956436,187.07274369483423,189.6246623118579,200.61317632482871,192.9899964696075,198.77379197783642,196.71209429182926,193.20902873681712,207.9980157314021,230.63220369606762,230.00447936015715,221.21543311215552,217.13523630699171,214.50657133094165,212.54882154030184,212.3097954750597,214.47843357201407,222.2638532530267,232.32540614249012,234.61894455959884,222.66921343178615,217.529667527585
8,1985-03-20 18:04:55+00:00,192.70978616545204,174.2720588221645,171.2085479954078,185.97205298659514,179.1541492551844,183.22083704020469,184.26940876587759,182.11544806629337,189.67338985066573,201.13937182239425,213.65449953715313,209.37299978931193,199.32448197310933,199.43430034344735,205.65141039123577,205.73131731249268,207.59191013081642,212.1433578058814,219.42351842982538,223.70119166640393,216.45521315206156,212.3584287792867
9,1985-06-08 18:04:37+00:00,215.7128735067624,190.66388252042864,184.0977499023771,192.67775471530047,185.95200751955537,180.873906360499,182.94133134182655,179.7522380226889,195.8630071357607,216.45619689737958,215.12437365833566,212.1689214388093,208.86804400362047,209.74109415312958,212.66170327320305,213.6800884462868,211.32003368956626,224.45501699875442,237.38500601584815,238.245258947957,226.3052163193879,222.09498005361218
