dates,sar1387-0000,sar1387-0001,sar1387-0002,sar1387-0003,sar1387-0004,sar1387-0005,satname
1984-05-06 09:33:27+00:00,228.25,199.25,220.79,230.06,493.73,122.03,L5
1984-06-07 09:34:18+00:00,222.74,199.15,222.84,220.8,493.99,118.85,L5
1985-05-25 09:36:15+00:00,224.52,199.74,221.16,226.65,,,L5
1985-07-28 09:35:58+00:00,224.54,206.38,225.9,226.68,489.89,111.71,L5
1985-08-13 09:35:48+00:00,225.74,209.46,222.25,234.09,489.64,119.68,L5
1985-08-29 09:35:38+00:00,233.0,213.57,235.28,232.12,495.54,110.63,L5
1985-12-03 09:34:19+00:00,231.09,208.44,220.81,230.0,491.99,120.58,L5
1986-03-25 09:32:01+00:00,226.46,198.91,222.93,232.36,491.71,121.76,L5
1986-05-12 09:30:53+00:00,235.77,206.67,224.07,230.18,497.68,109.48,L5
1986-05-28 09:30:26+00:00,236.15,204.86,222.67,226.58,495.26,119.91,L5
1986-07-31 09:28:19+00:00,227.66,197.61,220.16,222.62,492.34,119.35,L5
1986-09-01 09:27:08+00:00,221.87,199.87,220.31,226.84,492.52,122.57,L5
1986-09-17 09:26:37+00:00,217.21,196.92,217.2,224.59,493.74,116.63,L5
1987-01-07 09:25:37+00:00,,,198.1,219.12,495.29,121.7,L5
1987-01-23 09:26:04+00:00,244.85,203.25,232.61,232.06,494.9,123.66,L5
1987-04-29 09:29:30+00:00,236.78,201.22,224.55,231.22,490.82,117.96,L5
1987-05-15 09:29:57+00:00,218.02,203.01,223.36,221.57,489.4,112.7,L5
1987-06-16 09:30:43+00:00,233.88,200.93,227.39,221.49,489.04,117.44,L5
1987-07-02 09:31:03+00:00,226.38,196.67,223.88,223.51,491.04,121.18,L5
1987-07-18 09:31:44+00:00,222.34,190.09,221.26,217.75,490.66,116.8,L5
1987-08-03 09:31:49+00:00,248.45,214.24,232.55,236.15,495.65,119.34,L5
1987-08-19 09:32:18+00:00,227.21,198.27,230.19,225.93,491.77,123.44,L5
1987-09-04 09:32:43+00:00,225.01,196.34,221.41,220.65,490.71,112.13,L5
1987-09-20 09:33:05+00:00,238.84,216.1,223.96,223.12,490.07,113.87,L5
