dates,satname,sar1387-0000,sar1387-0001,sar1387-0002,sar1387-0003,sar1387-0004,sar1387-0005
1984-05-06 09:33:27+00:00,L5,228.25,199.25,220.79,230.06,493.73,122.03
1984-06-07 09:34:18+00:00,L5,222.74,199.15,222.84,220.80,493.99,118.85
1985-05-25 09:36:15+00:00,L5,224.52,199.74,221.16,226.65,52.05,
1985-07-28 09:35:58+00:00,L5,224.54,206.38,225.90,226.68,489.89,111.71
1985-08-13 09:35:48+00:00,L5,225.74,209.46,222.25,234.09,489.64,119.68
1985-08-29 09:35:38+00:00,L5,233.00,213.57,235.28,232.12,495.54,110.63
1985-12-03 09:34:19+00:00,L5,231.09,208.44,220.81,230.00,491.99,120.58
1986-03-25 09:32:01+00:00,L5,226.46,198.91,222.93,232.36,491.71,121.76
1986-05-12 09:30:53+00:00,L5,235.77,206.67,224.07,230.18,497.68,109.48
1986-05-28 09:30:26+00:00,L5,236.15,204.86,222.67,226.58,495.26,119.91
1986-07-31 09:28:19+00:00,L5,227.66,197.61,220.16,222.62,492.34,119.35
1986-09-01 09:27:08+00:00,L5,221.87,199.87,220.31,226.84,492.52,122.57
1986-09-17 09:26:37+00:00,L5,217.21,196.92,217.20,224.59,493.74,116.63
1987-01-07 09:25:37+00:00,L5,,,198.10,219.12,495.29,121.70
1987-01-23 09:26:04+00:00,L5,244.85,203.25,232.61,232.06,494.90,123.66
1987-04-29 09:29:30+00:00,L5,236.78,201.22,224.55,231.22,490.82,117.96
1987-05-15 09:29:57+00:00,L5,218.02,203.01,223.36,221.57,489.40,112.70
1987-06-16 09:30:43+00:00,L5,233.88,200.93,227.39,221.49,489.04,117.44
1987-07-02 09:31:03+00:00,L5,226.38,196.67,223.88,223.51,491.04,121.18
1987-07-18 09:31:44+00:00,L5,222.34,190.09,221.26,217.75,490.66,116.80
1987-08-03 09:31:49+00:00,L5,248.45,214.24,232.55,236.15,495.65,119.34
1987-08-19 09:32:18+00:00,L5,227.21,198.27,230.19,225.93,491.77,123.44
1987-09-04 09:32:43+00:00,L5,225.01,196.34,221.41,220.65,490.71,112.13
1987-09-20 09:33:05+00:00,L5,238.84,216.10,223.96,223.12,490.07,113.87
1987-10-06 09:33:26+00:00,L5,,,16.62,210.41,490.87,117.01
1987-11-07 09:34:02+00:00,L5,230.17,204.14,226.09,226.56,492.42,118.27
1987-12-25 09:35:13+00:00,L5,226.93,198.71,224.31,228.55,489.96,111.33
1988-01-10 09:35:29+00:00,L5,254.61,212.31,241.58,249.44,491.97,106.06
1988-02-11 09:35:41+00:00,L5,254.96,215.27,240.17,270.64,492.26,119.77
1988-03-14 09:36:03+00:00,L5,235.55,204.00,224.04,230.18,492.70,114.04
1988-04-15 09:36:14+00:00,L5,236.69,210.86,234.56,229.94,493.99,112.28
1988-05-17 09:36:32+00:00,L5,231.47,201.58,220.36,225.32,493.72,120.15
1988-06-02 09:36:38+00:00,L5,237.77,203.33,227.78,234.71,495.20,120.12
1988-07-04 09:36:48+00:00,L5,228.29,198.23,220.65,224.99,489.22,115.40
1988-08-05 09:36:52+00:00,L5,240.36,211.84,228.51,233.75,207.67,462.46
1988-09-22 09:36:50+00:00,L5,237.23,216.64,237.43,227.76,210.61,432.21
1988-10-08 09:36:45+00:00,L5,231.53,201.12,221.73,232.09,208.09,445.89
1988-12-27 09:36:27+00:00,L5,231.11,203.91,228.46,225.37,199.13,442.65
1989-01-12 09:36:20+00:00,L5,242.71,211.38,240.17,226.48,201.25,442.93
1989-02-13 09:36:09+00:00,L5,249.08,240.40,234.86,224.93,190.11,
1989-03-01 09:35:54+00:00,L5,230.18,198.80,222.10,226.41,209.76,209.36
1989-03-17 09:35:16+00:00,L5,232.91,199.73,228.32,232.09,204.45,435.52
1989-04-02 09:35:12+00:00,L5,252.53,216.75,240.00,273.13,216.25,424.70
1989-05-20 09:34:32+00:00,L5,239.59,206.94,235.90,237.91,209.49,434.43
1989-06-21 09:33:55+00:00,L5,228.22,190.13,229.27,225.85,197.44,432.36
1989-07-07 09:34:03+00:00,L5,,,,,,
1989-07-23 09:33:21+00:00,L5,243.13,210.24,241.41,240.47,211.54,421.55
1989-08-24 09:32:39+00:00,L5,253.73,215.14,247.61,255.73,218.86,442.84
1989-09-25 09:31:52+00:00,L5,250.74,221.59,253.54,267.35,215.88,400.68
1989-10-27 09:30:51+00:00,L5,232.03,202.71,236.02,244.71,211.24,463.13
1989-11-12 09:30:31+00:00,L5,253.22,222.88,252.19,262.30,215.28,423.17
1990-01-15 09:28:57+00:00,L5,237.91,205.14,244.49,254.31,197.16,420.85
1990-01-31 09:28:06+00:00,L5,249.43,223.08,243.70,258.89,215.49,422.31
1990-03-04 09:27:26+00:00,L5,237.70,263.80,248.91,242.72,206.62,423.77
1990-04-21 09:26:22+00:00,L5,231.39,199.91,239.92,242.16,207.78,444.18
1990-05-07 09:26:19+00:00,L5,235.15,199.12,239.87,240.93,203.86,206.05
1990-06-08 09:26:19+00:00,L5,236.65,200.52,245.94,235.23,202.06,419.85
1990-06-24 09:26:18+00:00,L5,236.20,199.06,237.21,227.66,204.40,424.10
1990-07-10 09:26:16+00:00,L5,249.46,213.42,248.00,244.48,209.27,397.74
