,dates,mex0149-0000,mex0149-0001,mex0149-0002,mex0149-0003,mex0149-0004,mex0149-0005,mex0149-0006,mex0149-0007,mex0149-0008,mex0149-0009,mex0149-0010,mex0149-0011,mex0149-0012,mex0149-0013,mex0149-0014,mex0149-0015,mex0149-0016,mex0149-0017,mex0149-0018,mex0149-0019,mex0149-0020,mex0149-0021,mex0149-0022,mex0149-0023,mex0149-0024
0,1986-01-25 16:33:44+00:00,223.27859201773833,,230.489828838466,223.3059202583041,230.94942555055945,225.32069402275687,222.25912937679522,227.09794313681152,223.94861243447298,222.96456432772408,224.92432311758424,222.26450932171215,230.62319716847276,228.86405691624537,,246.79721496144015,247.00216090983926,250.17159568269045,246.56176525959327,237.6492835340025,234.65942137960195,231.15766836442364,231.72008024768047,234.26300552100426,229.55912326711035
1,1986-03-14 16:32:40+00:00,228.1787550942434,231.12984297407843,237.20494693984742,237.54666832612986,235.9376547266446,232.80225839801477,234.72148899258912,234.25606348398657,235.76694350571316,238.6400335629616,241.53458750004822,238.70743550800535,244.16158861132283,244.922330513689,,249.99789818684542,247.1453272655389,249.35297605125356,251.0436529465311,240.87530024844722,237.5668702031657,227.55286093699456,227.47231731566143,223.7974670879757,218.62667443960635
2,1986-04-15 16:32:00+00:00,224.53161689402424,225.95260228053365,236.55036920867906,243.17762498999537,233.87601942910516,230.13273234807048,227.9082952820008,231.9645806163269,232.24030545135975,237.56013626628283,233.73579620500192,236.52279030808455,234.35494622241663,241.8975390369763,,250.31431488425312,235.91620894822344,238.09895176819805,238.54456352142859,232.89270506576497,227.45115269485854,226.3595006604753,220.6029679309092,210.3394104589441,220.4277665220934
3,1986-05-01 16:31:37+00:00,216.48617673990714,,213.9201868568175,221.10583228415058,222.15418650931764,211.60647572773823,205.9565726201422,214.50260839537918,,,,,206.10821601150803,206.1438554452754,,222.7665434430897,219.14828831905297,215.04029476886856,213.87328381533638,213.0832229638683,214.27949205421334,204.08960178914862,198.37401399189758,198.48833960804683,201.99204798834953
4,1986-10-08 16:26:23+00:00,203.83730848313002,,205.16061893372492,218.294766876138,206.5664677921112,205.32252983595518,202.4695239750041,206.3681248216107,210.080307975422,210.0194636664856,204.20011274905636,206.99556509144594,208.48908572249778,214.2840025393363,207.86618589984135,207.75327321370696,212.44279869288073,209.05304547830022,211.91534138793477,211.2412935010995,212.41713391521887,208.14817004734076,204.97478562382506,207.2300938162145,212.13902532241656
5,1990-03-25 16:26:48+00:00,224.11448022700932,214.82688140245028,225.87380868375914,229.5363559944131,229.6889739134031,227.13752164191158,213.39797276797836,213.85008562839727,222.8065122650172,216.43548778313493,212.24186008907134,224.9749165735841,226.36310732420242,226.61260836119203,229.162239466343,229.3261003099218,232.0514166311018,225.5044472898708,231.21469937970627,231.9799268419093,230.650548270741,225.98188745569678,236.10322286500036,221.87556599916832,231.32763284496173
6,1992-08-21 16:29:02+00:00,206.07591444605765,204.75095531098853,195.35183240099806,196.69915313965487,209.2315502157203,196.53373396407483,202.80279805038083,200.3045432118765,194.4754978292013,195.68327192197958,211.38750193484276,210.26616529628038,205.9098499559363,209.06311436613015,208.9044171230542,211.76193958128982,209.89035670576072,214.75278605927622,215.26915499214198,214.788710843224,209.84066875193156,214.06964997698208,204.72023556433695,207.76231488389163,221.82999267010683
7,1992-10-24 16:28:00+00:00,205.4865516793648,,205.32227583477794,207.75237259232804,205.70091473730093,213.51763864124905,205.76361742367618,201.636567431661,205.84013652132916,215.1416158645644,207.87941118499367,208.42560692979305,209.9794281360834,209.4121470406128,,211.17627913130343,210.21358959163638,213.52201315589653,226.10500909756246,235.73675532748666,227.22058995936385,200.70339594514297,227.61382081821452,236.15255494570783,231.99329015234156
8,1993-01-12 16:28:11+00:00,225.31668364548875,,233.58762675923435,231.14841126029796,235.05469455756344,221.90453208196104,227.39993755440608,238.96529151551547,233.0129007248549,238.42711884792328,239.11830192871744,237.03583774468643,233.3653543884779,240.04550032926124,,249.92228426292874,243.21430932997802,236.04046476006255,250.38569807151475,259.086196244864,257.39135262269383,251.88062376888328,259.23711424035093,268.8988852596301,269.5717690242243
9,1993-02-13 16:28:31+00:00,223.00815265641052,235.64071197397382,234.16667635376916,242.4146585807588,238.1101807714366,241.5954725746292,235.55669559981789,238.6349954096339,236.7033748244819,233.7367242628382,231.61593359797726,231.66301287149858,240.8175153918245,248.15429498526575,247.40954241999293,251.95111331492922,248.44322902223837,248.837594994776,251.95738412756367,255.77845571358216,252.98083841132618,255.28185372609988,256.7247545411707,257.1382258592175,251.96081218172657
