dates,satname,nzd0508-0000,nzd0508-0001,nzd0508-0002,nzd0508-0003,nzd0508-0004,nzd0508-0005,nzd0508-0006,nzd0508-0007,nzd0508-0008,nzd0508-0009,nzd0508-0010,nzd0508-0011,nzd0508-0012,nzd0508-0013,nzd0508-0014,nzd0508-0015,nzd0508-0016,nzd0508-0017,nzd0508-0018,nzd0508-0019,nzd0508-0020,nzd0508-0021,nzd0508-0022,nzd0508-0023,nzd0508-0024,nzd0508-0025
1999-08-26 22:07:32+00:00,L7,,354.07,343.04,363.00,368.79,381.11,390.54,387.47,384.83,367.10,356.24,355.24,351.00,357.50,353.26,344.30,344.92,348.61,353.94,350.84,347.40,343.11,336.37,332.05,340.87,358.02
2000-05-08 22:06:44+00:00,L7,222.51,255.41,265.04,256.95,323.79,339.33,344.74,345.01,349.36,344.32,335.00,314.64,305.94,325.34,331.83,336.36,336.03,337.33,333.74,317.79,316.29,324.46,327.80,349.95,365.18,389.63
2000-06-25 22:06:19+00:00,L7,218.44,217.61,264.91,259.10,299.59,332.95,334.89,329.30,334.53,347.54,343.57,340.75,324.41,321.28,326.63,306.99,300.80,305.91,316.72,325.45,337.74,341.09,340.57,359.54,367.28,381.37
2000-09-20 22:11:14+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,375.73
2000-11-16 22:04:56+00:00,L7,275.22,289.69,298.24,316.21,324.96,330.14,335.13,330.11,325.14,320.60,316.28,318.45,326.23,330.55,329.61,,,,,,,,,,,
2000-12-02 22:04:57+00:00,L7,295.32,314.21,316.71,324.88,332.95,332.72,334.47,334.01,327.43,318.65,302.49,309.76,317.43,322.57,332.71,341.73,347.19,354.50,356.86,344.21,321.43,310.41,310.15,323.06,349.97,379.17
2000-12-18 22:05:01+00:00,L7,289.31,296.42,305.67,309.87,315.00,321.11,316.10,309.67,307.21,299.62,297.42,305.56,309.84,305.93,322.21,331.01,330.67,339.23,342.35,329.03,308.42,297.64,295.17,307.13,332.18,361.19
2001-01-03 22:05:00+00:00,L7,,,,,,,,,,,,,,,,,351.98,357.48,360.13,348.78,313.03,301.60,308.35,331.21,366.25,385.78
2001-01-19 22:05:06+00:00,L7,305.89,309.75,320.06,332.32,332.89,343.62,336.57,331.99,317.26,314.11,322.08,330.18,339.31,336.38,332.32,342.07,348.74,363.74,358.17,333.45,315.40,305.70,312.24,341.17,366.61,378.01
2001-04-09 22:04:41+00:00,L7,,357.17,354.95,367.83,378.87,382.02,374.26,357.47,349.57,346.73,352.55,355.86,350.37,343.41,341.50,347.99,364.57,,,,,,,,,
2001-07-14 22:03:57+00:00,L7,,196.48,253.20,256.26,242.44,335.32,316.32,306.70,306.02,302.10,316.22,312.16,316.28,309.31,320.18,324.03,320.55,332.14,334.34,328.80,313.19,317.45,310.16,323.35,336.84,355.32
2001-08-15 22:03:26+00:00,L7,230.51,266.20,266.99,256.91,320.92,336.21,327.94,318.30,333.56,338.05,328.97,317.05,320.83,322.66,323.23,325.15,333.99,340.09,341.65,335.44,333.05,326.63,324.29,326.15,331.03,330.53
2001-10-02 22:02:52+00:00,L7,308.86,297.34,292.88,295.92,322.10,353.49,365.51,363.89,361.67,351.84,343.32,347.02,352.95,357.01,355.59,353.80,361.20,361.25,364.36,354.37,350.92,347.01,353.88,348.00,332.05,330.78
2001-11-19 22:03:08+00:00,L7,299.85,299.05,305.29,314.60,330.26,349.47,348.55,342.91,338.02,341.80,341.80,342.70,341.23,337.34,335.91,338.98,342.99,348.03,354.93,354.80,346.28,331.07,317.92,322.84,327.72,326.83
2002-04-12 22:03:25+00:00,L7,227.38,272.99,268.54,323.90,337.04,347.63,344.02,335.84,333.58,344.73,336.05,338.52,342.00,346.08,347.21,345.83,350.85,354.85,359.82,357.24,356.05,353.87,353.61,362.43,370.94,385.04
2002-05-30 22:03:13+00:00,L7,226.99,236.75,269.36,263.61,309.03,331.03,331.99,322.15,313.49,316.67,319.35,323.62,318.42,329.12,335.99,331.59,339.53,343.53,348.76,345.34,338.55,336.44,337.14,351.35,354.99,354.78
2002-06-15 22:03:07+00:00,L7,,219.28,265.07,257.76,273.78,306.53,313.20,313.35,305.08,302.42,302.30,309.52,303.17,308.78,309.53,318.56,306.49,326.89,339.62,330.72,326.15,328.34,328.50,336.16,352.38,363.96
2002-08-18 22:02:45+00:00,L7,,310.33,311.22,310.58,312.63,331.27,328.94,324.16,316.82,308.49,301.78,310.30,308.58,313.71,318.58,320.79,335.89,331.29,323.30,310.13,311.08,312.04,315.82,332.05,351.60,377.18
2003-03-14 22:03:20+00:00,L7,261.02,296.38,290.12,300.94,329.79,330.02,337.30,331.47,325.89,332.30,329.83,333.08,326.38,333.30,341.01,342.37,342.73,349.28,356.73,355.88,352.10,349.66,351.04,366.70,392.18,413.56
2003-08-05 22:02:59+00:00,L7,216.24,216.22,258.94,256.47,245.90,314.49,310.99,298.80,291.96,292.33,294.06,301.13,329.63,326.90,356.25,324.39,307.04,298.03,307.22,310.04,316.36,,,,,
2004-04-25 21:54:35+00:00,L5,227.99,263.79,275.08,269.40,337.90,346.98,336.96,326.74,321.56,327.62,325.48,329.44,329.55,333.06,328.52,313.23,331.79,336.28,338.47,345.93,,,,,,
