dates,nzd0508-0000,nzd0508-0001,nzd0508-0002,nzd0508-0003,nzd0508-0004,nzd0508-0005,nzd0508-0006,nzd0508-0007,nzd0508-0008,nzd0508-0009,nzd0508-0010,nzd0508-0011,nzd0508-0012,nzd0508-0013,nzd0508-0014,nzd0508-0015,nzd0508-0016,nzd0508-0017,nzd0508-0018,nzd0508-0019,nzd0508-0020,nzd0508-0021,nzd0508-0022,nzd0508-0023,nzd0508-0024,nzd0508-0025,satname
1999-08-26 22:07:32+00:00,,,,,355.59,371.68,380.39,376.47,371.63,352.43,344.24,344.24,336.33,344.30,345.93,335.50,336.67,332.11,340.74,337.64,337.25,332.11,321.70,317.38,326.20,,L7
2000-05-08 22:06:44+00:00,223.04,256.03,265.66,257.28,324.59,339.90,345.36,345.68,350.16,345.21,335.73,315.31,306.83,326.14,332.27,336.89,336.53,338.33,334.54,318.59,316.91,325.13,328.69,350.84,366.07,390.77,L7
2000-06-25 22:06:19+00:00,226.31,226.69,273.99,264.02,311.39,341.38,343.97,339.13,346.33,360.65,354.30,350.58,337.52,333.08,333.19,314.86,308.18,320.66,328.52,337.25,346.82,350.92,353.68,372.65,380.39,398.23,L7
2000-09-20 22:11:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,392.87,L7
2000-11-16 22:04:56+00:00,278.42,293.38,301.93,318.21,329.76,333.57,338.82,334.11,329.94,325.93,320.64,322.45,331.56,335.35,332.28,,,,,,,,,,,,L7
2000-12-02 22:04:57+00:00,301.19,320.98,323.48,328.55,341.75,339.01,341.24,341.34,336.23,328.43,310.49,317.09,327.21,331.37,337.60,347.60,352.69,365.50,365.66,353.01,328.20,317.74,319.93,332.84,359.75,391.74,L7
2000-12-18 22:05:01+00:00,300.64,309.50,318.75,316.95,332.00,333.25,329.18,323.84,324.21,318.51,312.87,319.73,328.73,322.93,331.65,342.34,341.30,360.48,359.35,346.03,321.50,311.81,314.06,326.02,351.07,385.48,L7
2001-01-03 22:05:00+00:00,,,,,,,,,,,,,,,,,359.61,372.73,372.33,360.98,322.41,311.77,321.91,344.77,379.81,403.21,L7
2001-01-19 22:05:06+00:00,309.89,314.37,324.68,334.82,338.89,347.91,341.19,336.99,323.26,320.78,327.53,335.18,345.98,342.38,335.65,346.07,352.49,371.24,364.17,339.45,320.02,310.70,318.91,347.84,373.28,386.58,L7
2001-04-09 22:04:41+00:00,,343.17,340.95,360.25,360.67,369.02,360.26,342.30,331.37,326.51,336.00,340.69,330.15,325.21,331.39,335.86,353.19,,,,,,,,,,L7
2001-07-14 22:03:57+00:00,,,261.66,260.84,,343.18,324.78,315.87,317.02,314.32,326.22,321.33,328.50,320.31,326.29,331.36,327.43,345.89,345.34,339.80,321.65,326.62,322.38,335.57,349.06,371.03,L7
2001-08-15 22:03:26+00:00,,272.05,272.84,260.08,328.52,341.64,333.79,324.63,341.16,346.49,335.88,323.38,329.27,330.26,327.45,330.22,338.74,349.59,349.25,343.04,338.90,332.96,332.73,334.59,339.47,341.39,L7
2001-10-02 22:02:52+00:00,299.93,287.03,282.57,290.34,308.70,343.92,355.20,352.72,348.27,336.95,331.14,335.85,338.06,343.61,348.15,344.87,352.82,344.50,350.96,340.97,340.61,335.84,338.99,333.11,317.16,311.64,L7
2001-11-19 22:03:08+00:00,299.85,299.05,305.29,314.60,330.26,349.47,348.55,342.91,338.02,341.80,341.80,342.70,341.23,337.34,335.91,338.98,342.99,348.03,354.93,354.80,346.28,331.07,317.92,322.84,327.72,326.83,L7
2002-04-12 22:03:25+00:00,217.78,261.91,257.46,317.90,322.64,337.34,332.94,323.84,319.18,328.73,322.96,326.52,326.00,331.68,339.21,336.23,341.85,336.85,345.42,342.84,344.97,341.87,337.61,346.43,354.94,364.47,L7
2002-05-30 22:03:13+00:00,225.79,235.37,267.98,,307.23,329.74,330.61,320.65,311.69,314.67,317.71,322.12,316.42,327.32,334.99,330.39,338.40,341.28,346.96,343.54,337.17,334.94,335.14,349.35,352.99,352.21,L7
2002-06-15 22:03:07+00:00,,219.59,265.38,,274.18,306.82,313.51,313.68,305.48,302.86,302.66,309.85,303.61,309.18,309.75,318.83,306.74,327.39,340.02,331.12,326.46,328.67,328.94,336.60,352.82,364.53,L7
2002-08-18 22:02:45+00:00,,,316.30,313.33,,335.98,334.02,329.66,323.42,315.82,307.78,315.80,315.91,320.31,322.25,325.19,340.01,339.54,329.90,316.73,316.16,317.54,323.15,339.38,358.93,386.61,L7
2003-03-14 22:03:20+00:00,262.49,,291.81,301.86,,331.59,338.99,333.30,328.09,334.74,331.83,334.91,328.82,335.50,342.23,343.84,344.11,352.03,358.93,358.08,353.79,351.49,353.48,369.14,394.62,416.70,L7
2003-08-05 22:02:59+00:00,226.37,227.91,270.63,262.80,261.10,325.35,322.68,311.47,307.16,309.22,307.88,313.80,346.52,342.10,364.69,334.52,316.54,317.03,322.42,325.24,328.05,,,,,,L7
2004-04-25 21:54:35+00:00,230.92,267.17,278.46,271.23,,350.12,340.34,330.41,325.96,332.51,329.48,333.11,334.44,337.46,330.96,316.16,334.54,341.78,342.87,350.33,,,,,,,L5
2004-05-03 22:03:47+00:00,215.52,249.03,257.40,256.06,,,,,,,315.64,337.98,329.39,326.30,328.89,329.95,341.62,334.18,338.55,340.74,,,,,,,L7
2004-06-12 21:55:59+00:00,,241.04,271.63,270.13,281.92,352.01,359.23,358.98,358.46,358.85,350.72,347.59,329.51,347.42,341.20,348.36,351.80,361.69,358.42,341.72,346.92,362.21,372.24,394.25,401.93,402.83,L5
2004-06-28 21:56:28+00:00,,,,,,,,344.83,325.45,,,,,,,,,,,,,,,,,,L5
2004-07-06 22:03:36+00:00,219.05,217.76,262.99,257.12,300.14,342.65,330.44,320.30,323.45,334.94,325.52,299.18,,,,321.88,337.30,324.32,325.48,326.46,338.14,341.19,346.76,362.61,373.80,373.70,L7
2004-07-30 21:57:15+00:00,224.62,247.39,259.75,258.93,293.48,355.64,355.58,340.43,337.13,332.85,336.93,337.88,319.50,322.26,345.33,347.62,347.12,339.02,342.42,342.56,352.14,354.67,354.43,367.01,380.34,393.03,L5
2004-08-15 21:57:37+00:00,,,,,322.97,343.69,350.10,345.84,348.21,341.32,316.02,309.80,317.74,333.49,329.54,325.29,328.58,329.83,331.89,331.54,336.93,345.26,349.92,362.87,381.06,383.97,L5
2004-09-08 22:03:17+00:00,239.74,293.28,282.76,281.39,333.13,340.95,345.28,,,,,,321.73,332.50,333.40,341.28,344.27,348.28,345.35,344.99,340.15,341.32,351.64,364.17,383.41,398.05,L7
2004-09-24 22:03:12+00:00,,,,,,,,,,,,,,,,,330.75,334.71,340.81,344.18,337.76,333.08,337.10,345.15,,,L7
2004-10-10 22:03:07+00:00,280.88,,,,,319.25,327.30,326.96,326.26,330.85,334.93,334.89,334.21,336.58,329.44,327.36,327.76,338.66,346.20,340.16,327.86,325.42,326.76,339.45,365.18,376.86,L7
2004-10-18 21:59:11+00:00,304.93,317.76,,,331.79,330.70,339.27,338.93,334.18,344.00,343.81,349.56,352.89,349.47,341.01,334.18,332.24,339.45,349.46,345.28,334.56,330.28,330.17,348.06,372.66,392.44,L5
2004-11-03 21:59:30+00:00,321.39,330.91,,,341.75,343.20,346.88,345.00,349.10,347.28,347.25,350.68,358.38,360.29,345.48,334.55,324.35,348.24,353.48,339.77,327.18,323.35,332.25,356.72,374.68,392.59,L5
2005-03-03 22:04:17+00:00,273.66,300.23,296.01,300.01,325.99,338.41,,,,,325.99,331.58,337.83,342.55,336.40,338.17,339.98,344.68,333.06,314.84,308.52,316.24,326.03,343.24,358.54,385.51,L7
2005-04-04 22:04:14+00:00,235.18,290.23,274.17,295.20,339.04,346.72,341.86,326.66,331.75,343.97,346.80,,,,,314.05,340.87,341.11,338.90,332.80,323.29,324.70,339.15,358.21,373.53,395.41,L7
2005-05-05 22:08:01+00:00,,,,,,,,,,,,,,,,,,,,,,,343.18,357.51,375.09,385.53,L5
2005-05-14 22:01:54+00:00,222.89,,258.03,258.86,,330.27,334.38,319.50,319.67,330.91,325.78,325.50,332.53,338.46,336.25,338.81,338.48,344.15,324.13,318.79,310.76,321.61,321.47,331.17,353.12,370.42,L5
2005-06-07 22:04:06+00:00,,,,,,,,,,,,336.03,336.32,349.92,346.85,332.24,329.00,322.64,,,,,332.01,354.53,378.10,387.87,L7
2005-06-15 22:02:10+00:00,,307.24,262.27,251.50,341.90,335.87,308.27,353.15,345.19,,335.39,334.68,325.30,,363.12,360.25,351.59,344.18,362.83,358.35,355.35,,,,,,L5
2005-07-09 22:04:02+00:00,206.86,,261.42,254.38,,,,,340.39,338.53,345.40,344.04,341.50,345.77,342.52,334.57,336.00,344.51,354.19,346.70,337.59,344.51,352.40,358.81,374.91,392.15,L7
2005-08-26 22:03:51+00:00,237.08,282.94,279.32,268.14,,,,,319.59,341.94,332.20,332.00,341.54,350.17,344.18,338.04,333.08,342.20,341.85,328.58,321.18,331.41,338.62,344.93,369.06,389.51,L7
2005-09-27 22:03:40+00:00,,,,,,340.37,354.41,359.71,357.67,353.74,348.08,346.36,350.12,348.27,332.72,325.91,322.54,335.46,337.42,336.57,337.97,335.59,320.13,331.46,366.61,,L7
2005-10-05 22:02:41+00:00,,326.75,317.68,330.23,323.26,337.01,343.81,348.50,347.68,343.47,342.18,338.92,336.12,335.01,333.75,330.53,329.21,326.37,334.71,333.66,336.53,339.47,342.82,354.85,365.12,367.45,L5
2006-03-14 22:05:42+00:00,,362.36,,375.39,365.45,375.43,374.43,368.13,364.72,360.96,362.34,358.08,352.65,362.50,373.40,364.55,347.63,338.56,342.36,349.16,362.46,363.77,372.42,387.94,388.56,398.93,L5
2006-04-07 22:04:39+00:00,238.09,,,357.74,365.03,360.11,364.70,359.24,360.77,349.67,346.84,351.02,362.77,364.44,345.44,328.21,330.10,343.15,348.45,349.00,350.75,351.32,358.08,364.71,373.68,,L7
2006-04-15 22:06:18+00:00,,362.27,,385.06,381.47,386.53,379.33,367.29,366.87,356.59,360.92,370.18,377.12,378.67,361.59,339.38,338.22,343.96,373.41,369.51,378.71,377.18,371.29,375.75,382.05,386.54,L5
