dates,nzd0124-0000,nzd0124-0001,nzd0124-0002,nzd0124-0003,nzd0124-0004,nzd0124-0005,nzd0124-0006,nzd0124-0007,nzd0124-0008,nzd0124-0009,nzd0124-0010,nzd0124-0011,nzd0124-0012,nzd0124-0013,nzd0124-0014,nzd0124-0015,nzd0124-0016,nzd0124-0017,nzd0124-0018,nzd0124-0019,nzd0124-0020,nzd0124-0021,nzd0124-0022,nzd0124-0023,nzd0124-0024,nzd0124-0025,nzd0124-0026,nzd0124-0027,nzd0124-0028,nzd0124-0029,nzd0124-0030,nzd0124-0031,nzd0124-0032,nzd0124-0033,nzd0124-0034,nzd0124-0035,nzd0124-0036,nzd0124-0037,nzd0124-0038,nzd0124-0039,nzd0124-0040,satname
1999-08-26 22:04:44+00:00,446.00,439.69,443.84,443.35,428.75,433.65,436.57,428.19,418.56,417.82,410.97,415.64,406.95,400.12,397.86,391.84,394.13,407.04,411.63,413.57,405.05,395.67,395.12,390.91,397.25,394.71,392.06,394.19,401.24,400.66,392.54,397.26,402.42,402.84,405.29,407.98,403.13,398.96,393.82,383.64,383.29,L7
1999-09-27 22:04:48+00:00,443.90,442.37,445.29,443.20,431.01,432.17,433.06,424.26,416.78,414.67,410.77,412.53,407.69,399.25,397.39,392.74,393.40,403.13,409.03,412.11,403.13,394.57,392.35,390.50,393.29,392.57,390.05,392.75,397.62,399.88,391.30,395.62,399.62,402.75,403.05,405.06,400.73,399.38,392.29,385.00,384.50,L7
1999-10-22 21:58:28+00:00,444.87,441.79,444.80,443.71,431.03,434.90,436.78,430.24,418.90,414.64,411.13,409.79,406.04,398.53,395.70,393.29,393.51,402.63,405.97,405.90,400.35,392.18,391.77,391.43,395.09,394.79,397.64,399.12,404.97,403.90,389.20,394.32,399.62,402.75,403.05,406.34,403.72,398.75,392.29,385.00,384.50,L7
2000-03-14 21:58:11+00:00,444.31,441.47,445.61,444.91,433.83,437.15,439.27,431.29,421.51,415.92,413.29,409.58,408.96,401.94,395.89,396.37,395.52,402.09,404.46,403.91,398.61,391.53,392.10,392.77,395.95,398.31,403.64,404.87,411.07,410.47,396.43,401.78,410.88,414.10,416.26,415.39,414.35,409.04,403.00,386.35,389.80,L7
2000-07-11 22:03:17+00:00,420.84,422.06,426.66,423.95,417.06,420.88,421.03,416.43,409.12,404.86,400.62,396.81,398.56,393.47,381.71,383.04,381.74,386.78,390.56,388.26,382.44,376.70,378.89,377.59,382.23,386.74,389.79,391.91,398.18,397.94,392.73,399.16,402.43,404.19,405.75,406.14,404.94,399.67,390.73,362.54,376.81,L7
2000-07-20 21:56:59+00:00,415.77,413.67,418.84,416.70,409.67,412.49,411.63,410.61,404.53,400.44,397.83,395.15,394.58,385.30,377.73,374.90,374.58,380.57,384.67,382.52,378.15,372.65,374.45,374.57,377.84,380.47,383.09,387.02,391.29,391.54,386.26,391.03,394.95,396.43,397.67,397.93,394.73,390.65,384.83,361.40,374.09,L7
2000-08-12 22:02:54+00:00,415.77,413.67,416.60,416.60,410.44,412.35,412.23,412.65,406.79,403.44,399.55,397.73,394.80,384.21,377.23,374.34,373.55,378.54,384.52,385.43,381.80,374.01,373.26,376.07,378.87,379.29,380.19,387.02,391.29,391.54,386.26,391.03,394.95,396.43,397.67,397.93,394.73,390.65,384.83,361.40,374.09,L7
2000-09-13 22:02:26+00:00,415.77,401.14,406.71,406.49,401.55,403.00,401.63,406.42,400.25,397.37,393.59,391.97,387.83,376.13,370.90,366.23,365.77,371.07,377.16,378.56,374.66,366.42,366.29,370.03,373.04,372.07,371.49,375.73,379.99,377.49,372.14,377.67,380.85,382.41,381.56,379.82,374.12,372.19,370.26,360.48,363.80,L7
2001-01-03 22:02:12+00:00,423.64,408.00,412.71,411.71,408.13,407.53,409.83,412.72,404.93,400.25,396.98,396.92,394.22,382.50,376.07,368.88,369.94,374.72,379.53,381.19,377.81,369.23,369.33,373.19,375.45,374.38,374.63,378.56,383.30,381.42,376.47,382.19,385.70,386.37,386.59,384.99,379.69,378.26,374.30,364.98,370.17,L7
2001-01-28 21:56:08+00:00,436.91,422.32,424.38,426.13,419.82,419.80,428.04,425.28,417.91,412.00,409.57,411.09,409.54,392.79,386.80,378.20,381.21,384.08,387.31,387.15,381.99,373.98,374.91,378.14,380.69,381.77,380.87,386.48,393.70,391.20,386.11,392.28,394.74,395.16,393.24,392.15,386.27,385.56,379.45,368.55,376.16,L7
2001-02-04 22:02:14+00:00,437.94,425.62,427.81,428.15,420.24,421.06,430.29,427.28,420.77,413.31,410.89,411.20,411.47,396.65,390.08,382.51,385.68,389.00,392.20,390.60,384.54,376.31,376.83,379.71,381.90,382.72,383.00,389.27,397.42,396.27,393.00,400.76,404.00,404.60,404.55,398.75,395.32,392.17,379.45,368.55,376.16,L7
2001-03-01 21:55:57+00:00,438.15,425.35,435.56,432.29,424.71,423.38,436.11,430.24,422.59,414.64,414.04,414.50,416.49,401.33,394.54,385.89,389.82,393.67,394.29,391.22,383.54,375.55,378.95,380.52,382.86,384.89,386.20,389.20,396.19,396.66,393.00,400.76,404.00,404.60,404.55,398.75,395.32,392.17,379.45,368.55,376.16,L7
2001-03-24 22:01:59+00:00,436.78,423.75,433.53,430.86,422.82,421.64,432.80,428.68,420.80,412.95,412.89,413.47,415.62,406.36,398.08,388.87,393.34,396.29,396.77,393.47,385.92,378.87,381.54,383.29,384.69,386.45,387.48,391.21,397.54,400.26,399.46,405.33,407.95,409.75,409.61,403.45,400.27,397.02,384.02,379.26,384.91,L7
2001-06-28 22:01:09+00:00,437.20,423.80,431.67,431.05,424.92,425.63,434.51,429.34,420.81,413.06,412.14,412.98,414.27,404.98,396.51,389.31,396.74,397.95,396.77,399.72,387.35,380.04,381.81,383.73,384.69,386.32,387.61,390.83,397.95,400.09,398.08,403.38,406.53,408.52,408.53,403.76,399.83,396.89,385.36,380.94,383.64,L7
2001-09-09 21:54:12+00:00,433.60,420.39,424.61,428.44,424.18,425.49,430.39,424.97,415.21,410.13,408.11,409.06,410.60,400.22,391.14,389.16,398.06,396.94,392.35,406.41,388.72,380.59,381.89,383.68,384.69,384.31,385.21,387.67,392.97,395.58,392.89,396.00,397.97,401.01,400.64,400.09,392.30,390.77,385.68,377.45,377.69,L7
2001-09-25 21:54:04+00:00,435.19,422.84,425.11,428.70,426.38,428.30,431.98,426.81,418.01,413.28,409.41,409.15,408.29,401.37,392.30,392.43,399.40,399.26,395.06,406.31,389.85,382.29,382.12,381.63,382.90,381.38,383.43,386.54,391.77,392.70,388.82,393.13,396.19,396.26,397.07,399.34,387.80,387.31,383.76,375.02,376.72,L7
2001-10-02 22:00:04+00:00,435.83,423.37,426.59,429.41,426.68,428.26,431.51,426.21,418.08,412.37,410.70,410.01,409.06,402.20,394.12,391.84,397.59,397.33,394.79,403.31,389.48,382.23,381.81,380.91,382.62,381.72,383.13,387.13,391.39,391.81,389.40,393.08,395.15,396.58,396.63,398.69,388.17,386.72,382.72,375.13,375.92,L7
2001-10-11 21:53:46+00:00,436.59,422.58,426.78,427.82,425.42,425.92,430.56,424.87,417.11,410.08,409.24,408.50,406.94,401.36,393.39,390.01,395.03,394.91,393.66,399.76,389.13,380.84,380.29,379.07,380.76,380.13,380.40,385.03,389.71,389.71,387.44,391.30,393.47,394.96,394.93,396.27,386.71,385.26,379.99,373.52,377.05,L7
2001-11-28 21:54:11+00:00,433.96,419.81,424.54,425.32,422.95,423.85,428.15,423.19,414.55,408.54,407.23,407.04,405.52,400.32,392.33,388.68,393.53,392.96,391.42,397.84,388.57,379.72,379.69,378.81,379.65,379.21,379.27,383.60,388.71,388.76,386.40,390.51,392.52,394.19,394.17,395.30,385.79,384.56,379.07,372.31,374.79,L7
2002-01-22 22:00:40+00:00,432.89,418.95,424.97,426.83,422.56,421.74,427.39,423.66,415.34,410.52,409.65,409.65,408.20,403.58,395.90,390.48,390.94,392.81,394.55,394.09,390.86,381.66,381.00,380.65,381.16,379.51,380.18,385.26,389.69,391.39,389.06,392.25,393.38,396.26,396.48,398.20,388.51,387.47,381.30,374.08,375.99,L7
2002-01-31 21:54:26+00:00,433.95,419.90,426.37,426.69,422.23,421.20,426.80,422.97,415.58,411.01,410.48,411.28,409.26,403.91,395.87,390.93,390.52,393.20,394.79,394.16,389.91,380.93,380.93,381.19,381.57,381.15,381.21,386.04,390.07,391.95,389.11,392.38,393.21,394.12,393.78,398.20,388.24,388.11,381.82,373.67,376.64,L7
2002-02-23 22:00:43+00:00,434.62,421.37,428.09,427.66,423.36,419.66,426.80,421.20,414.45,412.26,411.50,411.79,410.08,404.69,396.32,392.08,391.94,394.87,396.47,396.22,392.22,383.02,381.11,381.38,382.08,381.91,381.43,386.57,390.35,392.28,389.34,392.84,393.98,394.98,393.78,398.20,388.24,388.11,381.82,373.67,376.64,L7
2002-03-27 22:00:37+00:00,433.90,419.44,426.86,426.69,421.89,418.75,425.60,418.87,412.52,410.44,410.07,411.30,409.09,402.94,395.06,389.78,390.47,392.93,395.04,395.45,392.07,382.45,380.33,381.59,381.56,381.97,381.18,386.08,390.44,392.25,389.16,392.56,393.77,395.66,394.64,398.34,390.31,389.79,381.51,374.75,377.48,L7
