dates,nzd0124-0000,nzd0124-0001,nzd0124-0002,nzd0124-0003,nzd0124-0004,nzd0124-0005,nzd0124-0006,nzd0124-0007,nzd0124-0008,nzd0124-0009,nzd0124-0010,nzd0124-0011,nzd0124-0012,nzd0124-0013,nzd0124-0014,nzd0124-0015,nzd0124-0016,nzd0124-0017,nzd0124-0018,nzd0124-0019,nzd0124-0020,nzd0124-0021,nzd0124-0022,nzd0124-0023,nzd0124-0024,nzd0124-0025,nzd0124-0026,nzd0124-0027,nzd0124-0028,nzd0124-0029,nzd0124-0030,nzd0124-0031,nzd0124-0032,nzd0124-0033,nzd0124-0034,nzd0124-0035,nzd0124-0036,nzd0124-0037,nzd0124-0038,nzd0124-0039,nzd0124-0040,satname
1999-08-26 22:04:44+00:00,446.00,439.69,443.84,443.35,428.75,433.65,436.57,428.19,418.56,417.82,410.97,415.64,406.95,400.12,397.86,391.84,394.13,407.04,411.63,413.57,405.05,395.67,395.12,390.91,397.25,394.71,392.06,394.19,401.24,400.66,392.54,397.26,402.42,402.84,405.29,407.98,403.13,398.96,393.82,383.64,383.29,L7
1999-09-27 22:04:48+00:00,441.80,445.05,446.74,443.04,433.28,430.70,429.56,420.33,415.01,411.52,410.58,409.42,408.42,398.39,396.92,393.63,392.68,399.23,406.44,410.64,401.22,393.47,389.57,390.09,389.33,390.44,388.04,391.30,394.00,399.10,390.06,393.98,396.81,402.67,400.81,402.15,398.33,399.80,390.76,386.35,385.71,L7
1999-10-22 21:58:28+00:00,446.82,440.63,443.83,444.75,431.07,440.35,444.21,442.19,423.13,414.57,411.85,404.31,402.76,397.09,392.31,394.40,393.72,401.62,399.84,393.48,394.79,387.41,390.62,393.28,398.69,399.23,412.81,411.86,419.67,411.94,385.01,391.73,,,,408.90,409.69,397.48,,,,L7
2000-03-14 21:58:11+00:00,,438.72,446.25,446.93,437.13,440.40,444.03,431.35,426.40,421.66,417.44,415.01,415.70,410.34,398.43,401.07,400.17,405.41,407.10,407.60,399.81,393.72,396.10,394.95,399.84,405.25,410.06,411.44,419.55,420.37,414.22,419.63,424.96,425.53,431.72,435.11,435.03,429.85,415.25,,393.89,L7
2000-07-11 22:03:17+00:00,420.84,405.40,407.07,400.97,396.99,401.35,398.03,401.51,391.83,388.06,383.81,378.60,381.42,376.60,364.98,365.01,363.30,368.15,374.03,368.92,365.08,359.68,361.69,360.23,364.62,368.23,369.52,372.38,376.80,375.51,371.23,378.69,379.90,382.85,379.79,377.18,374.85,369.48,366.20,362.54,359.74,L7
2000-07-20 21:56:59+00:00,410.70,396.88,403.19,402.21,394.90,395.72,392.83,398.97,395.36,391.59,392.23,391.83,386.62,368.96,369.77,358.63,360.26,368.15,372.89,371.03,369.57,364.55,365.56,368.53,369.06,367.94,369.68,377.23,377.51,378.74,373.33,374.77,379.99,380.90,381.50,381.51,374.30,372.61,373.03,360.26,368.64,L7
2000-08-12 22:02:54+00:00,,,409.88,416.29,412.76,411.94,414.02,418.77,413.57,412.46,404.73,405.48,395.44,380.93,375.72,372.64,370.45,372.44,384.08,394.18,392.72,378.11,369.70,380.57,381.97,375.75,371.51,,,,,,,,,,,,,,,L7
2000-09-13 22:02:26+00:00,,,,,,,,,,,,,,378.03,373.15,368.65,369.08,375.53,377.64,380.09,371.26,363.32,368.21,370.78,376.51,376.35,375.25,377.59,385.65,378.23,371.86,379.54,382.67,383.48,383.40,380.78,373.22,374.48,371.55,358.65,363.01,L7
2001-01-03 22:02:12+00:00,439.39,421.72,430.71,427.38,427.87,421.12,434.44,431.64,418.95,408.87,407.13,411.77,413.41,407.99,396.72,379.46,386.62,389.35,389.02,391.73,390.43,380.51,381.51,385.86,385.11,383.65,387.20,387.05,393.23,393.18,389.44,395.77,400.25,398.25,401.67,400.47,396.39,396.46,386.42,378.45,389.30,L7
2001-01-28 21:56:08+00:00,434.44,422.91,432.54,434.72,418.84,426.33,435.65,425.42,421.20,414.66,416.86,416.02,419.76,404.23,401.61,392.04,398.71,399.02,398.51,382.60,373.53,,380.23,375.35,379.19,391.34,389.53,394.80,402.21,402.20,397.02,401.54,401.30,403.74,394.64,395.20,389.19,385.75,380.39,,,L7
