dates,nzd0487-0000,nzd0487-0001,nzd0487-0002,satname
1999-08-26 22:07:32+00:00,309.31,323.92,328.37,L7
1999-11-30 22:07:23+00:00,335.31,321.78,330.82,L7
1999-12-16 22:07:33+00:00,338.72,329.18,334.46,L7
2000-03-21 22:07:12+00:00,313.41,335.50,334.40,L7
2000-05-08 22:06:44+00:00,324.86,330.81,341.66,L7
2000-06-25 22:06:19+00:00,329.65,340.27,345.17,L7
2000-07-11 22:06:05+00:00,317.14,319.67,326.03,L7
2000-07-27 22:05:48+00:00,335.37,342.14,348.60,L7
2000-08-12 22:05:41+00:00,319.21,332.77,336.00,L7
2000-11-16 22:04:56+00:00,326.23,322.40,326.12,L7
2000-12-18 22:05:01+00:00,348.60,332.77,330.01,L7
2001-01-03 22:05:00+00:00,338.64,331.02,331.27,L7
2001-01-19 22:04:43+00:00,326.79,328.74,329.68,L7
2001-02-20 22:05:00+00:00,310.71,320.19,324.67,L7
2001-03-08 22:04:56+00:00,322.88,339.05,342.25,L7
2001-07-14 22:03:57+00:00,322.64,320.30,328.72,L7
2001-08-15 22:03:26+00:00,332.45,333.14,338.15,L7
2001-11-03 22:02:58+00:00,324.16,334.15,334.00,L7
2002-03-11 22:03:31+00:00,330.86,337.95,340.46,L7
2002-04-12 22:03:25+00:00,320.04,335.62,340.78,L7
2002-05-14 22:02:55+00:00,319.37,339.61,339.72,L7
2002-05-30 22:03:13+00:00,321.92,329.78,333.81,L7
2002-06-15 22:03:07+00:00,312.94,325.44,328.36,L7
2002-08-18 22:02:45+00:00,318.61,320.95,326.52,L7
2002-10-05 22:01:55+00:00,312.94,322.66,324.69,L7
2002-11-22 22:02:21+00:00,327.60,335.03,346.83,L7
2002-12-08 22:02:51+00:00,331.14,313.33,325.85,L7
2002-12-24 22:02:33+00:00,338.53,340.92,340.92,L7
2003-08-13 21:51:08+00:00,315.85,335.23,344.26,L5
2003-09-30 21:52:18+00:00,326.22,319.27,316.55,L5
2003-10-16 21:52:31+00:00,342.82,340.96,340.57,L5
2003-11-17 21:52:57+00:00,347.30,322.19,321.11,L5
2004-01-04 21:52:58+00:00,312.58,316.60,319.13,L5
2004-01-12 22:03:07+00:00,337.03,334.94,338.76,L7
2004-02-29 22:03:45+00:00,330.09,325.84,327.42,L7
2004-05-03 22:03:47+00:00,320.21,337.71,341.32,L7
2004-06-12 21:55:59+00:00,313.25,338.80,351.53,L5
2004-06-28 21:56:28+00:00,,,321.53,L5
2004-07-06 22:03:12+00:00,318.94,334.01,336.58,L7
2004-07-30 21:57:15+00:00,307.96,329.38,341.87,L5
2004-08-15 21:57:37+00:00,310.38,325.89,326.58,L5
2004-09-08 22:03:17+00:00,340.64,342.34,335.46,L7
2004-09-24 22:03:12+00:00,343.74,,,L7
2004-10-10 22:03:07+00:00,339.33,339.32,343.29,L7
2004-10-18 21:59:11+00:00,347.06,346.07,348.50,L5
2004-11-03 21:59:30+00:00,348.57,342.40,349.08,L5
2004-12-29 22:03:32+00:00,330.08,338.56,350.43,L7
2005-03-03 22:03:53+00:00,348.62,348.95,352.42,L7
2005-04-12 22:01:42+00:00,314.44,324.41,334.13,L5
2005-04-20 22:04:08+00:00,319.80,323.91,334.66,L7
2005-05-05 22:07:37+00:00,325.20,337.53,348.14,L5
2005-06-07 22:04:06+00:00,311.79,336.47,345.51,L7
2005-06-23 22:04:01+00:00,297.50,336.33,341.84,L7
2005-07-09 22:04:02+00:00,321.18,346.01,352.74,L7
2005-08-26 22:03:27+00:00,338.94,328.74,337.63,L7
2005-09-19 22:02:44+00:00,308.02,321.36,321.37,L5
2005-09-27 22:03:16+00:00,343.06,,,L7
2005-10-05 22:02:41+00:00,329.27,338.97,333.57,L5
2005-11-06 22:02:46+00:00,331.75,338.65,349.28,L5
2006-02-26 22:05:22+00:00,321.79,334.46,336.64,L5
2006-03-22 22:04:18+00:00,334.96,331.84,334.69,L7
2006-05-17 22:06:45+00:00,321.12,329.46,337.38,L5
2006-06-02 22:06:36+00:00,317.97,326.17,329.74,L5
2006-06-26 22:04:08+00:00,307.77,341.13,343.42,L7
2006-07-04 22:07:29+00:00,322.07,316.71,326.46,L5
2006-07-12 22:04:01+00:00,299.69,328.22,339.63,L7
2006-07-28 22:04:18+00:00,310.25,326.98,,L7
2006-08-05 22:07:55+00:00,332.94,350.28,361.28,L5
2006-08-29 22:04:14+00:00,329.55,338.18,339.81,L7
2006-09-14 22:03:45+00:00,347.93,345.10,351.46,L7
2006-10-08 22:08:40+00:00,312.34,335.46,332.52,L5
2006-10-24 22:08:50+00:00,320.00,322.52,320.21,L5
2006-12-11 22:08:52+00:00,340.47,334.66,337.81,L5
2007-02-13 22:09:34+00:00,327.55,331.15,327.00,L5
2007-03-09 22:05:07+00:00,322.74,342.27,344.73,L7
2007-05-12 22:04:59+00:00,338.51,339.66,338.90,L7
2007-06-13 22:04:52+00:00,301.34,322.47,317.40,L7
2007-07-15 22:04:48+00:00,295.14,330.98,336.49,L7
2007-09-01 22:04:31+00:00,,337.50,335.67,L7
2007-09-09 22:07:45+00:00,326.29,329.62,325.78,L5
2007-09-16 22:13:28+00:00,345.23,354.37,355.29,L5
2007-11-04 22:04:37+00:00,339.56,335.56,336.48,L7
2007-11-20 22:04:46+00:00,346.43,339.70,343.02,L7
2007-12-06 22:04:52+00:00,338.07,334.36,339.68,L7
2008-01-07 22:04:58+00:00,333.37,346.54,347.64,L7
