dates,nzd0273-0000,nzd0273-0001,nzd0273-0002,nzd0273-0003,nzd0273-0004,nzd0273-0005,nzd0273-0006,nzd0273-0007,nzd0273-0008,nzd0273-0009,nzd0273-0010,nzd0273-0011,nzd0273-0012,nzd0273-0013,nzd0273-0014,nzd0273-0015,satname
1999-12-09 21:59:21+00:00,341.76,334.25,333.95,339.16,344.05,351.68,345.30,342.20,334.95,326.80,325.31,318.63,324.37,314.55,318.50,326.64,L7
1999-12-25 21:59:16+00:00,330.81,329.64,332.02,335.97,338.98,348.39,337.94,339.01,329.19,326.35,323.75,313.43,323.19,312.55,320.70,327.85,L7
2000-01-10 21:59:16+00:00,337.29,337.67,341.27,345.33,346.06,352.58,346.16,343.32,337.47,327.40,323.57,317.74,325.07,316.41,324.63,332.39,L7
2000-01-26 21:59:14+00:00,359.31,367.35,372.80,372.86,375.19,368.91,371.01,357.17,362.66,352.46,348.84,347.23,343.93,342.00,358.98,349.60,L7
2000-03-30 21:58:57+00:00,333.18,325.16,330.13,336.63,346.78,346.74,340.00,340.67,330.58,333.33,328.02,314.99,325.07,312.35,321.54,323.28,L7
2000-07-04 21:58:02+00:00,,315.79,327.19,322.52,339.75,349.26,334.85,339.88,329.71,328.86,322.18,315.85,325.66,302.87,314.97,317.20,L7
2000-08-05 21:57:32+00:00,,307.73,313.00,317.66,330.74,336.90,324.98,327.24,319.81,313.87,317.55,302.09,316.86,291.54,298.23,303.48,L7
2000-11-09 21:56:45+00:00,,328.69,334.66,338.59,349.81,352.57,344.51,343.51,336.23,335.03,329.44,322.65,332.36,321.06,327.03,331.67,L7
2000-11-25 21:56:47+00:00,329.99,323.14,331.28,333.55,335.82,348.15,338.61,339.64,331.75,325.99,322.79,317.11,323.12,310.77,318.59,320.06,L7
2001-03-17 21:56:40+00:00,342.99,356.02,360.70,371.03,377.12,378.35,,,,353.40,,332.12,336.48,349.52,,355.33,L7
2001-06-05 21:56:04+00:00,,321.55,330.84,337.20,343.82,351.16,340.26,338.90,336.04,336.08,325.14,321.97,329.53,312.10,320.94,329.89,L7
2001-09-25 21:54:52+00:00,,,361.30,376.24,354.47,366.49,365.83,355.44,353.91,338.09,335.73,339.04,334.51,332.29,319.63,327.43,L7
2001-10-11 21:54:33+00:00,360.54,360.12,367.21,344.78,355.69,351.09,349.11,344.52,345.94,333.90,328.24,330.75,341.13,322.60,324.17,348.52,L7
2001-12-30 21:55:01+00:00,345.28,320.03,322.20,335.67,,,,,,327.35,330.35,321.04,327.16,,,,L7
2002-02-16 21:55:18+00:00,356.20,348.23,349.62,345.69,348.67,350.51,341.23,341.20,331.75,325.80,327.31,318.68,329.59,317.06,324.66,331.51,L7
2002-05-07 21:55:15+00:00,377.57,319.94,330.37,325.39,335.14,337.82,327.92,327.36,324.99,319.64,315.73,303.80,319.59,303.59,307.81,314.45,L7
2002-08-27 21:54:24+00:00,,316.61,327.64,327.59,338.52,343.96,331.60,333.95,323.69,328.84,320.17,312.78,328.50,296.38,312.38,315.15,L7
2002-10-14 21:54:07+00:00,342.85,358.15,362.45,347.92,345.18,357.25,355.73,344.50,346.88,328.95,328.94,323.73,327.15,337.48,319.61,335.53,L7
2002-12-01 21:54:40+00:00,339.76,332.19,336.61,343.67,350.53,356.02,345.11,346.11,337.44,337.41,330.57,320.54,328.91,326.61,331.71,331.41,L7
2003-01-18 21:54:54+00:00,333.02,326.27,329.89,332.99,343.16,353.60,342.17,337.77,333.27,324.77,322.46,313.50,,,,,L7
2003-02-19 21:55:06+00:00,330.90,321.35,326.80,336.44,339.36,349.95,339.58,337.02,332.92,322.93,325.53,318.36,324.08,307.73,323.63,321.87,L7
2003-03-07 21:55:10+00:00,343.85,336.94,342.01,343.45,350.71,352.68,344.05,337.76,327.53,320.57,326.52,320.89,331.76,301.01,324.05,325.50,L7
2003-04-08 21:55:11+00:00,404.04,332.99,335.10,338.61,348.24,344.45,335.88,338.12,325.85,314.36,314.61,310.10,331.55,333.50,337.06,334.56,L7
2003-04-24 21:55:10+00:00,402.25,,,324.22,340.40,350.05,334.41,344.93,331.88,316.55,318.59,312.60,321.10,,345.30,,L7
2003-05-26 21:55:07+00:00,424.55,323.05,328.73,326.10,339.76,345.86,338.66,337.48,325.62,325.94,322.00,313.59,325.65,313.17,322.68,312.59,L7
