,dates,per0150-0000,per0150-0001,per0150-0002,per0150-0003
0,1984-12-25 14:41:08+00:00,213.82374612034184,,209.84331156075248,212.79182978669488
1,1986-02-14 14:37:39+00:00,220.86196998622273,,184.04363115497767,183.2633577810828
2,1986-04-03 14:36:38+00:00,,,,
3,1986-04-19 14:36:16+00:00,,,,
4,1986-05-05 14:35:53+00:00,185.1294114922014,170.55496764218876,169.55030263302262,
5,1986-08-09 14:32:48+00:00,,,,
6,1986-08-25 14:32:12+00:00,,,,
7,1986-09-10 14:31:38+00:00,,,,
8,1986-09-26 14:31:09+00:00,,,,
9,1986-10-12 14:30:38+00:00,,,,
10,1986-10-28 14:30:05+00:00,175.0460390391599,161.35131717983535,170.04328239425644,169.04113644508578
11,1986-12-15 14:29:44+00:00,,,,
12,1986-12-31 14:30:37+00:00,144.27054174755733,,,
13,1987-02-01 14:31:12+00:00,,,,
14,1987-03-05 14:32:27+00:00,174.29118003222212,177.68689048844251,186.42486556655368,182.2768436571605
15,1987-04-06 14:33:36+00:00,,,,
16,1987-05-24 14:35:00+00:00,,,,
17,1987-06-09 14:35:23+00:00,,,,
18,1987-12-18 14:39:32+00:00,180.9082255804315,159.41493031320582,157.755564801185,163.34567117910436
19,1988-01-03 14:39:48+00:00,173.41738558593784,169.45064648167534,173.41937106815118,173.0762014121658
20,1988-03-07 14:40:48+00:00,,,,
21,1988-03-23 14:40:56+00:00,166.20992022646527,,,
22,1988-04-08 14:41:02+00:00,191.91698028778913,175.4705514592364,188.3679807494117,178.5148755387961
23,1988-05-10 14:41:17+00:00,,,,
24,1988-06-11 14:41:30+00:00,,,,
25,1988-11-02 14:41:33+00:00,168.5529743556933,168.32918091187236,171.02706559894463,172.1161031777036
26,1988-12-20 14:41:16+00:00,142.5274661673375,,,
27,1989-03-10 14:40:26+00:00,,,,115.60653867669757
28,1989-04-27 14:39:44+00:00,,,,
29,1989-05-13 14:39:30+00:00,186.83536669683664,,,120.42267742964921
30,1989-07-16 14:38:17+00:00,,,,
31,1989-09-02 14:37:41+00:00,,,,
32,1989-10-04 14:36:35+00:00,,,,136.6746174906436
33,1989-12-07 14:34:35+00:00,,195.09067536438803,186.8949043486342,174.5317466067646
34,1989-12-23 14:34:10+00:00,168.62308457834402,149.06274658470872,145.09541095502723,150.5292951530777
35,1990-01-24 14:33:08+00:00,164.89270980832586,171.7516950691941,176.3121686153262,184.214167144417
36,1990-02-09 14:32:37+00:00,186.42516890806186,179.3369824228419,174.1375179197416,168.4231914017155
37,1990-02-25 14:32:08+00:00,,,,112.52167277208883
38,1990-03-13 14:31:57+00:00,168.8914604071856,,150.99774804587943,123.64634750197368
39,1990-03-29 14:31:02+00:00,193.995018218096,179.3533017368354,174.6580214504629,160.10364885730496
40,1990-04-14 14:31:10+00:00,211.17670837831858,,184.2581823510553,140.23520407224797
41,1990-04-30 14:31:25+00:00,185.6682115508985,,,122.21478138730967
42,1990-05-16 14:31:13+00:00,,,,
43,1990-07-03 14:31:05+00:00,,,,
44,1990-08-04 14:30:57+00:00,,,,
45,1990-08-20 14:30:53+00:00,,,,
46,1990-09-21 14:31:08+00:00,,,,
47,1991-02-12 14:31:42+00:00,197.83381838834362,,182.70280137303757,152.3807948664447
48,1991-02-28 14:31:58+00:00,165.54790390850496,151.9093662462013,164.6359274438723,168.70820656449888
49,1991-04-01 14:32:35+00:00,,194.71340332314742,182.08599977301904,182.02887301172626
50,1991-04-17 14:32:53+00:00,,,,
51,1991-05-19 14:33:26+00:00,,,,
52,1991-06-04 14:33:43+00:00,,,,
53,1991-07-06 14:34:09+00:00,,,,
54,1991-08-07 14:34:28+00:00,,,,
55,1991-10-26 14:35:29+00:00,,,,
56,1991-12-13 14:35:24+00:00,170.1744734852307,162.06048903979382,166.8757814791719,173.2558144018036
57,1991-12-29 14:35:16+00:00,,,,
58,1992-01-14 14:35:12+00:00,,,,157.45923811577077
59,1992-01-30 14:35:41+00:00,168.4877513729247,142.97752274761274,149.5440382097715,157.70259605212294
60,1992-02-15 14:35:04+00:00,,,,
61,1992-03-02 14:35:30+00:00,163.63204838465418,,,171.3327009610379
62,1992-03-18 14:35:08+00:00,186.88721056097418,166.16727672442315,175.90254102269765,169.17948654603416
63,1992-05-05 14:35:07+00:00,200.07765579870699,,,
64,1992-05-21 14:34:33+00:00,,,295.3167990334754,
65,1992-06-06 14:34:26+00:00,,,351.3505050668219,
66,1992-06-22 14:34:13+00:00,,,387.8384844893603,
67,1992-07-08 14:34:01+00:00,,,348.4162686637267,
68,1992-08-09 14:33:37+00:00,,,,
69,1992-08-25 14:33:20+00:00,,,,
70,1992-10-12 14:32:28+00:00,,,,
71,1992-10-28 14:32:19+00:00,,,,
72,1992-11-13 14:31:59+00:00,192.52094837104033,182.6389830704964,,177.06547218406942
73,1992-11-29 14:32:03+00:00,,,,
74,1992-12-15 14:32:14+00:00,,,,
75,1992-12-31 14:32:23+00:00,194.56145208046786,182.21665686771132,,189.35277477973244
76,1993-01-16 14:32:36+00:00,,,,
77,1993-02-17 14:33:18+00:00,170.22864346952872,166.94661732401278,,170.84308877783803
78,1993-03-05 14:33:27+00:00,,,,153.01644069407234
79,1993-03-21 14:33:30+00:00,,,,
80,1993-04-22 14:33:45+00:00,,,313.3339706210029,
81,1993-05-08 14:33:24+00:00,,,,
82,1993-05-24 14:33:52+00:00,,,,
83,1993-06-09 14:33:29+00:00,,,,
84,1993-07-11 14:33:21+00:00,,,,
85,1993-08-28 14:33:19+00:00,,,,
86,1993-09-29 14:33:14+00:00,,,,
87,1993-12-02 14:33:14+00:00,173.77039486733264,,,171.6063420101939
88,1993-12-18 14:32:43+00:00,,,,156.2195671013266
89,1994-01-19 14:32:15+00:00,195.7675111141468,195.51300134819306,,
90,1994-04-25 14:30:50+00:00,,,,
91,1994-05-11 14:30:55+00:00,,,,
92,1994-05-27 14:30:39+00:00,,,,
93,1994-08-15 14:28:15+00:00,,,,
94,1994-10-02 14:27:00+00:00,,,,
95,1994-10-18 14:26:30+00:00,,,,
96,1994-12-05 14:24:54+00:00,,,,
97,1994-12-21 14:24:24+00:00,,,,
98,1995-03-27 14:20:40+00:00,,188.8900820760831,,
99,1995-04-28 14:19:19+00:00,,,,
100,1995-05-14 14:18:36+00:00,,,,
101,1995-05-30 14:17:51+00:00,,,,
102,1995-06-15 14:17:31+00:00,,,254.075521785051,
103,1995-07-17 14:15:40+00:00,226.34255870990336,186.38440093935168,90.22324844997094,
104,1995-09-03 14:13:28+00:00,,,,
105,1995-09-19 14:12:41+00:00,,,,
106,1995-10-05 14:11:51+00:00,,,,
107,1995-10-21 14:10:58+00:00,,,,
108,1995-12-08 14:11:30+00:00,,77.49920344848981,86.36576083342406,
109,1996-03-13 14:18:12+00:00,165.84223885903097,91.30626507938705,98.50382383605269,146.19413037850896
110,1996-03-29 14:19:37+00:00,183.31574225286732,120.78289592513653,103.9550182386993,118.98565124981864
111,1996-04-14 14:20:37+00:00,184.50788259947817,105.27644316392107,,126.7104704074422
112,1996-04-30 14:21:10+00:00,190.80253217698737,117.15674386754448,115.6158148450277,134.1005814489811
113,1996-06-01 14:23:00+00:00,201.87710866457428,,142.63696236675327,171.9472107621031
114,1996-06-17 14:23:53+00:00,,,,
115,1996-07-03 14:24:43+00:00,,,,
116,1996-07-19 14:25:34+00:00,,85.30537429346428,,
117,1996-08-20 14:27:14+00:00,,,,
118,1996-09-21 14:29:01+00:00,,,,
119,1996-11-08 14:31:26+00:00,,,,
120,1997-01-27 14:35:35+00:00,172.54129325550215,,144.03593492122275,149.14638871906087
121,1997-02-12 14:35:53+00:00,177.17886815544355,,184.22298499280706,186.61193980506627
122,1997-05-03 14:39:18+00:00,,,,
123,1997-06-04 14:40:02+00:00,,,,
124,1997-06-20 14:40:57+00:00,163.12756979035817,100.75857170855596,,
125,1997-07-06 14:41:07+00:00,,,,
126,1997-07-22 14:41:40+00:00,,,,
127,1997-08-23 14:42:42+00:00,,,,
128,1997-10-10 14:44:04+00:00,,,,
129,1997-11-11 14:44:54+00:00,,,,
130,1997-12-13 14:45:41+00:00,,,,
131,1998-03-03 14:47:45+00:00,,,,
132,1998-04-04 14:48:12+00:00,167.5641192902689,98.93977730389923,,
133,1998-05-06 14:48:15+00:00,207.09070140189925,122.77290220058057,,159.44474745527623
134,1998-11-14 14:50:22+00:00,,,,
135,1998-11-30 14:49:56+00:00,,,,
136,1998-12-16 14:49:54+00:00,,,,
137,1999-01-01 14:50:02+00:00,,,,
138,1999-02-18 14:50:12+00:00,182.14205609029472,163.57240315774297,173.34997621301113,179.018911229082
139,1999-04-07 14:49:38+00:00,189.11468776006433,175.081838017111,171.88933124976487,172.95626034355385
140,1999-04-23 14:49:40+00:00,167.01881527938025,,,
