dates,satname,nzd0167-0000,nzd0167-0001,nzd0167-0002,nzd0167-0003,nzd0167-0004,nzd0167-0005,nzd0167-0006,nzd0167-0007,nzd0167-0008,nzd0167-0009,nzd0167-0010
1999-08-26 22:04:44+00:00,L7,373.77,376.62,379.98,380.26,384.87,390.33,386.06,380.38,382.43,376.63,371.26
1999-09-27 22:04:48+00:00,L7,354.50,367.56,361.50,361.66,358.12,363.61,361.95,357.35,363.00,354.73,354.12
1999-10-13 22:04:48+00:00,L7,352.94,,,357.95,356.78,360.62,360.40,355.68,359.80,351.31,351.99
1999-12-25 21:58:52+00:00,L7,348.10,348.50,340.50,346.18,345.31,351.36,357.86,354.48,351.36,353.11,348.27
2000-02-11 21:58:45+00:00,L7,366.05,366.08,365.08,363.76,368.01,375.63,372.04,371.24,380.10,368.45,368.97
2000-03-30 21:58:33+00:00,L7,389.26,383.06,390.56,392.41,375.23,383.34,381.68,378.33,395.33,395.43,391.71
2000-05-24 22:03:46+00:00,L7,368.28,379.29,370.92,370.14,373.66,377.30,374.52,370.90,382.06,373.94,368.61
2000-07-11 22:03:17+00:00,L7,420.60,436.39,403.42,404.93,405.78,408.53,399.26,387.78,390.97,401.26,419.12
2000-08-12 22:02:54+00:00,L7,393.83,,389.25,387.71,396.43,403.46,397.32,391.97,390.95,377.43,396.16
2000-08-21 21:57:02+00:00,L7,,363.28,364.01,361.17,367.06,374.59,375.46,366.44,366.93,361.26,366.11
2000-11-09 21:56:21+00:00,L7,383.56,,,,,,,379.45,380.79,374.36,385.32
2001-01-03 22:02:12+00:00,L7,383.88,,,,384.52,388.67,385.83,383.11,379.60,377.38,384.30
2001-01-12 21:56:30+00:00,L7,351.14,,,350.34,352.22,361.28,363.53,357.04,362.49,347.20,351.09
2001-02-04 22:02:14+00:00,L7,406.64,,394.71,385.76,389.64,394.72,390.83,386.01,384.52,387.08,411.91
2001-02-13 21:56:27+00:00,L7,367.39,369.02,364.18,364.74,367.38,377.45,374.33,369.15,370.30,366.97,364.60
2001-03-01 21:56:21+00:00,L7,367.27,,370.22,370.28,378.27,384.55,379.75,376.21,376.63,368.61,367.66
2001-03-24 22:01:59+00:00,L7,367.38,375.25,369.79,369.97,372.40,386.96,380.96,376.48,380.33,369.24,367.07
2001-06-21 21:55:29+00:00,L7,369.98,377.35,372.12,371.47,370.97,380.10,380.43,378.08,374.42,368.49,372.74
2001-08-08 21:55:01+00:00,L7,360.47,369.58,365.04,364.64,364.15,371.78,366.08,368.43,365.99,357.66,359.90
2001-08-15 22:00:38+00:00,L7,422.43,441.82,409.30,419.78,392.01,395.50,391.80,384.87,391.12,401.46,420.47
2001-09-09 21:54:36+00:00,L7,369.91,378.49,371.38,369.95,378.34,384.57,379.72,373.96,375.46,367.34,365.23
2001-09-25 21:54:28+00:00,L7,394.67,,,,381.55,382.18,380.01,375.57,384.16,375.63,394.87
2001-10-02 22:00:04+00:00,L7,366.92,379.96,373.94,369.93,372.55,376.38,373.73,370.47,368.51,365.64,368.92
2001-10-11 21:54:09+00:00,L7,393.17,,,384.23,384.13,383.22,377.56,374.25,378.56,373.68,392.45
2001-11-28 21:54:35+00:00,L7,,,,,,,,,,,
2001-12-05 22:00:18+00:00,L7,341.09,,,,344.35,347.91,343.03,344.04,342.16,338.05,341.12
2001-12-30 21:54:37+00:00,L7,359.87,363.19,361.83,361.38,363.22,372.04,364.62,368.94,368.48,362.49,359.50
2002-01-06 22:00:31+00:00,L7,,363.94,373.40,373.46,378.19,385.86,,,216.20,,
2002-01-15 21:54:47+00:00,L7,356.10,362.92,358.31,361.51,376.16,368.33,363.73,361.82,365.55,356.26,355.35
