dates,nzd0167-0000,nzd0167-0001,nzd0167-0002,nzd0167-0003,nzd0167-0004,nzd0167-0005,nzd0167-0006,nzd0167-0007,nzd0167-0008,nzd0167-0009,nzd0167-0010,satname
1999-08-26 22:04:44+00:00,373.02,375.95,379.52,379.76,384.41,389.90,385.71,380.06,382.08,376.13,370.59,L7
1999-09-27 22:04:48+00:00,384.00,393.78,379.65,381.33,376.27,380.47,375.83,369.77,376.88,374.40,380.34,L7
1999-10-13 22:04:48+00:00,380.19,,,376.12,373.55,376.19,373.22,367.15,372.62,369.48,376.21,L7
1999-12-25 21:58:52+00:00,387.85,383.83,364.96,372.68,369.77,374.07,376.57,371.22,370.07,379.61,383.60,L7
2000-02-11 21:58:45+00:00,383.05,381.19,375.54,375.09,378.47,385.34,380.04,378.40,388.10,379.78,384.08,L7
2000-03-30 21:58:33+00:00,372.51,368.17,380.25,381.24,364.92,373.77,373.80,371.28,387.45,384.26,376.82,L7
2000-05-24 22:03:46+00:00,377.28,387.29,376.46,376.14,379.20,382.44,378.76,374.69,386.30,379.94,376.61,L7
2000-07-11 22:03:17+00:00,395.60,414.17,388.04,388.26,390.40,394.24,387.50,377.25,379.21,384.59,396.90,L7
2000-08-12 22:02:54+00:00,377.33,,379.10,376.71,386.28,394.03,389.56,385.02,383.19,366.43,381.49,L7
2000-08-21 21:57:02+00:00,,374.84,372.01,369.84,375.06,382.02,381.58,371.91,373.05,369.93,377.67,L7
2000-11-09 21:56:21+00:00,366.81,,,,,,,372.40,372.91,363.19,370.43,L7
2001-01-03 22:02:12+00:00,378.88,,,,381.44,385.81,383.48,381.00,377.25,374.05,379.86,L7
2001-01-12 21:56:30+00:00,391.64,,,377.34,377.14,384.42,382.59,374.09,381.55,374.20,387.09,L7
2001-02-04 22:02:14+00:00,383.89,,380.71,370.59,375.64,381.72,380.12,376.43,373.81,371.91,391.69,L7
2001-02-13 21:56:27+00:00,386.39,385.91,375.87,377.41,379.07,388.31,383.27,377.15,379.24,379.64,381.49,L7
2001-03-01 21:56:21+00:00,382.77,,379.76,380.61,387.81,393.41,387.04,382.74,383.92,378.94,381.44,L7
2001-03-24 22:01:59+00:00,375.63,382.58,374.87,375.47,377.48,391.67,384.84,379.95,384.21,374.74,374.40,L7
2001-06-21 21:55:29+00:00,373.23,380.24,374.12,373.64,372.97,381.96,381.96,379.45,375.95,370.66,375.63,L7
2001-08-08 21:55:01+00:00,381.47,388.25,377.96,378.64,377.07,383.78,375.96,377.27,375.87,371.66,378.57,L7
