dates,nzd0298-0000,nzd0298-0001,nzd0298-0002,nzd0298-0003,nzd0298-0004,nzd0298-0005,nzd0298-0006,nzd0298-0007,nzd0298-0008,nzd0298-0009,satname
1999-08-05 21:47:23+00:00,343.04,333.25,341.35,357.05,339.91,339.56,342.13,349.62,346.64,347.75,L7
1999-08-12 21:53:32+00:00,346.67,336.73,341.11,355.53,344.59,345.16,346.57,350.85,349.31,353.90,L7
1999-08-21 21:47:20+00:00,347.10,339.25,341.80,353.59,346.42,346.97,345.32,348.09,345.66,354.69,L7
1999-09-22 21:47:24+00:00,350.63,343.02,342.33,354.32,349.54,347.76,346.06,348.29,349.11,357.99,L7
1999-09-29 21:53:40+00:00,350.02,341.77,341.42,354.71,348.47,346.88,344.02,346.65,349.20,358.25,L7
1999-10-24 21:47:20+00:00,350.07,343.06,343.30,356.07,350.18,348.52,344.38,347.09,350.52,359.66,L7
1999-11-16 21:53:32+00:00,350.56,343.40,344.91,356.79,350.60,350.04,344.83,347.62,351.21,360.19,L7
1999-11-25 21:47:14+00:00,348.87,342.25,344.91,352.31,350.73,350.04,344.83,346.15,351.21,360.19,L7
2000-01-19 21:53:25+00:00,348.79,343.22,344.60,352.87,350.79,351.99,346.38,346.91,353.35,360.75,L7
2000-02-04 21:53:25+00:00,349.51,344.36,344.87,352.64,352.08,353.51,347.23,347.95,354.85,362.97,L7
2000-02-20 21:53:17+00:00,349.99,344.45,345.58,353.26,352.67,353.81,347.56,348.61,357.24,363.55,L7
2000-05-03 21:46:43+00:00,349.44,343.75,347.03,352.42,352.27,354.49,348.43,349.31,357.19,362.60,L7
2000-05-19 21:46:31+00:00,347.55,342.12,344.65,351.68,352.31,351.74,347.59,347.83,357.02,361.26,L7
2000-05-26 21:52:36+00:00,349.49,342.33,344.28,357.94,352.68,350.44,347.59,350.22,355.26,360.25,L7
2000-07-13 21:52:07+00:00,349.66,342.33,343.69,355.71,350.12,348.03,347.59,350.22,353.02,359.04,L7
2000-07-29 21:51:50+00:00,349.40,341.25,343.60,357.36,350.70,344.33,343.03,349.86,350.87,358.10,L7
2000-08-07 21:45:32+00:00,346.57,338.91,343.38,356.91,350.55,342.81,339.73,345.32,349.13,356.14,L7
2000-08-14 21:51:44+00:00,343.36,337.19,341.88,355.70,348.93,341.51,337.00,342.56,347.59,356.10,L7
2000-09-15 21:51:13+00:00,340.95,335.68,340.46,354.94,347.26,339.06,332.73,339.97,346.35,355.20,L7
2000-10-26 21:44:46+00:00,340.95,335.68,339.79,355.08,347.44,338.50,332.06,339.90,346.40,355.59,L7
2000-11-27 21:44:50+00:00,338.77,335.25,337.31,353.63,345.64,336.66,330.23,338.62,345.07,354.21,L7
