dates,nzd0423-0000,nzd0423-0001,nzd0423-0002,nzd0423-0003,nzd0423-0004,nzd0423-0005,nzd0423-0006,nzd0423-0007,nzd0423-0008,nzd0423-0009,nzd0423-0010,nzd0423-0011,nzd0423-0012,nzd0423-0013,nzd0423-0014,nzd0423-0015,nzd0423-0016,nzd0423-0017,nzd0423-0018,nzd0423-0019,nzd0423-0020,nzd0423-0021,nzd0423-0022,nzd0423-0023,nzd0423-0024,nzd0423-0025,nzd0423-0026,nzd0423-0027,nzd0423-0028,nzd0423-0029,nzd0423-0030,nzd0423-0031,nzd0423-0032,nzd0423-0033,nzd0423-0034,nzd0423-0035,nzd0423-0036,nzd0423-0037,nzd0423-0038,nzd0423-0039,nzd0423-0040,nzd0423-0041,nzd0423-0042,nzd0423-0043,nzd0423-0044,nzd0423-0045,nzd0423-0046,nzd0423-0047,nzd0423-0048,nzd0423-0049,nzd0423-0050,nzd0423-0051,nzd0423-0052,nzd0423-0053,nzd0423-0054,nzd0423-0055,nzd0423-0056,nzd0423-0057,nzd0423-0058,nzd0423-0059,nzd0423-0060,nzd0423-0061,nzd0423-0062,nzd0423-0063,nzd0423-0064,nzd0423-0065,nzd0423-0066,nzd0423-0067,nzd0423-0068,nzd0423-0069,nzd0423-0070,nzd0423-0071,nzd0423-0072,nzd0423-0073,nzd0423-0074,nzd0423-0075,nzd0423-0076,nzd0423-0077,nzd0423-0078,nzd0423-0079,nzd0423-0080,nzd0423-0081,nzd0423-0082,nzd0423-0083,nzd0423-0084,nzd0423-0085,nzd0423-0086,nzd0423-0087,nzd0423-0088,nzd0423-0089,nzd0423-0090,nzd0423-0091,nzd0423-0092,nzd0423-0093,nzd0423-0094,nzd0423-0095,nzd0423-0096,nzd0423-0097,nzd0423-0098,nzd0423-0099,nzd0423-0100,nzd0423-0101,nzd0423-0102,nzd0423-0103,nzd0423-0104,nzd0423-0105,nzd0423-0106,nzd0423-0107,nzd0423-0108,nzd0423-0109,nzd0423-0110,nzd0423-0111,nzd0423-0112,nzd0423-0113,nzd0423-0114,nzd0423-0115,nzd0423-0116,nzd0423-0117,nzd0423-0118,nzd0423-0119,nzd0423-0120,nzd0423-0121,nzd0423-0122,satname
1999-11-05 22:12:52+00:00,299.50,291.08,294.96,292.38,293.12,292.84,288.89,288.42,287.93,292.58,298.29,302.50,301.56,287.70,288.85,292.73,286.87,294.72,295.15,293.95,290.79,282.29,282.92,278.00,286.69,285.24,286.31,283.03,278.46,278.99,288.45,290.50,297.63,300.44,297.84,299.25,294.97,297.57,293.57,299.25,305.38,311.18,313.01,315.06,315.54,313.39,315.32,322.91,324.16,329.57,331.73,331.21,331.55,331.82,333.65,329.14,329.73,337.79,330.98,336.60,341.64,349.74,354.86,358.33,,,,,,,,,,334.93,337.86,340.64,345.92,353.97,357.98,352.25,354.71,352.83,359.07,355.76,357.17,352.09,356.71,357.55,364.46,368.93,376.33,371.60,365.30,358.89,360.73,360.08,349.63,345.09,348.20,341.21,340.34,336.85,342.38,339.77,342.42,338.37,330.13,341.91,343.57,344.63,342.55,336.48,325.90,325.42,313.11,311.61,312.45,304.55,307.84,319.82,325.72,324.36,332.74,L7
1999-11-21 22:12:47+00:00,301.70,297.87,300.67,295.55,300.48,297.45,289.55,290.97,296.03,297.19,300.23,308.48,309.85,296.36,297.34,303.17,292.18,302.91,306.98,300.83,296.93,285.02,282.77,279.81,282.46,289.10,287.06,295.29,295.35,298.34,300.57,304.38,304.63,305.21,300.42,306.69,304.40,302.36,301.32,304.06,312.42,313.78,316.90,313.40,316.56,317.28,321.38,324.75,326.08,333.15,342.85,348.39,347.56,346.48,347.57,347.33,350.05,353.18,354.12,358.37,359.92,362.50,364.11,360.82,364.71,355.49,352.51,347.69,344.44,346.51,346.68,344.32,341.06,341.84,346.42,352.81,353.69,364.66,361.47,357.12,360.11,359.18,365.87,364.61,369.28,369.53,373.55,372.26,372.97,375.62,379.00,370.48,361.62,356.76,358.95,350.59,349.03,350.32,355.44,348.10,345.68,345.62,350.34,344.28,345.24,349.13,348.81,360.25,361.07,349.95,350.84,347.12,341.44,331.98,330.55,327.24,319.43,315.64,313.32,328.47,323.72,329.04,351.28,L7
1999-12-07 22:12:53+00:00,306.53,300.37,299.02,294.98,299.48,294.54,283.23,285.51,287.00,300.83,309.30,312.07,311.33,299.61,298.60,292.74,284.47,283.80,292.62,297.32,301.30,289.26,293.36,277.96,276.47,280.48,290.59,291.82,297.32,303.56,303.17,296.44,295.08,292.86,302.34,302.08,302.36,302.19,304.65,302.08,315.31,322.48,324.47,322.90,326.65,322.45,318.85,320.32,321.86,330.85,332.27,334.55,335.63,332.02,330.16,331.56,338.42,349.25,355.09,354.65,352.14,348.66,352.15,353.40,356.16,350.14,342.50,343.52,337.17,339.42,337.01,335.28,334.89,336.28,339.86,343.81,343.02,353.77,353.96,349.27,355.81,352.09,356.49,362.23,364.49,367.88,371.66,372.20,373.66,373.02,378.76,372.89,372.50,368.91,368.07,365.30,359.61,358.12,356.48,354.96,355.13,352.31,352.50,346.47,351.82,346.03,348.78,350.20,355.84,345.16,340.99,333.59,327.47,323.05,313.56,315.40,309.80,308.46,311.45,326.95,328.41,331.83,344.29,L7
2000-08-19 22:11:01+00:00,334.79,337.33,339.60,349.68,341.72,315.26,310.66,302.73,307.15,321.62,322.46,311.92,303.54,310.66,306.82,303.88,300.84,298.59,295.53,300.92,301.52,307.65,310.84,309.11,307.72,303.81,304.69,307.65,308.47,316.08,322.32,326.18,331.01,331.55,330.55,333.43,334.99,337.23,337.84,333.83,338.57,344.50,352.81,356.56,366.02,369.38,370.72,362.98,360.42,359.51,357.25,355.05,355.62,359.96,358.26,353.02,355.66,356.42,356.72,359.81,357.35,354.12,363.02,361.94,373.46,370.75,364.31,364.89,361.34,353.84,348.94,355.63,355.46,356.23,357.24,359.03,359.55,362.78,361.04,363.52,360.32,366.98,368.08,368.35,371.53,368.72,370.07,368.26,378.66,377.37,385.17,387.33,381.09,372.57,369.73,369.94,368.70,362.94,368.06,366.49,361.99,358.98,366.41,358.18,355.93,357.41,358.97,355.12,354.08,350.82,360.36,358.99,355.63,338.63,327.62,321.37,320.44,322.12,323.39,335.79,331.44,330.54,315.69,L7
2000-09-20 22:10:27+00:00,341.61,342.57,331.80,327.10,319.24,308.46,305.26,306.08,308.67,321.44,331.41,317.81,301.88,311.81,317.98,296.15,299.87,291.04,284.98,288.37,289.80,296.08,305.05,313.18,303.78,307.20,308.60,295.13,296.92,302.96,310.25,325.20,322.00,322.29,326.30,332.88,322.90,324.66,328.67,338.48,336.27,339.38,348.28,361.71,369.79,371.04,373.82,364.00,345.09,342.73,348.15,350.90,360.55,365.69,363.87,354.96,345.11,341.52,348.65,350.98,353.36,359.03,356.97,360.80,359.71,360.90,359.59,360.00,358.34,346.89,342.59,343.89,343.09,349.86,351.38,358.29,355.41,347.46,345.97,353.60,352.49,354.88,356.33,353.75,361.12,362.87,364.54,363.37,366.63,373.18,374.62,365.96,370.17,360.64,356.43,355.74,349.01,349.98,355.02,358.34,362.18,355.73,352.57,353.91,349.66,334.09,336.91,340.97,341.29,346.44,353.27,338.92,339.48,332.62,329.53,321.14,321.51,318.06,312.84,312.40,325.04,322.09,312.91,L7
2000-11-07 22:10:17+00:00,,,,,,,,,288.88,288.47,292.77,301.40,293.84,299.85,299.15,291.02,288.54,286.33,293.11,293.12,297.48,289.18,289.34,286.07,285.01,290.98,297.65,300.65,298.55,300.96,305.47,305.44,307.60,303.15,310.01,311.83,315.41,314.81,324.41,323.65,324.36,327.81,341.66,345.12,354.33,350.14,347.05,349.50,344.93,344.16,342.67,339.26,337.83,337.61,338.30,342.05,344.49,347.13,345.74,342.90,344.59,352.32,354.22,355.69,362.09,348.52,351.78,348.73,352.59,356.42,354.37,354.06,357.36,354.10,350.40,353.18,,368.05,363.15,359.77,353.59,353.96,357.94,365.90,364.30,367.97,365.75,365.41,370.48,376.83,381.91,380.42,372.65,367.76,360.28,357.81,360.84,358.21,356.38,357.98,354.36,350.57,352.56,361.31,364.20,350.36,343.62,354.09,359.10,355.13,351.72,338.64,334.80,334.02,328.53,321.86,322.04,326.44,324.32,320.86,324.11,329.57,345.42,L7
2001-01-10 22:10:27+00:00,352.25,344.77,335.09,327.53,323.02,311.54,300.51,299.60,297.76,297.05,303.78,308.52,302.91,295.32,293.97,299.70,296.07,299.28,301.45,299.13,298.61,293.17,294.81,296.09,299.36,297.37,303.68,308.39,311.49,310.22,317.73,318.48,320.01,327.14,325.37,327.10,327.46,326.59,324.54,323.31,342.53,347.90,356.12,357.34,358.63,356.53,363.15,365.29,363.69,362.99,359.21,358.30,358.42,353.93,352.74,349.80,345.34,346.85,345.65,349.29,348.70,350.54,353.29,358.19,358.01,353.70,349.58,347.46,349.89,347.97,355.03,356.57,359.82,352.76,359.20,357.08,359.63,367.76,366.09,361.58,361.68,359.21,368.44,367.64,372.37,373.52,374.09,379.24,375.92,375.07,386.19,380.67,378.47,375.59,371.11,366.27,364.70,368.50,365.23,364.72,363.62,360.18,362.25,360.03,364.38,362.72,360.86,365.57,366.90,361.83,355.79,351.01,344.31,347.86,340.10,334.23,321.89,322.43,340.11,349.65,343.34,350.87,360.98,L7
2001-01-26 22:10:30+00:00,330.68,334.62,330.55,315.44,308.97,299.55,287.90,291.96,291.99,291.20,293.62,295.71,293.27,290.81,289.67,288.11,287.49,289.33,284.71,288.67,286.27,284.06,284.96,284.01,287.40,287.03,293.00,301.90,303.08,302.48,305.93,310.69,308.64,309.02,307.91,317.37,319.99,320.78,324.39,325.75,331.83,337.69,339.78,349.29,352.69,345.36,344.84,343.02,346.17,351.52,352.65,354.29,351.02,348.18,342.72,338.80,337.91,338.23,340.88,341.41,340.21,340.77,336.32,337.76,339.50,345.06,338.51,334.00,334.24,334.43,338.62,342.52,346.16,344.15,339.37,342.13,,351.72,351.38,353.48,351.51,349.21,350.30,350.10,353.26,355.44,359.95,364.89,372.40,369.23,374.71,368.05,366.28,366.00,354.27,351.83,351.73,351.74,353.64,351.94,348.34,344.93,342.78,343.52,345.01,345.17,342.65,348.78,350.92,345.84,341.12,334.71,333.12,330.73,324.03,318.00,316.72,312.36,318.11,329.42,331.41,331.82,334.51,L7
2001-02-27 22:10:18+00:00,354.40,356.17,351.70,345.06,324.15,311.33,309.48,304.94,308.03,307.96,316.38,311.55,309.90,313.23,311.14,311.24,305.60,302.67,302.77,302.27,299.46,301.08,302.13,298.22,298.49,296.01,301.51,305.88,312.00,320.79,319.52,324.63,327.33,324.33,330.68,335.40,338.17,344.88,345.22,350.95,345.94,353.17,355.18,361.23,369.60,367.69,367.42,365.98,365.26,364.53,373.97,379.62,378.35,377.82,371.78,370.52,364.72,363.42,357.94,355.58,357.56,352.19,350.99,352.21,356.61,358.56,357.44,357.27,353.65,349.31,354.26,352.79,359.10,360.63,355.30,361.07,359.36,361.86,366.78,365.68,365.19,365.71,362.65,366.27,361.32,369.60,368.88,377.26,380.25,383.53,385.19,377.98,377.62,372.88,369.49,368.10,365.97,360.88,365.45,362.28,361.40,357.53,354.35,354.19,364.30,360.76,,360.54,358.25,362.04,362.24,348.11,350.08,339.83,333.58,328.01,330.64,337.64,338.93,342.49,346.06,354.65,342.36,L7
2001-03-15 22:10:15+00:00,366.61,360.23,348.74,338.50,324.77,313.40,306.51,306.19,308.06,310.07,322.59,314.57,303.46,304.95,305.76,299.21,301.15,291.16,291.65,291.96,289.67,289.94,289.76,297.17,291.21,298.15,298.77,304.37,309.54,313.82,318.83,322.71,324.09,320.11,320.15,325.84,330.40,337.86,343.72,341.78,343.69,349.66,354.28,361.20,364.45,362.47,361.66,356.92,357.98,,,,,,,380.71,379.16,368.29,367.39,362.47,354.19,350.59,345.16,350.77,350.73,357.22,350.26,344.64,341.99,345.89,348.71,351.44,352.16,349.54,349.90,348.63,347.15,348.08,353.36,354.91,353.11,357.10,350.78,329.71,,331.26,340.38,358.94,,,,,376.88,364.87,,,,,,,357.47,357.02,352.22,359.13,357.79,,,345.69,345.37,355.21,355.90,340.72,,,,321.11,319.55,321.16,335.04,344.79,341.87,345.10,335.52,L7
