dates,nzd0423-0000,nzd0423-0001,nzd0423-0002,nzd0423-0003,nzd0423-0004,nzd0423-0005,nzd0423-0006,nzd0423-0007,nzd0423-0008,nzd0423-0009,nzd0423-0010,nzd0423-0011,nzd0423-0012,nzd0423-0013,nzd0423-0014,nzd0423-0015,nzd0423-0016,nzd0423-0017,nzd0423-0018,nzd0423-0019,nzd0423-0020,nzd0423-0021,nzd0423-0022,nzd0423-0023,nzd0423-0024,nzd0423-0025,nzd0423-0026,nzd0423-0027,nzd0423-0028,nzd0423-0029,nzd0423-0030,nzd0423-0031,nzd0423-0032,nzd0423-0033,nzd0423-0034,nzd0423-0035,nzd0423-0036,nzd0423-0037,nzd0423-0038,nzd0423-0039,nzd0423-0040,nzd0423-0041,nzd0423-0042,nzd0423-0043,nzd0423-0044,nzd0423-0045,nzd0423-0046,nzd0423-0047,nzd0423-0048,nzd0423-0049,nzd0423-0050,nzd0423-0051,nzd0423-0052,nzd0423-0053,nzd0423-0054,nzd0423-0055,nzd0423-0056,nzd0423-0057,nzd0423-0058,nzd0423-0059,nzd0423-0060,nzd0423-0061,nzd0423-0062,nzd0423-0063,nzd0423-0064,nzd0423-0065,nzd0423-0066,nzd0423-0067,nzd0423-0068,nzd0423-0069,nzd0423-0070,nzd0423-0071,nzd0423-0072,nzd0423-0073,nzd0423-0074,nzd0423-0075,nzd0423-0076,nzd0423-0077,nzd0423-0078,nzd0423-0079,nzd0423-0080,nzd0423-0081,nzd0423-0082,nzd0423-0083,nzd0423-0084,nzd0423-0085,nzd0423-0086,nzd0423-0087,nzd0423-0088,nzd0423-0089,nzd0423-0090,nzd0423-0091,nzd0423-0092,nzd0423-0093,nzd0423-0094,nzd0423-0095,nzd0423-0096,nzd0423-0097,nzd0423-0098,nzd0423-0099,nzd0423-0100,nzd0423-0101,nzd0423-0102,nzd0423-0103,nzd0423-0104,nzd0423-0105,nzd0423-0106,nzd0423-0107,nzd0423-0108,nzd0423-0109,nzd0423-0110,nzd0423-0111,nzd0423-0112,nzd0423-0113,nzd0423-0114,nzd0423-0115,nzd0423-0116,nzd0423-0117,nzd0423-0118,nzd0423-0119,nzd0423-0120,nzd0423-0121,nzd0423-0122,satname
1999-11-05 22:12:52+00:00,299.50,291.08,294.96,292.38,293.12,292.84,288.89,288.42,287.93,292.58,298.29,302.50,301.56,287.70,288.85,292.73,286.87,294.72,295.15,293.95,290.79,282.29,282.92,278.00,286.69,285.24,286.31,283.03,278.46,278.99,288.45,290.50,297.63,300.44,297.84,299.25,294.97,297.57,293.57,299.25,305.38,311.18,313.01,315.06,315.54,313.39,315.32,322.91,324.16,329.57,331.73,331.21,331.55,331.82,333.65,329.14,329.73,337.79,330.98,336.60,341.64,349.74,354.86,358.33,,,,,,,,,,334.93,337.86,340.64,345.92,353.97,357.98,352.25,354.71,352.83,359.07,355.76,357.17,352.09,356.71,357.55,364.46,368.93,376.33,371.60,365.30,358.89,360.73,360.08,349.63,345.09,348.20,341.21,340.34,336.85,342.38,339.77,342.42,338.37,330.13,341.91,343.57,344.63,342.55,336.48,325.90,325.42,313.11,311.61,312.45,304.55,307.84,319.82,325.72,324.36,332.74,L7
1999-11-21 22:12:47+00:00,300.60,294.48,297.81,293.97,296.80,295.14,289.22,289.70,291.98,294.88,299.26,305.49,305.71,292.03,293.10,297.95,289.52,298.82,301.06,297.39,293.86,283.65,282.85,278.90,284.57,287.17,286.69,289.16,286.90,288.66,294.51,297.44,301.13,302.82,299.13,302.97,299.69,299.97,297.44,301.65,308.90,312.48,314.95,314.23,316.05,315.33,318.35,323.83,325.12,331.36,337.29,339.80,339.56,339.15,340.61,338.24,339.89,345.49,342.55,347.49,350.78,356.12,359.49,359.57,364.71,355.49,352.51,347.69,344.44,346.51,346.68,344.32,341.06,338.38,342.14,346.73,349.81,359.32,359.73,354.69,357.41,356.00,362.47,360.19,363.23,360.81,365.13,364.90,368.72,372.27,377.66,371.04,363.46,357.82,359.84,355.33,349.33,347.70,351.82,344.65,343.01,341.24,346.36,342.02,343.83,343.75,339.47,351.08,352.32,347.29,346.69,341.80,333.67,328.70,321.83,319.43,315.94,310.10,310.58,324.14,324.72,326.70,342.01,L7
1999-12-07 22:12:53+00:00,302.58,296.44,298.22,294.30,297.69,294.94,287.22,288.30,290.32,296.87,302.61,307.68,307.58,294.56,294.93,296.21,287.84,293.81,298.25,297.37,296.34,285.52,286.35,278.59,281.87,284.94,287.99,290.05,290.38,293.63,297.40,297.11,299.11,299.50,300.20,302.67,300.58,300.71,299.85,301.80,311.04,315.81,318.13,317.12,319.58,317.71,318.52,322.66,324.03,331.19,335.62,338.05,338.25,336.77,337.13,336.01,339.40,346.74,346.73,349.87,351.23,353.63,357.04,357.52,360.44,352.81,347.50,345.61,340.81,342.97,341.85,339.80,337.98,337.68,341.38,345.75,347.54,357.47,357.80,352.88,356.88,354.70,360.48,360.87,363.65,363.17,367.31,367.34,370.36,372.52,378.03,371.66,366.47,361.52,362.58,358.66,352.76,351.18,353.37,348.09,347.05,344.93,348.41,343.51,346.49,344.51,342.57,350.79,353.49,346.58,344.79,339.06,331.60,326.82,319.07,318.08,313.89,309.55,310.87,325.08,325.95,328.41,342.77,L7
2000-08-19 22:11:01+00:00,334.79,337.33,339.60,349.68,341.72,315.26,310.66,302.73,307.15,321.62,322.46,311.92,303.54,310.66,306.82,303.88,300.84,298.59,295.53,300.92,301.52,307.65,310.84,309.11,307.72,303.81,304.69,307.65,308.47,316.08,322.32,326.18,331.01,331.55,330.55,333.43,334.99,337.23,337.84,333.83,338.57,344.50,352.81,356.56,366.02,369.38,370.72,362.98,360.42,359.51,357.25,355.05,355.62,359.96,358.26,353.02,355.66,356.42,356.72,359.81,357.35,354.12,363.02,361.94,373.46,370.75,364.31,364.89,361.34,353.84,348.94,355.63,355.46,356.23,357.24,359.03,359.55,362.78,361.04,363.52,360.32,366.98,368.08,368.35,371.53,368.72,370.07,368.26,378.66,377.37,385.17,387.33,381.09,372.57,369.73,369.94,368.70,362.94,368.06,366.49,361.99,358.98,366.41,358.18,355.93,357.41,358.97,355.12,354.08,350.82,360.36,358.99,355.63,338.63,327.62,321.37,320.44,322.12,323.39,335.79,331.44,330.54,315.69,L7
2000-09-20 22:10:27+00:00,338.20,339.95,335.70,338.39,330.48,311.86,307.96,304.40,307.91,321.53,326.94,314.87,302.71,311.24,312.40,300.01,300.36,294.81,290.25,294.64,295.66,301.87,307.94,311.14,305.75,305.50,306.64,301.39,302.70,309.52,316.28,325.69,326.50,326.92,328.43,333.15,328.94,330.95,333.25,336.15,337.42,341.94,350.54,359.13,367.90,370.21,372.27,363.49,352.75,351.12,352.70,352.98,358.09,362.82,361.06,353.99,350.38,348.97,352.69,355.39,355.36,356.57,360.00,361.37,366.58,365.82,361.95,362.44,359.84,350.37,345.76,349.76,349.27,353.05,354.31,358.66,357.48,355.12,353.50,358.56,356.40,360.93,362.20,361.05,366.32,365.80,367.31,365.81,372.64,375.27,379.89,376.64,375.63,366.61,363.08,362.84,358.86,356.46,361.54,362.41,362.09,357.36,359.49,356.05,352.80,345.75,347.94,348.05,347.69,348.63,356.81,348.96,347.56,335.62,328.57,321.25,320.98,320.09,318.12,324.10,328.24,326.31,314.30,L7
2000-11-07 22:10:17+00:00,338.20,339.95,335.70,338.39,330.48,311.86,307.96,304.40,301.57,310.51,315.55,310.38,299.75,307.44,307.98,297.02,296.42,291.99,291.21,294.14,296.27,297.64,301.74,302.79,298.84,300.66,303.65,301.14,301.31,306.67,312.68,318.94,320.20,319.00,322.29,326.05,324.43,325.57,330.31,331.99,333.07,337.23,347.58,354.46,363.38,363.52,363.86,358.83,350.15,348.80,349.36,348.40,351.33,354.42,353.48,350.01,348.42,348.36,350.37,351.23,351.77,355.16,358.07,359.48,365.09,360.06,358.56,357.87,357.42,352.38,348.63,351.19,351.97,353.40,353.01,356.83,357.48,359.43,356.72,358.96,355.47,358.61,360.78,362.67,365.65,366.52,366.79,365.68,371.92,375.79,380.57,377.90,374.64,366.99,362.15,361.16,359.52,357.04,359.82,360.94,359.51,355.09,357.18,357.80,356.60,347.29,346.50,350.06,351.49,350.80,355.12,345.52,343.30,335.09,328.56,321.46,321.33,322.21,320.18,323.02,326.86,327.40,324.67,L7
2001-01-10 22:10:27+00:00,342.88,341.56,335.50,334.77,327.99,311.75,305.48,302.80,300.62,307.14,312.61,309.91,300.54,304.41,304.48,297.69,296.33,293.81,293.77,295.38,296.85,296.52,300.01,301.11,298.97,299.84,303.65,302.95,303.86,307.56,313.94,318.82,320.15,321.03,323.06,326.31,325.19,325.82,328.87,329.82,335.43,339.90,349.72,355.18,362.19,361.77,363.69,360.44,353.53,352.35,351.82,350.88,353.11,354.30,353.29,349.96,347.65,347.98,349.19,350.75,351.00,354.00,356.88,359.15,363.32,358.47,356.31,355.27,355.54,351.28,350.23,352.54,353.93,353.24,354.56,356.89,358.20,361.51,359.06,359.62,357.02,358.76,362.70,363.91,367.33,368.27,368.61,369.07,372.92,375.61,381.97,378.60,375.60,369.14,364.39,362.44,360.81,359.91,361.17,361.88,360.54,356.37,358.45,358.36,358.54,351.14,350.09,353.94,355.34,353.56,355.29,346.89,343.56,338.28,331.44,324.65,321.47,322.26,325.16,329.68,330.98,333.27,333.75,L7
2001-01-26 22:10:30+00:00,339.83,339.82,334.26,329.94,323.24,308.70,301.08,300.09,298.89,303.96,308.81,307.07,299.09,301.69,301.52,295.77,294.56,292.91,291.96,294.04,294.74,294.03,297.00,297.69,296.65,297.28,301.52,302.74,303.70,306.54,312.34,317.20,317.85,318.63,320.03,324.52,324.15,324.81,327.97,329.00,334.71,339.46,347.73,354.00,360.29,358.49,359.92,356.96,352.06,352.18,351.99,351.56,352.69,353.07,351.18,347.73,345.70,346.03,347.53,348.88,348.84,351.36,352.76,354.88,358.55,355.79,352.75,351.02,351.28,347.91,347.91,350.53,352.38,351.42,351.52,353.94,358.20,359.55,357.53,358.39,355.92,356.85,360.22,361.15,364.52,365.70,366.88,368.23,372.82,374.34,380.52,376.49,373.73,368.51,362.36,360.32,359.00,358.27,359.67,359.89,358.10,354.08,355.31,355.39,355.84,349.95,348.60,352.91,354.46,352.01,352.45,344.45,341.47,336.77,329.96,323.32,320.52,320.28,323.75,329.62,331.07,332.98,333.90,L7
2001-02-27 22:10:18+00:00,344.74,344.53,337.28,328.78,318.85,307.72,300.79,300.64,299.07,301.22,307.59,307.00,300.36,302.20,302.38,297.24,295.51,293.73,293.40,294.31,294.32,292.71,295.26,295.51,294.81,295.72,300.89,302.39,304.41,307.48,311.78,316.89,317.12,317.19,320.05,324.92,324.79,326.34,329.45,332.43,336.19,341.19,348.20,354.94,361.01,358.15,359.26,357.56,353.03,353.19,355.33,356.47,357.23,356.65,353.88,351.23,347.51,347.43,347.77,348.03,348.88,350.97,350.36,352.93,355.18,353.35,351.38,349.49,349.74,347.00,348.97,349.97,353.11,352.30,351.13,354.35,358.13,359.37,358.67,358.82,356.89,356.59,359.13,360.73,362.47,365.88,366.64,370.03,373.14,375.57,380.52,374.62,373.04,368.57,362.32,359.95,358.45,357.86,359.14,359.05,357.98,353.79,352.90,354.59,357.51,350.62,346.01,353.99,355.29,354.26,352.83,342.28,340.36,337.01,331.15,324.65,322.56,323.39,326.86,330.96,333.99,337.80,339.24,L7
2001-03-15 22:10:15+00:00,349.11,347.67,339.58,330.73,320.03,308.86,301.93,301.75,300.56,302.70,310.09,308.26,300.88,302.66,302.94,297.57,296.45,293.30,293.11,293.92,293.55,292.25,294.34,295.79,294.21,296.12,300.54,302.72,305.26,308.54,312.95,317.86,318.28,317.67,320.07,325.07,325.72,328.26,331.83,333.99,337.44,342.60,349.22,355.98,361.58,358.87,359.66,357.45,353.85,353.19,355.33,356.47,357.23,356.65,353.88,356.14,352.79,350.91,351.04,350.44,349.77,350.91,349.49,352.57,354.44,353.99,351.19,348.68,348.45,346.82,348.93,350.21,352.95,351.84,350.93,353.40,355.39,357.49,357.79,358.17,356.26,356.68,357.74,355.56,362.47,360.11,362.27,368.19,373.14,375.57,380.52,374.62,373.68,367.96,362.32,359.95,358.45,357.86,359.14,359.05,357.89,354.33,352.79,355.35,357.56,350.62,346.01,352.61,353.64,354.41,353.34,342.02,340.36,337.01,331.15,324.06,322.06,323.01,328.23,333.27,335.31,339.02,338.62,L7
