dates,satname,nzd0423-0000,nzd0423-0001,nzd0423-0002,nzd0423-0003,nzd0423-0004,nzd0423-0005,nzd0423-0006,nzd0423-0007,nzd0423-0008,nzd0423-0009,nzd0423-0010,nzd0423-0011,nzd0423-0012,nzd0423-0013,nzd0423-0014,nzd0423-0015,nzd0423-0016,nzd0423-0017,nzd0423-0018,nzd0423-0019,nzd0423-0020,nzd0423-0021,nzd0423-0022,nzd0423-0023,nzd0423-0024,nzd0423-0025,nzd0423-0026,nzd0423-0027,nzd0423-0028,nzd0423-0029,nzd0423-0030,nzd0423-0031,nzd0423-0032,nzd0423-0033,nzd0423-0034,nzd0423-0035,nzd0423-0036,nzd0423-0037,nzd0423-0038,nzd0423-0039,nzd0423-0040,nzd0423-0041,nzd0423-0042,nzd0423-0043,nzd0423-0044,nzd0423-0045,nzd0423-0046,nzd0423-0047,nzd0423-0048,nzd0423-0049,nzd0423-0050,nzd0423-0051,nzd0423-0052,nzd0423-0053,nzd0423-0054,nzd0423-0055,nzd0423-0056,nzd0423-0057,nzd0423-0058,nzd0423-0059,nzd0423-0060,nzd0423-0061,nzd0423-0062,nzd0423-0063,nzd0423-0064,nzd0423-0065,nzd0423-0066,nzd0423-0067,nzd0423-0068,nzd0423-0069,nzd0423-0070,nzd0423-0071,nzd0423-0072,nzd0423-0073,nzd0423-0074,nzd0423-0075,nzd0423-0076,nzd0423-0077,nzd0423-0078,nzd0423-0079,nzd0423-0080,nzd0423-0081,nzd0423-0082,nzd0423-0083,nzd0423-0084,nzd0423-0085,nzd0423-0086,nzd0423-0087,nzd0423-0088,nzd0423-0089,nzd0423-0090,nzd0423-0091,nzd0423-0092,nzd0423-0093,nzd0423-0094,nzd0423-0095,nzd0423-0096,nzd0423-0097,nzd0423-0098,nzd0423-0099,nzd0423-0100,nzd0423-0101,nzd0423-0102,nzd0423-0103,nzd0423-0104,nzd0423-0105,nzd0423-0106,nzd0423-0107,nzd0423-0108,nzd0423-0109,nzd0423-0110,nzd0423-0111,nzd0423-0112,nzd0423-0113,nzd0423-0114,nzd0423-0115,nzd0423-0116,nzd0423-0117,nzd0423-0118,nzd0423-0119,nzd0423-0120,nzd0423-0121,nzd0423-0122
1999-11-05 22:12:52+00:00,L7,292.29,286.03,288.23,287.33,281.90,279.37,283.71,283.37,282.88,287.53,293.24,289.03,286.02,282.52,283.80,280.85,279.10,281.25,278.32,278.41,273.96,273.11,274.50,272.95,277.07,276.06,278.23,274.61,270.04,271.51,278.35,280.88,288.85,290.34,287.74,287.37,284.87,290.09,286.60,294.20,296.20,302.76,304.93,310.01,310.49,308.34,310.27,311.69,314.06,317.69,319.85,318.59,320.33,321.19,324.03,319.96,320.11,327.69,322.56,325.97,329.76,337.86,341.39,345.71,209.99,203.67,,,,,,,,325.75,327.23,331.02,335.82,337.14,343.55,341.62,343.49,341.61,346.45,343.14,345.95,340.21,346.61,348.77,355.68,359.75,366.23,362.82,358.33,349.27,350.10,349.45,338.41,334.46,336.98,330.58,331.16,326.22,328.91,329.14,329.79,326.49,318.91,325.08,326.74,337.66,333.37,325.85,314.68,314.20,302.48,296.07,298.98,293.33,295.96,302.99,311.29,310.89,307.49
1999-11-21 22:12:47+00:00,L7,292.49,291.42,292.07,289.10,286.15,280.25,282.93,284.52,289.58,290.74,293.78,291.28,290.00,289.74,290.89,287.99,282.26,285.71,285.48,280.98,275.43,273.29,272.02,273.36,270.17,277.37,276.74,284.54,284.60,288.78,287.67,292.09,293.41,292.31,287.52,291.51,291.50,292.80,292.42,297.61,300.69,303.03,306.58,306.95,310.11,310.83,314.93,310.42,313.18,317.97,327.67,332.27,333.23,332.90,335.28,335.60,337.76,340.28,343.37,344.79,344.74,347.32,346.91,344.70,343.21,339.36,338.93,336.47,332.15,333.61,334.39,333.10,328.16,330.11,332.84,340.52,340.79,343.16,343.04,343.54,345.78,344.85,349.74,348.48,354.95,354.35,360.65,361.04,361.75,363.89,366.10,359.26,352.72,344.47,345.37,337.01,334.70,336.74,341.11,334.52,333.95,332.04,333.14,330.70,329.11,333.95,334.48,338.75,339.57,341.05,339.11,333.54,327.11,317.65,316.97,307.39,302.23,301.31,298.14,306.97,305.29,311.84,319.03
1999-12-07 22:12:53+00:00,L7,300.03,295.82,292.95,290.43,289.37,282.41,278.56,280.96,282.45,296.28,304.75,299.94,297.33,294.94,294.05,282.03,277.47,271.67,277.45,283.32,286.13,280.99,285.78,273.41,267.80,272.21,283.31,284.24,289.74,296.82,294.07,287.77,287.17,283.76,293.24,291.37,293.26,295.45,298.37,297.53,307.04,314.90,317.19,318.35,322.10,317.90,314.30,310.21,312.76,320.14,321.56,323.17,325.52,322.44,321.49,323.29,329.75,340.15,347.51,345.07,341.43,337.95,340.02,342.03,340.99,338.77,332.92,335.61,328.50,330.32,328.34,327.37,325.79,328.01,330.28,335.14,333.92,338.60,340.96,339.69,345.70,341.98,345.11,350.85,354.38,357.17,362.56,364.29,365.75,364.75,369.66,364.98,366.22,360.24,358.49,355.72,349.50,348.54,346.37,345.38,346.86,342.73,340.37,336.89,340.45,335.32,338.67,335.03,340.67,338.88,332.72,324.01,317.36,312.94,303.98,301.40,297.67,298.35,300.74,311.78,315.41,319.70,321.54
2000-08-19 22:11:01+00:00,L7,338.00,339.58,342.60,351.93,346.72,321.26,312.97,304.98,309.40,323.87,324.71,317.92,310.46,312.97,309.07,309.17,304.30,304.59,303.03,307.84,309.02,311.74,314.59,311.36,312.01,307.90,308.29,311.40,312.22,319.41,326.82,330.47,334.92,336.05,335.05,338.72,339.49,340.56,340.94,336.08,342.66,348.25,356.41,358.81,368.27,371.63,372.97,367.98,364.92,364.80,362.54,360.67,360.62,364.70,362.55,357.11,359.95,360.92,360.47,364.55,362.64,359.41,369.02,367.56,380.96,376.38,369.05,368.80,365.63,358.34,353.23,359.54,359.96,360.32,361.98,363.32,364.05,370.28,367.47,368.26,365.32,371.98,373.71,373.97,376.53,374.01,374.57,372.17,382.57,381.46,389.67,391.24,384.19,376.86,374.47,374.68,373.70,367.68,373.06,371.23,366.08,363.72,372.41,362.92,361.55,362.70,363.97,362.62,361.58,353.92,364.45,363.73,360.63,343.63,332.36,328.29,326.44,327.12,328.68,343.29,337.87,336.54,326.94
2000-09-20 22:10:27+00:00,L7,347.61,346.77,337.40,331.30,328.57,319.66,309.57,310.28,312.87,325.64,335.61,329.01,314.80,316.12,322.18,306.03,306.33,302.24,298.98,301.29,303.80,303.72,312.05,317.38,311.78,314.84,315.32,302.13,303.92,309.18,318.65,333.20,329.30,330.69,334.70,342.76,331.30,330.88,334.46,342.68,343.91,346.38,355.00,365.91,373.99,375.24,378.02,373.33,353.49,352.61,358.03,361.40,369.88,374.53,371.87,362.60,353.11,349.92,355.65,359.82,363.24,368.91,368.17,371.30,373.71,371.40,368.43,367.30,366.34,355.29,350.59,351.19,351.49,357.50,360.22,366.29,363.81,361.46,357.97,362.44,361.82,364.21,366.83,364.25,370.45,372.75,372.94,370.67,373.93,380.82,383.02,373.26,375.96,368.64,365.27,364.58,358.34,358.82,364.35,367.18,369.82,364.57,363.77,362.75,360.16,343.97,346.24,354.97,355.29,352.23,360.91,347.76,348.81,341.95,338.37,334.06,332.71,327.39,322.72,326.40,337.04,333.29,333.91
2000-11-07 22:10:17+00:00,L7,,,,,,,,,286.93,286.52,290.82,296.20,287.84,297.85,297.20,286.43,285.54,281.13,286.61,287.12,290.98,285.63,286.09,284.12,281.30,287.43,294.53,297.40,295.30,298.07,301.57,301.73,304.21,299.25,306.11,307.24,311.51,311.92,321.72,321.70,320.81,324.56,338.54,343.17,352.38,348.19,345.10,345.17,341.03,339.57,338.08,334.39,333.50,333.50,334.59,338.50,340.78,343.23,342.49,338.79,340.00,347.73,349.02,350.82,355.59,343.65,347.67,345.34,348.88,352.52,350.66,350.67,353.46,350.55,346.29,349.47,,361.55,357.58,355.66,349.26,349.63,353.07,361.03,359.97,363.38,361.85,362.02,367.09,373.28,378.01,377.03,369.96,364.05,356.17,353.70,356.51,354.10,352.05,353.87,350.81,346.46,347.36,357.20,359.33,345.77,339.29,347.59,352.60,352.44,348.17,334.53,330.47,329.69,324.42,315.86,316.84,322.11,319.73,314.36,318.54,324.37,335.67
2001-01-10 22:10:27+00:00,L7,346.04,340.42,329.29,323.18,313.35,299.94,296.05,295.25,293.41,292.70,299.43,296.92,289.53,290.86,289.62,289.46,289.38,287.68,286.95,285.75,284.11,285.26,287.56,291.74,291.07,289.46,296.72,301.14,304.24,303.78,309.03,310.19,312.44,318.44,316.67,316.86,318.76,320.15,318.54,318.96,334.62,340.65,349.16,352.99,354.28,352.18,358.80,355.62,354.99,352.75,348.97,347.42,348.75,344.77,344.45,341.89,337.05,338.15,338.40,340.13,338.46,340.30,341.69,347.32,343.51,342.83,340.42,339.89,341.60,339.27,346.74,349.00,351.12,344.85,350.04,348.79,350.93,353.26,353.66,352.42,352.01,349.54,357.57,356.77,362.70,363.28,365.39,371.67,368.35,367.16,377.49,373.10,372.47,367.30,361.95,357.11,355.03,359.34,355.56,355.56,355.71,351.02,350.65,350.87,353.50,352.48,351.19,351.07,352.40,355.83,347.88,341.85,334.64,338.19,330.94,320.85,310.29,312.76,329.87,335.15,330.91,339.27,339.23
2001-01-26 22:10:30+00:00,L7,329.18,333.57,329.15,314.39,306.64,296.75,286.82,290.91,290.94,290.15,292.57,292.91,290.04,289.73,288.62,285.64,285.87,286.53,281.21,285.44,282.77,282.15,283.21,282.96,285.40,285.12,291.32,300.15,301.33,300.92,303.83,308.69,306.81,306.92,305.81,314.90,317.89,319.22,322.94,324.70,329.92,335.94,338.10,348.24,351.64,344.31,343.79,340.69,344.07,349.05,350.18,351.66,348.69,345.97,340.72,336.89,335.91,336.13,339.13,339.20,337.74,338.30,333.52,335.14,336.00,342.43,336.30,332.17,332.24,332.33,336.62,340.69,344.06,342.24,337.16,340.13,,348.22,348.38,351.27,349.18,346.88,347.67,347.47,350.93,352.97,357.85,363.06,370.57,367.32,372.61,366.22,364.83,364.00,352.06,349.62,349.40,349.53,351.31,349.73,346.43,342.72,339.98,341.31,342.39,342.70,340.32,345.28,347.42,344.39,339.21,332.50,330.79,328.40,321.82,314.77,313.92,310.03,315.64,325.92,328.41,329.02,329.26
2001-02-27 22:10:18+00:00,L7,357.33,358.22,354.43,347.11,328.71,316.80,311.58,306.99,310.08,310.01,318.43,317.02,316.21,315.33,313.19,316.06,308.75,308.14,309.60,308.58,306.29,304.81,305.55,300.27,302.39,299.74,304.79,309.30,315.42,323.83,323.62,328.53,330.90,328.43,334.78,340.22,342.27,347.92,348.05,353.00,349.67,356.59,358.46,363.28,371.65,369.74,369.47,370.54,369.36,369.35,378.79,384.75,382.91,382.14,375.68,374.25,368.62,367.52,361.36,359.90,362.38,357.01,356.46,357.34,363.44,363.69,361.76,360.84,357.55,353.41,358.16,356.36,363.20,364.36,359.62,364.97,363.46,368.69,372.64,370.00,369.75,370.27,367.78,371.40,365.88,374.42,372.98,380.83,383.82,387.26,389.29,381.55,380.45,376.78,373.81,372.42,370.53,365.20,370.01,366.60,365.13,361.85,359.82,358.51,369.42,365.58,,367.37,365.08,364.87,365.97,352.43,354.64,344.39,337.90,334.32,336.11,342.20,343.75,349.32,351.92,360.12,352.61
2001-03-15 22:10:15+00:00,L7,372.18,364.13,353.94,342.40,333.44,323.80,310.51,310.09,311.96,313.97,326.49,324.97,315.46,308.95,309.66,308.39,307.15,301.56,304.65,303.96,302.67,297.03,296.26,301.07,298.64,305.24,305.01,310.87,316.04,319.60,326.63,330.14,330.87,327.91,327.95,335.02,338.20,343.64,349.10,345.68,350.78,356.16,360.52,365.10,368.35,366.37,365.56,365.59,365.78,,,,,,,387.80,386.59,376.09,373.89,370.68,363.37,359.77,355.56,360.52,363.73,366.97,358.47,351.42,349.42,353.69,356.14,358.22,359.96,356.63,358.11,356.06,354.95,361.08,364.50,363.12,361.78,365.77,360.53,339.46,325.93,340.44,348.18,365.72,,,536.27,535.23,382.26,372.30,,,,,,,364.56,365.23,362.62,367.34,367.54,,,358.69,358.37,360.59,362.99,348.93,,,,333.11,329.95,329.83,344.22,357.79,353.01,355.50,355.02
