,dates,mex0309-0000,mex0309-0001,mex0309-0002,mex0309-0003,mex0309-0004,mex0309-0005,mex0309-0006,mex0309-0007,mex0309-0008,mex0309-0009,mex0309-0010,mex0309-0011,mex0309-0012,mex0309-0013,mex0309-0014,mex0309-0015,mex0309-0016,mex0309-0017,mex0309-0018,mex0309-0019,mex0309-0020,mex0309-0021,mex0309-0022
0,1985-09-24 16:53:30+00:00,177.1783394527127,172.82248003641,169.22494706207243,192.82824166503138,,,,,,133.5695988547655,146.9741500327683,149.1957203833565,154.34499094586891,171.83079027001426,183.28265077342843,176.58319585861565,180.30435980959786,183.6289403739591,193.90968167702525,,,183.9429451501812,178.56947827940937
1,1986-03-19 16:50:19+00:00,189.55571785586648,157.5833169600659,181.49012710767158,205.60328458303377,258.40281045825094,257.31078883463346,219.6939202923166,199.28711691452568,176.90538954181173,158.5961598899067,153.828435366271,151.8380771179735,157.72277207398773,165.85860382179683,187.36458150996518,162.86495329384215,148.7473969483948,155.31335836274678,152.6184662154626,146.90785991228464,149.07682249420728,163.38296202773375,152.7908348467846
2,1986-04-20 16:49:38+00:00,183.36677545868983,176.7846811790736,180.4724943434603,194.18197523921714,224.02849116483793,229.2454083055824,210.42783092801415,198.91967376897813,196.40762672775313,193.36586144289433,181.4830120992344,174.8571398234911,169.8846393361428,168.04580001951533,177.96619604206992,152.8315344244506,150.12448535813263,156.3672290282587,150.83919269873707,146.00803144433743,148.5158019061203,175.58374452228455,168.95604226671398
3,1987-09-14 16:51:10+00:00,159.03894829221863,161.06463386616326,164.95392538224033,181.9447596976881,,,,,,,138.75812255487972,149.58054484216865,166.08264813349703,173.72240316018076,178.36536503358607,150.82781031102658,155.21148536398547,160.47998112231394,171.04847101026127,178.5094965397349,184.50351808430173,194.00309684526988,194.16039219549674
4,1990-02-10 16:45:58+00:00,210.91617272933078,166.73139028642635,180.76429913045143,206.82326978486998,250.72108815507752,241.90089678162596,215.34223983342625,189.22139805359515,184.78396503152928,170.9087678469891,164.47594141399165,154.1042071534938,165.57742728969598,168.52903128530008,190.14277220064753,183.33510440674672,161.4843973610047,160.81640745944625,166.11856733494477,162.63186360499756,159.7556219845148,184.76051363362834,178.7472236836908
5,1990-04-15 16:44:33+00:00,196.29080088946327,178.43513037586152,179.5453297262571,193.8294093060301,217.89275053612363,220.65580720892868,215.31009542411869,184.64575703653247,178.0797749816315,178.5172146987354,178.4893040463339,173.1656238481687,178.1683342082972,181.29875508634444,182.63979651420456,161.44256419251448,161.13298262458034,161.38506296181245,157.26247246016743,151.19957786679998,151.14433130171258,171.332622505142,179.62452709133166
6,1993-01-17 16:45:59+00:00,202.79157774257936,170.97084251380375,181.42599031970354,202.77364089277017,241.32581300446256,234.17054400455626,206.99915509725108,183.83664382057594,173.2180910586234,169.36079541419846,168.5436865232092,161.47460379123856,168.33276734162473,173.8941056905661,193.97654263729382,178.92626222686744,154.1620727593869,161.37064132101517,163.05847875779313,156.3172871357683,153.24604579818322,172.88608354469642,175.44499515638023
7,1993-02-02 16:46:10+00:00,202.79456419365385,175.09725224075507,190.0833588598803,212.24615950494203,251.82193612934512,249.6980235285052,225.0459312451729,205.4815843283339,192.91937539301142,178.58351248111572,174.88771853605283,164.3875742181691,162.70570966787207,183.05215453376005,182.9760940487939,161.2565587318275,140.5869103968093,154.15880263106365,159.89775005540537,159.73766627453452,160.34366421811816,174.3946508673295,179.2916887907731
8,1993-02-18 16:46:17+00:00,184.0501145165766,174.09155343016783,179.14219271082925,193.83685856952175,230.3549660898597,226.54716778485087,216.14771195250577,194.76585876199889,181.423193945379,172.40290077275228,168.9590235823344,156.8821111695845,160.39377345487605,170.64409679520617,183.8221735658021,161.80570031160573,154.1330544767973,157.53174673339367,157.85474749013494,155.4524988073532,158.59543502051642,175.2851384251863,167.1909469405118
9,1993-03-22 16:46:29+00:00,178.94061992567134,156.221511580445,165.39202185821642,185.33631484868144,228.18731771366754,228.42562761711378,212.39437281885003,195.8956162371065,179.93795353879005,167.28140391763364,157.923326760405,148.49825765055763,150.21128831847383,167.01611839455978,185.44888484058575,168.64945137465605,146.7025675618342,153.81141875722332,145.2323649358809,145.5469159627774,142.51280475512704,165.10586423093474,158.9644133162792
