dates,nzd0478-0000,nzd0478-0001,nzd0478-0002,nzd0478-0003,nzd0478-0004,nzd0478-0005,nzd0478-0006,nzd0478-0007,satname
1999-08-26 22:07:32+00:00,356.54,349.13,362.50,350.27,351.14,345.04,343.89,344.47,L7
1999-11-14 22:07:06+00:00,,,,,,,,336.04,L7
1999-11-30 22:07:23+00:00,348.98,344.88,342.00,347.14,337.67,338.55,340.24,348.29,L7
2000-05-08 22:06:20+00:00,343.70,343.08,332.11,349.64,349.33,344.90,339.08,337.19,L7
2000-06-25 22:06:19+00:00,336.93,333.03,318.27,344.86,346.32,355.16,351.07,354.80,L7
2000-07-27 22:05:48+00:00,339.36,337.39,321.98,340.58,341.05,355.33,361.99,365.48,L7
2000-08-03 22:11:31+00:00,341.32,337.23,328.62,344.35,345.32,346.46,342.53,344.53,L7
2000-08-12 22:05:41+00:00,357.69,347.79,342.87,360.45,357.68,361.03,351.52,349.98,L7
2000-09-20 22:10:50+00:00,348.83,342.97,346.71,348.24,336.91,346.95,349.20,356.03,L7
2000-10-15 22:04:20+00:00,336.48,332.72,339.77,337.39,336.68,333.42,338.59,338.04,L7
2000-12-02 22:04:57+00:00,352.89,347.78,344.03,348.61,341.56,341.43,345.21,341.81,L7
2000-12-18 22:04:37+00:00,355.55,354.99,346.38,350.09,347.06,346.58,355.74,362.12,L7
2001-01-03 22:05:00+00:00,351.79,348.70,345.17,346.83,345.64,344.93,350.29,355.49,L7
2001-02-20 22:04:36+00:00,346.61,341.28,339.68,343.75,341.44,345.51,338.43,337.39,L7
2001-03-08 22:04:56+00:00,358.48,353.58,353.31,339.78,348.75,348.73,342.45,352.96,L7
2001-04-09 22:04:41+00:00,347.79,343.47,338.33,338.33,343.23,342.67,337.23,337.37,L7
2001-06-28 22:03:32+00:00,341.65,338.56,329.63,345.43,344.71,349.01,343.76,351.00,L7
2001-07-14 22:03:33+00:00,339.00,333.39,324.34,329.74,326.08,335.40,334.92,342.07,L7
2001-08-15 22:03:02+00:00,354.69,352.74,344.90,348.39,343.42,347.37,353.95,354.59,L7
2002-03-11 22:03:07+00:00,355.57,352.01,342.42,343.25,343.50,349.35,347.62,344.48,L7
2002-04-12 22:03:01+00:00,361.00,353.73,357.81,340.70,343.23,346.96,342.41,346.03,L7
2002-05-14 22:03:19+00:00,346.07,343.25,336.07,340.64,343.11,346.61,342.64,338.79,L7
2002-06-15 22:02:43+00:00,336.81,332.73,311.59,332.77,336.72,341.71,340.56,344.54,L7
2002-07-01 22:02:38+00:00,333.27,329.83,315.10,329.68,335.06,335.91,337.71,341.90,L7
2002-11-22 22:02:21+00:00,349.82,343.87,348.86,340.58,339.28,339.53,342.61,344.33,L7
2002-12-08 22:02:27+00:00,335.62,332.70,330.19,320.97,319.27,328.72,332.77,342.97,L7
2002-12-24 22:02:33+00:00,342.68,339.24,334.84,342.55,343.12,343.32,347.09,344.98,L7
2003-08-05 22:02:35+00:00,348.41,344.53,331.89,348.65,336.80,343.57,347.88,352.52,L7
2003-08-13 21:51:08+00:00,353.74,350.21,341.88,339.68,348.04,348.75,363.16,359.42,L5
2003-09-14 21:51:42+00:00,342.84,335.91,331.10,335.43,334.73,340.08,348.32,350.14,L5
2003-09-30 21:51:54+00:00,339.83,334.83,331.81,327.09,323.88,330.35,338.19,340.26,L5
2003-10-16 21:52:31+00:00,346.33,343.26,340.88,346.61,343.67,346.81,348.15,355.01,L5
2003-11-17 21:52:33+00:00,346.61,341.84,337.25,334.91,328.01,336.02,346.64,357.87,L5
2003-12-27 22:03:30+00:00,340.91,334.56,334.64,336.12,333.39,342.54,330.39,329.74,L7
2004-01-12 22:03:07+00:00,339.55,328.10,339.31,345.77,338.09,,,343.71,L7
2004-01-20 21:53:00+00:00,350.06,346.92,353.63,341.45,345.76,354.00,342.93,346.54,L5
2004-04-01 22:03:52+00:00,347.55,343.40,339.74,339.43,337.57,342.09,335.54,336.98,L7
2004-04-09 21:54:07+00:00,349.03,341.30,342.86,349.67,348.84,344.91,336.87,338.74,L5
2004-05-03 22:03:47+00:00,,,,345.68,346.45,349.19,344.12,340.83,L7
2004-05-19 22:03:47+00:00,348.31,344.90,342.70,345.32,346.77,347.57,348.39,347.20,L7
2004-06-12 21:55:59+00:00,351.09,340.07,322.29,345.26,348.05,356.91,352.75,357.32,L5
2004-06-28 21:56:04+00:00,337.86,330.01,318.38,351.06,349.38,353.63,347.68,356.33,L5
2004-07-06 22:03:12+00:00,336.25,,,,344.46,347.80,348.54,347.28,L7
2004-07-30 21:57:15+00:00,346.41,339.56,327.40,335.86,343.20,346.58,350.18,347.70,L5
2004-08-15 21:57:37+00:00,343.74,336.44,328.10,332.23,334.85,346.33,344.53,343.03,L5
2004-08-23 22:03:23+00:00,335.72,329.76,320.08,325.28,324.92,330.51,344.24,349.97,L7
2004-09-08 22:02:53+00:00,,,,345.58,343.13,355.10,356.06,361.11,L7
2004-09-16 21:58:29+00:00,339.02,336.60,327.64,327.65,331.21,341.05,337.10,342.47,L5
2004-09-24 22:02:48+00:00,350.10,349.54,346.08,350.20,343.52,344.50,344.98,341.56,L7
2004-10-18 21:58:47+00:00,357.96,354.44,348.98,348.73,348.57,352.55,350.56,349.55,L5
2004-11-03 21:59:06+00:00,359.11,354.27,351.28,355.31,350.38,357.90,349.88,345.94,L5
2004-12-29 22:03:32+00:00,349.47,342.65,349.24,349.28,340.98,341.58,339.87,340.54,L7
2005-02-23 22:01:19+00:00,345.42,335.08,336.83,325.41,329.39,336.18,336.19,340.34,L5
2005-03-03 22:03:53+00:00,355.21,350.14,345.94,352.93,353.40,353.54,356.16,357.63,L7
2005-04-12 22:01:42+00:00,338.81,334.79,329.36,339.41,342.25,345.56,340.25,341.40,L5
2005-04-20 22:04:08+00:00,341.56,342.00,339.07,343.80,346.90,348.63,347.15,,L7
2005-05-05 22:07:37+00:00,342.21,345.65,330.92,346.32,346.54,347.13,335.96,342.15,L5
2005-06-07 22:04:06+00:00,348.16,343.64,343.15,344.56,345.32,,,,L7
2005-06-23 22:04:01+00:00,,,321.94,330.70,343.17,349.93,347.27,351.68,L7
2005-07-09 22:04:02+00:00,341.70,343.59,334.86,352.16,352.38,353.76,346.12,344.69,L7
2005-08-26 22:03:51+00:00,341.98,341.90,335.01,338.07,332.40,339.33,348.57,345.01,L7
2005-09-19 22:02:44+00:00,330.87,331.29,337.62,326.57,328.58,337.89,340.66,341.90,L5
2005-09-27 22:03:16+00:00,,,321.64,313.90,344.30,349.68,351.14,349.43,L7
2005-10-05 22:02:17+00:00,338.51,333.81,330.33,329.64,330.57,335.32,331.81,334.66,L5
2005-11-06 22:02:22+00:00,355.89,350.13,344.88,349.59,351.76,353.71,344.76,335.88,L5
2006-02-10 22:05:02+00:00,376.01,,,,329.98,335.72,342.23,343.83,L5
2006-02-17 22:10:58+00:00,340.31,335.55,,,,,,,L5
2006-02-26 22:04:59+00:00,342.58,338.53,341.58,337.63,346.05,350.01,349.04,350.21,L5
2006-03-05 22:11:18+00:00,,325.72,317.42,318.03,315.82,322.66,320.69,,L5
2006-05-17 22:06:45+00:00,329.23,328.48,322.74,331.40,331.82,339.37,341.16,338.04,L5
2006-06-26 22:04:08+00:00,366.00,373.50,348.12,343.41,347.12,347.16,345.21,362.73,L7
2006-07-12 22:04:25+00:00,341.84,334.09,312.85,325.08,340.06,343.88,340.68,335.83,L7
2006-08-05 22:07:55+00:00,343.43,346.44,315.68,346.47,350.60,348.10,352.98,326.31,L5
2006-08-21 22:08:07+00:00,341.10,337.93,334.70,336.50,341.89,343.41,338.94,343.91,L5
2006-08-29 22:03:50+00:00,351.42,346.15,344.14,350.95,349.59,351.42,346.77,351.49,L7
2006-09-14 22:03:45+00:00,353.84,352.99,341.78,351.25,346.34,348.55,343.43,,L7
2007-02-05 22:04:35+00:00,353.96,348.51,347.32,346.40,346.33,351.82,350.51,,L7
2007-02-13 22:09:11+00:00,348.45,343.17,336.75,331.82,328.57,333.42,334.91,341.23,L5
2007-03-09 22:04:43+00:00,353.38,348.46,342.79,351.40,349.89,350.48,,,L7
2007-05-12 22:04:35+00:00,353.42,345.51,334.07,345.55,344.69,342.78,345.60,345.68,L7
2007-06-13 22:04:52+00:00,351.38,343.69,,,,343.98,337.34,337.30,L7
2007-07-15 22:04:24+00:00,,377.38,356.43,339.18,348.25,352.22,350.71,357.54,L7
2007-08-23 22:10:22+00:00,,,333.18,333.82,327.69,341.92,343.29,346.98,L7
2007-09-01 22:04:07+00:00,343.89,339.03,336.47,340.31,343.91,343.75,338.71,335.91,L7
2007-09-09 22:07:45+00:00,349.82,343.01,334.42,335.17,343.89,347.47,339.56,343.76,L5
2007-09-16 22:13:28+00:00,354.84,353.87,351.75,355.75,356.03,355.52,333.98,330.29,L5
2007-10-02 22:13:18+00:00,349.49,346.21,339.69,340.94,335.36,324.59,327.09,326.46,L5
2007-11-20 22:04:22+00:00,357.78,349.48,346.49,353.41,343.28,,,347.77,L7
2007-12-06 22:04:28+00:00,353.99,349.68,346.71,348.36,341.73,338.86,339.29,336.83,L7
2007-12-22 22:04:56+00:00,349.60,341.30,348.45,341.71,338.96,,,341.62,L7
2008-01-07 22:04:58+00:00,,,340.27,344.08,345.14,345.92,341.49,341.14,L7
2008-02-16 22:04:45+00:00,343.57,336.29,332.89,339.73,338.26,337.51,340.90,343.53,L5
2008-03-11 22:04:44+00:00,338.53,332.77,,,,345.63,341.50,342.01,L7
2008-04-12 22:04:20+00:00,345.48,341.00,328.83,333.50,329.49,334.36,334.18,345.24,L7
2008-04-19 22:10:30+00:00,337.77,332.32,338.06,334.94,,,,,L7
2008-05-14 22:04:12+00:00,341.37,339.41,330.39,351.47,350.19,351.97,351.00,356.74,L7
2008-06-15 22:04:20+00:00,345.32,345.52,343.24,361.18,354.61,341.43,,,L7
2008-06-22 22:10:03+00:00,,,,,,,327.60,327.12,L7
2008-07-08 22:09:51+00:00,,,,,316.29,319.65,,,L7
