dates,nzd0069-0000,nzd0069-0001,nzd0069-0002,nzd0069-0003,nzd0069-0004,nzd0069-0005,nzd0069-0006,nzd0069-0007,nzd0069-0008,nzd0069-0009,nzd0069-0010,nzd0069-0011,nzd0069-0012,nzd0069-0013,nzd0069-0014,nzd0069-0015,nzd0069-0016,nzd0069-0017
1999-07-25 22:04:39+00:00,,,,,232.5889292360024,226.05927134119457,,,,,,,,,,,,
1999-08-26 22:04:44+00:00,290.69182925986536,267.4108305319864,,,,,,,,,,,,,,,,
1999-10-04 22:10:38+00:00,,,,,,,,,,,,102.07641968483829,109.8227548438286,109.51563227097337,110.48490921691383,121.10242263714339,96.56413285164017,105.93242813546524
1999-11-14 22:04:42+00:00,139.81506570379835,112.78092925903589,120.55080545793453,,121.32082796563832,119.30612877561207,111.86433908314943,124.10445872644206,115.93120879074753,113.60684938443156,,,,,,,,
2000-03-28 22:10:07+00:00,128.90476388883914,126.97003046787783,132.18071169005975,128.39050386356624,122.37795301484877,108.4292486158352,110.67680421612343,121.03995255242982,112.86843464521823,110.27818529292051,94.82858834294434,95.88474550112089,103.28596635180897,94.5989916340883,88.96681669777081,91.31276617169199,100.84410139825167,109.29717407128493
2000-04-29 22:10:17+00:00,116.34689891407606,130.15859250845548,132.53584081319477,109.78525998749834,119.11873612266422,112.80220331225036,105.31655142666168,96.60489764415354,95.2369792086126,82.45466412340278,97.01368697698813,94.28425949004964,97.71942438878986,91.04702950800085,94.822878681288,93.47412589957024,100.21961550212536,115.70899327878628
2000-05-31 22:09:54+00:00,125.37221606050572,119.5581789857817,,,,,,,,,,,,,,,107.92187528325232,110.871526195532
2000-06-16 22:09:50+00:00,146.12355054310598,134.08778050007967,,,,,,,,,,,,,,,,123.67553437613282
2000-09-04 22:08:22+00:00,,138.4745136304385,133.53175420763117,118.97289647975268,119.66163898567581,115.42701651452634,121.13786581649518,120.34152112479337,105.70722387908172,88.58907556872633,95.67711125487965,90.26344206040292,105.03185839909783,117.55982188701535,97.33299001875606,118.54287955815893,,161.72299840794258
2000-11-16 22:02:09+00:00,,,,,,,,,,,,,,,,,,
2000-11-23 22:08:18+00:00,,112.21882377627546,119.90863642116926,115.582058943084,119.4241018144177,118.34397133549328,108.24512650293465,,,,,,,,,,109.08911661408794,103.21945484186648
2000-12-18 22:02:14+00:00,,,,,,,,,,,,,,,,,,
2001-02-04 22:02:14+00:00,,,,,,,,,,,,,,,,,,
2001-02-20 22:02:12+00:00,,,,,,,,,,,,,,,,,,
2001-03-08 22:02:09+00:00,,,,,,,,,,,,,,,,,,
2001-05-11 22:01:45+00:00,,104.14816580034076,125.98004556983577,120.15783830883711,127.6636764174986,139.08880961291487,131.2141520046181,131.56091733482415,114.82143932078924,109.82255983356828,107.52434698772248,,,,,,,
2001-05-18 22:07:50+00:00,126.23359641580487,131.47560943070724,128.64352699848766,120.65963149835738,124.7103540089985,128.16580917916883,125.97982575647136,130.41888645546334,130.69587749008912,126.37755011113784,91.71565077605268,103.13911703767198,109.44959650804745,116.57070052736111,111.75907620421472,124.22385461521277,126.16891590308047,123.81891550793277
2001-06-03 22:07:40+00:00,111.39353222977226,104.44287582451123,110.92961397739973,113.63388035502676,128.44808784362513,123.40796335803819,130.28235746545917,120.00422900012794,121.72489353280943,107.3386041252954,93.03388319192041,102.82355376844984,100.40137927662316,,112.499269869844,104.59120497155001,118.09526155155586,119.34820970516729
2001-08-06 22:06:37+00:00,129.13886493021448,132.32802819869877,128.99839875110604,131.1414551876903,154.273930934627,139.32852077971518,134.47589806494977,126.17453287524523,126.54903788729052,124.40256803051714,,,,,156.33918551683917,151.35716275682282,114.99364996342608,111.27314793729235
2001-11-26 22:06:33+00:00,198.15481337157564,195.15046072453868,171.42221889863814,160.19947192172975,139.65203267660544,129.3355050119947,126.30298454767649,136.47753697316094,148.899432587745,148.7248375032012,124.04301445317711,130.8464097752483,121.48270755234152,128.09341664396442,135.368763229218,148.63876659134775,126.17105348326794,135.64532130105678
