dates,satname,nzd0069-0000,nzd0069-0001,nzd0069-0002,nzd0069-0003,nzd0069-0004,nzd0069-0005,nzd0069-0006,nzd0069-0007,nzd0069-0008,nzd0069-0009,nzd0069-0010,nzd0069-0011,nzd0069-0012,nzd0069-0013,nzd0069-0014,nzd0069-0015,nzd0069-0016,nzd0069-0017
1999-07-25 22:04:39+00:00,L7,518.71,,582.72,,,,,,,,,,,,,,,
1999-08-26 22:04:44+00:00,L7,235.86,236.00,251.48,235.32,244.71,229.17,246.85,225.60,240.24,226.03,206.31,219.44,233.98,222.66,,,,
1999-10-04 22:10:38+00:00,L7,,,,,,,,,,,310.09,308.19,312.36,318.14,319.36,324.00,306.27,307.04
1999-11-14 22:04:42+00:00,L7,345.90,,318.84,,,314.65,307.00,308.89,312.57,308.39,,,,,,,,
2000-03-28 22:10:31+00:00,L7,353.09,330.21,331.83,328.84,322.07,314.65,316.05,323.28,319.92,314.09,305.15,303.70,307.51,300.97,297.55,295.55,305.31,310.74
2000-04-29 22:10:17+00:00,L7,318.37,,324.33,294.54,313.96,312.37,304.99,295.23,292.69,,,291.12,291.25,286.70,293.44,284.33,296.20,309.51
2000-05-31 22:09:54+00:00,L7,268.17,,264.27,,,267.75,257.62,243.48,250.83,235.88,233.92,250.46,250.37,239.23,251.93,247.03,248.12,270.36
2000-06-16 22:09:26+00:00,L7,289.35,291.68,248.30,278.41,271.72,272.40,256.45,248.19,253.79,241.77,239.87,263.33,255.44,248.77,247.29,253.49,254.93,282.54
2000-09-04 22:08:46+00:00,L7,357.70,,344.20,327.65,334.64,329.45,336.23,333.00,319.78,303.23,306.42,304.08,317.86,333.39,310.00,326.49,325.82,372.18
2000-11-16 22:02:09+00:00,L7,,,,,,,,,,,,,,,,,,
2000-11-23 22:08:18+00:00,L7,243.70,271.19,284.94,283.18,276.88,279.91,270.86,245.01,263.02,239.44,,265.59,247.22,234.06,252.40,240.58,267.71,268.60
2000-12-18 22:02:14+00:00,L7,,,300.03,,,,,,,,,,,,,,,
2001-02-04 22:02:14+00:00,L7,,,,,,,246.04,,,,,,,,,,,
2001-02-20 22:02:12+00:00,L7,,,,,,,,,,,,,,,,,,
2001-03-08 22:02:09+00:00,L7,205.10,256.35,257.62,,256.71,249.01,262.02,239.75,,,,,,,,,,
2001-05-11 22:01:45+00:00,L7,448.84,,505.78,,,,,317.06,299.05,294.28,279.69,305.45,,,,,,
2001-05-18 22:07:50+00:00,L7,337.71,337.08,332.81,324.18,330.66,333.61,332.87,333.92,336.00,331.00,295.03,309.10,313.41,321.50,318.60,328.19,331.09,328.73
2001-06-03 22:07:40+00:00,L7,285.35,281.32,288.70,297.51,305.19,300.30,306.07,301.10,299.30,284.71,266.37,279.12,277.56,275.11,288.50,281.63,293.48,294.98
2001-08-06 22:07:01+00:00,L7,274.35,293.56,291.23,297.66,305.86,295.38,286.24,282.21,280.62,,,,,,,,268.53,270.50
2001-11-26 22:06:33+00:00,L7,396.14,383.95,364.98,356.06,337.39,328.30,324.59,332.64,345.35,343.30,319.95,327.20,318.17,322.37,333.84,343.42,323.87,328.74
2001-12-12 22:06:14+00:00,L7,255.18,261.27,269.32,,,,,236.47,249.97,257.58,,,242.55,218.78,227.49,219.16,235.95,247.26
2002-01-06 22:00:31+00:00,L7,427.34,,551.88,,,,,,81.61,132.90,195.59,,,129.61,,,,
2002-01-22 22:00:40+00:00,L7,385.29,378.28,358.62,351.78,347.32,332.68,347.62,358.70,351.81,346.84,340.24,348.97,340.50,347.78,341.68,341.41,332.64,337.72
2002-02-14 22:06:29+00:00,L7,317.01,318.11,311.76,306.53,302.50,297.22,302.15,294.96,297.06,291.68,281.50,282.95,292.18,284.85,283.28,275.68,285.06,281.85
2002-02-23 22:00:43+00:00,L7,349.57,346.97,339.55,336.19,338.74,331.11,334.60,327.54,328.90,328.08,326.21,,,,,,310.57,312.69
2002-03-18 22:06:22+00:00,L7,314.77,315.31,305.31,301.66,302.67,299.17,305.33,294.64,297.29,291.38,281.72,292.88,300.20,295.48,288.19,282.86,293.89,290.69
2002-04-12 22:00:37+00:00,L7,291.76,230.26,270.37,281.69,283.59,289.44,299.66,275.39,,,,,,,,,,
2002-05-14 22:00:31+00:00,L7,,,,,,,,,,,107.60,178.94,,,122.28,162.85,,
2002-05-21 22:06:41+00:00,L7,354.23,345.54,335.94,328.21,346.48,354.31,340.91,342.08,330.47,345.90,321.36,327.47,334.73,337.49,327.84,332.27,330.35,344.50
2002-05-30 22:00:25+00:00,L7,343.75,,465.94,,,,424.80,,,,,,,,,,,
2002-06-15 22:00:19+00:00,L7,367.32,402.94,374.13,344.95,,,,,,,,,,,,,,
2002-07-01 22:00:15+00:00,L7,309.92,309.07,309.73,314.11,,,,,113.94,131.16,114.25,,,,,,,
2002-07-17 22:00:08+00:00,L7,374.74,349.51,339.24,376.62,374.45,382.38,,,,,,,,,,,,
2002-08-02 22:00:01+00:00,L7,353.74,125.04,165.17,,,,,,,,,,,,,,,
2002-09-03 21:59:48+00:00,L7,,,442.55,,,217.08,,,286.20,300.94,303.00,357.31,,,,,,
2002-10-28 22:05:22+00:00,L7,307.11,296.56,291.96,287.74,292.23,293.18,316.64,315.45,307.74,304.00,295.52,295.24,294.34,294.01,288.73,290.69,295.34,306.74
2002-11-06 21:59:41+00:00,L7,195.40,201.97,,,,,,,,,,,,127.39,168.17,183.07,202.95,218.94
2002-12-08 22:00:03+00:00,L7,286.02,282.02,279.65,282.57,295.05,295.33,285.03,277.72,282.34,270.37,255.20,269.27,267.28,266.01,270.15,264.03,274.59,280.71
2002-12-31 22:06:20+00:00,L7,259.13,262.68,276.75,269.85,272.13,282.78,272.80,256.37,260.18,238.06,228.58,242.65,230.17,231.60,249.25,244.95,255.40,
2003-01-16 22:06:26+00:00,L7,276.58,280.75,285.91,279.65,287.89,299.48,289.02,282.48,289.23,272.42,255.52,259.00,256.86,254.89,264.61,258.10,267.26,270.89
2003-01-25 22:00:18+00:00,L7,,,124.59,,,,,,,,,,,,,,,
2003-02-10 22:00:29+00:00,L7,335.65,322.05,324.27,324.86,322.56,321.93,322.84,323.23,319.65,300.40,288.35,290.55,,276.00,286.55,287.37,297.35,321.50
2003-02-26 22:00:28+00:00,L7,510.99,153.19,188.83,233.20,242.36,,,,,,,,,,,,,
2003-04-15 22:00:34+00:00,L7,394.57,,524.23,242.67,277.40,308.52,,,,,,,,,,,,
2003-04-22 22:06:19+00:00,L7,349.59,325.35,326.60,326.45,335.55,324.23,328.24,306.19,289.65,296.74,300.87,300.24,285.52,273.01,284.80,289.65,317.15,327.98
2003-05-24 22:06:17+00:00,L7,359.19,341.65,353.73,353.35,359.84,332.53,348.35,353.08,333.81,330.57,324.16,311.34,310.37,315.91,311.34,320.74,313.14,333.16
2003-07-28 21:48:28+00:00,L5,242.32,256.16,267.36,265.58,255.80,260.09,248.07,236.97,251.98,246.22,228.29,194.21,236.98,225.38,231.52,231.50,243.74,247.47
2003-08-04 21:54:47+00:00,L5,330.18,321.98,347.57,349.94,340.24,295.27,287.95,280.91,280.19,274.28,298.75,282.98,311.50,317.42,315.78,280.20,276.69,273.74
2003-11-09 22:00:18+00:00,L7,,,268.46,264.73,260.30,260.46,259.48,239.65,247.47,237.76,236.47,212.49,,,,,,
2004-03-23 22:07:16+00:00,L7,,,,,250.20,241.84,247.84,225.97,235.14,238.18,,192.27,223.59,212.74,212.68,205.05,219.72,230.00
2004-04-08 22:07:13+00:00,L7,230.98,242.54,249.46,245.56,243.65,231.46,237.91,,,,,,225.56,221.26,216.45,220.68,239.78,242.17
2004-04-16 21:57:43+00:00,L5,271.83,272.58,274.22,277.48,271.52,270.92,273.63,266.68,269.87,268.07,,,198.49,248.18,250.39,254.07,266.29,272.90
2004-05-03 22:00:59+00:00,L7,225.66,255.71,256.93,253.95,248.70,232.89,,124.98,161.10,,,,,,,,,
2004-05-18 21:58:38+00:00,L5,,,,,,265.18,,,,,,223.75,237.50,223.93,220.07,226.83,239.59,238.36
2004-05-26 22:07:09+00:00,L7,489.61,361.53,370.61,368.25,371.22,385.36,383.06,371.50,,,,,346.08,347.33,345.27,,,365.32
2004-06-03 21:58:42+00:00,L5,,,282.46,,,,,,,,,,,,,,,
2004-06-04 22:00:55+00:00,L7,,382.00,531.31,,,,,,,,,,,,,,,
2004-06-11 22:07:02+00:00,L7,,303.96,313.67,311.30,341.35,353.27,343.20,345.53,345.48,300.71,318.08,,297.81,330.89,327.49,,306.04,
2004-07-06 22:00:48+00:00,L7,,,,,,,,,,,,,,,,,,
2004-07-13 22:06:58+00:00,L7,297.20,,,,,,313.23,307.66,295.46,280.53,265.80,261.24,264.47,268.58,273.44,277.76,280.00,286.88
2004-07-29 22:06:27+00:00,L7,253.98,257.99,254.26,,,,,260.74,260.31,240.35,224.85,216.24,232.52,230.51,240.45,241.22,249.18,249.94
2004-10-18 21:56:23+00:00,L5,308.53,293.88,289.45,289.12,305.75,306.48,306.49,297.17,287.68,276.34,265.20,,,,,,,
2004-11-19 21:56:55+00:00,L5,359.31,336.44,336.22,337.47,354.51,,,,,,,,,,,,,307.04
2005-01-13 22:04:05+00:00,L5,326.32,312.32,298.38,291.19,296.60,293.79,295.62,288.99,273.54,266.33,255.53,250.26,256.64,257.53,264.76,263.87,268.82,280.09
2005-01-14 22:01:13+00:00,L7,325.09,,,,,,,,,,266.14,255.30,265.41,259.84,260.13,,,
2005-01-21 22:07:23+00:00,L7,321.61,309.35,,,,,,296.65,296.22,267.60,263.69,250.98,263.08,260.50,273.50,262.93,273.70,275.75
2005-01-22 21:58:02+00:00,L5,308.04,297.49,291.37,281.03,277.95,291.01,294.95,281.00,285.87,255.85,259.68,241.98,260.38,249.48,,,,
2005-02-07 21:58:15+00:00,L5,281.85,284.83,263.12,258.46,248.57,261.63,266.60,249.81,245.72,218.68,221.77,213.50,242.96,232.49,252.73,236.79,248.40,243.98
2005-02-15 22:01:25+00:00,L7,,317.07,306.61,301.54,314.66,329.70,351.46,350.80,312.16,292.67,,,,,,,,
2005-02-23 21:58:31+00:00,L5,279.74,281.45,273.32,271.29,257.11,267.00,275.98,264.26,265.78,223.43,235.89,223.78,237.37,228.52,253.20,230.75,243.58,242.65
2005-03-03 22:01:30+00:00,L7,357.52,333.00,322.07,305.36,329.55,333.69,336.20,357.92,,,,,,,,,286.32,294.82
2005-03-11 21:58:44+00:00,L5,,,,,,,,,,,207.23,176.09,219.67,210.20,232.54,224.58,227.51,221.65
2005-03-18 22:04:58+00:00,L5,359.99,330.97,314.10,299.37,303.33,320.57,327.62,339.38,334.15,315.96,309.21,297.66,293.42,298.36,297.03,296.55,294.61,295.53
2005-04-03 22:04:40+00:00,L5,365.88,341.26,328.51,314.23,309.29,307.79,326.35,342.79,320.27,305.39,300.78,287.50,283.22,304.89,293.24,297.73,291.93,296.72
2005-04-19 22:05:07+00:00,L5,348.79,341.60,328.57,321.35,318.91,320.20,314.77,317.55,315.60,300.25,288.79,271.95,275.21,276.24,286.44,290.58,291.37,295.81
2005-06-06 22:05:29+00:00,L5,283.08,285.07,273.48,264.75,252.76,237.28,252.83,247.73,244.69,242.46,236.93,206.71,228.59,210.87,212.26,222.86,227.02,242.07
2005-06-14 22:07:26+00:00,L7,,,,316.96,341.98,352.53,351.46,346.82,347.20,332.64,297.55,315.44,301.10,327.28,329.35,318.55,302.39,
2005-08-10 22:01:10+00:00,L7,,,,,,,,,,,,,,,,,,
2005-08-25 22:06:05+00:00,L5,319.74,308.64,308.56,303.65,307.01,293.01,286.38,281.57,273.14,265.78,266.01,265.05,269.08,269.49,269.10,264.20,270.11,289.22
2005-09-02 22:06:46+00:00,L7,253.47,263.38,,,,,250.63,236.72,230.62,248.02,223.09,216.83,241.55,228.06,243.30,239.69,228.12,237.81
2005-09-03 21:59:56+00:00,L5,260.94,275.72,270.24,271.63,264.14,247.50,261.85,252.62,241.68,254.94,242.03,227.08,248.95,224.66,245.44,236.21,242.22,251.43
2005-09-18 22:07:03+00:00,L7,203.97,224.04,227.56,,,,,216.77,209.17,197.35,,147.00,,249.39,236.31,196.80,193.74,200.27
2005-09-27 22:00:53+00:00,L7,,,,,,,,,,,,,,,,,,
2005-11-14 22:01:17+00:00,L7,257.36,264.85,271.66,,,,,,,,,231.01,241.02,231.27,243.44,236.63,245.67,248.75
2005-11-21 22:07:07+00:00,L7,275.46,275.29,281.16,274.73,272.78,258.61,259.79,,,,,,254.13,244.62,262.30,256.43,260.92,263.39
2005-11-22 22:00:23+00:00,L5,307.90,310.54,310.36,304.83,300.42,288.85,292.54,296.58,301.63,291.42,286.32,284.10,288.87,279.73,289.10,289.36,297.54,307.40
2005-11-30 22:01:24+00:00,L7,248.72,257.84,268.02,265.43,259.02,244.82,,,,,,,,,,231.54,243.17,242.17
2005-12-16 22:01:26+00:00,L7,,,,,,,,,,,,,,,,,,
2006-02-17 22:08:11+00:00,L5,277.06,271.88,283.43,281.20,272.17,269.77,279.88,,,,,,,,,,,256.12
2006-02-18 22:01:53+00:00,L7,294.96,294.47,300.97,289.63,288.85,,,,,,,,,,,269.07,272.86,279.84
2006-03-22 22:01:54+00:00,L7,,,,,,,,,,,,,,,,,,
2006-04-06 22:09:32+00:00,L5,315.27,311.22,317.55,317.63,323.55,317.15,310.70,313.77,309.46,309.43,306.70,299.05,292.66,299.38,301.91,308.53,309.35,304.32
2006-04-15 22:03:30+00:00,L5,241.47,253.18,265.92,256.13,245.22,232.48,240.62,222.43,223.24,244.08,,181.76,229.48,208.40,236.32,225.59,222.32,227.54
