,dates,per0081-0000,per0081-0001,per0081-0002,per0081-0003,per0081-0004,per0081-0005,per0081-0006,per0081-0007,per0081-0008,per0081-0009,per0081-0010,per0081-0011,per0081-0012,per0081-0013,per0081-0014,per0081-0015,per0081-0016,per0081-0017,per0081-0018,per0081-0019,per0081-0020,per0081-0021,per0081-0022,per0081-0023,per0081-0024,per0081-0025,per0081-0026,per0081-0027,per0081-0028,per0081-0029,per0081-0030,per0081-0031,per0081-0032,per0081-0033,per0081-0034,per0081-0035,per0081-0036,per0081-0037,per0081-0038,per0081-0039,per0081-0040,per0081-0041,per0081-0042,per0081-0043,per0081-0044,per0081-0045,per0081-0046,per0081-0047,per0081-0048,per0081-0049,per0081-0050,per0081-0051,per0081-0052,per0081-0053,per0081-0054,per0081-0055,per0081-0056,per0081-0057,per0081-0058,per0081-0059,per0081-0060,per0081-0061,per0081-0062,per0081-0063,per0081-0064,per0081-0065,per0081-0066,per0081-0067,per0081-0068,per0081-0069,per0081-0070,per0081-0071,per0081-0072,per0081-0073,per0081-0074,per0081-0075,per0081-0076,per0081-0077,per0081-0078,per0081-0079,per0081-0080,per0081-0081,per0081-0082,per0081-0083,per0081-0084,per0081-0085,per0081-0086,per0081-0087
0,1985-01-24 14:52:53+00:00,237.87998090644794,230.96588584422483,230.12648425958497,234.96288006563935,235.22233648373202,240.73495981033494,245.9365248957932,250.3262575100499,246.49751816811218,244.56627293335993,253.2288257528435,252.31783864609918,268.24600008848165,273.95891823958385,289.16566975201624,298.14790960890724,321.6825565009208,328.04850515127237,329.7247969879577,343.1618485412765,355.7939929913165,361.2236914647445,347.6758337869813,328.6333376362428,325.3707308107374,315.8596483630348,287.39104956347563,266.2057941817453,258.44123831599666,252.87823922096402,252.52219997362258,265.08177823795296,281.59064132518085,319.5104843408239,,,,,,229.04329146027032,223.43585853207168,206.5347062518179,183.95095655184684,154.8220130094238,155.13486895094283,154.14855604929988,168.45448088549725,173.476408901223,189.90281058254112,,,,217.99305035437982,214.2474975679034,200.75639344359305,182.4576286558318,166.41288973341716,171.44186546260636,182.73603969830387,204.0488228384683,204.12163003258362,210.39043360777157,210.00073513577195,215.54571059059202,223.27101434104432,221.6275103120003,214.57293381967787,207.87511099028927,208.127609536301,198.86440707871668,194.25756987414127,194.368547059734,193.25248159581537,192.95628635257907,194.2775729612335,199.18975717768777,205.72219740519478,208.061096309132,216.825792830645,229.22276880842114,238.90191252017064,240.37706880997064,239.45383714749792,235.85159521171943,234.64831130865863,232.64911922315054,236.3556051689383,232.9580678461046
1,1986-03-16 14:48:34+00:00,216.40529731208983,215.64049460295033,222.47774364979682,226.3988247343582,228.9628650892104,236.7553464876222,235.80706283649275,236.82238161623422,222.705643960015,219.98588080747555,231.35197838986315,237.43113159659597,250.24586075914067,262.5356246812845,279.743680625992,291.4643522857473,316.1051761822865,324.55184720601903,331.8922592790562,337.77545348741353,333.78570528671935,333.74295424159595,319.4093996529299,312.46297940890713,320.56902240072174,303.63603512882383,272.48529470061953,248.76783883231752,229.20966842781473,232.74285259685252,234.29991911739268,253.83750305083143,262.5820528643792,288.9557806257845,,,228.3984786475949,209.27853695468312,,195.62037661810982,196.30675035526767,198.11840245891403,185.77229117514662,163.5239983281503,158.85620604162727,154.39946261831568,147.95148345508773,153.66325821558945,153.32902805869432,153.48909361493074,162.69770932707655,171.1074633386066,178.46161596888987,180.03410764238546,181.7618118036101,164.50081165840265,159.7269407633245,171.15104392888918,175.8434330018557,189.76999073473417,192.50831390209188,192.65552552759115,196.51211615648475,197.5232271388277,205.06191247281453,214.9600400428397,208.00855781625478,205.8106579130831,201.78253550684852,191.9129371847352,192.3608282334758,194.7374098517759,193.7040257561385,191.23065424345543,190.232192663974,194.90052377770905,194.62110371096634,201.58038570965036,210.63163685176642,215.5185695192077,225.96048125045968,233.55243691243544,237.59996366218223,236.62314064495553,228.5831067184401,218.98224059492054,218.1980441370841,211.46242062845442
2,1986-05-03 14:47:30+00:00,188.48141568973597,214.5181215141274,224.75605842688174,220.45230017037053,220.76918072168723,234.75947864844184,234.60310712774682,229.8841866899727,226.8676149928857,219.65355151852918,227.63230143328056,220.6556383875858,,,,,,,,,,,,,,,,,218.99617361074957,210.61796056121966,209.52116109248996,,,,,,,,141.74809810301502,,179.34977144272807,189.2718577017485,174.9544736104227,156.1694693468542,145.86135000013792,139.69291825604267,112.72467689412011,100.09260426374044,,,,,,,,131.63301509309582,120.38472650973554,,,,,177.0321684268158,179.90966184161056,184.90861838823903,191.36128951099258,183.66429095536873,175.82940933545004,172.61925802038996,169.06679173281725,170.76443128272214,168.31384059841764,170.01659718351397,171.1614024649174,167.17929407168123,172.80993008443278,171.45913325163806,176.233656072806,170.2155142353173,181.69653386320255,182.9441218944088,193.68373848385676,202.32690591534595,195.6705824740359,202.43738901339302,206.93990407113813,211.6558217302916,210.08425056777952,207.41765835621183
3,1986-09-08 14:43:16+00:00,204.85891494599494,216.7044085832278,220.70803096773037,221.58122528018276,225.78523200874346,237.554705010999,238.36011173577407,240.2287342850542,232.91511104960554,219.51631009242737,217.18136719865947,222.0394265539959,221.8946457254089,235.71855158507304,246.7584851847679,263.0644713407356,290.58995603237935,291.2293210638701,285.62800341889715,308.63714193918344,316.6143766456397,319.6463138006036,315.08773087913454,298.64686802694183,289.45207569438116,273.3759033368466,265.00630333746295,253.40812678466918,236.1587013932652,226.00108792820743,212.32574751232352,,,,,227.68838292437556,207.43186107010501,189.3028067477125,179.3816323175045,179.68298426607043,192.91285241271757,189.1942567015172,184.6996688948509,162.15715117958553,151.80341671359068,140.8747789695562,129.2060907389099,116.11916498694664,109.71122390366223,114.23313680160155,128.38014283423325,140.47871458638525,158.5726522351347,166.62682793636552,161.81900425093266,143.20998662887362,134.69415240425994,,,150.73825860775207,162.1063824024596,164.69764527331597,170.22266834391635,170.95912969131183,179.48857251365695,182.334652179793,183.69713867808363,178.71470077023895,176.6920412575236,173.07772193342205,171.50954809752554,166.7059638166577,169.3239039217982,173.38975738708564,175.4686157627745,172.3989980081622,173.96393686623315,173.91315255487171,173.8125464658158,185.41837461735062,197.2975670281928,204.69726968783215,212.5000717801338,210.5988306978382,213.56643726946382,214.5972595093874,218.3397006908109,219.1747272383338
4,1987-04-04 14:45:05+00:00,199.04575093461875,213.02012319698463,219.62453798857007,214.25818986637478,216.37257801808266,234.15315572221994,233.77575726200791,231.50908698749348,232.3161921933181,228.02306555288058,229.11455675952755,227.38765622951288,229.6351966243528,240.44237045464246,246.14312664865454,255.6981361708307,271.5816221572661,273.9544599541496,276.53942186243023,288.46414626162334,302.27676224931827,305.9667911198666,302.29433524895046,296.5979293264196,304.40683636061516,288.2053478799247,267.6335072425196,255.59768157716712,244.58890917067023,239.82721834584927,244.434280865566,257.9589592496814,271.33755323353796,293.07314111380333,,263.69081814637246,239.18700745316843,212.70650488945526,204.22820776714383,204.00588976799713,205.84796386192812,203.8656482517158,186.41840297243317,172.93024772659084,163.4764629856691,147.57560623381903,132.95168238992298,128.3521218433515,127.1504781124862,126.2937815227254,142.28673212923837,158.2477524615386,174.68644456832712,192.18485802022266,196.33545378681077,188.4474427270026,182.24189560538653,185.1540675848615,192.92684446058843,212.9219976261818,,211.9889179151059,205.47152153790057,196.02847524938494,206.36259026684723,209.1734369063425,208.0962221944391,204.38659057657136,198.70052550044406,188.3329633666242,186.77419036617252,187.6563032990746,187.5062144726092,188.40590778797826,189.84093439308842,193.58830818526468,196.34604304667204,201.02670912076474,207.44892579363312,214.43328716261706,221.70967820527136,231.88560807870044,246.7309131501819,248.98568614031407,239.22661148948325,228.94285246480388,217.45798490265025,218.15412173546198
5,1987-06-23 14:47:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,264.84727084331826,251.53984001650633,237.50016420726396,223.24279262783807,213.5596179763264,208.12102103823128,223.8030032189737,239.57354083911213,259.04791591167583,244.32226255743703,,,,,,,,,,198.17197452145035,181.7133012736989,,,,,,,,,188.2383088842629,165.2289168185412,,,,,,,,192.48562684319006,196.60128042934303,198.23317962645768,200.4274858633112,214.27467219458532,228.18549433217214,184.74722798201867,188.33910919020215,227.8881370475873,191.52451912813717,187.4302780654392,182.47220492754653,180.19253045924955,201.06030488969412,,,,211.9063077262466,223.3028469744961,227.10951970051417,219.18989932013596,221.0991232043146,217.16659402083656,212.13773573442367,207.8759067797365
6,1987-07-25 14:47:55+00:00,198.63140546110066,,,,,227.59865402968987,231.870452367479,233.9863230820353,230.986547094348,226.10958744158089,235.5910944325119,235.19290247902754,232.9164852731941,236.47793889404483,251.01913882927414,262.6708929337648,279.73137300161545,280.0397029677989,284.3064044348479,302.4723509155755,332.28519628498987,,,323.20686879552386,314.72531314939806,,257.8405593344974,239.26178891116064,223.26615305119265,209.11652421989365,211.72673829419017,223.06035542752582,243.12957556792077,259.3065086119368,254.89444870369127,240.05726382573195,219.02541579376827,201.2661159102555,202.0802156378972,208.20442508816498,215.56872708871532,221.88601513850182,216.47833242598966,193.87201929491218,180.89862217882649,173.39262482725127,161.55081208007084,146.6104866605032,133.85757739305,139.51086872028839,141.04119846889245,156.18185445260002,173.14236651998561,183.02545960410953,184.0911027128138,160.7463135082855,152.0070084517246,153.6456143738966,161.96754349222576,178.8127500393453,175.1795994185988,175.3474791359129,185.44737494473435,199.56809603577372,205.85813786771888,213.00941927311356,208.93783295606073,205.48912534657094,207.71917406074115,202.46509608995095,199.21225517053557,198.67509274920485,195.7351556014861,199.26606385623597,198.9064227359857,202.0363977083067,204.524789940953,206.69406418362433,212.52953499486995,216.73514417867295,224.61146800639156,230.77214907487516,232.40691315322118,230.51835050540717,228.89144171117226,226.99955473057355,222.21273847219027,218.15086210953905
7,1987-09-11 14:49:16+00:00,192.18273024668025,202.91641943966505,207.68971205010683,217.27346149617102,220.4528812331394,231.34717253025994,231.92173159976977,230.68973430932857,225.3330519007042,218.73242135982014,227.94346240613103,242.22791053227814,236.15110152825457,233.02219353968152,233.76599746073953,230.68424604402742,254.6961818300164,258.3780751748428,275.0244123481158,280.5751113172581,276.8194481448365,282.9244051073986,270.85535753062084,247.97738570702174,249.3180032823023,237.19825123329798,230.12619331001895,207.67866025322465,204.17053480899344,194.58257295732645,198.62714506505372,204.60865911215097,217.26248283869057,244.05941482503482,239.56568333954496,231.62190740842573,215.51197312168765,187.61029621600278,167.8577572281107,166.91547134065286,177.23063818913604,173.0103584840293,165.9830160135955,151.77108797534106,148.12764927347504,144.11586923162386,144.39853192856276,137.08153221221403,126.39825784825732,134.472543999781,144.9663501124711,147.09917430898827,157.8450181636234,158.19753069997338,149.81038644669397,128.16083888961265,124.66796540679864,114.96802505055783,125.61837996397198,146.26583601571915,149.9287077385527,155.8911053293346,164.8615973936376,175.16820826007802,179.70005246184905,187.82087638971257,187.7347893014147,184.75236332769703,178.47153702107315,182.31539088253788,176.73470008338433,176.00772329410822,174.64151815780883,180.22820613121573,180.45727847891283,176.2426833965605,172.45543190441322,175.17833582096227,182.45806676922402,180.35536672729393,188.02245380590352,200.53198374711218,202.9647258042466,204.47499841309343,206.95056788390323,212.59319767515768,210.27161968745662,206.31454096973354
8,1987-09-27 14:49:38+00:00,203.81588472920555,212.14244509304913,214.23227442538416,226.0776683700941,231.60807268480286,247.27340282748713,248.98175146969746,236.31530559825117,230.25896497755144,225.69583408619798,231.3827276628272,245.29758479424217,248.0114775118141,235.63159897107045,242.02078689295706,251.4161219267802,264.5694696470616,272.5786359181488,283.8757847175175,284.8506085799031,288.9210472080796,293.57730800838794,278.5671711452615,263.6771298062449,261.7848922182544,250.6945597528874,228.45857734698404,216.97217382665923,209.39725939599165,205.76169003045794,209.85618151481373,221.11566025325396,240.89795938396608,266.83086737343154,258.4138293179623,258.83667343564656,237.71102313500623,210.51795127421798,184.99148165899402,186.24441724968798,193.85351964183747,190.18136388971513,176.57543177726453,164.58639582595222,163.02440223361822,157.07921112454835,156.7354285197342,144.8894408573851,140.7103381616006,145.28663109086904,158.15722932838173,169.79575026140418,183.56444746763802,184.83322754460306,166.63824989094985,157.4123044713698,132.86183843776683,126.78223119505932,135.3815678360308,158.5786598884052,161.11099239536742,170.98239355299503,176.41958303969224,181.2267479481561,191.0467226761254,201.01664811004753,196.03536804145293,192.08392037868003,189.39015222139625,192.73216353338057,189.09169441411575,189.55100660052545,189.81409904301677,189.20815413217008,186.20672963362344,190.39985075843353,190.81845873859635,190.9760342362544,190.08758761447137,196.5898348134013,199.43390765118872,210.33335554659152,217.00663525239167,216.26489975801076,214.1109516380985,220.04913776911323,214.4453866385702,213.5167997487401
9,1987-10-13 14:49:57+00:00,199.21852582485724,205.7618900298334,210.17571037704997,222.10735279306067,222.32866700425745,235.47574410830586,257.763498320114,270.2910509810514,264.97314575280086,240.0784512884834,231.38274762768708,242.6507123487741,245.0008556873371,241.1625991200586,243.92413519929528,234.922346060113,237.31023077096157,257.7300599905567,,,,268.7944983396373,274.8406296739842,253.70271231957162,,241.90654101521588,228.714031530179,213.34894235880785,208.6171186464885,205.45922970975258,216.07273740325027,229.15406567053358,247.33393284217695,274.06528512629615,272.45075538126827,259.6634676049659,236.45172409663815,211.21114410275283,202.96031730650617,198.92330404074625,207.9837245281563,206.86467029381797,196.4363282589256,172.6218491755586,170.92013341639571,159.33300383684048,154.23790661483622,153.12708141665846,152.6695171116868,146.93399991829466,159.57926824115614,165.3632935320486,174.4624912801914,181.465269732973,181.7892750186346,150.15756050027684,136.79286301925222,138.11442098382543,148.76853330486222,160.2533935413245,172.43625255065226,183.54602416613778,191.79983777525163,189.9527229995673,194.75180447113945,198.57915875468296,198.1161854494717,204.54719740754706,196.5577701968141,196.95374689936853,197.19818939713073,191.88667356713637,190.48709655733992,193.0260230206444,187.90181870060508,189.2242187946892,186.10593995116807,188.42843942345706,200.94569521861365,200.48205765440346,211.18435355082863,212.71725729757344,216.20674770247513,220.33184670324894,227.1318249632858,226.2655230739648,222.06082492474198,213.50412906041765
