,dates,per0010-0000,per0010-0001,per0010-0002,per0010-0003,per0010-0004,per0010-0005,per0010-0006,per0010-0007,per0010-0008,per0010-0009,per0010-0010,per0010-0011,per0010-0012,per0010-0013,per0010-0014,per0010-0015,per0010-0016,per0010-0017,per0010-0018,per0010-0019,per0010-0020,per0010-0021,per0010-0022,per0010-0023,per0010-0024,per0010-0025,per0010-0026,per0010-0027,per0010-0028,per0010-0029,per0010-0030,per0010-0031,per0010-0032,per0010-0033,per0010-0034,per0010-0035,per0010-0036,per0010-0037,per0010-0038,per0010-0039,per0010-0040,per0010-0041,per0010-0042,per0010-0043,per0010-0044,per0010-0045,per0010-0046,per0010-0047,per0010-0048,per0010-0049,per0010-0050,per0010-0051,per0010-0052,per0010-0053,per0010-0054,per0010-0055,per0010-0056,per0010-0057,per0010-0058,per0010-0059,per0010-0060,per0010-0061,per0010-0062,per0010-0063,per0010-0064,per0010-0065,per0010-0066,per0010-0067,per0010-0068,per0010-0069,per0010-0070,per0010-0071,per0010-0072,per0010-0073,per0010-0074,per0010-0075,per0010-0076,per0010-0077,per0010-0078,per0010-0079,per0010-0080,per0010-0081,per0010-0082,per0010-0083,per0010-0084,per0010-0085
0,1985-03-27 15:04:03+00:00,199.44410468119537,200.70882284008147,203.25995684752573,200.52764944625423,200.57565533120413,200.0346168665556,197.73720160353832,198.00573483200566,195.8200245385683,203.3591942925768,211.08495929121204,210.37629123672417,210.1173964567692,216.64070196033003,205.69005517880962,215.43431321649487,215.71599019371035,201.73489686762073,188.96590019616966,191.23272299977643,193.7144111891821,201.25350880307505,204.56516730681975,198.14576795677968,192.0948086575131,180.21938408216786,179.07563970498234,185.68653093077987,194.8168420266501,206.56755161327925,206.94967101698677,207.24091430998942,201.53585836701683,194.74697882298744,209.2110984750578,196.31489858102248,184.09815102462937,188.47529898517325,204.8541176335018,220.61745355747945,217.80520594281353,217.19394669838698,218.76339842525869,209.15565820724174,209.72630852920943,216.8045847169938,216.29829566119625,214.83435087311838,213.30463222555653,214.3986917737154,210.26592610191295,202.25553969299293,203.70535793975174,201.0430327924991,208.67745310967575,217.30407373885456,227.49195514200233,244.55345389755658,248.09771423386874,249.6746384654829,232.42374226226968,226.09232591783967,225.05698005091682,225.97328435221357,244.83470595105,282.2375493879915,282.19650431969774,281.5043493484498,281.8644913338448,264.97491705470253,245.4332655459874,236.45832886432035,227.61155945773154,222.694745388201,220.0043586134361,208.21853195001614,204.80263325560804,211.9427450129496,217.69333999010644,229.13197726171467,254.28661415333093,247.12214592882543,251.46969192707877,259.4645004218211,238.6413713457623,218.61610524499977
1,1985-09-03 15:03:06+00:00,206.06952886198954,203.98387983187595,205.64532037712317,212.7391422698897,207.08597647078574,207.70389719198522,203.5603126795064,201.61946532037106,201.81748270646722,208.28189974857966,221.35750216630927,226.81260040753455,221.08391319828462,214.70296016352353,206.9574276797044,216.91301248072565,214.2335249427175,203.2264807579158,198.18030207425048,197.50455810392307,199.96940526954356,203.7176546106411,206.71272345921398,198.1822286498558,183.46778425226208,178.93444394230866,184.8856697010196,188.01599800243523,182.3995340860425,197.7554444668343,202.28706798545113,208.34837085728185,203.43343899147038,204.34688706502814,216.40039468849426,201.8257928358063,185.34997726297067,190.05994230374824,201.68027689075427,218.31297716243634,219.48839910816199,222.3681647238296,214.19550392936532,206.536391378838,200.02963497011004,203.91255066536164,202.4032351017668,209.40530013164914,221.70328563816196,220.37503176086443,220.64244146479945,238.50749411432363,217.30538011676978,219.45767709050156,213.0972637300569,221.82915505159443,231.1438578040921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1985-12-08 15:01:45+00:00,199.1917651087403,200.6493217515911,200.3611812053645,204.23170754708536,205.46143186282603,204.9490234606916,204.6614292739076,196.7742872513932,195.15933543812656,199.37106571829554,206.98324060979596,214.43595181921773,210.3517642099605,204.44743378012416,204.60898700048355,214.75575684263734,216.98304847705444,199.0174197742167,193.93981864420846,192.68497584249658,202.0612291555163,208.59805649238152,208.82262176369787,200.91685659289072,187.37487217300895,183.53323552536241,182.8883397740403,188.35283536902935,185.7033010630545,197.18011403264612,200.52749124426666,206.01175547591555,205.85751746734192,200.53462200965095,213.2656732457306,206.84472422834887,178.44163224208245,181.68742776611754,199.36318942007202,212.87823185647048,222.24755785266888,224.7020551162831,210.13055912577568,207.52189863061966,213.8569769374486,210.07880716475526,210.2840631789413,211.80576512522205,219.05257443103162,217.63549192975805,210.51611867576676,202.11308597215407,200.2410664129891,202.1259380569616,202.6505441671427,214.03375970217215,224.97821693184477,240.68349547458783,244.51832220978096,246.9474038549,234.45338080168668,230.0314081117502,231.74875786806257,230.609984313157,237.79313106647203,267.94832705201287,261.88846380013433,268.8080275794788,269.51576082084273,255.56582586442045,239.20946085644619,223.09201811864082,212.4708524036657,204.37175750612508,203.91970469230432,196.21456836361457,197.46993574131528,218.5819577693712,218.49469786185702,228.31641024404453,247.8278921695674,245.68381081885536,242.8334906168599,253.51755842290913,238.55113534294077,219.61723555118823
3,1986-03-14 14:59:46+00:00,195.02804528430164,200.40798892693277,205.5990760019346,207.94337218077686,204.5421404413965,204.68000029866852,201.971669338878,192.93658189385738,196.3836401069305,204.83770141591302,219.1773863617173,214.79206626056728,215.89569391094196,213.9316533853481,208.76416757924542,218.03640706680224,215.53980529803493,209.59260226064947,204.39079069649213,196.0202824552687,200.93833241696785,207.05511143270493,208.12903636836336,200.85782813139065,191.8240543282335,184.94131787062742,183.28816298464668,186.7777821555199,199.24709626728045,212.66750145545424,208.25754440200643,205.05237418856169,205.75528060797922,202.99630090537653,213.0720839193851,208.35510572831913,179.81621268602126,185.51266745438505,202.7621772825058,218.68576711650135,226.33934196136332,227.18498047144632,221.17139334986035,218.33885598170454,219.11836349575634,206.46780363334366,211.69291520232534,221.12463880052107,214.24437262570558,213.21868254519828,207.66997994168761,202.5701738995111,200.9739729359705,199.01211491504475,198.14052970896907,214.95215352818047,227.8189225958529,242.48385438668808,248.5865361107866,255.34036720655234,233.31605735891944,233.65884949722147,231.5401963569089,233.58609282614475,217.81753474947644,239.60118523563688,243.09555416324199,252.3417112897414,260.47379605421986,247.99130761629473,238.1456345392672,230.8534975468135,214.27086376026907,211.84218153155126,207.1226547004128,201.4306288230156,199.52009744605698,209.14002463912396,203.92681220607332,212.61877366127004,244.39580962257196,239.41685010285514,238.40126779568027,252.002330089453,233.04446528213361,214.69745009392986
4,1986-05-17 14:58:17+00:00,190.404954017154,194.28866112973844,199.38952740113868,199.36490857972834,196.50249186688356,199.45483543861337,201.9783429236056,199.7954076688625,192.9798980180526,198.4741923479514,212.2612184105173,214.99942872302594,219.99166970719372,215.18968218930635,206.582305328651,215.91920817314514,212.95718470824178,199.1155773481556,192.28391428790212,198.9294839763178,197.1279897292049,206.16528167219406,212.75782299734558,200.8348921435272,184.674616797984,177.17750308727955,175.43531505666985,183.70780903552625,196.29567420202707,207.1675312916701,201.82682907673401,203.52178303233885,207.60362800657938,208.03871217997101,220.1204928573197,209.5874474438057,191.73886040153528,191.0980443489877,200.35604072363395,216.24157270460358,214.82101245823236,216.85852808952055,221.70213290806947,212.77980263165645,217.01524683486556,215.3830602857657,202.36578226480967,212.05038462830916,218.92507363752154,214.66678661875423,213.45118582198418,206.37215753258772,203.01508595591102,200.91419375024165,196.63150620581857,211.63419459312072,221.10736750861454,235.65456441134046,241.50620856910086,254.4009086551883,241.10718055536174,227.4657131616888,229.63492914445922,226.41096108575016,221.4460647587121,247.86965005442931,256.17549529765085,265.1403831071105,264.17286395734004,257.88333580350843,240.06436624440872,236.5339241892459,230.16100813873828,217.39694628268973,217.23796448830245,208.29212735421766,208.33085467611858,216.27988074503833,213.36855732489,230.86726769158253,251.24303271881524,246.84851270765128,243.7464839074286,259.3064202966583,240.52172351839644,216.29748105419452
5,1986-07-04 14:56:48+00:00,194.36241107078865,194.6031262173816,201.3803639781743,206.58869884917564,206.6629124699714,203.10556258514202,209.07643449847546,199.42720078685528,199.34829447968832,210.12641120275893,224.8956194883064,224.24087212214747,228.89800924628247,225.17447519693636,206.34325833415804,218.07347425335735,215.42265517856194,201.59232362392723,196.57916785123078,201.93467342901485,201.1628523221522,211.46761630463612,216.15477764856706,209.781826443534,187.5866274849353,179.12134794733208,180.25303962010125,186.23062993919822,197.009412461327,206.0992218155207,204.14237239787994,202.40848433072608,206.70678778473265,207.3315367562486,219.8863028646893,206.95666702448582,191.1517509834149,191.99822842141631,205.00072293762997,216.94139085494191,215.122589905222,217.49381201706302,221.74635995107175,209.5294241562303,207.5774255205599,206.0918995671751,202.6756929125706,210.39480064209383,217.80651699776442,215.93057406192733,212.76567445608768,208.58288904335018,204.02303556255757,207.22767993956955,205.30116320457398,218.03100128463663,224.0315595936533,241.32516541304892,250.14244637473254,257.0924506807106,241.71111021619245,233.01288749704258,233.25029320623472,230.7550975918304,223.69365700843102,252.02994941672233,254.52107021645207,265.0265152896607,264.3734213128116,257.61361584854757,243.32085493635668,238.48635694168047,229.8312064515003,222.3377287172209,221.23739401543855,215.00787515439703,213.20732870065777,219.94676865906402,212.6922572450847,227.9105936682016,248.88536865070722,251.3066211438845,253.24513898777693,269.2998572823387,247.91235046351733,230.94963564631144
6,1986-07-20 14:56:15+00:00,194.01153526374645,196.94136485461445,207.19489353773773,209.73948097591608,210.94877193148508,204.78720785870306,205.08861354153862,194.82753973077183,200.75642941389262,215.64031284017642,228.29684024568562,229.8883661682099,230.16506845025373,223.3620163230069,209.89516826203155,219.2846401161361,220.1634431765518,206.81964162958636,200.37660536670083,206.5716670961204,201.19685744583717,204.3992458063595,209.19458371713392,209.2379492941731,196.06925048413967,185.98616505930855,188.4280328613803,192.43596964623637,191.32809312692723,206.68334614579348,205.86630646972154,203.08039579108097,213.72333233903225,214.00379619958073,222.47878367276502,202.58576641998218,187.34902880525553,188.72163118741034,205.69127757747248,224.67488149944302,217.36266253640608,225.600174999581,220.67111073982085,209.53418215830266,209.97528399321686,205.34888948488535,203.0020341782572,213.52029225163668,224.31999525266343,221.92562225249085,212.5521266075851,207.5159878699732,199.50344161715793,204.66821987647427,211.78124154008,223.34137020721005,232.1327148497348,244.4601404195328,248.8114718752502,259.788289610389,245.84270690786684,234.37247619150497,238.17095193445573,234.32554791798572,229.53173014196926,251.01291515766468,250.56190966465084,258.4053321749371,265.7526314336366,258.6161150684783,243.63436966960893,234.9137656472006,227.52976162796256,221.15997841499825,223.81218476069762,216.04627482434668,218.52919231138932,223.66105388975672,204.18123064437728,217.50438723762616,242.70773500835628,250.88232873027954,252.35642340556558,271.15267842474935,246.15189483679893,231.76170023929728
7,1986-08-05 14:55:41+00:00,200.12035248253778,204.55838628228224,209.3926068025964,211.7330073119899,209.9967769922523,207.84068689252564,207.79069793420553,195.33843776433503,201.55272523701743,214.66615861959644,231.70670717183376,235.45254014164945,225.73246972603414,216.0456055209878,208.80869909523716,220.06246870104474,220.8335701637592,202.72331670994745,197.20070753531238,199.80176248583743,199.41019812432432,205.438978137459,207.5809912225892,202.73963840139072,186.83659861408307,185.61877550839318,182.8298328515396,190.2422024704054,181.0366497862278,199.61892523712854,198.1314012609516,201.62990694402743,203.10843831900507,202.37797935631662,218.01125300546215,203.03913153003668,185.7377667924081,191.71520101935008,202.3302500236725,219.31875365808816,221.02523942260078,228.44742027543356,219.6296411732321,212.168913042623,209.36784216714562,203.90398384552765,205.68305285997604,208.87546283550833,218.6983643445628,218.01714277873324,214.0955852532753,212.89353674875485,201.70771604404254,207.19954475597638,206.2016741514761,224.9361223860446,234.75960972678027,245.97004216826156,247.3645799784736,259.4594112219272,248.20437661915267,235.3274554454125,235.8262540920814,233.30940917791304,228.27654840731375,253.97781157849664,251.23429905209522,258.2689319792342,266.4505108339238,254.5831563234276,248.32374141959684,234.36351954794304,223.9965802730262,214.4988538177526,220.50689689081753,211.01689084856832,213.04828971370347,220.80732329602193,204.2731300416051,215.7786624120283,241.41014247560344,243.34481203861696,248.45482422906946,268.9375378802322,244.68052238656492,225.05310359719311
8,1986-09-06 14:54:29+00:00,208.72427148707263,209.62481672982756,211.47080048992726,212.9826940652494,211.6955882885848,208.22598589697645,207.62490208605078,195.59194009693772,200.17728495686265,212.46493725108311,227.55378228952688,234.1137440035288,226.7822146889943,215.4689860297446,207.20121822324035,218.20625913628893,215.47456430333784,205.4075465044799,197.91329958791889,198.80704722630412,202.05245511876686,206.66310730274955,207.6943325809646,205.7064897773478,190.53637596596798,185.75366037373058,188.3120680271943,190.9813458780053,189.77384932757474,201.0602819955518,199.93161659625122,206.07320161330608,206.79008109972688,208.1598359135237,220.9745849029571,212.3050102457298,189.20355655988197,192.68570089087277,206.59271474291825,221.98590309313752,225.36882845806468,232.2438770586572,224.26993211347985,212.7611027739303,211.66714060001686,205.52570554331092,208.20576796598783,210.75132479312435,220.06154891338048,220.70554018407321,214.14072645929915,210.88266864540685,201.38124518165537,207.13578827246317,208.49707676440167,222.77576567464195,232.88544407289282,246.2147472571535,249.58981787460738,256.5483079325264,243.8288950359192,234.27091948013182,235.31447701999983,231.93098591798812,225.53569922126817,253.1445417705561,252.3833841074703,257.1686371343887,262.2728116074221,252.79450332057164,243.2489972647763,236.7093683804574,222.99913526292332,217.59033857712095,221.8528471467149,211.1768873510458,213.65247326713776,221.92968955111053,212.06838074178737,220.25994377136604,244.5342391133427,248.17076566902645,253.596284448338,269.3678728165495,241.08506896392336,230.99813085854117
9,1986-10-08 14:53:29+00:00,,,,,,,,,,,,217.266760648983,218.53581944668971,212.52185563473688,202.21256082860043,209.69567433808564,207.63547174441334,194.3005151260008,187.7507347379601,181.66439438247906,188.40953930331017,196.71778993452375,191.59010220257568,188.68732995482193,173.63825850776414,163.37252997219815,169.18773562856788,175.73876568098817,172.30623200649313,184.72742051928185,190.22011347836366,193.85899557284355,196.2889293378577,195.4048932580572,209.47691515869562,203.62982979560158,182.22527226990724,180.81098759269804,194.14300649689253,206.89385164587185,206.8169911675878,213.4810270452205,211.22689538596958,206.60242360604525,204.50758106229185,199.97819196952094,199.2910875597533,198.94190767344537,203.7147333978263,206.7648402172885,208.1372059248476,201.7554122379456,194.54528683141052,185.18824362282928,185.72807340459372,202.4201208066946,214.0107979555646,232.7651147422443,238.99813267783364,248.47948132019644,232.83422046715322,224.59457501767034,223.56892523480704,221.44923172752243,207.78080949219643,235.90915352190137,,,,,224.03347477465618,215.92888839135944,203.2326771115072,196.84701209020292,196.90187098769678,,,,,,,,,,,
