dates,sar1371-0000,sar1371-0001,sar1371-0002,sar1371-0003,sar1371-0004,satname
1986-05-12 09:31:17+00:00,,250.25,,,,L5
1989-02-13 09:36:33+00:00,,245.71,345.81,,,L5
1989-10-27 09:31:15+00:00,,,,-91.27,,L5
1989-11-12 09:30:54+00:00,,,,-92.58,,L5
1989-12-14 09:30:02+00:00,,241.81,315.90,-92.58,,L5
1994-08-22 09:23:41+00:00,,,300.99,,,L5
1997-12-20 09:41:24+00:00,,,,-70.97,,L5
1999-08-28 09:59:28+00:00,169.39,257.82,338.39,162.86,163.90,L7
1999-09-29 09:59:32+00:00,160.65,244.94,338.39,155.00,153.13,L7
1999-11-16 09:59:25+00:00,159.80,242.60,338.39,156.99,151.88,L7
1999-12-18 09:59:28+00:00,157.62,242.34,338.39,152.47,147.81,L7
2000-01-03 09:59:21+00:00,159.29,245.91,338.39,154.20,148.04,L7
2000-01-19 09:59:18+00:00,154.34,243.01,338.39,150.94,144.25,L7
2000-02-04 09:59:18+00:00,152.80,242.48,338.39,148.86,142.81,L7
2000-03-07 09:59:06+00:00,150.04,242.69,338.39,146.53,139.29,L7
2000-06-11 09:58:23+00:00,145.70,240.39,338.40,141.16,135.58,L7
2000-08-14 09:57:37+00:00,156.91,236.74,338.42,147.56,149.04,L7
2000-08-30 09:57:26+00:00,160.02,237.68,338.41,152.70,151.65,L7
2000-09-15 09:57:07+00:00,165.34,236.48,338.41,156.10,154.78,L7
2000-10-17 09:56:41+00:00,163.00,236.78,338.40,153.56,153.65,L7
2000-11-02 09:56:53+00:00,163.55,238.69,338.39,154.98,153.72,L7
2000-12-20 09:56:57+00:00,168.18,245.97,338.39,161.23,156.24,L7
2001-01-05 09:56:57+00:00,162.99,243.19,338.39,156.36,150.99,L7
2001-02-06 09:56:56+00:00,163.64,244.62,338.39,155.20,152.60,L7
2001-02-22 09:56:55+00:00,159.57,243.95,338.38,151.92,148.84,L7
2001-04-11 09:56:38+00:00,150.96,238.70,338.43,144.79,141.27,L7
2001-05-13 09:56:27+00:00,153.53,236.94,338.46,145.67,144.13,L7
2001-05-29 09:56:18+00:00,158.66,236.94,338.45,151.58,149.18,L7
2001-06-14 09:56:07+00:00,161.47,236.94,338.44,154.10,151.11,L7
2001-06-30 09:55:52+00:00,160.41,231.89,338.44,152.57,151.91,L7
2001-08-01 09:55:40+00:00,167.08,233.68,338.44,157.21,159.38,L7
2001-08-17 09:55:21+00:00,168.82,223.22,338.43,159.09,159.44,L7
2001-09-02 09:55:11+00:00,167.97,213.62,338.44,157.46,157.57,L7
2001-09-18 09:54:59+00:00,164.43,215.82,338.43,154.08,153.33,L7
2001-10-04 09:54:47+00:00,164.62,221.44,338.42,154.74,153.61,L7
2001-11-05 09:54:55+00:00,168.14,227.13,338.41,157.75,156.82,L7
2001-12-07 09:55:05+00:00,161.36,228.06,338.40,151.42,149.31,L7
2002-01-08 09:55:16+00:00,160.65,232.80,338.40,149.50,148.47,L7
2002-03-13 09:55:25+00:00,162.09,236.77,338.38,153.49,150.68,L7
2002-04-14 09:55:20+00:00,162.11,238.31,338.42,152.48,152.50,L7
2002-04-30 09:55:22+00:00,162.47,241.56,338.41,153.31,153.12,L7
2002-05-16 09:55:15+00:00,166.64,242.69,337.84,158.29,158.17,L7
2002-06-01 09:55:09+00:00,169.05,242.69,337.97,161.94,161.16,L7
2002-06-17 09:55:02+00:00,175.40,246.32,338.05,168.99,167.60,L7
2002-07-03 09:54:58+00:00,172.58,242.75,338.12,166.16,165.27,L7
2002-07-19 09:54:50+00:00,170.82,237.03,338.16,164.37,163.44,L7
2002-08-20 09:54:40+00:00,172.10,239.11,338.19,165.22,163.54,L7
2002-10-23 09:54:19+00:00,169.64,239.84,338.18,165.21,161.59,L7
2003-01-27 09:55:01+00:00,153.71,236.89,338.37,149.31,144.08,L7
2003-02-12 09:55:12+00:00,153.34,237.65,338.37,148.30,145.28,L7
2003-03-16 09:55:15+00:00,144.16,232.43,338.39,140.82,137.78,L7
2003-05-19 09:55:12+00:00,154.66,232.70,338.40,142.32,146.64,L7
2003-10-10 09:54:34+00:00,158.72,221.82,338.40,127.21,144.38,L7
