dates,nzd0513-0000,nzd0513-0001,nzd0513-0002,nzd0513-0003,nzd0513-0004,nzd0513-0005,nzd0513-0006,nzd0513-0007,nzd0513-0008,nzd0513-0009,nzd0513-0010,nzd0513-0011,nzd0513-0012,nzd0513-0013,nzd0513-0014,nzd0513-0015,nzd0513-0016,nzd0513-0017,nzd0513-0018,nzd0513-0019,nzd0513-0020,nzd0513-0021,nzd0513-0022,nzd0513-0023,nzd0513-0024,nzd0513-0025,nzd0513-0026,nzd0513-0027,nzd0513-0028,nzd0513-0029,nzd0513-0030,nzd0513-0031,nzd0513-0032,nzd0513-0033,nzd0513-0034,nzd0513-0035,nzd0513-0036,nzd0513-0037,nzd0513-0038,nzd0513-0039,nzd0513-0040,nzd0513-0041,nzd0513-0042,nzd0513-0043,nzd0513-0044,nzd0513-0045,nzd0513-0046,nzd0513-0047,nzd0513-0048,nzd0513-0049,nzd0513-0050,nzd0513-0051,nzd0513-0052,nzd0513-0053,nzd0513-0054,nzd0513-0055,nzd0513-0056,nzd0513-0057,nzd0513-0058,nzd0513-0059,nzd0513-0060,nzd0513-0061,nzd0513-0062,nzd0513-0063,nzd0513-0064,nzd0513-0065,nzd0513-0066,nzd0513-0067,nzd0513-0068,nzd0513-0069,nzd0513-0070,nzd0513-0071,nzd0513-0072,nzd0513-0073,nzd0513-0074,nzd0513-0075,nzd0513-0076,nzd0513-0077,nzd0513-0078,nzd0513-0079,nzd0513-0080,nzd0513-0081,nzd0513-0082,nzd0513-0083,nzd0513-0084,nzd0513-0085,nzd0513-0086,nzd0513-0087,nzd0513-0088,nzd0513-0089,nzd0513-0090,nzd0513-0091,nzd0513-0092,nzd0513-0093,nzd0513-0094,nzd0513-0095,nzd0513-0096,nzd0513-0097,nzd0513-0098,nzd0513-0099,nzd0513-0100,satname
1999-09-18 22:13:39+00:00,317.71,302.67,,330.01,336.93,333.10,328.90,329.16,328.59,327.51,329.87,327.03,327.35,338.03,330.14,322.88,335.60,330.76,333.01,328.10,323.12,329.12,330.74,337.54,339.49,328.11,321.58,321.63,331.97,334.76,342.71,335.36,338.68,350.30,350.29,345.22,349.07,344.14,330.83,324.31,339.85,360.40,362.41,354.60,344.46,328.43,324.74,332.40,339.21,335.88,348.06,352.86,349.88,354.23,350.81,348.08,345.28,349.98,345.46,336.65,340.96,337.40,336.20,329.99,335.76,343.02,348.73,350.56,350.77,345.59,343.72,341.72,349.38,363.94,365.12,367.05,364.57,357.81,359.28,339.71,340.19,350.24,346.65,351.17,345.93,346.47,356.63,360.29,355.68,354.50,340.88,344.20,340.88,344.51,344.59,343.84,343.01,335.18,339.45,346.69,352.39,L7
1999-12-07 22:13:41+00:00,317.71,302.67,,330.01,336.93,333.10,328.90,329.16,328.59,327.51,329.87,327.03,327.35,338.03,330.14,322.88,335.60,330.76,333.01,328.10,323.12,329.12,330.74,337.54,329.31,327.25,323.78,323.50,330.08,335.65,336.05,326.00,335.72,349.05,348.57,346.27,343.52,345.33,342.27,334.55,332.43,352.38,352.74,345.40,338.89,333.54,333.85,337.70,336.77,336.50,348.06,352.86,349.88,354.23,350.81,348.08,345.28,349.98,345.46,336.65,340.96,337.40,336.20,329.99,335.76,343.02,348.73,350.56,350.77,345.59,343.67,345.74,354.56,364.16,368.46,366.31,361.17,354.34,351.87,336.28,336.13,345.96,347.69,347.01,342.60,350.48,363.52,365.55,358.23,350.41,347.01,345.00,340.16,343.26,339.38,343.57,342.49,337.88,340.96,347.85,356.90,L7
2000-02-18 22:07:16+00:00,317.71,302.67,,330.01,336.93,333.10,328.90,329.16,328.59,327.51,329.87,327.03,327.35,338.03,330.14,322.88,335.60,330.76,333.01,328.10,323.12,329.12,330.74,337.54,329.31,327.25,323.78,323.50,330.08,335.65,336.05,326.00,335.72,349.05,348.57,346.27,343.52,345.33,342.27,325.00,328.85,347.92,348.35,341.37,340.54,335.49,337.06,341.00,336.35,336.10,346.52,351.12,347.32,349.77,350.50,347.12,345.70,348.10,348.74,337.21,337.05,337.71,335.51,335.47,336.32,343.81,352.26,356.80,353.89,343.79,342.05,346.54,355.40,359.07,365.09,362.83,360.36,350.41,346.98,334.59,332.70,342.51,347.26,350.65,344.89,352.69,365.21,366.51,354.32,349.05,351.08,343.10,334.36,339.14,340.37,343.98,342.89,340.32,341.44,350.23,357.47,L7
2000-05-08 22:06:44+00:00,305.02,296.64,,316.72,297.06,315.79,327.92,319.03,316.14,325.99,318.19,323.35,332.66,332.24,324.91,319.33,326.00,312.75,319.87,324.80,330.75,327.96,319.47,328.92,329.98,321.81,325.03,325.06,327.62,334.28,331.50,330.12,337.53,346.48,344.40,345.71,343.17,344.76,343.58,328.44,325.15,340.85,342.13,338.82,342.08,342.44,347.09,348.05,334.92,339.14,349.94,350.10,350.06,352.94,348.78,339.90,342.06,343.62,344.14,336.77,336.31,338.92,338.97,343.60,340.55,342.12,350.95,356.04,354.44,350.83,347.10,351.54,356.57,358.71,366.68,364.08,359.49,346.45,341.58,329.70,327.57,339.54,347.83,351.83,348.00,357.31,365.95,366.39,353.15,345.95,351.64,345.10,334.31,338.01,339.14,342.60,342.16,342.21,342.96,349.19,356.36,L7
2000-05-15 22:12:54+00:00,297.69,288.29,329.75,330.36,320.35,326.92,335.01,332.02,316.14,333.65,333.57,327.43,336.07,339.00,334.76,329.88,329.69,317.94,321.72,333.51,333.06,328.76,323.95,332.63,333.52,326.88,327.04,329.58,332.36,335.73,334.25,335.37,340.61,347.03,347.75,349.30,345.12,350.44,348.03,329.54,329.96,343.15,343.40,341.61,346.81,348.80,349.09,350.33,341.90,342.11,353.16,353.94,354.32,355.82,350.34,343.89,342.96,344.72,345.70,340.71,340.12,342.79,342.12,346.56,342.55,344.64,351.36,357.19,356.34,353.45,348.87,354.16,358.70,361.39,369.51,365.36,361.86,349.16,344.16,333.72,330.85,341.51,350.47,353.03,351.01,359.29,367.79,365.84,353.14,348.84,355.58,349.91,336.92,341.58,341.19,341.71,341.03,342.83,343.67,349.62,356.32,L7
2000-05-31 22:12:42+00:00,300.04,280.40,314.43,331.03,323.66,326.92,327.57,320.94,316.14,335.14,334.53,328.23,339.03,335.21,327.59,327.30,330.10,315.91,319.55,330.81,325.79,326.43,324.71,330.19,332.20,327.23,327.11,326.43,329.55,334.47,334.29,338.31,342.18,345.28,346.00,346.51,345.33,351.36,348.56,330.89,327.73,340.87,342.81,341.28,346.12,349.17,350.89,350.86,344.01,342.94,352.42,353.06,354.48,355.28,349.34,344.05,343.03,345.29,348.37,341.43,339.34,340.56,339.43,340.81,342.89,346.66,350.50,351.70,349.76,347.85,348.00,354.38,357.32,359.61,368.35,364.61,361.10,348.47,344.26,333.51,329.20,341.96,346.52,350.62,350.28,358.88,365.53,362.57,353.59,350.31,355.61,350.23,337.97,340.03,339.68,340.30,339.03,341.99,342.68,347.85,354.12,L7
2000-06-16 22:12:38+00:00,298.54,287.13,318.37,325.82,323.25,323.58,322.32,320.94,316.14,335.14,334.53,328.23,339.03,335.21,327.59,327.30,330.10,315.91,319.55,330.81,325.79,319.06,321.16,326.81,331.53,327.66,326.95,323.89,325.38,329.19,331.36,339.39,345.32,344.45,345.72,346.24,347.78,352.97,346.83,327.41,328.41,339.99,342.75,342.55,349.32,351.80,352.87,352.83,347.24,344.39,352.42,353.06,353.39,352.50,346.49,343.20,342.61,345.30,345.95,339.12,334.94,338.96,338.82,340.31,342.07,344.81,348.85,348.01,349.19,347.35,346.98,354.95,356.98,359.75,367.62,366.40,363.83,347.70,343.99,332.52,328.02,341.06,347.03,352.46,351.27,358.75,363.17,360.38,354.04,351.73,355.38,349.97,335.71,339.56,342.93,340.67,338.29,343.21,343.43,347.89,352.37,L7
2000-06-25 22:06:19+00:00,300.86,283.76,318.37,325.82,323.25,323.58,322.32,306.72,316.14,335.14,334.53,323.81,335.28,336.21,328.83,328.20,331.69,320.84,322.19,328.95,324.49,318.38,319.66,324.19,330.45,329.53,329.35,327.25,327.10,331.53,330.73,338.97,344.27,346.22,347.49,345.82,347.78,352.97,346.83,327.41,328.41,339.99,342.75,342.55,349.32,351.80,352.87,352.83,347.24,344.39,352.27,354.99,354.50,351.76,346.21,343.91,344.16,345.15,343.27,339.72,335.19,337.60,338.82,340.31,342.07,344.81,346.04,347.74,347.40,346.00,347.38,354.18,357.54,361.14,368.11,367.10,363.21,347.56,344.26,332.94,329.97,341.06,347.03,352.71,353.18,359.72,364.03,360.91,355.32,352.88,355.85,350.34,335.83,341.49,342.97,342.13,342.86,344.14,346.26,349.72,354.62,L7
2000-07-27 22:05:48+00:00,298.61,284.78,302.34,321.08,323.25,323.58,322.32,303.41,316.14,335.14,331.68,321.77,335.28,336.21,328.83,328.20,331.69,320.84,322.19,328.95,316.82,314.45,313.83,324.19,330.45,329.53,329.35,327.25,327.10,331.53,330.73,338.97,344.27,346.22,347.49,345.82,347.78,352.97,346.83,327.41,328.41,337.36,341.09,339.98,345.54,346.81,346.91,349.11,343.83,340.07,348.72,352.66,354.50,348.83,342.81,343.91,344.16,345.15,338.26,336.28,331.80,337.60,338.82,340.31,342.07,344.81,346.04,347.74,347.40,346.00,347.38,354.18,357.54,361.14,363.19,362.08,363.21,347.56,344.26,332.94,327.91,341.06,347.03,347.70,348.66,359.72,364.03,360.91,355.32,352.88,355.85,350.34,336.31,343.53,344.79,344.11,346.71,346.67,349.24,354.62,358.32,L7
2000-08-03 22:11:55+00:00,299.10,284.81,294.67,319.58,323.25,323.58,322.44,303.29,316.14,331.23,328.58,322.34,335.53,333.08,326.95,326.11,327.77,321.70,322.14,325.75,315.09,312.62,311.20,320.04,328.24,328.32,326.66,324.12,324.68,329.17,329.06,337.93,343.25,345.93,346.75,345.21,346.20,353.04,349.20,329.76,330.40,334.63,339.84,339.89,344.71,345.77,346.22,347.28,342.53,340.05,347.87,351.09,352.07,348.51,343.37,343.37,344.24,344.82,338.27,335.74,331.91,338.28,336.65,337.57,340.42,343.92,346.30,347.82,347.71,346.66,347.86,353.82,356.10,360.07,362.91,362.15,363.39,347.14,343.57,332.92,329.01,341.32,346.41,347.07,347.51,359.72,364.03,360.91,355.32,352.88,355.85,350.34,336.31,343.53,344.79,344.11,346.71,346.88,349.64,356.07,359.56,L7
