dates,nzd0551-0000,nzd0551-0001,nzd0551-0002,nzd0551-0003,nzd0551-0004,nzd0551-0005,nzd0551-0006,nzd0551-0007,nzd0551-0008,nzd0551-0009,nzd0551-0010,nzd0551-0011,nzd0551-0012,nzd0551-0013,nzd0551-0014,nzd0551-0015,nzd0551-0016,nzd0551-0017,nzd0551-0018,nzd0551-0019,nzd0551-0020,nzd0551-0021,nzd0551-0022,nzd0551-0023,nzd0551-0024,nzd0551-0025,nzd0551-0026,nzd0551-0027,nzd0551-0028,nzd0551-0029,nzd0551-0030,nzd0551-0031,nzd0551-0032,nzd0551-0033,nzd0551-0034,nzd0551-0035,nzd0551-0036,nzd0551-0037,nzd0551-0038,nzd0551-0039,nzd0551-0040,nzd0551-0041,nzd0551-0042,nzd0551-0043,nzd0551-0044,nzd0551-0045,nzd0551-0046,nzd0551-0047,nzd0551-0048,nzd0551-0049,nzd0551-0050,nzd0551-0051,nzd0551-0052,nzd0551-0053,nzd0551-0054,nzd0551-0055,nzd0551-0056,nzd0551-0057,nzd0551-0058,nzd0551-0059,nzd0551-0060,nzd0551-0061,nzd0551-0062,nzd0551-0063,nzd0551-0064,nzd0551-0065,nzd0551-0066,nzd0551-0067,nzd0551-0068,nzd0551-0069,nzd0551-0070,nzd0551-0071,nzd0551-0072,nzd0551-0073,nzd0551-0074,nzd0551-0075,nzd0551-0076,nzd0551-0077,nzd0551-0078,nzd0551-0079,nzd0551-0080,nzd0551-0081,nzd0551-0082,nzd0551-0083,nzd0551-0084,nzd0551-0085,nzd0551-0086,nzd0551-0087,nzd0551-0088,nzd0551-0089,nzd0551-0090,nzd0551-0091,nzd0551-0092,nzd0551-0093,nzd0551-0094,nzd0551-0095,nzd0551-0096,nzd0551-0097,nzd0551-0098,nzd0551-0099,nzd0551-0100,nzd0551-0101,nzd0551-0102,nzd0551-0103,nzd0551-0104,satname
1999-07-16 22:13:35+00:00,331.60,330.84,327.44,326.54,327.59,326.83,323.53,322.20,324.31,322.96,332.51,332.46,323.80,329.07,331.53,333.50,323.70,323.86,326.80,332.20,336.76,336.30,334.18,337.37,343.90,337.50,347.69,342.86,349.13,340.09,336.92,337.79,325.21,320.25,316.55,315.69,311.38,300.86,304.54,304.32,313.61,306.20,305.46,310.11,309.34,307.73,294.96,302.26,299.81,295.25,300.75,296.17,306.30,314.57,315.11,318.64,333.75,337.79,342.18,330.47,333.90,330.05,340.10,350.39,346.19,348.25,345.99,338.35,341.95,327.51,335.15,331.38,337.63,343.38,346.63,350.66,342.18,351.60,348.49,349.25,,,,,,,,,,,,,,336.60,333.92,337.02,342.66,343.28,346.93,337.83,349.68,357.49,356.02,361.11,367.05,L7
1999-08-08 22:19:52+00:00,332.25,329.60,323.62,323.62,327.31,333.15,329.41,329.17,330.86,330.66,335.05,334.47,327.37,331.12,330.77,334.62,328.85,328.77,330.89,333.80,338.61,342.43,341.11,341.49,345.85,343.03,348.64,347.14,352.06,349.85,347.21,345.80,335.16,331.96,331.53,325.97,322.36,317.53,315.81,313.52,320.06,317.96,318.62,319.43,317.89,316.73,308.02,309.66,308.53,306.39,308.92,308.43,314.68,320.91,322.84,326.21,339.01,343.78,349.01,344.15,346.52,345.81,353.26,360.22,358.32,360.10,355.01,352.22,350.93,342.45,344.82,342.93,350.55,355.43,356.53,357.54,353.46,357.15,360.30,361.74,373.93,373.06,387.01,,,,,,,358.41,355.75,361.36,353.56,349.75,340.76,346.69,352.56,354.52,354.72,347.03,360.26,370.14,369.20,371.66,369.89,L7
1999-08-24 22:19:53+00:00,332.25,329.60,323.62,323.62,327.31,333.15,329.41,329.17,330.86,330.66,335.05,334.47,327.37,331.12,330.77,334.62,328.85,328.77,330.89,333.80,338.61,342.43,341.11,341.49,345.85,343.03,348.64,347.14,352.06,349.85,347.21,345.80,335.16,331.96,331.53,325.97,322.36,317.53,315.81,313.52,311.07,314.07,316.13,317.41,315.94,314.16,307.37,307.40,305.43,304.03,306.62,306.57,312.32,318.66,321.06,322.80,333.22,337.44,343.17,339.34,344.02,345.10,349.05,353.01,355.06,358.12,351.31,346.65,345.52,338.40,339.93,338.66,346.04,352.52,351.21,351.56,348.22,353.05,354.29,355.77,358.35,373.06,387.01,,,,,,,358.41,355.75,361.36,342.85,342.39,337.82,341.14,347.65,350.72,351.31,345.06,354.26,366.02,365.75,369.50,367.14,L7
1999-10-04 22:14:13+00:00,330.26,325.89,321.71,323.21,326.70,331.55,331.22,331.02,330.36,330.89,332.30,332.12,327.31,328.31,329.79,333.41,330.14,328.39,329.10,332.67,337.57,338.72,341.74,341.52,345.58,345.22,347.09,346.65,350.69,350.17,349.89,345.80,335.16,331.96,331.53,325.97,322.36,317.53,317.08,313.52,313.37,315.34,318.96,319.07,317.66,315.72,308.94,309.19,306.25,305.39,308.12,307.58,313.70,319.85,321.60,322.52,330.71,335.21,341.55,339.33,343.37,343.80,348.25,351.55,352.41,355.04,348.99,343.98,343.18,338.12,337.95,338.92,345.07,351.39,351.95,351.75,348.28,353.65,353.67,354.28,355.55,362.32,387.01,,,,,,,347.32,347.04,352.59,342.16,341.64,338.81,341.95,344.40,342.38,351.31,345.06,354.26,365.30,365.34,370.33,367.12,L7
1999-10-27 22:19:51+00:00,333.34,329.51,324.49,325.93,330.67,334.45,332.61,333.30,333.42,333.30,335.02,335.76,330.81,332.06,334.16,336.51,334.56,331.23,333.27,336.08,340.73,343.36,345.49,345.24,349.13,347.25,349.00,349.06,353.64,351.12,350.38,346.98,337.26,334.62,332.84,328.11,323.77,318.98,318.24,314.71,315.71,317.19,320.39,320.90,319.95,317.82,310.44,310.47,307.08,306.50,309.67,311.19,317.00,322.09,324.72,326.64,334.76,337.73,345.84,341.54,346.29,346.07,349.56,354.86,356.63,357.97,352.35,348.92,347.83,343.19,341.40,344.27,349.79,355.62,356.68,355.93,352.20,355.57,357.57,356.96,357.96,370.21,389.42,386.67,391.30,394.42,384.22,378.24,375.12,352.80,351.16,353.19,346.06,342.80,341.00,343.49,347.06,345.54,352.52,347.34,356.70,367.33,366.41,372.14,369.18,L7
1999-11-05 22:14:04+00:00,333.73,329.88,325.75,325.93,330.67,334.45,332.61,333.30,333.42,333.30,335.02,335.76,330.81,332.06,334.16,336.51,334.56,331.23,333.27,335.24,339.81,343.99,345.44,344.78,350.02,347.67,347.95,349.05,352.56,350.64,349.66,345.44,337.91,335.34,333.59,328.02,323.76,321.00,318.25,315.76,315.76,318.62,321.90,321.24,321.21,318.54,312.20,311.37,307.85,307.55,310.43,312.30,317.95,322.76,326.19,327.86,335.85,339.12,346.49,344.07,347.61,348.25,351.80,356.00,358.21,359.22,353.04,349.83,349.74,345.02,343.06,345.15,352.03,356.43,356.87,356.62,352.52,356.00,357.86,357.81,360.63,369.02,384.68,380.75,381.21,383.33,377.24,368.18,370.05,353.12,352.25,354.02,346.02,343.19,341.86,343.55,347.95,346.72,352.57,347.71,356.91,368.21,366.22,371.64,369.17,L7
1999-12-07 22:13:41+00:00,333.73,329.88,325.75,325.93,330.67,334.45,332.61,333.30,333.42,333.30,335.02,335.76,330.81,332.06,336.20,338.17,337.26,331.23,333.27,335.24,339.81,343.99,345.44,344.78,350.02,347.67,347.95,349.05,352.56,350.64,349.66,345.44,337.91,335.34,333.59,328.02,323.76,322.86,319.47,315.58,317.50,319.75,322.65,322.15,321.24,319.21,311.32,313.04,308.89,308.68,310.68,313.82,318.07,324.85,327.41,329.75,337.40,339.96,348.03,345.76,348.94,349.95,352.69,357.90,359.37,360.71,354.85,351.02,352.42,347.16,344.56,346.33,352.90,358.07,358.35,357.64,353.92,358.58,359.19,358.70,362.19,370.66,384.06,379.32,379.53,382.61,376.46,368.42,368.61,353.70,354.04,353.68,347.12,345.99,342.71,344.88,348.89,348.54,354.34,348.95,358.13,369.50,367.16,372.41,370.47,L7
2000-04-13 22:13:06+00:00,335.97,332.43,328.69,330.37,334.29,333.92,334.79,333.34,333.07,333.76,336.67,336.12,332.03,331.13,336.45,338.68,347.93,339.73,345.78,339.09,343.16,343.72,342.51,341.00,344.35,340.98,338.27,341.10,347.40,341.38,340.83,336.51,329.63,328.19,327.33,322.38,317.69,321.45,315.88,313.16,317.70,321.30,323.57,321.77,320.37,318.67,310.31,313.66,308.62,309.38,310.04,317.33,318.94,326.25,335.15,339.39,346.33,346.29,356.68,354.33,356.36,358.15,358.60,366.37,368.65,368.27,362.65,360.40,364.75,352.80,347.40,352.04,358.76,361.12,359.09,356.97,353.51,356.90,360.25,358.49,362.40,369.10,383.07,379.32,379.53,382.61,376.46,368.42,368.61,357.95,358.70,354.40,352.09,351.79,347.90,348.79,344.76,356.76,357.37,352.84,362.01,375.11,369.59,375.18,374.94,L7
2000-04-20 22:19:15+00:00,333.98,331.45,328.45,331.19,334.17,332.28,333.50,334.15,333.22,333.79,336.39,337.65,333.50,331.84,337.08,337.92,344.34,337.19,342.09,338.89,342.59,344.69,343.12,343.25,346.12,342.47,341.37,343.25,349.02,342.06,341.45,337.04,329.48,327.52,326.27,321.15,316.69,319.23,314.85,311.71,316.78,319.91,322.09,320.62,318.65,317.30,309.10,312.01,307.01,308.03,309.05,316.66,319.07,325.58,330.90,335.97,343.94,344.99,354.10,351.63,354.45,357.61,359.65,364.79,368.50,367.16,361.32,358.60,362.41,351.92,347.33,352.18,357.78,361.37,361.07,358.82,354.30,357.70,360.72,359.57,362.83,370.66,383.07,379.32,379.53,382.61,376.46,368.42,368.61,357.95,358.70,354.40,352.09,351.79,349.28,349.68,345.77,356.91,358.47,353.42,360.89,373.56,368.98,375.49,373.73,L7
2000-05-22 22:18:57+00:00,326.56,325.01,324.28,327.29,330.20,326.10,328.87,330.40,329.18,328.46,330.82,330.70,327.47,324.75,330.42,333.75,339.08,329.99,334.19,334.73,338.79,339.55,338.67,342.26,339.76,338.10,337.43,336.66,345.31,336.74,338.24,331.59,321.55,319.72,317.50,311.83,306.95,313.02,308.52,305.69,311.62,313.51,315.70,315.04,311.39,311.29,302.20,307.29,302.68,304.48,302.49,313.20,312.45,322.92,319.95,330.52,336.81,339.44,346.73,345.66,349.65,354.74,356.78,361.78,365.09,364.86,357.04,352.11,357.07,346.04,341.67,345.06,347.88,356.54,354.80,352.97,350.32,355.76,356.85,356.97,359.55,367.29,382.19,376.46,376.18,381.17,374.90,368.90,365.74,356.03,361.17,352.28,352.64,354.63,348.16,349.71,342.82,359.37,361.99,355.53,362.79,372.93,371.22,377.18,375.22,L7
