dates,satname,nzd0551-0000,nzd0551-0001,nzd0551-0002,nzd0551-0003,nzd0551-0004,nzd0551-0005,nzd0551-0006,nzd0551-0007,nzd0551-0008,nzd0551-0009,nzd0551-0010,nzd0551-0011,nzd0551-0012,nzd0551-0013,nzd0551-0014,nzd0551-0015,nzd0551-0016,nzd0551-0017,nzd0551-0018,nzd0551-0019,nzd0551-0020,nzd0551-0021,nzd0551-0022,nzd0551-0023,nzd0551-0024,nzd0551-0025,nzd0551-0026,nzd0551-0027,nzd0551-0028,nzd0551-0029,nzd0551-0030,nzd0551-0031,nzd0551-0032,nzd0551-0033,nzd0551-0034,nzd0551-0035,nzd0551-0036,nzd0551-0037,nzd0551-0038,nzd0551-0039,nzd0551-0040,nzd0551-0041,nzd0551-0042,nzd0551-0043,nzd0551-0044,nzd0551-0045,nzd0551-0046,nzd0551-0047,nzd0551-0048,nzd0551-0049,nzd0551-0050,nzd0551-0051,nzd0551-0052,nzd0551-0053,nzd0551-0054,nzd0551-0055,nzd0551-0056,nzd0551-0057,nzd0551-0058,nzd0551-0059,nzd0551-0060,nzd0551-0061,nzd0551-0062,nzd0551-0063,nzd0551-0064,nzd0551-0065,nzd0551-0066,nzd0551-0067,nzd0551-0068,nzd0551-0069,nzd0551-0070,nzd0551-0071,nzd0551-0072,nzd0551-0073,nzd0551-0074,nzd0551-0075,nzd0551-0076,nzd0551-0077,nzd0551-0078,nzd0551-0079,nzd0551-0080,nzd0551-0081,nzd0551-0082,nzd0551-0083,nzd0551-0084,nzd0551-0085,nzd0551-0086,nzd0551-0087,nzd0551-0088,nzd0551-0089,nzd0551-0090,nzd0551-0091,nzd0551-0092,nzd0551-0093,nzd0551-0094,nzd0551-0095,nzd0551-0096,nzd0551-0097,nzd0551-0098,nzd0551-0099,nzd0551-0100,nzd0551-0101,nzd0551-0102,nzd0551-0103,nzd0551-0104
1999-07-16 22:13:35+00:00,L7,341.87,339.88,337.27,337.30,336.63,335.87,333.80,331.62,333.73,332.38,341.20,340.25,331.87,336.86,337.18,339.15,329.35,329.51,332.45,337.85,343.04,343.83,343.22,345.16,350.75,346.92,355.76,350.39,357.50,351.98,350.21,349.68,336.51,333.54,330.67,328.25,323.94,317.00,317.83,319.39,327.73,322.34,321.60,324.23,322.63,321.85,308.25,316.39,313.10,309.37,314.88,310.29,320.42,328.70,330.18,332.77,347.87,353.93,357.25,349.30,352.73,347.43,357.48,366.53,361.26,363.32,362.13,354.49,357.02,342.58,350.22,346.45,353.77,359.52,360.76,363.95,357.25,367.74,361.78,366.63,,,,,,,,,,,,,,349.16,347.21,350.31,355.95,355.84,358.82,349.72,362.24,370.78,368.58,373.00,377.81
1999-08-08 22:19:52+00:00,L7,323.09,319.72,310.42,310.40,318.39,330.83,325.47,327.15,328.40,329.36,329.28,329.03,323.22,325.73,324.61,330.33,328.60,328.28,329.58,330.00,334.45,341.35,339.40,338.15,341.24,339.56,341.89,344.23,346.98,348.24,344.79,342.43,334.32,330.96,333.02,324.25,321.33,318.78,314.36,308.32,313.02,314.29,316.34,315.24,313.74,312.23,308.38,303.56,304.55,304.03,303.59,307.19,309.55,313.75,316.16,320.28,330.77,334.34,341.44,339.83,341.15,344.96,349.80,354.61,356.06,357.55,348.61,350.66,345.51,342.99,340.10,340.08,348.04,352.04,352.93,351.71,350.34,347.27,359.40,357.61,354.29,360.35,374.30,,,,,,,347.04,343.04,345.93,340.85,350.90,334.90,343.65,349.75,353.76,351.14,344.87,358.85,370.09,370.38,370.84,362.45
1999-08-24 22:19:53+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.68,,,,,,,,285.57,297.72,302.58,305.87,304.96,301.52,298.99,295.37,292.16,291.82,294.52,295.36,300.12,306.67,309.52,308.49,314.15,316.19,323.48,319.72,329.00,334.44,331.40,330.02,340.54,346.17,335.33,326.94,326.70,322.29,322.14,322.12,328.44,338.13,333.08,332.55,329.74,336.27,335.21,334.61,331.86,,,,,,,,,,,,325.08,321.01,324.87,322.97,330.76,336.46,338.17,334.79,335.58,350.71,352.18,358.87,355.92
1999-10-04 22:14:13+00:00,L7,316.45,309.84,308.49,312.12,316.85,319.71,325.03,325.72,320.36,322.36,318.50,319.96,319.50,315.22,322.43,325.61,327.33,322.23,320.12,325.02,329.51,324.11,334.35,334.15,338.50,340.61,336.26,338.45,339.95,339.43,342.53,,,,,,,,306.91,299.13,306.77,303.71,312.05,310.55,310.12,306.89,300.96,301.07,296.02,295.96,299.14,297.11,304.33,309.92,308.81,308.16,309.68,313.10,322.28,321.31,323.43,323.27,329.25,331.75,330.05,331.40,326.60,320.55,321.76,322.88,317.61,325.29,326.76,332.57,340.66,339.58,334.07,340.03,339.09,333.18,330.32,338.87,,,,,,,,324.86,325.63,328.38,328.06,327.37,329.08,331.70,321.94,305.33,,,,350.41,352.11,361.43,356.76
1999-10-27 22:19:51+00:00,L7,354.12,350.52,343.85,346.19,352.72,353.31,348.30,350.69,353.19,351.10,352.93,355.45,350.39,352.06,353.61,352.16,354.15,346.08,352.13,352.64,357.26,365.75,366.91,365.16,367.50,363.93,363.82,364.75,371.90,367.35,366.78,362.71,354.14,354.89,351.31,346.49,340.70,340.00,336.66,335.20,340.95,342.73,344.23,344.11,344.03,342.09,331.39,331.45,325.33,326.84,331.74,341.51,346.05,346.92,354.13,359.00,366.84,365.95,379.96,371.54,379.15,374.69,374.30,386.25,390.44,386.60,383.92,386.82,383.38,380.40,372.11,382.63,386.78,390.71,391.49,387.59,384.81,381.39,388.12,387.21,388.29,400.94,406.78,399.37,400.71,404.19,401.15,390.34,389.23,377.13,374.33,372.55,372.73,361.55,364.70,364.57,372.65,372.32,369.52,367.54,378.14,390.41,384.78,392.74,389.55
1999-11-05 22:14:04+00:00,L7,329.92,326.65,325.68,,,,,,,,,,,,,,,,,328.94,332.85,342.58,340.50,338.85,349.99,344.39,339.52,345.11,343.90,342.53,339.88,334.64,333.98,330.55,328.47,321.22,317.17,318.64,311.34,312.10,308.62,317.38,321.02,315.57,320.58,314.77,314.07,308.48,304.76,305.41,306.82,310.45,315.35,318.74,325.64,326.56,333.93,337.62,341.84,346.92,344.37,350.09,353.96,353.23,358.25,357.63,348.08,345.96,351.39,346.32,343.53,341.65,354.82,352.00,350.41,353.13,346.26,349.74,352.37,353.02,360.58,358.52,368.24,368.92,366.75,367.69,362.38,352.49,358.41,347.85,348.60,348.09,338.90,338.62,339.21,336.93,345.45,346.04,346.54,342.99,351.17,365.67,358.74,362.97,363.49
1999-12-07 22:13:41+00:00,L7,,,,,,,,,,,,,,,345.70,346.14,349.42,,,,,,,,,,,,,,,,,,,,,334.15,328.76,318.30,331.36,330.38,331.02,331.00,324.59,326.60,309.20,326.43,318.29,318.85,315.57,326.33,322.13,340.77,338.35,344.49,350.09,348.87,360.90,360.38,361.39,364.28,362.15,373.19,369.92,373.24,369.53,361.98,372.14,363.61,357.14,357.00,361.94,371.83,370.65,366.97,365.88,377.87,370.33,368.16,374.86,380.39,385.37,379.16,378.18,383.25,378.50,371.47,368.74,358.87,364.35,356.14,355.82,365.75,350.96,356.04,357.70,362.46,366.05,357.99,367.26,380.44,375.81,379.84,380.82
2000-04-13 22:13:06+00:00,L7,321.25,317.81,314.02,317.40,318.26,316.94,324.01,318.49,315.45,318.93,322.72,318.85,315.81,312.27,312.89,320.59,,406.09,416.58,428.76,,320.89,317.80,316.98,313.79,312.21,309.41,311.50,324.25,311.20,312.41,309.14,297.87,295.71,298.58,296.20,291.96,292.70,286.55,286.76,289.60,294.42,297.73,296.16,292.06,290.98,286.35,288.03,285.86,286.19,285.79,290.81,291.96,298.33,,,,,,,,,,,,,,,,320.59,316.54,326.63,331.23,329.67,323.57,319.96,316.82,318.31,329.93,325.24,325.51,336.31,,,,,,,,,293.66,297.30,,286.28,278.58,292.77,303.01,,,,,,,,
2000-04-20 22:19:15+00:00,L7,336.34,335.85,335.74,341.59,341.28,336.36,339.29,343.45,341.20,341.51,342.90,347.07,343.00,339.61,343.58,340.23,341.75,339.24,343.00,343.09,346.55,353.76,352.33,356.37,357.00,354.61,357.23,355.84,360.68,353.78,354.14,348.30,338.22,336.36,334.59,327.70,323.91,323.50,321.55,318.17,324.60,327.48,329.32,327.52,322.57,323.33,315.09,316.92,311.40,314.13,316.59,325.48,331.13,334.41,330.40,337.19,348.28,354.22,358.62,358.85,364.07,370.12,376.95,373.19,380.31,376.12,370.47,366.34,367.67,360.70,359.35,365.00,366.99,375.49,380.48,377.05,369.75,374.03,373.46,378.06,381.27,387.75,,,,,,,,,,,,,364.24,363.16,360.61,367.58,371.46,364.85,367.75,379.71,377.36,386.10,378.88
2000-05-22 22:18:57+00:00,L7,328.53,327.06,329.26,329.63,336.75,330.67,329.77,335.18,336.82,330.85,332.30,331.06,328.68,327.25,324.41,332.94,335.82,329.14,333.79,334.77,340.37,348.72,351.57,358.31,352.79,353.40,350.71,347.37,356.25,352.72,356.53,344.81,335.67,335.44,328.22,319.47,312.87,315.75,308.74,312.58,313.14,315.77,318.71,317.73,317.88,316.49,309.70,310.04,306.69,311.00,304.24,322.43,316.84,330.43,317.09,334.24,336.44,343.10,346.67,350.24,356.00,359.80,361.23,366.81,371.04,371.22,358.98,355.88,357.40,352.31,346.72,344.67,345.35,363.18,356.74,359.42,361.92,366.85,365.22,371.49,374.40,,,,,,,,,,,,,354.95,352.23,352.87,361.49,369.74,368.97,364.28,375.02,381.59,382.15,386.13,384.53
