dates,satname,nzd0526-0000,nzd0526-0001,nzd0526-0002,nzd0526-0003,nzd0526-0004,nzd0526-0005,nzd0526-0006,nzd0526-0007,nzd0526-0008,nzd0526-0009,nzd0526-0010,nzd0526-0011,nzd0526-0012,nzd0526-0013,nzd0526-0014,nzd0526-0015,nzd0526-0016
1999-08-17 22:13:37+00:00,L7,307.97,297.65,308.33,310.78,300.97,307.14,299.63,290.69,266.59,271.06,273.92,280.75,277.26,296.87,292.47,302.59,306.80
1999-09-27 22:07:36+00:00,L7,338.98,334.44,332.68,335.54,334.75,331.09,326.46,330.09,337.48,325.54,323.11,324.35,327.74,339.31,326.15,324.09,323.57
2000-02-02 22:07:23+00:00,L7,321.02,306.60,313.55,310.78,319.71,329.01,324.06,316.71,312.37,307.20,301.29,312.06,312.06,317.17,314.08,314.13,314.75
2000-03-21 22:07:12+00:00,L7,350.12,346.85,342.47,332.72,327.61,331.21,331.58,336.93,,,,,,,,,
2000-05-08 22:06:44+00:00,L7,309.76,308.78,319.99,311.29,298.08,311.86,302.99,289.97,293.19,302.09,287.88,284.65,,314.30,314.08,316.88,308.93
2000-05-15 22:12:54+00:00,L7,312.57,316.84,324.60,312.55,308.24,313.47,306.75,298.86,,305.05,279.78,289.07,,329.12,319.95,310.79,317.81
2000-05-31 22:12:42+00:00,L7,299.65,304.45,,302.68,309.94,305.37,316.28,299.13,299.64,283.24,283.99,300.59,,306.34,302.90,,
2000-06-16 22:12:38+00:00,L7,317.50,302.22,296.47,306.53,297.55,313.20,306.48,289.94,266.89,273.73,273.78,279.64,,340.09,,281.42,327.43
2000-08-12 22:05:41+00:00,L7,304.63,288.13,296.72,291.26,289.44,300.23,292.87,282.60,261.65,293.77,282.52,292.11,319.79,323.96,322.22,311.89,320.07
2000-08-19 22:11:49+00:00,L7,333.76,325.30,323.20,311.98,307.09,314.50,312.80,302.10,,318.14,312.75,313.45,323.00,376.23,346.60,319.73,317.74
2000-09-20 22:11:14+00:00,L7,312.75,307.65,305.04,302.87,299.77,307.21,306.60,304.89,301.34,295.92,296.90,302.56,314.56,320.48,311.71,310.91,310.71
2000-11-16 22:04:56+00:00,L7,319.74,307.43,306.03,307.82,306.16,318.41,317.30,308.59,307.34,294.23,296.11,300.53,312.20,322.84,314.08,301.37,306.09
2000-12-18 22:05:01+00:00,L7,313.13,308.03,307.94,310.31,309.13,312.20,307.26,310.57,297.54,282.35,287.07,294.52,313.27,313.78,301.87,300.34,300.60
2001-04-16 22:10:54+00:00,L7,312.00,306.77,311.25,317.45,309.94,317.51,316.69,324.06,320.71,303.15,295.08,288.34,298.57,311.81,305.29,306.54,316.28
2001-07-14 22:03:57+00:00,L7,305.72,283.39,289.62,287.59,280.70,289.18,286.39,270.94,256.25,268.66,267.09,278.25,271.50,289.54,280.63,281.87,303.90
2001-08-15 22:03:26+00:00,L7,309.03,305.52,311.31,325.83,331.59,327.35,314.85,315.30,313.86,300.26,303.54,304.97,320.74,316.73,308.29,303.43,308.70
2001-08-31 22:03:17+00:00,L7,323.44,331.92,333.51,334.81,335.45,341.23,336.88,335.11,332.28,323.68,321.46,326.77,339.16,344.65,335.46,330.06,338.36
2002-05-05 22:09:37+00:00,L7,307.73,293.02,296.91,296.45,291.86,303.01,299.20,293.15,288.06,293.89,277.39,273.54,278.61,300.66,290.70,286.22,296.33
2002-05-14 22:03:19+00:00,L7,347.50,331.95,327.48,328.57,330.67,343.00,344.69,340.15,334.96,332.00,327.84,326.97,344.29,346.53,337.98,326.66,324.77
2002-06-15 22:03:07+00:00,L7,307.89,291.49,291.89,288.95,290.42,295.37,295.46,277.63,264.51,,262.99,281.99,267.01,,273.11,268.37,
2002-07-01 22:03:02+00:00,L7,308.22,287.98,285.74,286.58,290.18,300.21,292.56,286.30,266.12,263.96,262.45,270.56,266.55,281.64,272.93,258.58,286.98
2002-07-08 22:09:12+00:00,L7,320.23,292.82,310.21,293.29,299.92,313.03,309.54,,,313.34,315.09,,,330.64,323.31,,317.34
2002-08-09 22:08:57+00:00,L7,341.40,329.17,329.00,336.07,327.97,339.97,346.84,346.49,344.72,339.86,335.96,335.29,346.49,356.03,336.56,333.28,342.99
2002-08-18 22:02:45+00:00,L7,307.49,294.27,294.45,295.48,299.66,309.62,303.12,301.07,311.76,302.81,306.47,294.80,,317.05,306.95,297.10,312.85
2002-09-10 22:08:43+00:00,L7,329.74,320.60,316.14,325.96,331.31,341.22,340.53,334.44,327.25,312.65,314.18,319.89,332.96,347.65,342.78,331.49,332.61
2003-05-17 22:03:18+00:00,L7,359.70,,334.05,332.74,327.89,339.26,336.89,341.79,339.90,320.69,327.77,337.11,338.80,335.75,331.25,325.35,325.31
2003-08-05 22:02:59+00:00,L7,,,,,292.12,302.83,297.10,291.28,277.57,277.69,274.01,279.56,273.01,294.07,289.94,283.57,297.58
2003-08-13 21:51:32+00:00,L5,345.81,332.95,333.35,335.01,334.90,334.69,341.91,341.05,338.92,325.16,322.79,327.14,332.09,339.73,337.73,335.10,337.70
2003-08-29 21:51:49+00:00,L5,344.61,330.60,323.67,329.62,323.03,337.40,341.84,335.62,335.16,322.00,327.51,329.92,334.97,346.03,336.89,330.04,325.51
2003-10-07 21:58:35+00:00,L5,335.44,328.60,325.64,326.94,327.98,335.77,340.88,321.31,319.59,305.51,313.13,314.75,320.74,338.95,338.19,331.72,328.77
2003-10-15 22:08:58+00:00,L7,,,315.88,314.50,319.74,330.14,331.44,323.58,319.65,308.99,304.52,309.89,323.08,334.53,335.88,327.29,324.01
2003-11-16 22:09:23+00:00,L7,,,,,302.88,311.57,310.64,302.80,297.53,290.79,292.71,293.94,305.66,313.28,308.59,303.82,304.05
