dates,nzd0461-0000,nzd0461-0001,nzd0461-0002,nzd0461-0003,nzd0461-0004,nzd0461-0005,nzd0461-0006,nzd0461-0007,nzd0461-0008,nzd0461-0009,nzd0461-0010,nzd0461-0011,satname
1999-09-25 22:19:33+00:00,408.03,399.42,404.53,408.71,407.57,397.48,378.49,380.41,379.49,382.56,389.78,398.11,L7
1999-11-12 22:19:27+00:00,399.75,389.47,388.15,394.11,390.17,389.81,386.01,380.41,381.61,381.59,390.35,392.95,L7
1999-11-19 22:25:35+00:00,406.98,395.87,348.96,,,365.81,376.98,383.93,376.87,382.76,389.42,388.87,L7
1999-12-05 22:25:37+00:00,409.90,393.07,339.75,,400.91,376.39,,371.26,360.67,363.65,372.76,388.95,L7
1999-12-30 22:19:21+00:00,421.87,400.32,403.15,411.90,417.41,410.41,,393.57,384.89,376.33,385.10,387.85,L7
2000-02-16 22:19:16+00:00,417.54,408.79,392.35,390.13,397.87,384.66,,385.03,374.23,378.23,387.70,394.95,L7
2000-04-20 22:18:51+00:00,395.26,393.57,393.23,400.93,407.34,390.46,,373.47,364.26,367.68,383.02,386.04,L7
2000-09-27 22:17:00+00:00,409.73,402.82,415.26,414.07,424.69,396.83,387.09,386.59,377.40,377.49,387.47,406.38,L7
2000-11-14 22:16:54+00:00,395.40,381.12,381.94,394.57,399.19,390.46,385.42,382.29,369.36,365.05,362.67,378.96,L7
2000-12-07 22:23:04+00:00,384.47,376.66,374.85,376.83,391.67,379.66,377.75,373.92,373.04,373.89,381.61,388.76,L7
2000-12-16 22:16:59+00:00,390.71,380.16,376.14,389.97,401.88,401.66,400.52,388.01,384.50,374.37,388.62,399.27,L7
2001-01-01 22:16:57+00:00,391.43,379.89,382.21,394.52,402.53,388.73,380.99,377.97,375.17,376.21,390.16,405.76,L7
2001-01-17 22:17:03+00:00,389.98,381.21,385.42,394.46,398.58,391.42,385.71,381.80,374.31,373.39,384.54,396.86,L7
2001-04-07 22:16:37+00:00,391.71,385.36,384.55,393.19,396.20,378.88,369.14,365.80,354.76,353.36,365.11,384.34,L7
2001-10-23 22:21:01+00:00,381.38,372.71,380.41,390.79,395.19,387.40,383.69,377.00,369.19,361.71,370.71,376.05,L7
2001-11-01 22:14:53+00:00,372.28,367.02,363.44,362.30,360.18,350.35,348.53,339.18,329.76,332.45,353.62,373.21,L7
2002-01-04 22:15:14+00:00,376.39,364.65,358.79,369.49,377.93,371.61,364.20,357.91,354.24,360.23,363.64,371.52,L7
2002-02-05 22:15:25+00:00,403.07,395.13,385.64,389.77,393.62,383.26,386.02,378.69,375.50,368.47,376.23,389.87,L7
2002-02-12 22:21:39+00:00,395.60,401.84,399.70,407.04,411.94,400.73,389.35,388.89,380.44,373.61,385.63,391.31,L7
2002-03-09 22:15:29+00:00,396.59,397.51,396.79,403.33,405.86,394.86,390.82,387.66,390.36,386.74,399.42,406.52,L7
2002-05-12 22:15:19+00:00,386.75,384.27,383.92,388.50,398.27,386.96,,,,,382.33,388.48,L7
2002-10-03 22:14:17+00:00,404.00,397.20,388.32,392.17,404.40,386.68,377.11,369.05,362.52,362.05,379.82,393.02,L7
2002-10-10 22:20:20+00:00,377.33,363.21,353.15,372.51,377.62,370.03,361.17,360.84,355.88,355.27,360.52,374.18,L7
2002-12-06 22:14:49+00:00,365.98,355.44,358.79,357.37,357.79,344.68,337.26,341.16,340.79,349.74,369.60,378.14,L7
